
#################################################################
Log started at 2025-06-13_14-56-38 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 2909, Got: 8075
Checksum failed. Expected: 592d, Got: 7475
Checksum failed. Expected: 99a1, Got: a875
Checksum failed. Expected: cd70, Got: 4375
Checksum failed. Expected: 392f, Got: 9675
Checksum failed. Expected: ddee, Got: b175
Checksum failed. Expected: 57ad, Got: f675
Checksum failed. Expected: 010b, Got: aa75
Checksum failed. Expected: 17ac, Got: 3575
Checksum failed. Expected: 9b65, Got: 6a75
Checksum failed. Expected: 0bb4, Got: 4975
Checksum failed. Expected: 9508, Got: 1375
Checksum failed. Expected: 51bd, Got: 0c75
Checksum failed. Expected: 15f0, Got: 7b75
Checksum failed. Expected: 59ab, Got: f275
Checksum failed. Expected: 6dfb, Got: 2e75
Checksum failed. Expected: 55c3, Got: 0e75
Checksum failed. Expected: b978, Got: 5f75
Checksum failed. Expected: f1f4, Got: a375
Checksum failed. Expected: 5d5f, Got: a275
Checksum failed. Expected: d5e6, Got: b175
Checksum failed. Expected: 576d, Got: b675
Checksum failed. Expected: 9d86, Got: 8975
Checksum failed. Expected: cf6f, Got: 4075
Checksum failed. Expected: c5d1, Got: ac75
Checksum failed. Expected: 53ce, Got: 1b75
Checksum failed. Expected: c596, Got: 7175
Checksum failed. Expected: 8b16, Got: 2b75
Checksum failed. Expected: d5f9, Got: c475
Checksum failed. Expected: 2f24, Got: 9575
Checksum failed. Expected: 23b0, Got: 2d75
Checksum failed. Expected: 6194, Got: d375
Checksum failed. Expected: 2513, Got: 8e75
Checksum failed. Expected: 7512, Got: 3d75
Checksum failed. Expected: 054d, Got: e875
Checksum failed. Expected: e147, Got: 0675
Checksum failed. Expected: 8d04, Got: 1775
Checksum failed. Expected: 6b74, Got: a975
Checksum failed. Expected: 79e6, Got: 0d75
Checksum failed. Expected: 2bba, Got: 2f75
Checksum failed. Expected: 039a, Got: 3775
Checksum failed. Expected: d7c5, Got: 8e75
Checksum failed. Expected: 17ca, Got: 5375
Checksum failed. Expected: e531, Got: ec75
Checksum failed. Expected: 1d73, Got: f675
Checksum failed. Expected: 69cf, Got: 0675
Checksum failed. Expected: 8157, Got: 7675
Checksum failed. Expected: 0fe0, Got: 7175
Checksum failed. Expected: a17d, Got: 7c75
Checksum failed. Expected: 51d9, Got: 2875
Checksum failed. Expected: 15ab, Got: 3675
Checksum failed. Expected: d76c, Got: 3575
Checksum failed. Expected: 6f12, Got: 4375
Checksum failed. Expected: df72, Got: 3375
Checksum failed. Expected: 2d14, Got: 8775
Checksum failed. Expected: 8fc5, Got: d675
Checksum failed. Expected: 7394, Got: c175
Checksum failed. Expected: 59db, Got: 2275
Checksum failed. Expected: 5f70, Got: b175
Checksum failed. Expected: 0b93, Got: 2875
Checksum failed. Expected: 97c2, Got: cb75
Checksum failed. Expected: eb2e, Got: e375
Checksum failed. Expected: abc3, Got: b875
Checksum failed. Expected: bb98, Got: 7d75
Checksum failed. Expected: bfb5, Got: 9675
Checksum failed. Expected: 6530, Got: 6b75
Checksum failed. Expected: 076d, Got: 0675
Checksum failed. Expected: 7f53, Got: 7475
Checksum failed. Expected: 4f90, Got: e175
Checksum failed. Expected: 9900, Got: 0775
Checksum failed. Expected: c175, Got: 5475
Checksum failed. Expected: 0b67, Got: fc75
Checksum failed. Expected: 998c, Got: 9375
Checksum failed. Expected: a398, Got: 9575
Checksum failed. Expected: 3f85, Got: e675
Checksum failed. Expected: 2375, Got: f275
Checksum failed. Expected: a573, Got: 6e75
Checksum failed. Expected: 3304, Got: 7175
Checksum failed. Expected: 07da, Got: 7375
Checksum failed. Expected: 39c9, Got: 3075
Checksum failed. Expected: 6fad, Got: de75
Checksum failed. Expected: ddb9, Got: 7c75
Checksum failed. Expected: 6dbc, Got: ef75
Checksum failed. Expected: 8dd6, Got: e975
Checksum failed. Expected: 4737, Got: 9075
Checksum failed. Expected: 6d2a, Got: 5d75
Checksum failed. Expected: 272a, Got: a375
Checksum failed. Expected: bd59, Got: 3c75
Checksum failed. Expected: 83e4, Got: 0175
Checksum failed. Expected: 6b5b, Got: 9075
Checksum failed. Expected: 37a7, Got: 1075
Checksum failed. Expected: c785, Got: 5e75
Checksum failed. Expected: 7927, Got: 4e75
Checksum failed. Expected: a59f, Got: 9a75
Checksum failed. Expected: bb27, Got: 0c75
Checksum failed. Expected: 35d8, Got: 4375
Checksum failed. Expected: 77fe, Got: 2775
Checksum failed. Expected: f332, Got: df75
Checksum failed. Expected: 4b57, Got: ac75
Checksum failed. Expected: d1f1, Got: c075
Checksum failed. Expected: 5bf6, Got: 3b75
Checksum failed. Expected: d5cb, Got: 9675
Checksum failed. Expected: 9990, Got: 9775
Checksum failed. Expected: 9335, Got: 4275
Checksum failed. Expected: 5b86, Got: cb75
Checksum failed. Expected: 951c, Got: 2775
Checksum failed. Expected: 99bf, Got: c675
Checksum failed. Expected: 5f43, Got: 8475
Checksum failed. Expected: c7c5, Got: 9e75
Checksum failed. Expected: a106, Got: 0575
Checksum failed. Expected: d53b, Got: 0675
Checksum failed. Expected: 7710, Got: 3975
Checksum failed. Expected: 1d3f, Got: c275
Checksum failed. Expected: e598, Got: 5375
Checksum failed. Expected: a12d, Got: 2c75
Checksum failed. Expected: c5d3, Got: ae75
Checksum failed. Expected: cdd6, Got: a975
Checksum failed. Expected: b333, Got: 2075
Checksum failed. Expected: 55a4, Got: ef75
Checksum failed. Expected: 79e4, Got: 0b75
Checksum failed. Expected: 8124, Got: 4375
Checksum failed. Expected: 8bbb, Got: d075
Checksum failed. Expected: a917, Got: 0e75
Checksum failed. Expected: 2d3f, Got: b275
Checksum failed. Expected: 771d, Got: 4675
Checksum failed. Expected: adc1, Got: b475
Checksum failed. Expected: 7dcf, Got: f275
Checksum failed. Expected: ff1d, Got: be75
Checksum failed. Expected: 8b6a, Got: 7f75
Checksum failed. Expected: e32a, Got: e775
Checksum failed. Expected: 6959, Got: 9075
Checksum failed. Expected: 4308, Got: 6575
Checksum failed. Expected: e90e, Got: c575
Checksum failed. Expected: 33a7, Got: 1475
Checksum failed. Expected: 8bee, Got: 0375
Checksum failed. Expected: c98b, Got: 6275
Checksum failed. Expected: 09a0, Got: 3775
Checksum failed. Expected: ed74, Got: 2775
Checksum failed. Expected: d7b8, Got: 8175
Checksum failed. Expected: cd54, Got: 2775
Checksum failed. Expected: 0f7d, Got: 0e75
Checksum failed. Expected: bbf3, Got: d875
Checksum failed. Expected: 2da4, Got: 1775
Checksum failed. Expected: bdac, Got: 8f75
Checksum failed. Expected: 5191, Got: e075
Checksum failed. Expected: db52, Got: 1775
Checksum failed. Expected: a94c, Got: 4375
Checksum failed. Expected: d320, Got: ed75
Checksum failed. Expected: ef1b, Got: cc75
Checksum failed. Expected: 6365, Got: a275
Checksum failed. Expected: a3a9, Got: a675
Checksum failed. Expected: 7d0d, Got: 3075
Checksum failed. Expected: 49a3, Got: fa75
Checksum failed. Expected: af0f, Got: 0075
Checksum failed. Expected: eb00, Got: b575
Checksum failed. Expected: efc9, Got: 7a75
Checksum failed. Expected: eb48, Got: fd75
Checksum failed. Expected: 03ee, Got: 8b75
Checksum failed. Expected: f910, Got: b775
Checksum failed. Expected: 5912, Got: 5975
Checksum failed. Expected: 5fb0, Got: f175
Checksum failed. Expected: e5ac, Got: 6775
Checksum failed. Expected: 8921, Got: 3875
Checksum failed. Expected: a9d0, Got: c775
Checksum failed. Expected: 7591, Got: bc75
Checksum failed. Expected: cf94, Got: 6575
Checksum failed. Expected: ff38, Got: d975
Checksum failed. Expected: 4587, Got: e275
Checksum failed. Expected: 9dac, Got: af75
Checksum failed. Expected: 5386, Got: d375
Checksum failed. Expected: fd68, Got: 0b75
Checksum failed. Expected: 737b, Got: a875
Checksum failed. Expected: dbd3, Got: 9875
Checksum failed. Expected: 1f7b, Got: fc75
Checksum failed. Expected: f729, Got: d275
Checksum failed. Expected: 2308, Got: 8575
Checksum failed. Expected: 776c, Got: 9575
Checksum failed. Expected: 63fe, Got: 3b75
Checksum failed. Expected: c75c, Got: 3575
Checksum failed. Expected: f745, Got: ee75
Checksum failed. Expected: ab7d, Got: 7275
Checksum failed. Expected: 3d10, Got: 7375
Checksum failed. Expected: 0d12, Got: a575
Checksum failed. Expected: ff65, Got: 0675
Checksum failed. Expected: d9c1, Got: 8875
Checksum failed. Expected: 2536, Got: b175
Checksum failed. Expected: 57d8, Got: 2175
Checksum failed. Expected: ab87, Got: 7c75
Checksum failed. Expected: 9dd2, Got: d575
Checksum failed. Expected: 813e, Got: 5d75
Checksum failed. Expected: 7164, Got: 9375
Checksum failed. Expected: 4101, Got: 6075
Checksum failed. Expected: 095a, Got: f175
Checksum failed. Expected: 1b94, Got: 1975
Checksum failed. Expected: 3b6f, Got: d475
Checksum failed. Expected: bb12, Got: f775
Checksum failed. Expected: 6376, Got: b375
Checksum failed. Expected: eb57, Got: 0c75
Checksum failed. Expected: ab31, Got: 2675
Checksum failed. Expected: e527, Got: e275
Checksum failed. Expected: fffd, Got: 9e75
Checksum failed. Expected: 2f90, Got: 0175
Checksum failed. Expected: 5f41, Got: 8275
Checksum failed. Expected: a1a4, Got: a375
Checksum failed. Expected: 67f0, Got: 2975
Checksum failed. Expected: adc1, Got: b475
Checksum failed. Expected: 3793, Got: fc75
Checksum failed. Expected: db09, Got: ce75
Checksum failed. Expected: 0b6c, Got: 0175
Checksum failed. Expected: 6f9d, Got: ce75
Checksum failed. Expected: fd0c, Got: af75
Checksum failed. Expected: 1709, Got: 9275
Checksum failed. Expected: 7db6, Got: d975
Checksum failed. Expected: 4366, Got: c375
Checksum failed. Expected: 67be, Got: f775
Checksum failed. Expected: 7bed, Got: 1275
Checksum failed. Expected: ab41, Got: 3675
Checksum failed. Expected: 3f17, Got: 7875
Checksum failed. Expected: cd1a, Got: ed75
Checksum failed. Expected: 1ff4, Got: 7575
Checksum failed. Expected: 3398, Got: 0575
Checksum failed. Expected: 5902, Got: 4975
Checksum failed. Expected: 6dd4, Got: 0775
Checksum failed. Expected: 4509, Got: 6475
Checksum failed. Expected: 4759, Got: b275
Checksum failed. Expected: 4fbc, Got: 0d75
Checksum failed. Expected: 9de7, Got: ea75
Checksum failed. Expected: 2bea, Got: 5f75
Checksum failed. Expected: 1dbd, Got: 4075
Checksum failed. Expected: 0b76, Got: 0b75
Checksum failed. Expected: d123, Got: f275
Checksum failed. Expected: 2725, Got: 9e75
Checksum failed. Expected: e97a, Got: 3175
Checksum failed. Expected: 1526, Got: b175
Checksum failed. Expected: bf12, Got: f375
Checksum failed. Expected: 1916, Got: 9d75
Checksum failed. Expected: a3a9, Got: a675
Checksum failed. Expected: ebae, Got: 6375
Checksum failed. Expected: 392d, Got: 9475
Checksum failed. Expected: 0f69, Got: fa75
Checksum failed. Expected: 15be, Got: 4975
Checksum failed. Expected: 39b3, Got: 1a75
Checksum failed. Expected: 112e, Got: bd75
Checksum failed. Expected: 25ca, Got: 4575
Checksum failed. Expected: 118e, Got: 1d75
Checksum failed. Expected: c726, Got: ff75
Checksum failed. Expected: 9f32, Got: 3375
Checksum failed. Expected: e336, Got: f375
Checksum failed. Expected: d537, Got: 0275
Checksum failed. Expected: 0338, Got: d575
Checksum failed. Expected: d7e2, Got: ab75
Checksum failed. Expected: e92e, Got: e575
Checksum failed. Expected: cb9e, Got: 7375
Checksum failed. Expected: 4533, Got: 8e75
Checksum failed. Expected: 1b3c, Got: c175
Checksum failed. Expected: bd82, Got: 6575
Checksum failed. Expected: 771b, Got: 4475
Checksum failed. Expected: b503, Got: ee75
Checksum failed. Expected: 85bd, Got: d875
Checksum failed. Expected: 43ee, Got: 4b75
Checksum failed. Expected: 3d90, Got: f375
Checksum failed. Expected: eff4, Got: a575
Checksum failed. Expected: 2d4d, Got: c075
Checksum failed. Expected: abe9, Got: de75
Checksum failed. Expected: a5ab, Got: a675
Checksum failed. Expected: 19ad, Got: 3475
Checksum failed. Expected: 5957, Got: 9e75
Checksum failed. Expected: 5b93, Got: d875
Checksum failed. Expected: 2368, Got: e575
Checksum failed. Expected: cdaf, Got: 8275
Checksum failed. Expected: 7bc2, Got: e775
Checksum failed. Expected: b175, Got: 6475
Checksum failed. Expected: 21e3, Got: 6275
Checksum failed. Expected: 29d8, Got: 4f75
Checksum failed. Expected: c121, Got: 0075
Checksum failed. Expected: 31d6, Got: 4575
Checksum failed. Expected: a725, Got: 1e75
Checksum failed. Expected: 5b1d, Got: 6275
Checksum failed. Expected: 5571, Got: bc75
Checksum failed. Expected: 27cf, Got: 4875
Checksum failed. Expected: 3d6a, Got: cd75
Checksum failed. Expected: 019a, Got: 3975
Checksum failed. Expected: c182, Got: 6175
Checksum failed. Expected: 29f0, Got: 6775
Checksum failed. Expected: 2fe0, Got: 5175
Checksum failed. Expected: 81cb, Got: ea75
Checksum failed. Expected: 15e6, Got: 7175
Checksum failed. Expected: bb81, Got: 6675
Checksum failed. Expected: 5bf4, Got: 3975
Checksum failed. Expected: 75ef, Got: 1a75
Checksum failed. Expected: 915f, Got: 6e75
Checksum failed. Expected: bb81, Got: 6675
Checksum failed. Expected: 07d8, Got: 7175
Checksum failed. Expected: 43e0, Got: 3d75
Checksum failed. Expected: 13ab, Got: 3875
Checksum failed. Expected: 99ab, Got: b275
Checksum failed. Expected: b910, Got: f775
Checksum failed. Expected: a343, Got: 4075
Checksum failed. Expected: cf54, Got: 2575
Checksum failed. Expected: 5fbf, Got: 0075
Checksum failed. Expected: f3e3, Got: 9075
Checksum failed. Expected: c93a, Got: 1175
Checksum failed. Expected: 3d77, Got: da75
Checksum failed. Expected: b1b6, Got: a575
Checksum failed. Expected: 8f84, Got: 9575
Checksum failed. Expected: 2f38, Got: a975
Checksum failed. Expected: 2dda, Got: 4d75
Checksum failed. Expected: f334, Got: e175
Checksum failed. Expected: 7329, Got: 5675
Checksum failed. Expected: a962, Got: 5975
Checksum failed. Expected: f191, Got: 4075
Checksum failed. Expected: 1fb5, Got: 3675
Checksum failed. Expected: db12, Got: d775
Checksum failed. Expected: d355, Got: 2275
Checksum failed. Expected: a57a, Got: 7575
Checksum failed. Expected: 3d23, Got: 8675
Checksum failed. Expected: c9c1, Got: 9875
Checksum failed. Expected: db14, Got: d975
Checksum failed. Expected: 69d3, Got: 0a75
Checksum failed. Expected: 1d38, Got: bb75
Checksum failed. Expected: 6f20, Got: 5175
Checksum failed. Expected: 9b9c, Got: a175
Checksum failed. Expected: 65db, Got: 1675
Checksum failed. Expected: 1f2f, Got: b075
Checksum failed. Expected: 3557, Got: c275
Checksum failed. Expected: f315, Got: c275
Checksum failed. Expected: 055f, Got: fa75
Checksum failed. Expected: 7541, Got: 6c75
Checksum failed. Expected: 3b83, Got: e875
Checksum failed. Expected: 81cf, Got: ee75
Checksum failed. Expected: 51f8, Got: 4775
Checksum failed. Expected: 27ce, Got: 4775
Checksum failed. Expected: dbc0, Got: 8575
Checksum failed. Expected: bd58, Got: 3b75
Checksum failed. Expected: 29b5, Got: 2c75
Checksum failed. Expected: af9c, Got: 8d75
Checksum failed. Expected: 0b16, Got: ab75
Checksum failed. Expected: cdff, Got: d275
Checksum failed. Expected: a96f, Got: 6675
Checksum failed. Expected: 8bf0, Got: 0575
Checksum failed. Expected: 6bff, Got: 3475
Checksum failed. Expected: 5dc1, Got: 0475
Checksum failed. Expected: 0f8a, Got: 1b75
Checksum failed. Expected: a166, Got: 6575
Checksum failed. Expected: 29dc, Got: 5375
Checksum failed. Expected: d5d7, Got: a275
Checksum failed. Expected: a5bd, Got: b875
Checksum failed. Expected: 4dc7, Got: 1a75
Checksum failed. Expected: b714, Got: fd75
Checksum failed. Expected: a92a, Got: 2175
Checksum failed. Expected: 1d92, Got: 1575
Checksum failed. Expected: 4501, Got: 5c75
Checksum failed. Expected: 470a, Got: 6375
Checksum failed. Expected: e95d, Got: 1475
Checksum failed. Expected: 73c6, Got: f375
Checksum failed. Expected: f730, Got: d975
Checksum failed. Expected: 1fdb, Got: 5c75
Checksum failed. Expected: 8b90, Got: a575
Checksum failed. Expected: f185, Got: 3475
Checksum failed. Expected: bbdc, Got: c175
Checksum failed. Expected: 8b4b, Got: 6075
Checksum failed. Expected: f762, Got: 0b75
Checksum failed. Expected: cb21, Got: f675
Checksum failed. Expected: d951, Got: 1875
Checksum failed. Expected: a926, Got: 1d75
Checksum failed. Expected: fd1a, Got: bd75
Checksum failed. Expected: 9d96, Got: 9975
Checksum failed. Expected: 8546, Got: 6175
Checksum failed. Expected: 1b00, Got: 8575
Checksum failed. Expected: 3382, Got: ef75
Checksum failed. Expected: 3795, Got: fe75
Checksum failed. Expected: 0f33, Got: c475
Checksum failed. Expected: db57, Got: 1c75
Checksum failed. Expected: 4528, Got: 8375
Checksum failed. Expected: c921, Got: f875
Checksum failed. Expected: 3db0, Got: 1375
Checksum failed. Expected: 7d67, Got: 8a75
Checksum failed. Expected: c56d, Got: 4875
Checksum failed. Expected: edf4, Got: a775
Checksum failed. Expected: 83f3, Got: 1075
Checksum failed. Expected: 1b47, Got: cc75
Checksum failed. Expected: 4f56, Got: a775
Checksum failed. Expected: 312e, Got: 9d75
Checksum failed. Expected: bbaf, Got: 9475
Checksum failed. Expected: 851c, Got: 3775
Checksum failed. Expected: a72e, Got: 2775
Checksum failed. Expected: 1f1d, Got: 9e75
Checksum failed. Expected: cdbf, Got: 9275
Checksum failed. Expected: b921, Got: 0875
Checksum failed. Expected: bd7a, Got: 5d75
Checksum failed. Expected: f1d3, Got: 8275
Checksum failed. Expected: d369, Got: 3675
Checksum failed. Expected: b9ee, Got: d575
Checksum failed. Expected: b371, Got: 5e75
Checksum failed. Expected: 9b45, Got: 4a75
Checksum failed. Expected: ad95, Got: 8875
Checksum failed. Expected: c75f, Got: 3875
Checksum failed. Expected: 63c7, Got: 0475
Checksum failed. Expected: ef38, Got: e975
Checksum failed. Expected: 8b0b, Got: 2075
Checksum failed. Expected: 0db6, Got: 4975
Checksum failed. Expected: a1b5, Got: b475
Checksum failed. Expected: e5ee, Got: a975
Checksum failed. Expected: 3571, Got: dc75
Checksum failed. Expected: 7b31, Got: 5675
