
#################################################################
Log started at 2025-06-12_15-51-01 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: ea58, Got: ac09
Checksum failed. Expected: 2307, Got: 6667
Checksum failed. Expected: 90cb, Got: 20c5
Checksum failed. Expected: 6876, Got: db23
Checksum failed. Expected: 07eb, Got: 9581
Checksum failed. Expected: e4b9, Got: 4fe0
Checksum failed. Expected: a4f4, Got: 0a3e
Checksum failed. Expected: 2e3b, Got: c49c
Checksum failed. Expected: a7a6, Got: 7efa
Checksum failed. Expected: 8f24, Got: 3959
Checksum failed. Expected: c3b0, Got: f3b7
Checksum failed. Expected: 4495, Got: ae15
Checksum failed. Expected: d635, Got: 6873
Checksum failed. Expected: 9359, Got: 22d1
Checksum failed. Expected: 3823, Got: dd30
Checksum failed. Expected: 14ba, Got: 978e
Checksum failed. Expected: 7d46, Got: 51ec
Checksum failed. Expected: 922e, Got: 0c4a
Checksum failed. Expected: ebbd, Got: c6a8
Checksum failed. Expected: 4e0a, Got: 8107
Checksum failed. Expected: 8af9, Got: 3b65
Checksum failed. Expected: 2326, Got: f5c3
Checksum failed. Expected: 44c1, Got: b021
Checksum failed. Expected: b38d, Got: 6a7f
Checksum failed. Expected: 6c6d, Got: 24de
Checksum failed. Expected: b0d7, Got: df3c
Checksum failed. Expected: f896, Got: 999a
Checksum failed. Expected: 6884, Got: 53f8
Checksum failed. Expected: 05dc, Got: 0e56
Checksum failed. Expected: f7c9, Got: c8b5
Checksum failed. Expected: 67b9, Got: 8313
Checksum failed. Expected: 8727, Got: 3d71
Checksum failed. Expected: 0908, Got: f7cf
Checksum failed. Expected: 5b67, Got: b22e
Checksum failed. Expected: 0014, Got: 6c8c
Checksum failed. Expected: 70eb, Got: 26ea
Checksum failed. Expected: 3edd, Got: e148
Checksum failed. Expected: 3420, Got: 9ba6
Checksum failed. Expected: cc32, Got: 5605
Checksum failed. Expected: 26af, Got: 1063
Checksum failed. Expected: 7914, Got: cac1
Checksum failed. Expected: c303, Got: 851f
Checksum failed. Expected: b1b5, Got: 3f7d
Checksum failed. Expected: a5d2, Got: f9dc
Checksum failed. Expected: 575e, Got: b43a
Checksum failed. Expected: c83a, Got: 6e98
Checksum failed. Expected: faae, Got: 28f6
Checksum failed. Expected: 993b, Got: e354
Checksum failed. Expected: 206c, Got: 9db3
Checksum failed. Expected: 8385, Got: 5811
Checksum failed. Expected: 36f3, Got: 126f
Checksum failed. Expected: e128, Got: cccd
Checksum failed. Expected: 73fb, Got: 872b
Checksum failed. Expected: 048d, Got: 418a
Checksum failed. Expected: 077f, Got: fbe8
Checksum failed. Expected: 1c88, Got: b646
Checksum failed. Expected: efb5, Got: 70a4
Checksum failed. Expected: 5a30, Got: 2b03
Checksum failed. Expected: 00f8, Got: e561
Checksum failed. Expected: 46a3, Got: 9fbf
Checksum failed. Expected: 9391, Got: 5a1d
Checksum failed. Expected: 9dd7, Got: 147b
Checksum failed. Expected: 7474, Got: ceda
Checksum failed. Expected: f870, Got: 8938
Checksum failed. Expected: 3786, Got: 4396
Checksum failed. Expected: c95d, Got: fdf4
Checksum failed. Expected: 9eda, Got: b852
Checksum failed. Expected: 2918, Got: 72b1
Checksum failed. Expected: fb4f, Got: 2d0f
Checksum failed. Expected: b97a, Got: e76d
Checksum failed. Expected: 9883, Got: a1cb
Checksum failed. Expected: 20ab, Got: 5c29
Checksum failed. Expected: af37, Got: 1688
Checksum failed. Expected: 838b, Got: d0e6
Checksum failed. Expected: ec16, Got: 8b44
Checksum failed. Expected: 3e4c, Got: 45a2
Checksum failed. Expected: ed8b, Got: 0000
Checksum failed. Expected: ebf1, Got: ba5f
Checksum failed. Expected: b3b1, Got: 74bd
Checksum failed. Expected: 8933, Got: 2f1b
Checksum failed. Expected: c96e, Got: e979
Checksum failed. Expected: 6299, Got: a3d7
Checksum failed. Expected: 90eb, Got: 5e36
Checksum failed. Expected: b7a8, Got: 1894
Checksum failed. Expected: 2139, Got: d2f2
Checksum failed. Expected: 88be, Got: 8d50
Checksum failed. Expected: 44ba, Got: eb86
Checksum failed. Expected: b89e, Got: a5e4
Checksum failed. Expected: 8ae8, Got: 6042
Checksum failed. Expected: e482, Got: 1aa0
Checksum failed. Expected: 6a9b, Got: d4fe
Checksum failed. Expected: fc7a, Got: 8f5d
Checksum failed. Expected: 847a, Got: 49bb
Checksum failed. Expected: 3e47, Got: 0419
Checksum failed. Expected: 870c, Got: be77
