
#################################################################
Log started at 2025-06-12_15-49-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: f1a0, Got: 0000
Checksum failed. Expected: 10ca, Got: 0000
Checksum failed. Expected: d159, Got: 0000
Checksum failed. Expected: db1b, Got: 0000
Checksum failed. Expected: 46b2, Got: 0000
Checksum failed. Expected: b368, Got: 0000
Checksum failed. Expected: e195, Got: 0000
Checksum failed. Expected: a410, Got: 0000
Checksum failed. Expected: e3a0, Got: 0000
Checksum failed. Expected: 0404, Got: 0000
Checksum failed. Expected: 4b0f, Got: 0000
Checksum failed. Expected: 8ee4, Got: 0000
Checksum failed. Expected: 100b, Got: 0000
Checksum failed. Expected: 4058, Got: 0000
Checksum failed. Expected: ea63, Got: 0000
Checksum failed. Expected: 0016, Got: 0000
Checksum failed. Expected: 3c5a, Got: 0000
Checksum failed. Expected: d0b9, Got: 0000
Checksum failed. Expected: e635, Got: 0000
Checksum failed. Expected: 7be4, Got: 0000
Checksum failed. Expected: 34ec, Got: 0000
Checksum failed. Expected: 5a8c, Got: 0000
Checksum failed. Expected: bda4, Got: 0000
Checksum failed. Expected: c1fe, Got: 0000
Checksum failed. Expected: 07ea, Got: 0000
Checksum failed. Expected: 4bc9, Got: 0000
Checksum failed. Expected: 4463, Got: 0000
Checksum failed. Expected: 880d, Got: 0000
Checksum failed. Expected: 9812, Got: 0000
Checksum failed. Expected: 6483, Got: 0000
Checksum failed. Expected: c58a, Got: 0000
Checksum failed. Expected: ff95, Got: 0000
Checksum failed. Expected: c795, Got: 0000
Checksum failed. Expected: e3c2, Got: 0000
Checksum failed. Expected: f954, Got: 0000
Checksum failed. Expected: 73de, Got: 0000
Checksum failed. Expected: 4d42, Got: 0000
Checksum failed. Expected: 348e, Got: 0000
Checksum failed. Expected: 9574, Got: 0000
Checksum failed. Expected: 3e52, Got: 0000
Checksum failed. Expected: c70d, Got: 0000
Checksum failed. Expected: 937f, Got: 0000
Checksum failed. Expected: d730, Got: 0000
Checksum failed. Expected: 483b, Got: 0000
Checksum failed. Expected: d77e, Got: 0000
Checksum failed. Expected: 68a7, Got: 0000
Checksum failed. Expected: ac52, Got: 0000
Checksum failed. Expected: 5cd1, Got: 0000
Checksum failed. Expected: d339, Got: 0000
Checksum failed. Expected: bda0, Got: 0000
Checksum failed. Expected: dcd1, Got: 0000
Checksum failed. Expected: 14c7, Got: 0000
Checksum failed. Expected: 12cc, Got: 0000
Checksum failed. Expected: aa78, Got: 0000
Checksum failed. Expected: 310f, Got: 0000
Checksum failed. Expected: 7819, Got: 0000
Checksum failed. Expected: b546, Got: 0000
Checksum failed. Expected: 872a, Got: 0000
Checksum failed. Expected: 313d, Got: 0000
Checksum failed. Expected: 3b06, Got: 0000
Checksum failed. Expected: 0dc5, Got: 0000
Checksum failed. Expected: 9778, Got: 0000
Checksum failed. Expected: d929, Got: 0000
Checksum failed. Expected: 6632, Got: 0000
Checksum failed. Expected: 9bfe, Got: 0000
Checksum failed. Expected: 41b4, Got: 0000
Checksum failed. Expected: bc62, Got: 0000
Checksum failed. Expected: a902, Got: 0000
Checksum failed. Expected: 9b26, Got: 0000
Checksum failed. Expected: e9aa, Got: 0000
Checksum failed. Expected: 1a01, Got: 0000
Checksum failed. Expected: 4b80, Got: 0000
Checksum failed. Expected: 6bc6, Got: 0000
Checksum failed. Expected: d1f5, Got: 0000
Checksum failed. Expected: 79dd, Got: 0000
Checksum failed. Expected: 3c8c, Got: 0000
Checksum failed. Expected: 8075, Got: 0000
Checksum failed. Expected: f8f6, Got: 0000
Checksum failed. Expected: 1c8a, Got: 0000
Checksum failed. Expected: 9a6b, Got: 0000
Checksum failed. Expected: b1ff, Got: 0000
Checksum failed. Expected: f70c, Got: 0000
Checksum failed. Expected: d292, Got: 0000
Checksum failed. Expected: 9bba, Got: 0000
Checksum failed. Expected: fd92, Got: 0000
Checksum failed. Expected: d80c, Got: 0000
Checksum failed. Expected: 0536, Got: 0000
Checksum failed. Expected: f309, Got: 0000
Checksum failed. Expected: 823e, Got: 0000
Checksum failed. Expected: f999, Got: 0000
Checksum failed. Expected: 52d1, Got: 0000
Checksum failed. Expected: 9be5, Got: 0000
Checksum failed. Expected: 37fe, Got: 0000
Checksum failed. Expected: 7896, Got: 0000
Checksum failed. Expected: b6d9, Got: 0000
Checksum failed. Expected: 3929, Got: 0000
Checksum failed. Expected: 5cc6, Got: 0000
Checksum failed. Expected: 86ba, Got: 0000
Checksum failed. Expected: ca8a, Got: 0000
Checksum failed. Expected: 3636, Got: 0000
Checksum failed. Expected: 090c, Got: 0000
Checksum failed. Expected: 1094, Got: 0000
Checksum failed. Expected: 20d3, Got: 0000
Checksum failed. Expected: 5157, Got: 0000
Checksum failed. Expected: 8098, Got: 0000
Checksum failed. Expected: 5bf4, Got: 0000
Checksum failed. Expected: 39bd, Got: 0000
Checksum failed. Expected: 73ec, Got: 0000
Checksum failed. Expected: 1649, Got: 0000
Checksum failed. Expected: a8a7, Got: 0000
Checksum failed. Expected: 6406, Got: 0000
Checksum failed. Expected: a369, Got: 0000
Checksum failed. Expected: 36a4, Got: 0000
Checksum failed. Expected: 751c, Got: 0000
Checksum failed. Expected: 418a, Got: 0000
Checksum failed. Expected: ec8c, Got: 0000
Checksum failed. Expected: 775e, Got: 0000
Checksum failed. Expected: be89, Got: 0000
