
#################################################################
Log started at 2025-06-12_16-20-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 9630, Got: 76c9
Checksum failed. Expected: 18aa, Got: e561
Checksum failed. Expected: 3888, Got: 53f8
Checksum failed. Expected: 4587, Got: c290
Checksum failed. Expected: 7a7f, Got: 3127
Checksum failed. Expected: 92ee, Got: 9fbf
Checksum failed. Expected: ad9a, Got: 0e56
Checksum failed. Expected: ed4f, Got: 7cee
Checksum failed. Expected: d286, Got: 147b
Checksum failed. Expected: 6107, Got: 8313
Checksum failed. Expected: 2e74, Got: f1aa
Checksum failed. Expected: 9015, Got: 6042
Checksum failed. Expected: 8381, Got: ced9
Checksum failed. Expected: 4772, Got: 3d71
Checksum failed. Expected: 891a, Got: ac09
Checksum failed. Expected: 577c, Got: 1aa0
Checksum failed. Expected: 21d1, Got: 8938
Checksum failed. Expected: 1338, Got: f7cf
Checksum failed. Expected: b565, Got: 6667
Checksum failed. Expected: 640d, Got: d4fe
Checksum failed. Expected: 7330, Got: 4396
Checksum failed. Expected: 0218, Got: b22d
Checksum failed. Expected: eb13, Got: 20c5
Checksum failed. Expected: f191, Got: 8f5d
Checksum failed. Expected: f60e, Got: fdf4
Checksum failed. Expected: 7a8b, Got: 6c8c
Checksum failed. Expected: 9d97, Got: db23
Checksum failed. Expected: 6385, Got: 49bb
Checksum failed. Expected: f15d, Got: b852
Checksum failed. Expected: b98a, Got: 26ea
Checksum failed. Expected: 2cfe, Got: 9581
Checksum failed. Expected: 70f3, Got: 0419
Checksum failed. Expected: 2b43, Got: 72b0
Checksum failed. Expected: 2ba1, Got: e148
Checksum failed. Expected: 75cb, Got: 4fe0
Checksum failed. Expected: 809b, Got: be77
Checksum failed. Expected: 4ad8, Got: 2d0f
Checksum failed. Expected: 1d84, Got: 9ba6
Checksum failed. Expected: f37d, Got: 0a3e
Checksum failed. Expected: d5fb, Got: 78d5
Checksum failed. Expected: f3f1, Got: e76d
Checksum failed. Expected: 556b, Got: 5604
Checksum failed. Expected: 971a, Got: c49c
Checksum failed. Expected: 164a, Got: 3334
Checksum failed. Expected: bd82, Got: a1cb
Checksum failed. Expected: 8299, Got: 1063
Checksum failed. Expected: 6843, Got: 7efa
Checksum failed. Expected: 1e95, Got: ed92
Checksum failed. Expected: ae93, Got: 5c29
Checksum failed. Expected: c1d2, Got: cac1
Checksum failed. Expected: 28a6, Got: 3958
Checksum failed. Expected: 5227, Got: a7f0
Checksum failed. Expected: d367, Got: 1688
Checksum failed. Expected: 2c67, Got: 851f
Checksum failed. Expected: fc05, Got: f3b7
Checksum failed. Expected: 708f, Got: 624e
Checksum failed. Expected: bdd8, Got: d0e6
Checksum failed. Expected: f526, Got: 3f7d
Checksum failed. Expected: cc11, Got: ae15
Checksum failed. Expected: cc3b, Got: 1cac
Checksum failed. Expected: d604, Got: 8b44
Checksum failed. Expected: 5c8f, Got: f9db
Checksum failed. Expected: 4592, Got: 6873
Checksum failed. Expected: 5cf6, Got: d70b
Checksum failed. Expected: e6a0, Got: 45a2
Checksum failed. Expected: 42f1, Got: b43a
Checksum failed. Expected: 2033, Got: 22d1
Checksum failed. Expected: 180c, Got: 9169
Checksum failed. Expected: 37c5, Got: 0000
Checksum failed. Expected: 38e6, Got: 6e98
Checksum failed. Expected: a851, Got: dd2f
Checksum failed. Expected: 4950, Got: 4bc7
Checksum failed. Expected: 27aa, Got: ba5f
Checksum failed. Expected: 29e4, Got: 28f6
Checksum failed. Expected: e359, Got: 978e
Checksum failed. Expected: 55b3, Got: 0625
Checksum failed. Expected: 50a2, Got: 74bd
Checksum failed. Expected: 6b5b, Got: e354
Checksum failed. Expected: 36b2, Got: 51ec
Checksum failed. Expected: 972a, Got: c083
Checksum failed. Expected: bf97, Got: 2f1b
Checksum failed. Expected: 8f0d, Got: 9db3
Checksum failed. Expected: 9ad9, Got: 0c4a
Checksum failed. Expected: 5c88, Got: 7ae2
Checksum failed. Expected: e76d, Got: e979
Checksum failed. Expected: 49fa, Got: 5811
Checksum failed. Expected: 7e02, Got: c6a8
Checksum failed. Expected: 925f, Got: 3540
Checksum failed. Expected: 9bff, Got: a3d7
Checksum failed. Expected: 70ea, Got: 126f
Checksum failed. Expected: 0c94, Got: 8106
Checksum failed. Expected: a85a, Got: ef9e
Checksum failed. Expected: 9156, Got: 5e36
Checksum failed. Expected: 9d14, Got: cccd
Checksum failed. Expected: 2b29, Got: 3b65
Checksum failed. Expected: b3af, Got: a9fc
Checksum failed. Expected: 3510, Got: 1894
Checksum failed. Expected: f482, Got: 872b
Checksum failed. Expected: bfe6, Got: f5c3
Checksum failed. Expected: 2282, Got: 645a
Checksum failed. Expected: 5149, Got: d2f2
Checksum failed. Expected: f573, Got: 418a
Checksum failed. Expected: 296d, Got: b021
Checksum failed. Expected: 52dc, Got: 1eb9
Checksum failed. Expected: 5a82, Got: 8d50
Checksum failed. Expected: 2b2e, Got: fbe8
Checksum failed. Expected: 7ef6, Got: 6a7f
Checksum failed. Expected: 6a07, Got: d917
Checksum failed. Expected: bb9f, Got: 47ae
Checksum failed. Expected: 7a4e, Got: b646
Checksum failed. Expected: 6a8c, Got: 24de
Checksum failed. Expected: 8d7f, Got: 9375
Checksum failed. Expected: 4296, Got: 020d
Checksum failed. Expected: cf6e, Got: 70a4
Checksum failed. Expected: c750, Got: df3c
Checksum failed. Expected: 87fa, Got: 4dd3
Checksum failed. Expected: f53b, Got: bc6b
Checksum failed. Expected: ee03, Got: 2b02
Checksum failed. Expected: b3f2, Got: 999a
Checksum failed. Expected: c202, Got: 0832
Checksum failed. Expected: 9f2e, Got: 76c9
Checksum failed. Expected: f978, Got: e561
Checksum failed. Expected: 8dae, Got: 53f8
Checksum failed. Expected: 3d97, Got: c290
Checksum failed. Expected: 5e77, Got: 3127
Checksum failed. Expected: c42a, Got: 9fbf
Checksum failed. Expected: 39c2, Got: 0e56
Checksum failed. Expected: 2099, Got: 7cee
Checksum failed. Expected: b936, Got: eb85
Checksum failed. Expected: 66e9, Got: 5a1d
Checksum failed. Expected: d1d9, Got: c8b5
Checksum failed. Expected: 6fbb, Got: 374c
Checksum failed. Expected: 92ce, Got: a5e4
Checksum failed. Expected: c5d6, Got: 147b
Checksum failed. Expected: 977b, Got: 8313
Checksum failed. Expected: 08e0, Got: f1aa
Checksum failed. Expected: ffa7, Got: 6042
Checksum failed. Expected: 7759, Got: ced9
Checksum failed. Expected: 4f62, Got: 3d71
Checksum failed. Expected: 1218, Got: ac09
Checksum failed. Expected: bb74, Got: 1aa0
Checksum failed. Expected: 7b3d, Got: 8938
Checksum failed. Expected: 2b08, Got: f7cf
Checksum failed. Expected: 6585, Got: 6667
Checksum failed. Expected: 5c1d, Got: d4fe
Checksum failed. Expected: 52e2, Got: 4396
Checksum failed. Expected: 71aa, Got: b22d
Checksum failed. Expected: 6ca1, Got: 20c5
Checksum failed. Expected: 732d, Got: 8f5d
Checksum failed. Expected: 9db0, Got: fdf4
Checksum failed. Expected: bb99, Got: 6c8c
Checksum failed. Expected: f0a1, Got: db23
Checksum failed. Expected: da87, Got: 49bb
Checksum failed. Expected: c467, Got: b852
Checksum failed. Expected: 1620, Got: 26ea
Checksum failed. Expected: 0016, Got: 9581
Checksum failed. Expected: 6f65, Got: 0419
Checksum failed. Expected: 8393, Got: 72b0
Checksum failed. Expected: e877, Got: e148
Checksum failed. Expected: f43d, Got: 4fe0
Checksum failed. Expected: d07b, Got: be77
Checksum failed. Expected: 5f7e, Got: 2d0f
Checksum failed. Expected: ade4, Got: 9ba6
Checksum failed. Expected: 6647, Got: 0a3e
Checksum failed. Expected: 5035, Got: 78d5
Checksum failed. Expected: ed1d, Got: e76d
Checksum failed. Expected: f6b9, Got: 5604
Checksum failed. Expected: 64d0, Got: c49c
Checksum failed. Expected: 15bc, Got: 3334
Checksum failed. Expected: cab8, Got: a1cb
Checksum failed. Expected: e03d, Got: 1063
Checksum failed. Expected: 54ab, Got: 7efa
Checksum failed. Expected: a8a1, Got: ed92
Checksum failed. Expected: d20b, Got: 5c29
Checksum failed. Expected: 4152, Got: cac1
Checksum failed. Expected: dd0c, Got: 3958
Checksum failed. Expected: 263f, Got: a7f0
Checksum failed. Expected: 593b, Got: 1688
Checksum failed. Expected: b88f, Got: 851f
Checksum failed. Expected: 6b97, Got: f3b7
Checksum failed. Expected: 3a1b, Got: 624e
Checksum failed. Expected: 2d78, Got: d0e6
Checksum failed. Expected: a546, Got: 3f7d
Checksum failed. Expected: 9e0d, Got: ae15
Checksum failed. Expected: 8c3b, Got: 1cac
Checksum failed. Expected: 796e, Got: 8b44
Checksum failed. Expected: a50d, Got: f9db
Checksum failed. Expected: 2cb4, Got: 6873
Checksum failed. Expected: 420a, Got: d70b
Checksum failed. Expected: 7d62, Got: 45a2
Checksum failed. Expected: 1933, Got: b43a
Checksum failed. Expected: 3a1f, Got: 22d1
Checksum failed. Expected: 9bb6, Got: 9169
Checksum failed. Expected: 825f, Got: 0000
Checksum failed. Expected: 5a42, Got: 6e98
Checksum failed. Expected: 2bfb, Got: dd2f
Checksum failed. Expected: 80d2, Got: 4bc7
Checksum failed. Expected: b70a, Got: ba5f
Checksum failed. Expected: b50c, Got: 28f6
Checksum failed. Expected: 681f, Got: 978e
Checksum failed. Expected: 117b, Got: 0625
Checksum failed. Expected: 4cea, Got: 74bd
Checksum failed. Expected: 3811, Got: e354
Checksum failed. Expected: fc84, Got: 7ae2
Checksum failed. Expected: e3b5, Got: e979
Checksum failed. Expected: fa28, Got: 5811
Checksum failed. Expected: 13a8, Got: c6a8
Checksum failed. Expected: fcab, Got: 3540
Checksum failed. Expected: 23ef, Got: a3d7
Checksum failed. Expected: 31f8, Got: 126f
Checksum failed. Expected: f4c4, Got: 8106
Checksum failed. Expected: 674c, Got: ef9e
Checksum failed. Expected: 4b02, Got: 5e36
Checksum failed. Expected: 1524, Got: cccd
Checksum failed. Expected: c3f9, Got: 3b65
Checksum failed. Expected: f4bd, Got: a9fc
Checksum failed. Expected: 304a, Got: 1894
Checksum failed. Expected: 00aa, Got: 872b
Checksum failed. Expected: 6ef8, Got: f5c3
Checksum failed. Expected: f154, Got: 645a
Checksum failed. Expected: 9ac7, Got: d2f2
Checksum failed. Expected: 97cf, Got: 418a
Checksum failed. Expected: 6c97, Got: b021
Checksum failed. Expected: 3c28, Got: 1eb9
Checksum failed. Expected: ecfe, Got: 8d50
Checksum failed. Expected: 0bee, Got: fbe8
Checksum failed. Expected: d31c, Got: 6a7f
Checksum failed. Expected: 4581, Got: d917
Checksum failed. Expected: 8a71, Got: 47ae
Checksum failed. Expected: 2b7c, Got: b646
Checksum failed. Expected: 56f4, Got: 24de
Checksum failed. Expected: 2a95, Got: 9375
Checksum failed. Expected: 62d6, Got: 020d
Checksum failed. Expected: 907c, Got: 70a4
Checksum failed. Expected: b4c6, Got: df3c
Checksum failed. Expected: a62c, Got: 4dd3
Checksum failed. Expected: fa01, Got: bc6b
Checksum failed. Expected: 89fd, Got: 2b02
Checksum failed. Expected: b58e, Got: 999a
Checksum failed. Expected: 5cee, Got: 0832
Checksum failed. Expected: 0ec0, Got: 76c9
Checksum failed. Expected: 7b14, Got: e561
Checksum failed. Expected: 96ac, Got: 53f8
Checksum failed. Expected: 338b, Got: c290
Checksum failed. Expected: d687, Got: 3127
Checksum failed. Expected: a3dc, Got: 9fbf
Checksum failed. Expected: f044, Got: 0e56
Checksum failed. Expected: c303, Got: 7cee
Checksum failed. Expected: c888, Got: eb85
Checksum failed. Expected: 8c7d, Got: 5a1d
Checksum failed. Expected: 9949, Got: c8b5
Checksum failed. Expected: 54c1, Got: 374c
Checksum failed. Expected: 08c2, Got: a5e4
Checksum failed. Expected: c772, Got: 147b
Checksum failed. Expected: 7c81, Got: 8313
Checksum failed. Expected: ebca, Got: f1aa
Checksum failed. Expected: 1669, Got: 6042
Checksum failed. Expected: e807, Got: ced9
Checksum failed. Expected: 5fc2, Got: 3d71
Checksum failed. Expected: 86f0, Got: ac09
Checksum failed. Expected: 71e8, Got: 1aa0
Checksum failed. Expected: ad79, Got: 8938
Checksum failed. Expected: 824a, Got: f7cf
Checksum failed. Expected: cdb5, Got: 6667
Checksum failed. Expected: 3143, Got: d4fe
Checksum failed. Expected: f984, Got: 4396
Checksum failed. Expected: 7ee0, Got: b22d
Checksum failed. Expected: 2977, Got: 20c5
Checksum failed. Expected: 9e07, Got: 8f5d
Checksum failed. Expected: 19f8, Got: fdf4
Checksum failed. Expected: 4aeb, Got: 6c8c
Checksum failed. Expected: a723, Got: db23
Checksum failed. Expected: a959, Got: 49bb
Checksum failed. Expected: 3c77, Got: b852
Checksum failed. Expected: 3dc2, Got: 26ea
Checksum failed. Expected: b9b4, Got: 9581
Checksum failed. Expected: cf25, Got: 0419
Checksum failed. Expected: 6353, Got: 72b0
Checksum failed. Expected: 2007, Got: e148
Checksum failed. Expected: f085, Got: 4fe0
Checksum failed. Expected: 0c43, Got: be77
Checksum failed. Expected: 7b86, Got: 2d0f
Checksum failed. Expected: e358, Got: 9ba6
Checksum failed. Expected: 41c1, Got: 0a3e
Checksum failed. Expected: 1251, Got: 78d5
Checksum failed. Expected: ec8f, Got: e76d
Checksum failed. Expected: 2c2d, Got: 5604
Checksum failed. Expected: 4274, Got: c49c
Checksum failed. Expected: 54ae, Got: 3334
Checksum failed. Expected: 4a38, Got: a1cb
Checksum failed. Expected: a03d, Got: 1063
Checksum failed. Expected: 6d89, Got: 7efa
Checksum failed. Expected: d9cf, Got: ed92
Checksum failed. Expected: 2a5b, Got: 5c29
Checksum failed. Expected: e7e6, Got: cac1
Checksum failed. Expected: 8292, Got: 3958
Checksum failed. Expected: f61f, Got: a7f0
Checksum failed. Expected: ae61, Got: 1688
Checksum failed. Expected: 00ff, Got: 851f
Checksum failed. Expected: 7d13, Got: f3b7
Checksum failed. Expected: 7b29, Got: 624e
Checksum failed. Expected: 5a6e, Got: d0e6
Checksum failed. Expected: 1c48, Got: 3f7d
Checksum failed. Expected: 59c7, Got: ae15
Checksum failed. Expected: f24f, Got: 1cac
