
#################################################################
Log started at 2025-06-12_15-54-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 29c9, Got: 6a75
Checksum failed. Expected: c37c, Got: e406
Checksum failed. Expected: b605, Got: e796
Checksum failed. Expected: afe1, Got: ebfb
Checksum failed. Expected: 4b62, Got: 6c96
Checksum failed. Expected: 4a10, Got: eda6
Checksum failed. Expected: efc5, Got: f3a8
Checksum failed. Expected: 4ea2, Got: f312
Checksum failed. Expected: 158c, Got: f114
Checksum failed. Expected: fbe0, Got: 7cc0
Checksum failed. Expected: 5ed0, Got: f399
Checksum failed. Expected: fa74, Got: f248
Checksum failed. Expected: 2ee3, Got: 6ae4
Checksum failed. Expected: 4f6a, Got: ee24
Checksum failed. Expected: 82a7, Got: 70fb
Checksum failed. Expected: 4066, Got: 60d2
Checksum failed. Expected: e623, Got: 5de5
Checksum failed. Expected: cd65, Got: 6abc
Checksum failed. Expected: d0ee, Got: f24b
Checksum failed. Expected: 6261, Got: 6ead
Checksum failed. Expected: 26d6, Got: 6302
Checksum failed. Expected: 0fd2, Got: 73e8
Checksum failed. Expected: 550d, Got: ef72
Checksum failed. Expected: e5c3, Got: e39a
Checksum failed. Expected: c0a5, Got: d2aa
Checksum failed. Expected: f98d, Got: d9de
Checksum failed. Expected: d1c4, Got: ec9a
Checksum failed. Expected: f582, Got: e7ea
Checksum failed. Expected: cc02, Got: 5d5c
Checksum failed. Expected: 5f33, Got: 64b2
Checksum failed. Expected: 937f, Got: 5daa
Checksum failed. Expected: 0db1, Got: df8c
Checksum failed. Expected: c06a, Got: e26f
Checksum failed. Expected: e994, Got: e2ea
Checksum failed. Expected: b6c6, Got: 64ed
Checksum failed. Expected: 6362, Got: dc71
Checksum failed. Expected: 0790, Got: dfb4
Checksum failed. Expected: 2b45, Got: e0bb
Checksum failed. Expected: a0c0, Got: e5fd
Checksum failed. Expected: a37d, Got: 63a6
Checksum failed. Expected: 04d9, Got: 6099
Checksum failed. Expected: c93a, Got: 5c9d
Checksum failed. Expected: cee3, Got: 694b
Checksum failed. Expected: 0db1, Got: e732
Checksum failed. Expected: 1feb, Got: 6005
Checksum failed. Expected: a3ce, Got: eb6e
Checksum failed. Expected: 1490, Got: 6a84
Checksum failed. Expected: b5e2, Got: 5b42
Checksum failed. Expected: c2f0, Got: 5c0e
Checksum failed. Expected: 9147, Got: 5f6e
Checksum failed. Expected: b96b, Got: e7b6
Checksum failed. Expected: 3bb6, Got: eb67
Checksum failed. Expected: 39cf, Got: e628
Checksum failed. Expected: 09fc, Got: 66d9
Checksum failed. Expected: 3d40, Got: 6bd8
Checksum failed. Expected: 7d51, Got: 6e93
Checksum failed. Expected: 8bc9, Got: f027
Checksum failed. Expected: 6788, Got: 6435
Checksum failed. Expected: 3b92, Got: 5ba2
Checksum failed. Expected: 40ff, Got: e0d3
Checksum failed. Expected: d2f8, Got: e981
Checksum failed. Expected: e73e, Got: 6a77
Checksum failed. Expected: db27, Got: e8f0
Checksum failed. Expected: 5669, Got: 64ac
Checksum failed. Expected: 50ab, Got: e6ef
Checksum failed. Expected: 81ce, Got: 6696
Checksum failed. Expected: 2f64, Got: e948
Checksum failed. Expected: 0789, Got: df5d
Checksum failed. Expected: 8246, Got: 601f
Checksum failed. Expected: f6fc, Got: ddce
Checksum failed. Expected: 63c1, Got: 66fa
Checksum failed. Expected: 59ba, Got: 6598
Checksum failed. Expected: 4b29, Got: ed93
Checksum failed. Expected: c109, Got: 62f8
Checksum failed. Expected: 94c9, Got: dc79
Checksum failed. Expected: b8fb, Got: 63ae
Checksum failed. Expected: 3861, Got: 64fb
Checksum failed. Expected: d1b6, Got: eaaf
Checksum failed. Expected: 6556, Got: e9df
Checksum failed. Expected: d132, Got: e0dd
Checksum failed. Expected: f6f1, Got: 5f01
Checksum failed. Expected: 85cf, Got: e40c
Checksum failed. Expected: a4bc, Got: e0dc
Checksum failed. Expected: 6bff, Got: e43f
Checksum failed. Expected: 8653, Got: 68c7
Checksum failed. Expected: de2a, Got: 63eb
Checksum failed. Expected: 68bc, Got: df62
Checksum failed. Expected: 16aa, Got: d96f
Checksum failed. Expected: 365d, Got: e658
Checksum failed. Expected: 65ba, Got: e762
Checksum failed. Expected: 55fd, Got: 62ed
Checksum failed. Expected: b464, Got: 7047
Checksum failed. Expected: 7021, Got: e6b1
Checksum failed. Expected: 209c, Got: 5e5f
Checksum failed. Expected: 7a51, Got: 5a1b
Checksum failed. Expected: b658, Got: df93
Checksum failed. Expected: ebbf, Got: 5cf4
Checksum failed. Expected: 1ac8, Got: 619b
Checksum failed. Expected: 5669, Got: e3a1
Checksum failed. Expected: 05c2, Got: 65b1
Checksum failed. Expected: 3fda, Got: 716c
Checksum failed. Expected: d490, Got: f837
Checksum failed. Expected: 0c4c, Got: 71d0
Checksum failed. Expected: eb06, Got: 6a9f
Checksum failed. Expected: 3074, Got: e550
Checksum failed. Expected: 1e8c, Got: e801
Checksum failed. Expected: a87c, Got: 6eea
Checksum failed. Expected: cfda, Got: eeeb
Checksum failed. Expected: 80a0, Got: ea8e
Checksum failed. Expected: 476a, Got: 68a2
Checksum failed. Expected: 3595, Got: ec2c
Checksum failed. Expected: 9394, Got: ea1b
Checksum failed. Expected: c009, Got: e7ba
Checksum failed. Expected: 5208, Got: 6c03
Checksum failed. Expected: eb16, Got: 7386
Checksum failed. Expected: fba1, Got: 6fb1
Checksum failed. Expected: 57b2, Got: e823
Checksum failed. Expected: 83b5, Got: 660c
Checksum failed. Expected: cb15, Got: 64e4
Checksum failed. Expected: 9d84, Got: f001
Checksum failed. Expected: 3b29, Got: 74dc
Checksum failed. Expected: d8d2, Got: f51b
Checksum failed. Expected: 82b5, Got: 7301
Checksum failed. Expected: 07b4, Got: f1de
Checksum failed. Expected: a622, Got: 7561
Checksum failed. Expected: 748e, Got: 7481
Checksum failed. Expected: ffa8, Got: eed9
Checksum failed. Expected: 5df4, Got: f048
Checksum failed. Expected: d2b4, Got: 70bd
