
#################################################################
Log started at 2025-06-12_16-32-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: c596, Got: 367c
Checksum failed. Expected: 13ef, Got: c3c7
Checksum failed. Expected: dcd0, Got: c39c
Checksum failed. Expected: 9e4b, Got: c87f
Checksum failed. Expected: 2e3d, Got: 46b7
Checksum failed. Expected: 39e0, Got: 3ab1
Checksum failed. Expected: 202a, Got: b796
Checksum failed. Expected: 51d3, Got: bc14
Checksum failed. Expected: e19a, Got: cc4e
Checksum failed. Expected: 01ed, Got: 44e2
Checksum failed. Expected: 706c, Got: 4416
Checksum failed. Expected: 0abc, Got: 4286
Checksum failed. Expected: 6911, Got: c5a8
Checksum failed. Expected: e07a, Got: 4803
Checksum failed. Expected: cfc5, Got: cd87
Checksum failed. Expected: 3809, Got: d149
Checksum failed. Expected: d94b, Got: cbeb
Checksum failed. Expected: ad56, Got: cfa8
Checksum failed. Expected: df58, Got: c9dd
Checksum failed. Expected: a77a, Got: c463
Checksum failed. Expected: 6e97, Got: caf9
Checksum failed. Expected: 9cfa, Got: 44fe
Checksum failed. Expected: dda9, Got: 468b
Checksum failed. Expected: 8cfb, Got: 4ae9
Checksum failed. Expected: e506, Got: 4fac
Checksum failed. Expected: ef88, Got: d8fa
Checksum failed. Expected: 5be1, Got: df28
Checksum failed. Expected: 510b, Got: d3fc
Checksum failed. Expected: e850, Got: 4c98
Checksum failed. Expected: 6e9c, Got: d7a0
Checksum failed. Expected: 32f5, Got: 69c8
Checksum failed. Expected: 318d, Got: 681e
Checksum failed. Expected: 08e3, Got: deb8
Checksum failed. Expected: 539a, Got: d459
Checksum failed. Expected: 35f5, Got: ccda
Checksum failed. Expected: 4fba, Got: cc6f
Checksum failed. Expected: d034, Got: d159
Checksum failed. Expected: a9c5, Got: 53bb
Checksum failed. Expected: e82c, Got: cf26
Checksum failed. Expected: bb5c, Got: d17c
Checksum failed. Expected: fbfc, Got: 4abb
Checksum failed. Expected: e7c0, Got: 494e
Checksum failed. Expected: 8b5b, Got: 4ae2
Checksum failed. Expected: 607c, Got: 541c
Checksum failed. Expected: 5a0a, Got: dc89
Checksum failed. Expected: acb3, Got: d5be
Checksum failed. Expected: b994, Got: d0ea
Checksum failed. Expected: 0762, Got: d104
Checksum failed. Expected: 6b91, Got: d2b9
Checksum failed. Expected: 8c10, Got: 4f72
Checksum failed. Expected: 3f9d, Got: 54d2
Checksum failed. Expected: 3680, Got: dfcd
Checksum failed. Expected: 8477, Got: d93e
Checksum failed. Expected: 106b, Got: cf49
Checksum failed. Expected: 0ada, Got: cd88
