
#################################################################
Log started at 2025-06-13_15-53-01 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-0.153272, Y=-0.679257, Z=9.788541 m/s^2 Time of Week: 460400.414000, Week Number: 2370
Acceleration: X=-0.154580, Y=-0.680218, Z=9.790304 m/s^2 Time of Week: 460400.415000, Week Number: 2370
Acceleration: X=-0.155812, Y=-0.685447, Z=9.791189 m/s^2 Time of Week: 460400.416000, Week Number: 2370
Acceleration: X=-0.158822, Y=-0.688520, Z=9.788225 m/s^2 Time of Week: 460400.417000, Week Number: 2370
Acceleration: X=-0.158616, Y=-0.684732, Z=9.781147 m/s^2 Time of Week: 460400.418000, Week Number: 2370
Acceleration: X=-0.154939, Y=-0.683841, Z=9.779886 m/s^2 Time of Week: 460400.419000, Week Number: 2370
Acceleration: X=-0.148582, Y=-0.683617, Z=9.778698 m/s^2 Time of Week: 460400.420000, Week Number: 2370
Acceleration: X=-0.153426, Y=-0.687586, Z=9.782501 m/s^2 Time of Week: 460400.421000, Week Number: 2370
Acceleration: X=-0.155964, Y=-0.688116, Z=9.783864 m/s^2 Time of Week: 460400.422000, Week Number: 2370
Acceleration: X=-0.155659, Y=-0.685081, Z=9.771473 m/s^2 Time of Week: 460400.423000, Week Number: 2370
Acceleration: X=-0.154198, Y=-0.683450, Z=9.764398 m/s^2 Time of Week: 460400.424000, Week Number: 2370
Acceleration: X=-0.150227, Y=-0.683516, Z=9.772235 m/s^2 Time of Week: 460400.425000, Week Number: 2370
Acceleration: X=-0.151567, Y=-0.683530, Z=9.776838 m/s^2 Time of Week: 460400.426000, Week Number: 2370
Acceleration: X=-0.156416, Y=-0.683519, Z=9.773865 m/s^2 Time of Week: 460400.427000, Week Number: 2370
Acceleration: X=-0.153042, Y=-0.682619, Z=9.764083 m/s^2 Time of Week: 460400.428000, Week Number: 2370
Acceleration: X=-0.149525, Y=-0.682381, Z=9.762613 m/s^2 Time of Week: 460400.429000, Week Number: 2370
Acceleration: X=-0.150025, Y=-0.680497, Z=9.764062 m/s^2 Time of Week: 460400.430000, Week Number: 2370
Acceleration: X=-0.151037, Y=-0.683213, Z=9.758071 m/s^2 Time of Week: 460400.431000, Week Number: 2370
Acceleration: X=-0.150376, Y=-0.687988, Z=9.749834 m/s^2 Time of Week: 460400.432000, Week Number: 2370
Acceleration: X=-0.149775, Y=-0.691008, Z=9.751928 m/s^2 Time of Week: 460400.433000, Week Number: 2370
