
#################################################################
Log started at 2025-06-12_13-42-42 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 43d4, Got: c7cc
Checksum failed. Expected: 2888, Got: df87
Checksum failed. Expected: 3ee7, Got: f73e
Checksum failed. Expected: 4a87, Got: 0769
Checksum failed. Expected: 1774, Got: f943
Checksum failed. Expected: bd1d, Got: b5cb
Checksum failed. Expected: 2c7b, Got: 86ae
Checksum failed. Expected: c2e3, Got: 8aa1
Checksum failed. Expected: 9eac, Got: c888
Checksum failed. Expected: 414c, Got: e48d
Checksum failed. Expected: deec, Got: f5ff
Checksum failed. Expected: 0748, Got: fafc
Checksum failed. Expected: a1c0, Got: dab2
Checksum failed. Expected: 4f4b, Got: a4cf
Checksum failed. Expected: 33b8, Got: b64e
Checksum failed. Expected: 4569, Got: d30c
Checksum failed. Expected: 7d7c, Got: ccf7

Exiting...
