
#################################################################
Log started at 2025-06-13_14-54-28 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 5820, Got: bd87
Checksum failed. Expected: 8623, Got: bd88
Checksum failed. Expected: 2ac1, Got: bd88
Checksum failed. Expected: 7f9d, Got: bd88
Checksum failed. Expected: 1096, Got: bd89
Checksum failed. Expected: 2cce, Got: bd8b
Checksum failed. Expected: 97c2, Got: bd8b
Checksum failed. Expected: 867b, Got: bd8c
Checksum failed. Expected: 4277, Got: bd8d
Checksum failed. Expected: 6994, Got: bd8e
Checksum failed. Expected: 96b5, Got: bd8e
Checksum failed. Expected: 9396, Got: bd8e
Checksum failed. Expected: 8b17, Got: bd8e
Checksum failed. Expected: 023e, Got: bd8f
Checksum failed. Expected: 1814, Got: bd90
Checksum failed. Expected: ec8b, Got: bd91
Checksum failed. Expected: fc55, Got: bd92
Checksum failed. Expected: 5abe, Got: bd94
Checksum failed. Expected: c861, Got: bd95
Checksum failed. Expected: 88f0, Got: bd95
Checksum failed. Expected: 439c, Got: bd95
Checksum failed. Expected: d113, Got: bd96
Checksum failed. Expected: 1784, Got: bd98
Checksum failed. Expected: 9bca, Got: bd98
Checksum failed. Expected: 7667, Got: bd99
Checksum failed. Expected: 9c87, Got: bd99
Checksum failed. Expected: f740, Got: bd99
Checksum failed. Expected: 8904, Got: bd99
Checksum failed. Expected: 045c, Got: bd9a
Checksum failed. Expected: 02c4, Got: bd99
Checksum failed. Expected: b264, Got: bd98
Checksum failed. Expected: 3ab2, Got: bd98
Checksum failed. Expected: 99b7, Got: bd97
Checksum failed. Expected: 4ba2, Got: bd97
Checksum failed. Expected: e46e, Got: bd96
Checksum failed. Expected: a9e1, Got: bd96
Checksum failed. Expected: e8b5, Got: bd97
Checksum failed. Expected: 3d17, Got: bd96
Checksum failed. Expected: 0270, Got: bd95
Checksum failed. Expected: 06e6, Got: bd95
Checksum failed. Expected: 7f07, Got: bd94
Checksum failed. Expected: 45be, Got: bd93
Checksum failed. Expected: 6997, Got: bd94
Checksum failed. Expected: 5fed, Got: bd95
Checksum failed. Expected: 3da6, Got: bd95
Checksum failed. Expected: 8d38, Got: bd94
Checksum failed. Expected: 966f, Got: bd93
Checksum failed. Expected: 0683, Got: bd93
Checksum failed. Expected: 25c7, Got: bd93
Checksum failed. Expected: 3d49, Got: bd92
Checksum failed. Expected: 28a4, Got: bd91
Checksum failed. Expected: e996, Got: bd90
Checksum failed. Expected: 05d2, Got: bd90
Checksum failed. Expected: d242, Got: bd8f
Checksum failed. Expected: 4e58, Got: bd8f
Checksum failed. Expected: 45ce, Got: bd8f
Checksum failed. Expected: 0034, Got: bd8f
Checksum failed. Expected: 20d0, Got: bd8e
Checksum failed. Expected: c513, Got: bd8e
Checksum failed. Expected: 757b, Got: bd8f
Checksum failed. Expected: e50d, Got: bd8f
Checksum failed. Expected: 2631, Got: bd8f
Checksum failed. Expected: 3c0b, Got: bd8e
Checksum failed. Expected: 2ec2, Got: bd8e
Checksum failed. Expected: 16f0, Got: bd8e
Checksum failed. Expected: 0cf5, Got: bd8e
Checksum failed. Expected: 7490, Got: bd8e
Checksum failed. Expected: cbfb, Got: bd8e
Checksum failed. Expected: 417e, Got: bd8d
Checksum failed. Expected: 10cf, Got: bd8c
Checksum failed. Expected: 70b5, Got: bd8b
Checksum failed. Expected: 5b53, Got: bd8c
