
#################################################################
Log started at 2025-06-12_16-18-56 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: a804, Got: 0000
Checksum failed. Expected: ac77, Got: 0000
Checksum failed. Expected: c58a, Got: 0000
Checksum failed. Expected: 7fce, Got: 0000
Checksum failed. Expected: 116c, Got: 0000
Checksum failed. Expected: 8703, Got: 0000
Checksum failed. Expected: fe98, Got: 0000
Checksum failed. Expected: d81a, Got: 0000
Checksum failed. Expected: 44db, Got: 0000
Checksum failed. Expected: 6bea, Got: 0000
Checksum failed. Expected: 12e7, Got: 0000
Checksum failed. Expected: d3bc, Got: 0000
Checksum failed. Expected: 34c7, Got: 0000
Checksum failed. Expected: 8a37, Got: 0000
Checksum failed. Expected: e7f3, Got: 0000
Checksum failed. Expected: 47fe, Got: 0000
Checksum failed. Expected: 1b1d, Got: 0000
Checksum failed. Expected: 4ab0, Got: 0000
Checksum failed. Expected: a22b, Got: 0000
Checksum failed. Expected: 19ce, Got: 0000
Checksum failed. Expected: ccbc, Got: 0000
Checksum failed. Expected: b775, Got: 0000
Checksum failed. Expected: 9202, Got: 0000
Checksum failed. Expected: cd6c, Got: 0000
Checksum failed. Expected: facf, Got: 0000
Checksum failed. Expected: 6c2a, Got: 0000
Checksum failed. Expected: 71bd, Got: 0000
Checksum failed. Expected: f345, Got: 0000
Checksum failed. Expected: ed0c, Got: 0000
Checksum failed. Expected: 2321, Got: 0000
Checksum failed. Expected: 5710, Got: 0000
Checksum failed. Expected: c95d, Got: 0000
Checksum failed. Expected: a50d, Got: 0000
Checksum failed. Expected: ef78, Got: 0000
Checksum failed. Expected: 797e, Got: 0000
Checksum failed. Expected: ad6d, Got: 0000
Checksum failed. Expected: a0aa, Got: 0000
Checksum failed. Expected: 073b, Got: 0000
Checksum failed. Expected: cf7a, Got: 0000
Checksum failed. Expected: 9059, Got: 0000
Checksum failed. Expected: 05d6, Got: 0000
Checksum failed. Expected: 2aca, Got: 0000
Checksum failed. Expected: 6205, Got: 0000
Checksum failed. Expected: a92b, Got: 0000
Checksum failed. Expected: d8ba, Got: 0000
Checksum failed. Expected: 8421, Got: 0000
Checksum failed. Expected: 1e36, Got: 0000
Checksum failed. Expected: 40e9, Got: 0000
Checksum failed. Expected: bee1, Got: 0000
Checksum failed. Expected: 606c, Got: 0000
Checksum failed. Expected: 4c64, Got: 0000
Checksum failed. Expected: 576f, Got: 0000
Checksum failed. Expected: 30ed, Got: 0000
Checksum failed. Expected: c7cc, Got: 0000
Checksum failed. Expected: 29ff, Got: 0000
Checksum failed. Expected: 0d3a, Got: 0000
Checksum failed. Expected: 4019, Got: 0000
Checksum failed. Expected: 37cb, Got: 0000
Checksum failed. Expected: 0126, Got: 0000
Checksum failed. Expected: 691a, Got: 0000
Checksum failed. Expected: e2d3, Got: 0000
Checksum failed. Expected: 88c4, Got: 0000
Checksum failed. Expected: 92c3, Got: 0000
Checksum failed. Expected: 2782, Got: 0000
Checksum failed. Expected: f87f, Got: 0000
Checksum failed. Expected: 94ae, Got: 0000
Checksum failed. Expected: bbbe, Got: 0000
Checksum failed. Expected: 48ec, Got: 0000
Checksum failed. Expected: edbf, Got: 0000
Checksum failed. Expected: c0ec, Got: 0000
Checksum failed. Expected: 5f53, Got: 0000
Checksum failed. Expected: eeac, Got: 0000
Checksum failed. Expected: 0def, Got: 0000
Checksum failed. Expected: f8d3, Got: 0000
Checksum failed. Expected: f19c, Got: 0000
Checksum failed. Expected: 98a3, Got: 0000
Checksum failed. Expected: b19d, Got: 0000
Checksum failed. Expected: ac7a, Got: 0000
Checksum failed. Expected: f817, Got: 0000
Checksum failed. Expected: b9f4, Got: 0000
Checksum failed. Expected: 1e60, Got: 0000
Checksum failed. Expected: c23b, Got: 0000
Checksum failed. Expected: 528a, Got: 0000
Checksum failed. Expected: 19d5, Got: 0000
Checksum failed. Expected: 532c, Got: 0000
Checksum failed. Expected: e26c, Got: 0000
Checksum failed. Expected: eb2c, Got: 0000
Checksum failed. Expected: 773b, Got: 0000
Checksum failed. Expected: c2c6, Got: 0000
Checksum failed. Expected: 982a, Got: 0000
Checksum failed. Expected: 1877, Got: 0000
Checksum failed. Expected: f320, Got: 0000
Checksum failed. Expected: 34f1, Got: 0000
Checksum failed. Expected: 7e62, Got: 0000
Checksum failed. Expected: 7fc7, Got: 0000
Checksum failed. Expected: e0d6, Got: 0000
Checksum failed. Expected: 039d, Got: 0000
Checksum failed. Expected: b898, Got: 0000
Checksum failed. Expected: 71e9, Got: 0000
Checksum failed. Expected: 5a72, Got: 0000
Checksum failed. Expected: 6ac5, Got: 0000
Checksum failed. Expected: 5aec, Got: 0000
Checksum failed. Expected: 166d, Got: 0000
Checksum failed. Expected: f681, Got: 0000
Checksum failed. Expected: 9c70, Got: 0000
Checksum failed. Expected: 11d4, Got: 0000
Checksum failed. Expected: 0661, Got: 0000
Checksum failed. Expected: 0ae6, Got: 0000
Checksum failed. Expected: 75bf, Got: 0000
Checksum failed. Expected: 11e6, Got: 0000
Checksum failed. Expected: 2b14, Got: 0000
Checksum failed. Expected: 2829, Got: 0000
Checksum failed. Expected: 6a12, Got: 0000
Checksum failed. Expected: fda7, Got: 0000
Checksum failed. Expected: cc47, Got: 0000
Checksum failed. Expected: f234, Got: 0000
Checksum failed. Expected: 2fcd, Got: 0000
Checksum failed. Expected: 0a81, Got: 0000
Checksum failed. Expected: 17c2, Got: 0000
Checksum failed. Expected: 25f7, Got: 0000
Checksum failed. Expected: c258, Got: 0000
Checksum failed. Expected: 671d, Got: 0000
Checksum failed. Expected: 472e, Got: 0000
Checksum failed. Expected: 4fee, Got: 0000
Checksum failed. Expected: 793c, Got: 0000
Checksum failed. Expected: f875, Got: 0000
Checksum failed. Expected: 5648, Got: 0000
Checksum failed. Expected: 4ff8, Got: 0000
Checksum failed. Expected: 9b79, Got: 0000
Checksum failed. Expected: bd2e, Got: 0000
Checksum failed. Expected: 96af, Got: 0000
Checksum failed. Expected: 9d70, Got: 0000
Checksum failed. Expected: a315, Got: 0000
Checksum failed. Expected: a59d, Got: 0000
Checksum failed. Expected: 0d1f, Got: 0000
Checksum failed. Expected: 8080, Got: 0000
Checksum failed. Expected: 7827, Got: 0000
Checksum failed. Expected: fcb4, Got: 0000
Checksum failed. Expected: c521, Got: 0000
Checksum failed. Expected: 77ea, Got: 0000
Checksum failed. Expected: b156, Got: 0000
Checksum failed. Expected: 936d, Got: 0000
Checksum failed. Expected: d202, Got: 0000
Checksum failed. Expected: 9720, Got: 0000
Checksum failed. Expected: db21, Got: 0000
Checksum failed. Expected: d4fa, Got: 0000
Checksum failed. Expected: 292d, Got: 0000
Checksum failed. Expected: 781f, Got: 0000
Checksum failed. Expected: 6944, Got: 0000
Checksum failed. Expected: 4c83, Got: 0000
Checksum failed. Expected: 0914, Got: 0000
Checksum failed. Expected: 9647, Got: 0000
Checksum failed. Expected: 7863, Got: 0000
Checksum failed. Expected: 687a, Got: 0000
Checksum failed. Expected: 84c4, Got: 0000
Checksum failed. Expected: 2781, Got: 0000
Checksum failed. Expected: 098c, Got: 0000
Checksum failed. Expected: a91f, Got: 0000
Checksum failed. Expected: 40ec, Got: 0000
Checksum failed. Expected: 5c31, Got: 0000
Checksum failed. Expected: 101c, Got: 0000
Checksum failed. Expected: afa4, Got: 0000
Checksum failed. Expected: 060d, Got: 0000
Checksum failed. Expected: d39f, Got: 0000
Checksum failed. Expected: c08a, Got: 0000
Checksum failed. Expected: d10b, Got: 0000
Checksum failed. Expected: 8c72, Got: 0000
Checksum failed. Expected: 36b5, Got: 0000
Checksum failed. Expected: 29e7, Got: 0000
Checksum failed. Expected: c94e, Got: 0000
Checksum failed. Expected: ec24, Got: 0000
Checksum failed. Expected: 772f, Got: 0000
Checksum failed. Expected: cc65, Got: 0000
Checksum failed. Expected: a4d6, Got: 0000
Checksum failed. Expected: d7bb, Got: 0000
Checksum failed. Expected: 47ce, Got: 0000
Checksum failed. Expected: 1039, Got: 0000
Checksum failed. Expected: e8bd, Got: 0000
Checksum failed. Expected: b01e, Got: 0000
Checksum failed. Expected: 3b23, Got: 0000
Checksum failed. Expected: 0d2a, Got: 0000
Checksum failed. Expected: 77c8, Got: 0000
Checksum failed. Expected: 55ab, Got: 0000
Checksum failed. Expected: 7736, Got: 0000
Checksum failed. Expected: bc70, Got: 0000
Checksum failed. Expected: c87f, Got: 0000
Checksum failed. Expected: e186, Got: 0000
Checksum failed. Expected: 1cf7, Got: 0000
Checksum failed. Expected: 77a2, Got: 0000
Checksum failed. Expected: 02b3, Got: 0000
Checksum failed. Expected: 1cbe, Got: 0000
Checksum failed. Expected: b4c0, Got: 0000
Checksum failed. Expected: 271a, Got: 0000
Checksum failed. Expected: 2641, Got: 0000
Checksum failed. Expected: b7ca, Got: 0000
Checksum failed. Expected: 98d5, Got: 0000
Checksum failed. Expected: 4992, Got: 0000
Checksum failed. Expected: 9c7d, Got: 0000
Checksum failed. Expected: 3d2d, Got: 0000
Checksum failed. Expected: d1dc, Got: 0000
Checksum failed. Expected: 5bd9, Got: 0000
Checksum failed. Expected: 526f, Got: 0000
Checksum failed. Expected: 9338, Got: 0000
Checksum failed. Expected: 9d31, Got: 0000
Checksum failed. Expected: 4770, Got: 0000
Checksum failed. Expected: 1208, Got: 0000
Checksum failed. Expected: a169, Got: 0000
Checksum failed. Expected: 17e4, Got: 0000
Checksum failed. Expected: e277, Got: 0000
Checksum failed. Expected: a45e, Got: 0000
Checksum failed. Expected: a15a, Got: 0000
Checksum failed. Expected: e42e, Got: 0000
Checksum failed. Expected: 21af, Got: 0000
Checksum failed. Expected: 59e4, Got: 0000
Checksum failed. Expected: 26a6, Got: 0000
Checksum failed. Expected: 78b7, Got: 0000
Checksum failed. Expected: 0d74, Got: 0000
Checksum failed. Expected: df77, Got: 0000
Checksum failed. Expected: 0aba, Got: 0000
Checksum failed. Expected: 9e75, Got: 0000
Checksum failed. Expected: 649e, Got: 0000
Checksum failed. Expected: be43, Got: 0000
Checksum failed. Expected: c94a, Got: 0000
Checksum failed. Expected: 1097, Got: 0000
Checksum failed. Expected: 6170, Got: 0000
Checksum failed. Expected: 56dd, Got: 0000
Checksum failed. Expected: 8cf0, Got: 0000
Checksum failed. Expected: 5f0f, Got: 0000
Checksum failed. Expected: 850f, Got: 0000
Checksum failed. Expected: 8776, Got: 0000
Checksum failed. Expected: 44ea, Got: 0000
Checksum failed. Expected: 07f3, Got: 0000
Checksum failed. Expected: 469e, Got: 0000
Checksum failed. Expected: 6fd3, Got: 0000
Checksum failed. Expected: 1c2c, Got: 0000
Checksum failed. Expected: 6272, Got: 0000
Checksum failed. Expected: 54c1, Got: 0000
Checksum failed. Expected: b190, Got: 0000
Checksum failed. Expected: bb83, Got: 0000
Checksum failed. Expected: 5df9, Got: 0000
Checksum failed. Expected: eb36, Got: 0000
Checksum failed. Expected: 0223, Got: 0000
Checksum failed. Expected: fbf3, Got: 0000
Checksum failed. Expected: bab8, Got: 0000
Checksum failed. Expected: f405, Got: 0000
Checksum failed. Expected: 450e, Got: 0000
Checksum failed. Expected: ad89, Got: 0000
Checksum failed. Expected: 5386, Got: 0000
Checksum failed. Expected: 2ad4, Got: 0000
Checksum failed. Expected: b718, Got: 0000
Checksum failed. Expected: b987, Got: 0000
Checksum failed. Expected: b240, Got: 0000
Checksum failed. Expected: d6f6, Got: 0000
Checksum failed. Expected: 249b, Got: 0000
Checksum failed. Expected: 09ef, Got: 0000
Checksum failed. Expected: 20f5, Got: 0000
Checksum failed. Expected: ad2a, Got: 0000
Checksum failed. Expected: fcef, Got: 0000
Checksum failed. Expected: 9a50, Got: 0000
Checksum failed. Expected: 2e03, Got: 0000
Checksum failed. Expected: 102c, Got: 0000
Checksum failed. Expected: 5782, Got: 0000
Checksum failed. Expected: aed3, Got: 0000
Checksum failed. Expected: 084e, Got: 0000
Checksum failed. Expected: 1cfa, Got: 0000
Checksum failed. Expected: 99fd, Got: 0000
Checksum failed. Expected: ee4e, Got: 0000
Checksum failed. Expected: 5e67, Got: 0000
Checksum failed. Expected: 0ae3, Got: 0000
Checksum failed. Expected: f8d2, Got: 0000
Checksum failed. Expected: b00b, Got: 0000
Checksum failed. Expected: c7f0, Got: 0000
Checksum failed. Expected: 96c7, Got: 0000
Checksum failed. Expected: 2fc1, Got: 0000
Checksum failed. Expected: 606a, Got: 0000
Checksum failed. Expected: 7ed8, Got: 0000
Checksum failed. Expected: 5207, Got: 0000
Checksum failed. Expected: 67a8, Got: 0000
Checksum failed. Expected: ffab, Got: 0000
Checksum failed. Expected: 417e, Got: 0000
Checksum failed. Expected: 0d23, Got: 0000
Checksum failed. Expected: 386c, Got: 0000
Checksum failed. Expected: 49f8, Got: 0000
Checksum failed. Expected: 6871, Got: 0000
Checksum failed. Expected: 14b1, Got: 0000
Checksum failed. Expected: 6b10, Got: 0000
Checksum failed. Expected: 2acd, Got: 0000
Checksum failed. Expected: 584a, Got: 0000
Checksum failed. Expected: 68b9, Got: 0000
Checksum failed. Expected: b2ff, Got: 0000
Checksum failed. Expected: 9504, Got: 0000
Checksum failed. Expected: 4c42, Got: 0000
Checksum failed. Expected: 1a03, Got: 0000
Checksum failed. Expected: f7c9, Got: 0000
Checksum failed. Expected: 0506, Got: 0000
Checksum failed. Expected: 8bc1, Got: 0000
Checksum failed. Expected: b08e, Got: 0000
Checksum failed. Expected: 1827, Got: 0000
Checksum failed. Expected: aabf, Got: 0000
Checksum failed. Expected: 7de6, Got: 0000
Checksum failed. Expected: 588b, Got: 0000
Checksum failed. Expected: a75c, Got: 0000
Checksum failed. Expected: 3582, Got: 0000
Checksum failed. Expected: 0f1d, Got: 0000
Checksum failed. Expected: 2d60, Got: 0000
Checksum failed. Expected: 2a8a, Got: 0000
Checksum failed. Expected: fd97, Got: 0000
Checksum failed. Expected: 845a, Got: 0000
Checksum failed. Expected: f485, Got: 0000
Checksum failed. Expected: a1f4, Got: 0000
Checksum failed. Expected: a363, Got: 0000
Checksum failed. Expected: c4ec, Got: 0000
Checksum failed. Expected: 31e8, Got: 0000
Checksum failed. Expected: 7d84, Got: 0000
Checksum failed. Expected: c3a9, Got: 0000
Checksum failed. Expected: 5544, Got: 0000
Checksum failed. Expected: 7b29, Got: 0000
Checksum failed. Expected: f3e4, Got: 0000
Checksum failed. Expected: 7fd1, Got: 0000
Checksum failed. Expected: fad5, Got: 0000
Checksum failed. Expected: 513a, Got: 0000
Checksum failed. Expected: b255, Got: 0000
Checksum failed. Expected: 5c81, Got: 0000
Checksum failed. Expected: 371e, Got: 0000
Checksum failed. Expected: 6af9, Got: 0000
Checksum failed. Expected: 6e8c, Got: 0000
Checksum failed. Expected: b2a6, Got: 0000
Checksum failed. Expected: 84bd, Got: 0000
Checksum failed. Expected: 2986, Got: 0000
Checksum failed. Expected: 0eed, Got: 0000
Checksum failed. Expected: 6218, Got: 0000
Checksum failed. Expected: 06d2, Got: 0000
