
#################################################################
Log started at 2025-06-12_14-00-52 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: cf7e, Got: 1275
Checksum failed. Expected: 0184, Got: b5bc
Checksum failed. Expected: 3ff8, Got: cdbc
Checksum failed. Expected: 1399, Got: 0bbc
Checksum failed. Expected: c63a, Got: 74bc
Checksum failed. Expected: 94cf, Got: 94bc
Checksum failed. Expected: 35b6, Got: c4bc
Checksum failed. Expected: 6bb7, Got: 26bc
Checksum failed. Expected: 4279, Got: 66bc
Checksum failed. Expected: c935, Got: fcbc
Checksum failed. Expected: 72d2, Got: d0bc
Checksum failed. Expected: fb02, Got: 99bc
Checksum failed. Expected: 6f37, Got: 53bc
Checksum failed. Expected: ec12, Got: 2bbc
Checksum failed. Expected: e08b, Got: 86bc
Checksum failed. Expected: ddcb, Got: 4bbc
Checksum failed. Expected: c4e4, Got: f0bc
Checksum failed. Expected: c22f, Got: 2cbc
Checksum failed. Expected: 4a75, Got: 82bc
Checksum failed. Expected: 3f5e, Got: 31bc
Checksum failed. Expected: aea4, Got: e2bc
Checksum failed. Expected: 20d4, Got: ccbc
Checksum failed. Expected: 16bf, Got: dabc
Checksum failed. Expected: d8a8, Got: abbc
Checksum failed. Expected: 35f1, Got: b5bc
Checksum failed. Expected: 8de4, Got: febc
Checksum failed. Expected: 7a3f, Got: dbbc
Checksum failed. Expected: 657c, Got: d2bc
Checksum failed. Expected: 6c6e, Got: c5bc
Checksum failed. Expected: b227, Got: 6ebc
Checksum failed. Expected: b9ad, Got: 6abc
Checksum failed. Expected: e404, Got: edbc
Checksum failed. Expected: 5003, Got: 27bc
Checksum failed. Expected: cf40, Got: b4bc
Checksum failed. Expected: 1d72, Got: 71bc
Checksum failed. Expected: c4d9, Got: e8bc
Checksum failed. Expected: 9f93, Got: b2bc
Checksum failed. Expected: f5cb, Got: 4cbc
Checksum failed. Expected: 372c, Got: 94bc
Checksum failed. Expected: 6fcc, Got: f3bc
Checksum failed. Expected: 505e, Got: 4ebc
