
#################################################################
Log started at 2025-06-16_09-24-54.581928 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 55ef, Got: 5400
Checksum failed. Expected: 6dbd, Got: 8300
Checksum failed. Expected: 2b30, Got: b300
Checksum failed. Expected: c895, Got: e200
Checksum failed. Expected: 000a, Got: 1100
Checksum failed. Expected: 2354, Got: 4000
Checksum failed. Expected: 6147, Got: 6f00
Checksum failed. Expected: 96c0, Got: 9e00
Checksum failed. Expected: e4b8, Got: cd00
Checksum failed. Expected: 44a9, Got: fc00
Checksum failed. Expected: e98b, Got: 2b00
Checksum failed. Expected: 2fcc, Got: 5a00
Checksum failed. Expected: be7e, Got: 8a00
Checksum failed. Expected: bc9e, Got: b900
Checksum failed. Expected: 3622, Got: e800
Checksum failed. Expected: d7e9, Got: 1700
Checksum failed. Expected: 0b32, Got: 4600
Checksum failed. Expected: 89ce, Got: 7500
Checksum failed. Expected: e338, Got: a400
Checksum failed. Expected: 7735, Got: d300
Checksum failed. Expected: 216e, Got: 0200
Checksum failed. Expected: d428, Got: 3200
Checksum failed. Expected: 6601, Got: 6100
Checksum failed. Expected: 2f2e, Got: 9000
Checksum failed. Expected: 280a, Got: bf00
Checksum failed. Expected: 56f7, Got: ee00
Checksum failed. Expected: c070, Got: 1d00
Checksum failed. Expected: 6aa3, Got: 4c00
Checksum failed. Expected: 3c42, Got: 7b00
Checksum failed. Expected: 8814, Got: aa00
Checksum failed. Expected: b84a, Got: d900
Checksum failed. Expected: 8acf, Got: 0900
Checksum failed. Expected: 5f5e, Got: 3800
Checksum failed. Expected: c38b, Got: 6700
Checksum failed. Expected: 9eb1, Got: 9600
Checksum failed. Expected: 9799, Got: c500
Checksum failed. Expected: 5b73, Got: f400
Checksum failed. Expected: 15b1, Got: 2300
Checksum failed. Expected: 12b5, Got: 5200
Checksum failed. Expected: 45ed, Got: 8100
Checksum failed. Expected: 167d, Got: b000
Checksum failed. Expected: ec58, Got: e000
Checksum failed. Expected: 03e1, Got: 0f00
Checksum failed. Expected: f879, Got: 3e00
Checksum failed. Expected: 3ef1, Got: 6d00
Checksum failed. Expected: dc8d, Got: 9c00
Checksum failed. Expected: b034, Got: cb00
Checksum failed. Expected: 72e3, Got: fa00
Checksum failed. Expected: 2276, Got: 2900
Checksum failed. Expected: 7372, Got: 5800
Checksum failed. Expected: 483e, Got: 8800
Checksum failed. Expected: 235e, Got: b700
Checksum failed. Expected: abb0, Got: e600
Checksum failed. Expected: b246, Got: 1500
Checksum failed. Expected: 73d2, Got: 4400
Checksum failed. Expected: ad89, Got: 7300
Checksum failed. Expected: 57d0, Got: a200
Checksum failed. Expected: c375, Got: d100
Checksum failed. Expected: bb29, Got: 0000
Checksum failed. Expected: a0b1, Got: 2f00
Checksum failed. Expected: 1710, Got: 5f00
Checksum failed. Expected: ce07, Got: 8e00
Checksum failed. Expected: a600, Got: bd00
Checksum failed. Expected: e4f3, Got: ec00
Checksum failed. Expected: 3931, Got: 1b00
Checksum failed. Expected: a8e3, Got: 4a00
Checksum failed. Expected: 17ac, Got: 7900
Checksum failed. Expected: b009, Got: a800
Checksum failed. Expected: 2dad, Got: d700
Checksum failed. Expected: f7c6, Got: 0700
Checksum failed. Expected: fd4a, Got: 3600
Checksum failed. Expected: 490f, Got: 6500
Checksum failed. Expected: 4627, Got: 7565
Checksum failed. Expected: 9855, Got: 7565
Checksum failed. Expected: 3a99, Got: 7565
Checksum failed. Expected: 6af9, Got: 7565
Checksum failed. Expected: 8733, Got: 7565
Checksum failed. Expected: e3eb, Got: 7565
Checksum failed. Expected: 3997, Got: 7565
Checksum failed. Expected: cab9, Got: 7565
Checksum failed. Expected: 3d9f, Got: 7565
Checksum failed. Expected: 63eb, Got: 7565
Checksum failed. Expected: b48d, Got: 7565
Checksum failed. Expected: ab7b, Got: 7565
Checksum failed. Expected: 4fc3, Got: 7565
Checksum failed. Expected: 48b5, Got: 7565
Checksum failed. Expected: dddf, Got: 7565
Checksum failed. Expected: dbdb, Got: 7565
Checksum failed. Expected: fe21, Got: 7565
Checksum failed. Expected: cdbf, Got: 7565
Checksum failed. Expected: 7c1d, Got: 7565
Checksum failed. Expected: 0127, Got: 7565
Checksum failed. Expected: f713, Got: 7565
Checksum failed. Expected: 2269, Got: 7565
Checksum failed. Expected: c1a7, Got: 7565
Checksum failed. Expected: 134b, Got: 7565
Checksum failed. Expected: ac7d, Got: 7565
Checksum failed. Expected: 3691, Got: 7565
Checksum failed. Expected: 8631, Got: 7565
Checksum failed. Expected: ecfd, Got: 7565
Checksum failed. Expected: 51c7, Got: 7565
Checksum failed. Expected: 1957, Got: 7565
Checksum failed. Expected: 3a99, Got: 7565
Checksum failed. Expected: f005, Got: 7565
Checksum failed. Expected: a56f, Got: 7565
Checksum failed. Expected: 7815, Got: 7565
Checksum failed. Expected: 0025, Got: 7565
Checksum failed. Expected: 9249, Got: 7565
Checksum failed. Expected: 0e41, Got: 7565
Checksum failed. Expected: d7d3, Got: 7565
Checksum failed. Expected: 0127, Got: 7565
Checksum failed. Expected: 9e61, Got: 7565
Checksum failed. Expected: 2065, Got: 7565
Checksum failed. Expected: 750f, Got: 7565
Checksum failed. Expected: 6e01, Got: 7565
Checksum failed. Expected: b793, Got: 7565
Checksum failed. Expected: 730b, Got: 7565
Checksum failed. Expected: 2a79, Got: 7565
Checksum failed. Expected: a875, Got: 7565
Checksum failed. Expected: 4ec1, Got: 7565
Checksum failed. Expected: 6dff, Got: 7565
Checksum failed. Expected: ef03, Got: 7565
Checksum failed. Expected: d5cf, Got: 7565
Checksum failed. Expected: aa79, Got: 7565
Checksum failed. Expected: f40d, Got: 7565
Checksum failed. Expected: 852f, Got: 7565
Checksum failed. Expected: bb9b, Got: 7565
Checksum failed. Expected: 6bfb, Got: 7565
Checksum failed. Expected: f40d, Got: 7565
Checksum failed. Expected: 2167, Got: 7565
Checksum failed. Expected: 0c3d, Got: 7565
Checksum failed. Expected: 4cbd, Got: 7565
Checksum failed. Expected: 0025, Got: 7565
Checksum failed. Expected: 1753, Got: 7565
Checksum failed. Expected: d6d1, Got: 7565
Checksum failed. Expected: aa79, Got: 7565
Checksum failed. Expected: 69f7, Got: 7565
Checksum failed. Expected: 144d, Got: 7565
Checksum failed. Expected: 2269, Got: 7565
Checksum failed. Expected: 2065, Got: 7565
Checksum failed. Expected: 4ec1, Got: 7565
Checksum failed. Expected: 3fa3, Got: 7565
Checksum failed. Expected: d5cf, Got: 7565
Checksum failed. Expected: 9f63, Got: 7565
Checksum failed. Expected: 2d7f, Got: 7565
Checksum failed. Expected: 8937, Got: 7565
Checksum failed. Expected: 4ab9, Got: 7565
Checksum failed. Expected: 56d1, Got: 7565
Checksum failed. Expected: 8937, Got: 7565
Checksum failed. Expected: 750f, Got: 7565
Checksum failed. Expected: 042d, Got: 7565
Checksum failed. Expected: 5ee1, Got: 7565
Checksum failed. Expected: b48d, Got: 7565
Checksum failed. Expected: 7209, Got: 7565
Checksum failed. Expected: e4ed, Got: 7565
Checksum failed. Expected: ccbd, Got: 7565
Checksum failed. Expected: c7b3, Got: 7565
Checksum failed. Expected: 66f1, Got: 7565
Checksum failed. Expected: f209, Got: 7565
Checksum failed. Expected: 6dff, Got: 7565
Checksum failed. Expected: e2e9, Got: 7565
Checksum failed. Expected: a773, Got: 7565
Checksum failed. Expected: 44b7, Got: 0000
Checksum failed. Expected: cfa3, Got: 0000
Checksum failed. Expected: e39b, Got: 0000
Checksum failed. Expected: 8e17, Got: 0000
Checksum failed. Expected: 273f, Got: 0000
Checksum failed. Expected: 0226, Got: 0000
Checksum failed. Expected: 5579, Got: 0000
Checksum failed. Expected: 29fe, Got: 0000
Checksum failed. Expected: 367f, Got: 0000
Checksum failed. Expected: 8e2b, Got: 0000
Checksum failed. Expected: 47a6, Got: 0000
Checksum failed. Expected: 1f39, Got: 0000
Checksum failed. Expected: f07b, Got: 0000
Checksum failed. Expected: 41af, Got: 0000
Checksum failed. Expected: 194c, Got: 0000
Checksum failed. Expected: 4b5a, Got: 0000
Checksum failed. Expected: 3685, Got: 0000
Checksum failed. Expected: cc95, Got: 0000
Checksum failed. Expected: 04ff, Got: 0000
Checksum failed. Expected: eaad, Got: 0000
Checksum failed. Expected: 1641, Got: 0000
Checksum failed. Expected: 3d8f, Got: 0000
Checksum failed. Expected: 3042, Got: 0000
Checksum failed. Expected: c897, Got: 0000
Checksum failed. Expected: 6508, Got: 0000
Checksum failed. Expected: 15bb, Got: 0000
Checksum failed. Expected: cb17, Got: 0000
Checksum failed. Expected: fc19, Got: 0000
Checksum failed. Expected: c4b9, Got: 0000
Checksum failed. Expected: a2f2, Got: 0000
Checksum failed. Expected: d1d7, Got: 0000
Checksum failed. Expected: 0d7f, Got: 0000
Checksum failed. Expected: 000f, Got: 0000
Checksum failed. Expected: 7f8d, Got: 0000
Checksum failed. Expected: 0e1c, Got: 0000
Checksum failed. Expected: 6385, Got: 0000
Checksum failed. Expected: 913d, Got: 0000
Checksum failed. Expected: 628c, Got: 0000
Checksum failed. Expected: 6bc7, Got: 0000
Checksum failed. Expected: 2f09, Got: 0000
Checksum failed. Expected: ba5f, Got: 0000
Checksum failed. Expected: 874b, Got: 0000
Checksum failed. Expected: b503, Got: 0000
Checksum failed. Expected: a676, Got: 0000
Checksum failed. Expected: 31c6, Got: 0000
Checksum failed. Expected: 9455, Got: 0000
Checksum failed. Expected: c30f, Got: 0000
Checksum failed. Expected: 6b5b, Got: 0000
Checksum failed. Expected: 05bf, Got: 0000
Checksum failed. Expected: 38e5, Got: 0000
Checksum failed. Expected: 21d7, Got: 0000
