
#################################################################
Log started at 2025-06-12_16-18-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: cf7f, Got: 40a3
Checksum failed. Expected: 831f, Got: 40a3
Checksum failed. Expected: fce7, Got: 40a3
Checksum failed. Expected: 79cf, Got: 40a3
Checksum failed. Expected: a637, Got: 40a3
Checksum failed. Expected: b4a7, Got: 40a3
Checksum failed. Expected: af7f, Got: 40a3
Checksum failed. Expected: bad7, Got: 40a3
Checksum failed. Expected: 2637, Got: 40a3
Checksum failed. Expected: b39f, Got: 40a3
Checksum failed. Expected: dfff, Got: 40a3
Checksum failed. Expected: 36b7, Got: 40a3
Checksum failed. Expected: 452f, Got: 40a3
Checksum failed. Expected: 4f7f, Got: 40a3
Checksum failed. Expected: 5087, Got: 40a3
Checksum failed. Expected: a73f, Got: 40a3
Checksum failed. Expected: ca57, Got: 40a3
Checksum failed. Expected: f4a7, Got: 40a3
Checksum failed. Expected: 118f, Got: 40a3
Checksum failed. Expected: f087, Got: 40a3
Checksum failed. Expected: ac67, Got: 40a3
Checksum failed. Expected: fce7, Got: 40a3
Checksum failed. Expected: 210f, Got: 40a3
Checksum failed. Expected: ad6f, Got: 40a3
Checksum failed. Expected: 2a57, Got: 40a3
Checksum failed. Expected: 59cf, Got: 40a3
Checksum failed. Expected: 16b7, Got: 40a3
Checksum failed. Expected: a73f, Got: 40a3
Checksum failed. Expected: 39cf, Got: 40a3
Checksum failed. Expected: f39f, Got: 40a3
Checksum failed. Expected: e94f, Got: 40a3
Checksum failed. Expected: 118f, Got: 40a3
Checksum failed. Expected: 518f, Got: 40a3
Checksum failed. Expected: 7def, Got: 40a3
Checksum failed. Expected: 4a57, Got: 40a3
Checksum failed. Expected: 2847, Got: 40a3
Checksum failed. Expected: 6c67, Got: 40a3
Checksum failed. Expected: a847, Got: 40a3
Checksum failed. Expected: 38c7, Got: 40a3
Checksum failed. Expected: c31f, Got: 40a3
Checksum failed. Expected: 610f, Got: 40a3
Checksum failed. Expected: 8d6f, Got: 40a3
Checksum failed. Expected: e94f, Got: 40a3
Checksum failed. Expected: e637, Got: 40a3
Checksum failed. Expected: 8c67, Got: 40a3
Checksum failed. Expected: 6f7f, Got: 40a3
Checksum failed. Expected: 9fff, Got: 40a3
Checksum failed. Expected: c94f, Got: 40a3
Checksum failed. Expected: aa57, Got: 40a3
Checksum failed. Expected: 9ad7, Got: 40a3
Checksum failed. Expected: 19cf, Got: 40a3
Checksum failed. Expected: 2637, Got: 40a3
Checksum failed. Expected: 0f7f, Got: 40a3
Checksum failed. Expected: 8c67, Got: 40a3
Checksum failed. Expected: 57bf, Got: 40a3
Checksum failed. Expected: 8637, Got: 40a3
Checksum failed. Expected: cd6f, Got: 40a3
Checksum failed. Expected: 0f7f, Got: 40a3
Checksum failed. Expected: c427, Got: 40a3
Checksum failed. Expected: d087, Got: 40a3
Checksum failed. Expected: 539f, Got: 40a3
Checksum failed. Expected: 2007, Got: 40a3
Checksum failed. Expected: 7ad7, Got: 40a3
Checksum failed. Expected: b297, Got: 40a3
Checksum failed. Expected: 052f, Got: 40a3
Checksum failed. Expected: 2007, Got: 40a3
Checksum failed. Expected: 4b5f, Got: 40a3
Checksum failed. Expected: 1ef7, Got: 40a3
Checksum failed. Expected: 59cf, Got: 40a3
Checksum failed. Expected: b087, Got: 40a3
Checksum failed. Expected: 0427, Got: 40a3
Checksum failed. Expected: 0d6f, Got: 40a3
Checksum failed. Expected: e52f, Got: 40a3
Checksum failed. Expected: ac67, Got: 40a3
Checksum failed. Expected: bef7, Got: 40a3
Checksum failed. Expected: b39f, Got: 40a3
Checksum failed. Expected: aa57, Got: 40a3
Checksum failed. Expected: 0b5f, Got: 40a3
Checksum failed. Expected: 2637, Got: 40a3
Checksum failed. Expected: 4a57, Got: 40a3
Checksum failed. Expected: 5ce7, Got: 40a3
Checksum failed. Expected: 410f, Got: 40a3
Checksum failed. Expected: ac67, Got: 40a3
Checksum failed. Expected: 9fff, Got: 40a3
Checksum failed. Expected: 7297, Got: 40a3
Checksum failed. Expected: 273f, Got: 40a3
Checksum failed. Expected: 5ad7, Got: 40a3
Checksum failed. Expected: 7def, Got: 40a3
Checksum failed. Expected: 6b5f, Got: 40a3
Checksum failed. Expected: eb5f, Got: 40a3
Checksum failed. Expected: 4427, Got: 40a3
Checksum failed. Expected: b297, Got: 40a3
Checksum failed. Expected: ca57, Got: 40a3
Checksum failed. Expected: b4a7, Got: 40a3
Checksum failed. Expected: 518f, Got: 40a3
Checksum failed. Expected: bfff, Got: 40a3
Checksum failed. Expected: b087, Got: 40a3
Checksum failed. Expected: 3fff, Got: 40a3
Checksum failed. Expected: cb5f, Got: 40a3
Checksum failed. Expected: 894f, Got: 40a3
Checksum failed. Expected: fce7, Got: 40a3
Checksum failed. Expected: bbdf, Got: 40a3
Checksum failed. Expected: f4a7, Got: 40a3
Checksum failed. Expected: 7bdf, Got: 40a3
Checksum failed. Expected: a94f, Got: 40a3
Checksum failed. Expected: 38c7, Got: 40a3
Checksum failed. Expected: 718f, Got: 40a3
Checksum failed. Expected: c31f, Got: 40a3
Checksum failed. Expected: 3ef7, Got: 40a3
Checksum failed. Expected: f7bf, Got: 40a3
Checksum failed. Expected: 5297, Got: 40a3
Checksum failed. Expected: 1fff, Got: 40a3
Checksum failed. Expected: 031f, Got: 40a3
Checksum failed. Expected: 718f, Got: 40a3
Checksum failed. Expected: ac67, Got: 40a3
Checksum failed. Expected: 473f, Got: 40a3
Checksum failed. Expected: 2a57, Got: 40a3
Checksum failed. Expected: 8b5f, Got: 40a3
Checksum failed. Expected: 39cf, Got: 40a3
Checksum failed. Expected: ee77, Got: 40a3
Checksum failed. Expected: 6a57, Got: 40a3
Checksum failed. Expected: 852f, Got: 40a3
Checksum failed. Expected: d6b7, Got: 40a3
Checksum failed. Expected: 95af, Got: 40a3
Checksum failed. Expected: 4a57, Got: 40a3
Checksum failed. Expected: f5af, Got: 40a3
Checksum failed. Expected: 8d6f, Got: 40a3
Checksum failed. Expected: 8b5f, Got: 40a3
Checksum failed. Expected: 873f, Got: 40a3
Checksum failed. Expected: 873f, Got: 40a3
Checksum failed. Expected: f9cf, Got: 40a3
Checksum failed. Expected: bce7, Got: 40a3
Checksum failed. Expected: dfff, Got: 40a3
Checksum failed. Expected: f7bf, Got: 40a3
Checksum failed. Expected: 1ef7, Got: 40a3
Checksum failed. Expected: 8b5f, Got: 40a3
Checksum failed. Expected: 17bf, Got: 40a3
Checksum failed. Expected: ea57, Got: 40a3
Checksum failed. Expected: 3def, Got: 40a3
Checksum failed. Expected: fdef, Got: 40a3
Checksum failed. Expected: 6a57, Got: 40a3
Checksum failed. Expected: 7ad7, Got: 40a3
Checksum failed. Expected: 210f, Got: 40a3
Checksum failed. Expected: a52f, Got: 40a3
Checksum failed. Expected: c94f, Got: 40a3
Checksum failed. Expected: 2e77, Got: 40a3
Checksum failed. Expected: a31f, Got: 40a3
Checksum failed. Expected: b18f, Got: 40a3
Checksum failed. Expected: cd6f, Got: 40a3
Checksum failed. Expected: 4637, Got: 40a3
Checksum failed. Expected: 1bdf, Got: 40a3
Checksum failed. Expected: 5ad7, Got: 40a3
Checksum failed. Expected: 57bf, Got: 40a3
Checksum failed. Expected: 294f, Got: 40a3
Checksum failed. Expected: 8847, Got: 40a3
Checksum failed. Expected: 4007, Got: 40a3
Checksum failed. Expected: ffff, Got: 40a3
Checksum failed. Expected: a31f, Got: 40a3
Checksum failed. Expected: 7ef7, Got: 40a3
Checksum failed. Expected: 17bf, Got: 40a3
Checksum failed. Expected: 3ce7, Got: 40a3
Checksum failed. Expected: 4b5f, Got: 40a3
Checksum failed. Expected: 6847, Got: 40a3
Checksum failed. Expected: 5fff, Got: 40a3
Checksum failed. Expected: ed6f, Got: 40a3
Checksum failed. Expected: def7, Got: 40a3
Checksum failed. Expected: 17bf, Got: 40a3
Checksum failed. Expected: 4a57, Got: 40a3
Checksum failed. Expected: b18f, Got: 40a3
Checksum failed. Expected: 4e77, Got: 40a3
Checksum failed. Expected: 2217, Got: 40a3
