
#################################################################
Log started at 2025-06-12_13-57-21 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 7433, Got: 048f
Checksum failed. Expected: 2d04, Got: 04f1
Checksum failed. Expected: 852c, Got: 3f80
Checksum failed. Expected: f452, Got: 3f7f
Checksum failed. Expected: 1df9, Got: 3f7f
Checksum failed. Expected: 119e, Got: 3f80
Checksum failed. Expected: df88, Got: 3f80
Checksum failed. Expected: a991, Got: 3f7f
Checksum failed. Expected: 6b18, Got: 3f7f
Checksum failed. Expected: 37c1, Got: 3f7f
Checksum failed. Expected: 2e6f, Got: 3f80
Checksum failed. Expected: a70c, Got: 3f80
Checksum failed. Expected: 8d84, Got: 3f7f
Checksum failed. Expected: cafc, Got: 3f7f
Checksum failed. Expected: ee6f, Got: 3f7f
Checksum failed. Expected: 0c67, Got: 3f7f
Checksum failed. Expected: f204, Got: 3f7f
Checksum failed. Expected: 27d9, Got: 3f80
Checksum failed. Expected: 4423, Got: 3f7f
Checksum failed. Expected: c3de, Got: 3f7f
Checksum failed. Expected: da07, Got: 3f80
Checksum failed. Expected: 835d, Got: 3f80
Checksum failed. Expected: d5fe, Got: 3f7f
Checksum failed. Expected: 40c2, Got: 3f7f
Checksum failed. Expected: 4fb1, Got: 3f7f
Checksum failed. Expected: b699, Got: 3f7f
Checksum failed. Expected: 111b, Got: 3f80
Checksum failed. Expected: 9268, Got: 3f7f
Checksum failed. Expected: 99ff, Got: 3f7f
Checksum failed. Expected: 8585, Got: 3f7f
Checksum failed. Expected: 8e71, Got: 3f7f
Checksum failed. Expected: 5e9f, Got: 3f7f
Checksum failed. Expected: ba0e, Got: 3f7f
Checksum failed. Expected: af46, Got: 3f7f
Checksum failed. Expected: cc3d, Got: 3f7f
Checksum failed. Expected: fa93, Got: 3f80
Checksum failed. Expected: 1f94, Got: 3f80
Checksum failed. Expected: 546d, Got: 3f7f
Checksum failed. Expected: e2e5, Got: 3f7f
Checksum failed. Expected: 10c1, Got: 3f80
Checksum failed. Expected: 6a0b, Got: 3f7f
Checksum failed. Expected: 648b, Got: 3f7f
Checksum failed. Expected: abac, Got: 3f80
Checksum failed. Expected: 0c7a, Got: 3f7f
Checksum failed. Expected: f4ad, Got: 3f7f
Checksum failed. Expected: f91b, Got: 3f7f
Checksum failed. Expected: 335d, Got: 3f80
Checksum failed. Expected: db15, Got: 3f7f
Checksum failed. Expected: 7495, Got: 3f7f
Checksum failed. Expected: 0133, Got: 3f7f
Checksum failed. Expected: b816, Got: 3f80
Checksum failed. Expected: 9cab, Got: 3f80
Checksum failed. Expected: 540b, Got: 3f7f
Checksum failed. Expected: d905, Got: 3f7f
Checksum failed. Expected: aa9b, Got: 3f80
Checksum failed. Expected: c72f, Got: 3f7f
Checksum failed. Expected: 6b08, Got: 3f80
Checksum failed. Expected: 4e10, Got: 3f80
Checksum failed. Expected: d231, Got: 3f7f
Checksum failed. Expected: 74d1, Got: 3f7f
Checksum failed. Expected: 8882, Got: 3f7f
Checksum failed. Expected: 416c, Got: 3f7f
Checksum failed. Expected: 4329, Got: 3f7f
Checksum failed. Expected: 25e1, Got: 3f7f
Checksum failed. Expected: 9531, Got: 3f7f
Checksum failed. Expected: 0a5f, Got: 3f7f
Checksum failed. Expected: 625b, Got: 3f7f
Checksum failed. Expected: 22ee, Got: 3f7f
Checksum failed. Expected: 078d, Got: 3f7f
Checksum failed. Expected: 1608, Got: 3f80
Checksum failed. Expected: 6bd8, Got: 3f7f
