
#################################################################
Log started at 2025-06-12_13-41-01 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 639c, Got: 0000
Checksum failed. Expected: aca0, Got: 0000
Checksum failed. Expected: 6331, Got: 0000
Checksum failed. Expected: 111f, Got: 0000
Checksum failed. Expected: a633, Got: 0000
Checksum failed. Expected: 78b2, Got: 0000
Checksum failed. Expected: 5a66, Got: 0000
Checksum failed. Expected: 2f43, Got: 0000
Checksum failed. Expected: 81ac, Got: 0000
Checksum failed. Expected: 5de5, Got: 0000
Checksum failed. Expected: d1dc, Got: 0000
Checksum failed. Expected: 6e8d, Got: 0000
Checksum failed. Expected: 0823, Got: 0000
Checksum failed. Expected: bfdb, Got: 0000
Checksum failed. Expected: e893, Got: 0000
Checksum failed. Expected: 6ec2, Got: 0000
Checksum failed. Expected: 151d, Got: 0000
Checksum failed. Expected: 0c44, Got: 0000
Checksum failed. Expected: cb88, Got: 0000
Checksum failed. Expected: f762, Got: 0000

Exiting...
