
#################################################################
Log started at 2025-06-13_16-08-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: f99c, Got: bd82
Checksum failed. Expected: ac2d, Got: bd82
Checksum failed. Expected: 8cb9, Got: bd81
Checksum failed. Expected: f908, Got: bd81
Checksum failed. Expected: 56f2, Got: bd82
Checksum failed. Expected: 24db, Got: bd82
Checksum failed. Expected: debe, Got: bd82
Checksum failed. Expected: c7f2, Got: bd84
Checksum failed. Expected: 2dae, Got: bd82
Checksum failed. Expected: ae82, Got: bd83
Checksum failed. Expected: 716d, Got: bd84
Checksum failed. Expected: 6845, Got: bd84
Checksum failed. Expected: f675, Got: bd84
Checksum failed. Expected: 9a37, Got: bd83
Checksum failed. Expected: 1248, Got: bd82
Checksum failed. Expected: 8a42, Got: bd82
Checksum failed. Expected: 262c, Got: bd83
Checksum failed. Expected: f232, Got: bd82
Checksum failed. Expected: 64b9, Got: bd83
Checksum failed. Expected: 80ea, Got: bd84
Checksum failed. Expected: 48ae, Got: bd81
Checksum failed. Expected: 6b24, Got: bd80
Checksum failed. Expected: bd6c, Got: bd82
Checksum failed. Expected: 9a2c, Got: bd82
Checksum failed. Expected: c751, Got: bd82
Checksum failed. Expected: cbc9, Got: bd81
Checksum failed. Expected: c14f, Got: bd81
Checksum failed. Expected: 8cd1, Got: bd82
Checksum failed. Expected: 6277, Got: bd82
Checksum failed. Expected: 7442, Got: bd82
Checksum failed. Expected: 3b26, Got: bd82
Checksum failed. Expected: 675f, Got: bd81
Checksum failed. Expected: 1c19, Got: bd81
Checksum failed. Expected: 6229, Got: bd80
Checksum failed. Expected: d40b, Got: bd7e
Checksum failed. Expected: 716f, Got: bd80
Checksum failed. Expected: 2f65, Got: bd83
Checksum failed. Expected: ebbf, Got: bd82
Checksum failed. Expected: 8708, Got: bd82
Checksum failed. Expected: 8347, Got: bd82
Checksum failed. Expected: 00cb, Got: bd81
Checksum failed. Expected: 93c2, Got: bd81
Checksum failed. Expected: 71c9, Got: bd81
Checksum failed. Expected: 9938, Got: bd82
Checksum failed. Expected: c9fa, Got: bd82
Checksum failed. Expected: f47a, Got: bd82
Checksum failed. Expected: 3dfb, Got: bd83
Checksum failed. Expected: c855, Got: bd83
Checksum failed. Expected: 6c9d, Got: bd83
Checksum failed. Expected: 2b2f, Got: bd80
Checksum failed. Expected: 6eb6, Got: bd80
Checksum failed. Expected: 2c00, Got: bd81
Checksum failed. Expected: 9281, Got: bd84
Checksum failed. Expected: 4ee6, Got: bd83
Checksum failed. Expected: 5f1f, Got: bd83
Checksum failed. Expected: cf3b, Got: bd83
Checksum failed. Expected: ee50, Got: bd83
Checksum failed. Expected: efad, Got: bd82
Checksum failed. Expected: e24b, Got: bd83
Checksum failed. Expected: 76e0, Got: bd83
Checksum failed. Expected: bb98, Got: bd82
Checksum failed. Expected: 9341, Got: bd82
Checksum failed. Expected: 4c53, Got: bd83
Checksum failed. Expected: d058, Got: bd83
Checksum failed. Expected: 1b4d, Got: bd84
Checksum failed. Expected: 0478, Got: bd84
Checksum failed. Expected: 8d23, Got: bd82
Checksum failed. Expected: 1a21, Got: bd84
Checksum failed. Expected: 3022, Got: bd83
Checksum failed. Expected: b1e3, Got: bd81
Checksum failed. Expected: 0ae8, Got: bd82
Checksum failed. Expected: 6dc5, Got: bd82
Checksum failed. Expected: 8350, Got: bd82
Checksum failed. Expected: 7af2, Got: bd82
Checksum failed. Expected: 343a, Got: bd82
Checksum failed. Expected: 7b38, Got: bd82
Checksum failed. Expected: cb80, Got: bd82
Checksum failed. Expected: e68e, Got: bd82
Checksum failed. Expected: 97c1, Got: bd83
Checksum failed. Expected: bc8f, Got: bd82
Checksum failed. Expected: 0a65, Got: bd82
Checksum failed. Expected: 51fc, Got: bd82
Checksum failed. Expected: 63be, Got: bd82
Checksum failed. Expected: e6f6, Got: bd81
Checksum failed. Expected: e8e1, Got: bd81
Checksum failed. Expected: 0006, Got: bd81
Checksum failed. Expected: d9e7, Got: bd82
Checksum failed. Expected: 25a9, Got: bd83
Checksum failed. Expected: aca3, Got: bd84
Checksum failed. Expected: 7a17, Got: bd84
Checksum failed. Expected: 8f99, Got: bd83
Checksum failed. Expected: d95d, Got: bd83
Checksum failed. Expected: 811a, Got: bd82
Checksum failed. Expected: fcf5, Got: bd81
Checksum failed. Expected: 5ba4, Got: bd82
Checksum failed. Expected: 2e78, Got: bd82
Checksum failed. Expected: 9bc2, Got: bd83
Checksum failed. Expected: bf8c, Got: bd82
Checksum failed. Expected: 9134, Got: bd83
Checksum failed. Expected: b83e, Got: bd82
Checksum failed. Expected: 19a5, Got: bd82
Checksum failed. Expected: 1275, Got: bd82
Checksum failed. Expected: 713d, Got: bd82
Checksum failed. Expected: f76e, Got: bd81
Checksum failed. Expected: b4a4, Got: bd81
Checksum failed. Expected: c38b, Got: bd81
Checksum failed. Expected: bd69, Got: bd83
Checksum failed. Expected: c3a2, Got: bd82
Checksum failed. Expected: c55b, Got: bd81
Checksum failed. Expected: 40af, Got: bd81
Checksum failed. Expected: 7440, Got: bd81
Checksum failed. Expected: c741, Got: bd81
Checksum failed. Expected: a587, Got: bd83
Checksum failed. Expected: 3304, Got: bd83
Checksum failed. Expected: dcc7, Got: bd82
Checksum failed. Expected: 845e, Got: bd82
Checksum failed. Expected: d88d, Got: bd81
Checksum failed. Expected: 0328, Got: bd82
Checksum failed. Expected: 179b, Got: bd81
Checksum failed. Expected: 5a4f, Got: bd81
Checksum failed. Expected: 16af, Got: bd81
Checksum failed. Expected: 138f, Got: bd80
Checksum failed. Expected: 5fa9, Got: bd80
Checksum failed. Expected: c920, Got: bd81
Checksum failed. Expected: 4742, Got: bd83
Checksum failed. Expected: 9ca4, Got: bd81
Checksum failed. Expected: 1967, Got: bd81
Checksum failed. Expected: f96a, Got: bd81
Checksum failed. Expected: 1ecd, Got: bd84
Checksum failed. Expected: 84d0, Got: bd83
Checksum failed. Expected: cc8b, Got: bd83
