
#################################################################
Log started at 2025-06-13_14-35-19 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-0.136305, Y=-0.694274, Z=9.771691 m/s^2 Time of Week: 455739.149000, Week Number: 2370
Acceleration: X=-0.119756, Y=-0.729942, Z=9.723291 m/s^2 Time of Week: 455739.159000, Week Number: 2370
Acceleration: X=-0.126498, Y=-0.737316, Z=9.706309 m/s^2 Time of Week: 455739.169000, Week Number: 2370
Acceleration: X=-0.141016, Y=-0.714695, Z=9.741747 m/s^2 Time of Week: 455739.179000, Week Number: 2370
Acceleration: X=-0.166725, Y=-0.681024, Z=9.799678 m/s^2 Time of Week: 455739.189000, Week Number: 2370
Acceleration: X=-0.180352, Y=-0.642867, Z=9.824874 m/s^2 Time of Week: 455739.199000, Week Number: 2370
Acceleration: X=-0.175681, Y=-0.632676, Z=9.824068 m/s^2 Time of Week: 455739.209000, Week Number: 2370
Acceleration: X=-0.174734, Y=-0.642092, Z=9.802495 m/s^2 Time of Week: 455739.219000, Week Number: 2370
Acceleration: X=-0.163632, Y=-0.674971, Z=9.782520 m/s^2 Time of Week: 455739.229000, Week Number: 2370
Acceleration: X=-0.155351, Y=-0.716238, Z=9.767796 m/s^2 Time of Week: 455739.239000, Week Number: 2370
Acceleration: X=-0.157436, Y=-0.725609, Z=9.742079 m/s^2 Time of Week: 455739.249000, Week Number: 2370
Acceleration: X=-0.141023, Y=-0.713717, Z=9.741728 m/s^2 Time of Week: 455739.259000, Week Number: 2370
Acceleration: X=-0.127678, Y=-0.682797, Z=9.762573 m/s^2 Time of Week: 455739.269000, Week Number: 2370
Acceleration: X=-0.137560, Y=-0.659870, Z=9.788824 m/s^2 Time of Week: 455739.279000, Week Number: 2370
Acceleration: X=-0.159173, Y=-0.665961, Z=9.803814 m/s^2 Time of Week: 455739.289000, Week Number: 2370
Acceleration: X=-0.184004, Y=-0.672380, Z=9.801569 m/s^2 Time of Week: 455739.299000, Week Number: 2370
Acceleration: X=-0.192216, Y=-0.678212, Z=9.782498 m/s^2 Time of Week: 455739.309000, Week Number: 2370
