
#################################################################
Log started at 2025-06-12_15-50-46 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 80e0, Got: 801c
Checksum failed. Expected: 6164, Got: 801c
Checksum failed. Expected: 3ed8, Got: 801c
Checksum failed. Expected: 7cd0, Got: 801c
Checksum failed. Expected: a164, Got: 801c
Checksum failed. Expected: 9534, Got: 801c
Checksum failed. Expected: 45f4, Got: 801c
Checksum failed. Expected: 0e18, Got: 801c
Checksum failed. Expected: 84f0, Got: 801c
Checksum failed. Expected: 9534, Got: 801c
Checksum failed. Expected: ca08, Got: 801c
Checksum failed. Expected: ca08, Got: 801c
Checksum failed. Expected: 7fdc, Got: 801c
Checksum failed. Expected: dc50, Got: 801c
Checksum failed. Expected: 74b0, Got: 801c
Checksum failed. Expected: a77c, Got: 801c
Checksum failed. Expected: 42e8, Got: 801c
Checksum failed. Expected: 1124, Got: 801c
Checksum failed. Expected: a984, Got: 801c
Checksum failed. Expected: 05f4, Got: 801c
Checksum failed. Expected: 32a8, Got: 801c
Checksum failed. Expected: 73ac, Got: 801c
Checksum failed. Expected: 31a4, Got: 801c
Checksum failed. Expected: 2984, Got: 801c
Checksum failed. Expected: fdd4, Got: 801c
Checksum failed. Expected: 6b8c, Got: 801c
Checksum failed. Expected: 6f9c, Got: 801c
Checksum failed. Expected: 81e4, Got: 801c
Checksum failed. Expected: db4c, Got: 801c
Checksum failed. Expected: b0a0, Got: 801c
Checksum failed. Expected: 0d14, Got: 801c
Checksum failed. Expected: 46f8, Got: 801c
Checksum failed. Expected: c6f8, Got: 801c
Checksum failed. Expected: 173c, Got: 801c
Checksum failed. Expected: d32c, Got: 801c
Checksum failed. Expected: f3ac, Got: 801c
Checksum failed. Expected: 6470, Got: 801c
Checksum failed. Expected: 1c50, Got: 801c
Checksum failed. Expected: 9a48, Got: 801c
Checksum failed. Expected: 8c10, Got: 801c
Checksum failed. Expected: c904, Got: 801c
Checksum failed. Expected: 6a88, Got: 801c
Checksum failed. Expected: c800, Got: 801c
Checksum failed. Expected: 236c, Got: 801c
Checksum failed. Expected: 0a08, Got: 801c
Checksum failed. Expected: 7ac8, Got: 801c
Checksum failed. Expected: cb0c, Got: 801c
Checksum failed. Expected: f5b4, Got: 801c
Checksum failed. Expected: fac8, Got: 801c
Checksum failed. Expected: d73c, Got: 801c
Checksum failed. Expected: 0a08, Got: 801c
Checksum failed. Expected: 7cd0, Got: 801c
Checksum failed. Expected: 573c, Got: 801c
Checksum failed. Expected: c0e0, Got: 801c
Checksum failed. Expected: 04f0, Got: 801c
Checksum failed. Expected: 6164, Got: 801c
Checksum failed. Expected: 3fdc, Got: 801c
Checksum failed. Expected: 973c, Got: 801c
Checksum failed. Expected: 0f1c, Got: 801c
Checksum failed. Expected: 4c10, Got: 801c
Checksum failed. Expected: 2a88, Got: 801c
Checksum failed. Expected: cf1c, Got: 801c
Checksum failed. Expected: 2678, Got: 801c
Checksum failed. Expected: 4a08, Got: 801c
