
#################################################################
Log started at 2025-06-12_16-18-35 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 6cb5, Got: 78d5
Checksum failed. Expected: 8cc7, Got: e76d
Checksum failed. Expected: 64b5, Got: 5604
Checksum failed. Expected: cc78, Got: c49c
Checksum failed. Expected: a7b0, Got: 3334
Checksum failed. Expected: e41c, Got: a1cb
Checksum failed. Expected: 5cfd, Got: 1063
Checksum failed. Expected: 1969, Got: 7efa
Checksum failed. Expected: 06bd, Got: ed92
Checksum failed. Expected: 2dfd, Got: 5c29
Checksum failed. Expected: cac8, Got: cac1
Checksum failed. Expected: 2710, Got: 3958
Checksum failed. Expected: 9873, Got: a7f0
Checksum failed. Expected: 9deb, Got: 1688
Checksum failed. Expected: b779, Got: 851f
Checksum failed. Expected: 7629, Got: f3b7
Checksum failed. Expected: ab41, Got: 624e
Checksum failed. Expected: aa46, Got: d0e6
Checksum failed. Expected: 6e3c, Got: 3f7d
Checksum failed. Expected: 8e25, Got: ae15
Checksum failed. Expected: 4443, Got: 1cac
Checksum failed. Expected: dab4, Got: 8b44
Checksum failed. Expected: ca0b, Got: f9db
Checksum failed. Expected: 5e68, Got: 6873
Checksum failed. Expected: 2788, Got: d70b
Checksum failed. Expected: 88f4, Got: 45a2
Checksum failed. Expected: 3289, Got: b43a
Checksum failed. Expected: 6247, Got: 22d1
Checksum failed. Expected: c0b4, Got: 9169
Checksum failed. Expected: 2753, Got: 0000
Checksum failed. Expected: fe10, Got: 6e98
Checksum failed. Expected: 355d, Got: dd2f
Checksum failed. Expected: 6420, Got: 4bc7
Checksum failed. Expected: f328, Got: ba5f
Checksum failed. Expected: d9da, Got: 28f6
Checksum failed. Expected: 3fb7, Got: 978e
Checksum failed. Expected: 2893, Got: 0625
Checksum failed. Expected: a9d6, Got: 74bd
Checksum failed. Expected: a6eb, Got: e354
Checksum failed. Expected: f142, Got: 51ec
Checksum failed. Expected: 825a, Got: c083
Checksum failed. Expected: 5c83, Got: 2f1b
Checksum failed. Expected: 2cf9, Got: 9db3
Checksum failed. Expected: 5131, Got: 0c4a
Checksum failed. Expected: 062a, Got: 7ae2
Checksum failed. Expected: 54b9, Got: e979
Checksum failed. Expected: 4842, Got: 5811
Checksum failed. Expected: dc7c, Got: c6a8
Checksum failed. Expected: 8f8b, Got: 3540
Checksum failed. Expected: f75d, Got: a3d7
Checksum failed. Expected: 2418, Got: 126f
Checksum failed. Expected: 738c, Got: 8106
Checksum failed. Expected: 9060, Got: ef9e
Checksum failed. Expected: f740, Got: 5e36
Checksum failed. Expected: dbce, Got: cccd
Checksum failed. Expected: a639, Got: 3b65
Checksum failed. Expected: e3a5, Got: a9fc
Checksum failed. Expected: a36a, Got: 1894
Checksum failed. Expected: 99de, Got: 872b
Checksum failed. Expected: 774c, Got: f5c3
Checksum failed. Expected: eac8, Got: 645a
Checksum failed. Expected: 2861, Got: d2f2
Checksum failed. Expected: bfd5, Got: 418a
Checksum failed. Expected: 1bff, Got: b021
Checksum failed. Expected: ab10, Got: 1eb9
Checksum failed. Expected: 8eb0, Got: 8d50
Checksum failed. Expected: ed20, Got: fbe8
Checksum failed. Expected: d50e, Got: 6a7f
Checksum failed. Expected: 17d3, Got: d917
Checksum failed. Expected: 5129, Got: 47ae
Checksum failed. Expected: 4078, Got: b646
Checksum failed. Expected: 6e1a, Got: 24de
Checksum failed. Expected: 56d3, Got: 9375
Checksum failed. Expected: 2a9c, Got: 020d
Checksum failed. Expected: 64ea, Got: 70a4
Checksum failed. Expected: 95ea, Got: df3c
Checksum failed. Expected: c6c2, Got: 4dd3
Checksum failed. Expected: 6f3d, Got: bc6b
Checksum failed. Expected: 4629, Got: 2b02
Checksum failed. Expected: b672, Got: 999a
Checksum failed. Expected: e0fc, Got: 0831
Checksum failed. Expected: cbff, Got: 76c9
Checksum failed. Expected: ba5c, Got: e561
Checksum failed. Expected: 74a6, Got: 53f8
Checksum failed. Expected: 553d, Got: c290
Checksum failed. Expected: 12a5, Got: 3127
Checksum failed. Expected: 1e6c, Got: 9fbf
Checksum failed. Expected: 4e3e, Got: 0e56
Checksum failed. Expected: db29, Got: 7cee
Checksum failed. Expected: ad56, Got: 147b
Checksum failed. Expected: d1fd, Got: 8313
Checksum failed. Expected: 861a, Got: f1aa
Checksum failed. Expected: 076d, Got: 6042
Checksum failed. Expected: 68dd, Got: ced9
Checksum failed. Expected: 73b0, Got: 3d71
Checksum failed. Expected: 4646, Got: ac09
Checksum failed. Expected: 5860, Got: 1aa0
Checksum failed. Expected: f0f9, Got: 8938
Checksum failed. Expected: 636e, Got: f7cf
Checksum failed. Expected: 7291, Got: 6667
Checksum failed. Expected: 88db, Got: d4fe
Checksum failed. Expected: ab16, Got: 4396
Checksum failed. Expected: 8b6c, Got: b22d
Checksum failed. Expected: 6be9, Got: 20c5
Checksum failed. Expected: 1343, Got: 8f5d
Checksum failed. Expected: 2ef4, Got: fdf4
Checksum failed. Expected: be19, Got: 6c8c
Checksum failed. Expected: 7fc9, Got: db23
Checksum failed. Expected: 6469, Got: 49bb
Checksum failed. Expected: 0b9f, Got: b852
Checksum failed. Expected: 836c, Got: 26ea
Checksum failed. Expected: d404, Got: 9581
Checksum failed. Expected: 652f, Got: 0419
Checksum failed. Expected: 0f91, Got: 72b0
Checksum failed. Expected: 986d, Got: e148
Checksum failed. Expected: be9f, Got: 4fe0
Checksum failed. Expected: 431b, Got: be77
Checksum failed. Expected: 3df8, Got: 2d0f
Checksum failed. Expected: 3bfe, Got: 9ba6
Checksum failed. Expected: 9205, Got: 0a3e
Checksum failed. Expected: 5a17, Got: 78d5
Checksum failed. Expected: 03a7, Got: e76d
Checksum failed. Expected: 16cf, Got: 5604
Checksum failed. Expected: 16e2, Got: c49c
Checksum failed. Expected: 4d22, Got: 3334
Checksum failed. Expected: 7bbc, Got: a1cb
Checksum failed. Expected: 6c3b, Got: 1063
Checksum failed. Expected: 40e9, Got: 7efa
Checksum failed. Expected: b175, Got: ed92
Checksum failed. Expected: ad5b, Got: 5c29
Checksum failed. Expected: 54b2, Got: cac1
Checksum failed. Expected: 50ac, Got: 3958
Checksum failed. Expected: 9aed, Got: a7f0
Checksum failed. Expected: 95d9, Got: 1688
Checksum failed. Expected: 437f, Got: 851f
Checksum failed. Expected: 5b0d, Got: f3b7
Checksum failed. Expected: b963, Got: 624e
Checksum failed. Expected: 74b0, Got: d0e6
Checksum failed. Expected: e40e, Got: 3f7d
Checksum failed. Expected: 8613, Got: ae15
Checksum failed. Expected: 37eb, Got: 1cac
Checksum failed. Expected: 1330, Got: 8b44
Checksum failed. Expected: b10b, Got: f9db
Checksum failed. Expected: 95c8, Got: 6873
Checksum failed. Expected: f30e, Got: d70b
Checksum failed. Expected: 4bfc, Got: 45a2
Checksum failed. Expected: 46ff, Got: b43a
Checksum failed. Expected: faf5, Got: 22d1
Checksum failed. Expected: 19f0, Got: 9169
Checksum failed. Expected: f5ff, Got: 0000
Checksum failed. Expected: 7c74, Got: 6e98
Checksum failed. Expected: 3b31, Got: dd2f
Checksum failed. Expected: df5a, Got: 4bc7
Checksum failed. Expected: 7f50, Got: ba5f
Checksum failed. Expected: 8b16, Got: 28f6
Checksum failed. Expected: 2b1f, Got: 978e
Checksum failed. Expected: 721f, Got: 0625
Checksum failed. Expected: 4f6a, Got: 74bd
Checksum failed. Expected: 2aa3, Got: e354
Checksum failed. Expected: ddaa, Got: 51ec
Checksum failed. Expected: 3bf8, Got: c083
Checksum failed. Expected: 603b, Got: 2f1b
Checksum failed. Expected: 0ed5, Got: 9db3
Checksum failed. Expected: 76b7, Got: 0c4a
Checksum failed. Expected: b974, Got: 7ae2
Checksum failed. Expected: f831, Got: e979
Checksum failed. Expected: aa1e, Got: 5811
Checksum failed. Expected: 646c, Got: c6a8
Checksum failed. Expected: 5809, Got: 3540
Checksum failed. Expected: 1149, Got: a3d7
Checksum failed. Expected: 6634, Got: 126f
Checksum failed. Expected: d022, Got: 8106
Checksum failed. Expected: 22dc, Got: ef9e
Checksum failed. Expected: 3524, Got: 5e36
Checksum failed. Expected: fc1c, Got: cccd
Checksum failed. Expected: ad1b, Got: 3b65
Checksum failed. Expected: dbb5, Got: a9fc
Checksum failed. Expected: 9c88, Got: 1894
Checksum failed. Expected: 33ca, Got: 872b
Checksum failed. Expected: 3fbc, Got: f5c3
Checksum failed. Expected: da68, Got: 645a
Checksum failed. Expected: aafd, Got: d2f2
Checksum failed. Expected: 24db, Got: 418a
Checksum failed. Expected: 2f97, Got: b021
Checksum failed. Expected: 8dec, Got: 1eb9
Checksum failed. Expected: 5d82, Got: 8d50
Checksum failed. Expected: 70ca, Got: fbe8
Checksum failed. Expected: 950e, Got: 6a7f
Checksum failed. Expected: d6c5, Got: d917
Checksum failed. Expected: d3c5, Got: 47ae
Checksum failed. Expected: cca0, Got: b646
Checksum failed. Expected: e738, Got: 24de
Checksum failed. Expected: dfd1, Got: 9375
Checksum failed. Expected: b5b6, Got: 020d
Checksum failed. Expected: 5bec, Got: 70a4
Checksum failed. Expected: 40c4, Got: df3c
Checksum failed. Expected: d406, Got: 4dd3
Checksum failed. Expected: ddc1, Got: bc6b
Checksum failed. Expected: 0953, Got: 2b02
Checksum failed. Expected: a504, Got: 999a
Checksum failed. Expected: 2b96, Got: 0831
Checksum failed. Expected: db5f, Got: 76c9
Checksum failed. Expected: 6644, Got: e561
Checksum failed. Expected: dde4, Got: 53f8
Checksum failed. Expected: 8bb1, Got: c290
Checksum failed. Expected: 8461, Got: 3127
Checksum failed. Expected: 9ffa, Got: 9fbf
Checksum failed. Expected: 88ea, Got: 0e56
Checksum failed. Expected: 881f, Got: 7cee
Checksum failed. Expected: 8534, Got: eb85
Checksum failed. Expected: a207, Got: 5a1d
Checksum failed. Expected: 6b1b, Got: c8b5
Checksum failed. Expected: b565, Got: 374c
Checksum failed. Expected: 478a, Got: a5e4
Checksum failed. Expected: 0fb8, Got: 147b
Checksum failed. Expected: 8339, Got: 8313
Checksum failed. Expected: fc0e, Got: f1aa
