
#################################################################
Log started at 2025-06-12_13-37-24 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: f71f, Got: 4a17
Checksum failed. Expected: dfab, Got: 68a0
Checksum failed. Expected: 4863, Got: 4837
Checksum failed. Expected: 95d7, Got: 1552
Checksum failed. Expected: 056f, Got: 1e47
Checksum failed. Expected: 3238, Got: 165b
Checksum failed. Expected: fa03, Got: 49bd
Checksum failed. Expected: fd28, Got: 38d4
Checksum failed. Expected: 2dd0, Got: 4575
Checksum failed. Expected: b505, Got: 29de
Checksum failed. Expected: be05, Got: 3e5e
Checksum failed. Expected: 14d2, Got: 2bfc
Checksum failed. Expected: 07d4, Got: 2612
Checksum failed. Expected: bbac, Got: 34c6
Checksum failed. Expected: df52, Got: 3798
Checksum failed. Expected: 2a26, Got: 2f8a
Checksum failed. Expected: 2026, Got: 1074
Checksum failed. Expected: 9fda, Got: 40e6
Checksum failed. Expected: c84f, Got: 198e
Checksum failed. Expected: 0f73, Got: 3407
Checksum failed. Expected: 7ed0, Got: 42a6
Checksum failed. Expected: d0ca, Got: 3a4f
Checksum failed. Expected: 871f, Got: 36ce
Checksum failed. Expected: bd74, Got: 03d1
Checksum failed. Expected: 29ea, Got: 0d18
Checksum failed. Expected: e9a6, Got: 1579
Checksum failed. Expected: a3e1, Got: 1458
Checksum failed. Expected: 6100, Got: 2497
Checksum failed. Expected: 95a8, Got: 1d0b
Checksum failed. Expected: d095, Got: 2c15
Checksum failed. Expected: 81de, Got: 1752
Checksum failed. Expected: e1d7, Got: 1f1e
Checksum failed. Expected: 8716, Got: 3ecd
Checksum failed. Expected: 436c, Got: 54ee
Checksum failed. Expected: 4ee9, Got: 2eca
Checksum failed. Expected: 93b7, Got: 3556
Checksum failed. Expected: 6b25, Got: 29d8
Checksum failed. Expected: 6c40, Got: 3156
Checksum failed. Expected: 07a7, Got: 327d
Checksum failed. Expected: 8770, Got: 437e
Checksum failed. Expected: 42fb, Got: 38db
Checksum failed. Expected: d80c, Got: 2917
Checksum failed. Expected: 612d, Got: 301e
Checksum failed. Expected: a4ce, Got: 3615
Checksum failed. Expected: eee0, Got: 276d
Checksum failed. Expected: 878c, Got: f849
Checksum failed. Expected: de88, Got: 2534
Checksum failed. Expected: 9338, Got: 282b
Checksum failed. Expected: b680, Got: 1db0
Checksum failed. Expected: c022, Got: 4780
Checksum failed. Expected: c244, Got: 3817
Checksum failed. Expected: 7f84, Got: 3a1e
Checksum failed. Expected: d2d8, Got: 372d
Checksum failed. Expected: e93e, Got: 3433
Checksum failed. Expected: 5c00, Got: 24f0
Checksum failed. Expected: f305, Got: 2b45
Checksum failed. Expected: 2961, Got: 3b59
Checksum failed. Expected: 91f5, Got: 3594
Checksum failed. Expected: 6c57, Got: 4bcc
Checksum failed. Expected: dcdd, Got: 439d
Checksum failed. Expected: 6955, Got: 297f
Checksum failed. Expected: 7819, Got: 50c2
Checksum failed. Expected: 803d, Got: 1c8e
Checksum failed. Expected: 3a32, Got: 2296
Checksum failed. Expected: 6590, Got: 2a53
Checksum failed. Expected: 72d6, Got: 32ea
Checksum failed. Expected: 6f91, Got: 392f
Checksum failed. Expected: 4952, Got: 24b5
Checksum failed. Expected: d41c, Got: 2316
Checksum failed. Expected: 7ca0, Got: 3483
Checksum failed. Expected: 7ed1, Got: 364c
Checksum failed. Expected: 0a93, Got: 3eb9
Checksum failed. Expected: 2ca9, Got: 3fa2
Checksum failed. Expected: 6c21, Got: 305e
Checksum failed. Expected: fa46, Got: 4304
Checksum failed. Expected: 10b7, Got: 467e
Checksum failed. Expected: e245, Got: 43e9
Checksum failed. Expected: 3936, Got: 0458
Checksum failed. Expected: bdd8, Got: 0712
Checksum failed. Expected: 08c7, Got: 498f
Checksum failed. Expected: af05, Got: 3339
