
#################################################################
Log started at 2025-06-12_16-20-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: f2b9, Got: 0c4a
Checksum failed. Expected: 928c, Got: 7ae2
Checksum failed. Expected: 11c9, Got: e979
Checksum failed. Expected: 985c, Got: 5811
Checksum failed. Expected: 53b8, Got: c6a8
Checksum failed. Expected: 937d, Got: 3540
Checksum failed. Expected: 02b1, Got: a3d7
Checksum failed. Expected: 775c, Got: 126f
Checksum failed. Expected: 5bf6, Got: 8106
Checksum failed. Expected: 3c82, Got: ef9e
Checksum failed. Expected: 3dce, Got: 5e36
Checksum failed. Expected: 9f40, Got: cccd
Checksum failed. Expected: b6d3, Got: 3b65
Checksum failed. Expected: c291, Got: a9fc
Checksum failed. Expected: f5a0, Got: 1894
Checksum failed. Expected: 0148, Got: 872b
Checksum failed. Expected: 530e, Got: f5c3
Checksum failed. Expected: f738, Got: 645a
Checksum failed. Expected: 25f1, Got: d2f2
Checksum failed. Expected: 6495, Got: 418a
Checksum failed. Expected: 4f91, Got: b021
Checksum failed. Expected: 88e0, Got: 1eb9
Checksum failed. Expected: cddc, Got: 8d50
Checksum failed. Expected: 7004, Got: fbe8
Checksum failed. Expected: 9b9c, Got: 6a7f
Checksum failed. Expected: 0cf3, Got: d917
Checksum failed. Expected: b33f, Got: 47ae
Checksum failed. Expected: d558, Got: b646
Checksum failed. Expected: 8840, Got: 24de
Checksum failed. Expected: 26ed, Got: 9375
Checksum failed. Expected: f246, Got: 020d
Checksum failed. Expected: 0bc6, Got: 70a4
Checksum failed. Expected: 6e82, Got: df3c
Checksum failed. Expected: b69c, Got: 4dd3
Checksum failed. Expected: fec9, Got: bc6b
Checksum failed. Expected: 2731, Got: 2b02
Checksum failed. Expected: 4d6e, Got: 999a
Checksum failed. Expected: 464a, Got: 0832
Checksum failed. Expected: b9aa, Got: 76c9
Checksum failed. Expected: 23d4, Got: e561
Checksum failed. Expected: e9c6, Got: 53f8
Checksum failed. Expected: e7f3, Got: c290
Checksum failed. Expected: a569, Got: 3127
Checksum failed. Expected: 8b1c, Got: 9fbf
Checksum failed. Expected: f844, Got: 0e56
Checksum failed. Expected: 656f, Got: 7cee
Checksum failed. Expected: bb62, Got: eb85
Checksum failed. Expected: 60a5, Got: 5a1d
Checksum failed. Expected: 3edf, Got: c8b5
Checksum failed. Expected: c147, Got: 374c
Checksum failed. Expected: 8636, Got: a5e4
Checksum failed. Expected: 0566, Got: 147b
Checksum failed. Expected: c72b, Got: 8313
Checksum failed. Expected: bbba, Got: f1aa
Checksum failed. Expected: 436f, Got: 6042
Checksum failed. Expected: eab3, Got: ced9
Checksum failed. Expected: f478, Got: 3d71
Checksum failed. Expected: aa78, Got: ac09
Checksum failed. Expected: f5b0, Got: 1aa0
Checksum failed. Expected: 1073, Got: 8938
Checksum failed. Expected: 5564, Got: f7cf
Checksum failed. Expected: db09, Got: 6667
Checksum failed. Expected: 0895, Got: d4fe
Checksum failed. Expected: 1380, Got: 4396
Checksum failed. Expected: 1b06, Got: b22d
Checksum failed. Expected: 0947, Got: 20c5
Checksum failed. Expected: 5053, Got: 8f5d
Checksum failed. Expected: 2eae, Got: fdf4
Checksum failed. Expected: 5731, Got: 6c8c
Checksum failed. Expected: 62ed, Got: db23
Checksum failed. Expected: 4ffd, Got: 49bb
Checksum failed. Expected: 784f, Got: b852
Checksum failed. Expected: 8db2, Got: 26ea
Checksum failed. Expected: 4b40, Got: 9581
Checksum failed. Expected: 2ee7, Got: 0419
Checksum failed. Expected: 5b73, Got: 72b0
Checksum failed. Expected: 5253, Got: e148
Checksum failed. Expected: 7123, Got: 4fe0
Checksum failed. Expected: 55d1, Got: be77
Checksum failed. Expected: 79fa, Got: 2d0f
Checksum failed. Expected: 3dd4, Got: 9ba6
Checksum failed. Expected: 6657, Got: 0a3e
Checksum failed. Expected: 5bdf, Got: 78d5
Checksum failed. Expected: 351d, Got: e76d
Checksum failed. Expected: c1e3, Got: 5604
Checksum failed. Expected: 561c, Got: c49c
