
#################################################################
Log started at 2025-06-13_14-53-58 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: b5b4, Got: 9f75
Checksum failed. Expected: ad0b, Got: fe75
Checksum failed. Expected: 3332, Got: 9f75
Checksum failed. Expected: ed97, Got: 4a75
Checksum failed. Expected: 3b21, Got: 8675
Checksum failed. Expected: 796e, Got: 9575
Checksum failed. Expected: 87b3, Got: cc75
Checksum failed. Expected: 2b68, Got: dd75
Checksum failed. Expected: 018c, Got: 2b75
Checksum failed. Expected: a7c7, Got: c075
Checksum failed. Expected: 076e, Got: 0775
Checksum failed. Expected: a162, Got: 6175
Checksum failed. Expected: 672d, Got: 6675
Checksum failed. Expected: 0d3e, Got: d175
Checksum failed. Expected: cf43, Got: 1475
Checksum failed. Expected: 2b2e, Got: a375
Checksum failed. Expected: 3d2d, Got: 9075
Checksum failed. Expected: b50e, Got: f975
Checksum failed. Expected: cdb1, Got: 8475
Checksum failed. Expected: b101, Got: f075
Checksum failed. Expected: 554b, Got: 9675
Checksum failed. Expected: 8183, Got: a275
Checksum failed. Expected: ed3d, Got: f075
Checksum failed. Expected: 1366, Got: f375
Checksum failed. Expected: 57bc, Got: 0575
Checksum failed. Expected: 0990, Got: 2775
Checksum failed. Expected: 29f2, Got: 6975
Checksum failed. Expected: e9a2, Got: 5975
Checksum failed. Expected: 718f, Got: be75
Checksum failed. Expected: b198, Got: 8775
Checksum failed. Expected: 1787, Got: 1075
Checksum failed. Expected: a33f, Got: 3c75
Checksum failed. Expected: df0e, Got: cf75
Checksum failed. Expected: 6305, Got: 4275
Checksum failed. Expected: a111, Got: 1075
Checksum failed. Expected: 3bdb, Got: 4075
Checksum failed. Expected: 737a, Got: a775
Checksum failed. Expected: f183, Got: 3275
Checksum failed. Expected: 7512, Got: 3d75
Checksum failed. Expected: bb6c, Got: 5175
Checksum failed. Expected: b35c, Got: 4975
Checksum failed. Expected: a79c, Got: 9575
Checksum failed. Expected: 0577, Got: 1275
Checksum failed. Expected: ad8c, Got: 7f75
Checksum failed. Expected: 2bb8, Got: 2d75
Checksum failed. Expected: bd52, Got: 3575
Checksum failed. Expected: db74, Got: 3975
Checksum failed. Expected: 5fe4, Got: 2575
Checksum failed. Expected: c77d, Got: 5675
Checksum failed. Expected: fb83, Got: 2875
Checksum failed. Expected: 0f51, Got: e275
Checksum failed. Expected: 8707, Got: 2075
Checksum failed. Expected: 67ba, Got: f375
Checksum failed. Expected: 3953, Got: ba75
Checksum failed. Expected: 1b97, Got: 1c75
Checksum failed. Expected: 8146, Got: 6575
Checksum failed. Expected: 13a5, Got: 3275
Checksum failed. Expected: 7b39, Got: 5e75
Checksum failed. Expected: 89c3, Got: da75
Checksum failed. Expected: 1521, Got: ac75
Checksum failed. Expected: 451f, Got: 7a75
Checksum failed. Expected: 658e, Got: c975
Checksum failed. Expected: 8bc7, Got: dc75
Checksum failed. Expected: 2725, Got: 9e75
Checksum failed. Expected: 1b4d, Got: d275
Checksum failed. Expected: 5ba3, Got: e875
Checksum failed. Expected: d353, Got: 2075
Checksum failed. Expected: 11b5, Got: 4475
Checksum failed. Expected: 9d05, Got: 0875
Checksum failed. Expected: 2952, Got: c975
Checksum failed. Expected: d92e, Got: f575
Checksum failed. Expected: b1e0, Got: cf75
Checksum failed. Expected: 577c, Got: c575
Checksum failed. Expected: d79e, Got: 6775
Checksum failed. Expected: d92d, Got: f475
Checksum failed. Expected: 31bc, Got: 2b75
Checksum failed. Expected: a702, Got: fb75
