
#################################################################
Log started at 2025-06-13_17-04-07 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=1.815441, Y=8.568103, Z=-4.055705 m/s^2 Time of Week: 464665.427000, Week Number: 2370
Acceleration: X=1.795836, Y=8.602745, Z=-4.068464 m/s^2 Time of Week: 464665.428000, Week Number: 2370
Acceleration: X=1.768569, Y=8.616665, Z=-4.028987 m/s^2 Time of Week: 464665.429000, Week Number: 2370
Acceleration: X=1.732438, Y=8.598350, Z=-3.996681 m/s^2 Time of Week: 464665.430000, Week Number: 2370
Acceleration: X=1.674050, Y=8.545010, Z=-3.988817 m/s^2 Time of Week: 464665.431000, Week Number: 2370
Acceleration: X=1.630930, Y=8.507617, Z=-3.976306 m/s^2 Time of Week: 464665.432000, Week Number: 2370
Acceleration: X=1.612827, Y=8.475862, Z=-4.003240 m/s^2 Time of Week: 464665.433000, Week Number: 2370
Acceleration: X=1.615818, Y=8.481374, Z=-4.041520 m/s^2 Time of Week: 464665.434000, Week Number: 2370
Acceleration: X=1.581861, Y=8.502362, Z=-4.054569 m/s^2 Time of Week: 464665.435000, Week Number: 2370
Acceleration: X=1.543107, Y=8.497569, Z=-4.055448 m/s^2 Time of Week: 464665.436000, Week Number: 2370
Acceleration: X=1.515457, Y=8.452298, Z=-4.088236 m/s^2 Time of Week: 464665.437000, Week Number: 2370
Acceleration: X=1.536085, Y=8.395654, Z=-4.167675 m/s^2 Time of Week: 464665.438000, Week Number: 2370
Acceleration: X=1.558689, Y=8.369532, Z=-4.214541 m/s^2 Time of Week: 464665.439000, Week Number: 2370
Acceleration: X=1.576025, Y=8.339966, Z=-4.242060 m/s^2 Time of Week: 464665.440000, Week Number: 2370
Acceleration: X=1.585001, Y=8.308995, Z=-4.206613 m/s^2 Time of Week: 464665.441000, Week Number: 2370
Acceleration: X=1.591712, Y=8.293529, Z=-4.218158 m/s^2 Time of Week: 464665.442000, Week Number: 2370
Acceleration: X=1.575073, Y=8.288245, Z=-4.327551 m/s^2 Time of Week: 464665.443000, Week Number: 2370
Acceleration: X=1.558874, Y=8.266283, Z=-4.491485 m/s^2 Time of Week: 464665.444000, Week Number: 2370
Acceleration: X=1.579599, Y=8.237942, Z=-4.549698 m/s^2 Time of Week: 464665.445000, Week Number: 2370
Acceleration: X=1.564337, Y=8.222558, Z=-4.527965 m/s^2 Time of Week: 464665.446000, Week Number: 2370
Acceleration: X=1.547047, Y=8.219880, Z=-4.526315 m/s^2 Time of Week: 464665.447000, Week Number: 2370
Acceleration: X=1.539221, Y=8.217300, Z=-4.549600 m/s^2 Time of Week: 464665.448000, Week Number: 2370
Acceleration: X=1.562414, Y=8.214290, Z=-4.580570 m/s^2 Time of Week: 464665.449000, Week Number: 2370
Acceleration: X=1.546702, Y=8.220536, Z=-4.588530 m/s^2 Time of Week: 464665.450000, Week Number: 2370
Acceleration: X=1.530107, Y=8.237973, Z=-4.612394 m/s^2 Time of Week: 464665.451000, Week Number: 2370
Acceleration: X=1.544749, Y=8.259829, Z=-4.644510 m/s^2 Time of Week: 464665.452000, Week Number: 2370
Acceleration: X=1.540652, Y=8.266512, Z=-4.688592 m/s^2 Time of Week: 464665.453000, Week Number: 2370
Acceleration: X=1.511830, Y=8.246383, Z=-4.714195 m/s^2 Time of Week: 464665.454000, Week Number: 2370
Acceleration: X=1.490232, Y=8.225523, Z=-4.725366 m/s^2 Time of Week: 464665.455000, Week Number: 2370
Acceleration: X=1.469995, Y=8.226863, Z=-4.741769 m/s^2 Time of Week: 464665.456000, Week Number: 2370
Acceleration: X=1.445700, Y=8.247782, Z=-4.752145 m/s^2 Time of Week: 464665.457000, Week Number: 2370
Acceleration: X=1.444566, Y=8.261539, Z=-4.760525 m/s^2 Time of Week: 464665.458000, Week Number: 2370
Acceleration: X=1.485844, Y=8.282593, Z=-4.742520 m/s^2 Time of Week: 464665.459000, Week Number: 2370
Acceleration: X=1.554338, Y=8.313235, Z=-4.665050 m/s^2 Time of Week: 464665.460000, Week Number: 2370
Acceleration: X=1.653181, Y=8.361800, Z=-4.539203 m/s^2 Time of Week: 464665.461000, Week Number: 2370
Acceleration: X=1.702263, Y=8.391072, Z=-4.457928 m/s^2 Time of Week: 464665.462000, Week Number: 2370
Acceleration: X=1.744766, Y=8.423903, Z=-4.440580 m/s^2 Time of Week: 464665.463000, Week Number: 2370
Acceleration: X=1.783866, Y=8.466355, Z=-4.432330 m/s^2 Time of Week: 464665.464000, Week Number: 2370
Acceleration: X=1.812830, Y=8.500224, Z=-4.422691 m/s^2 Time of Week: 464665.465000, Week Number: 2370
Acceleration: X=1.814152, Y=8.534784, Z=-4.468529 m/s^2 Time of Week: 464665.466000, Week Number: 2370
Acceleration: X=1.791611, Y=8.568616, Z=-4.564541 m/s^2 Time of Week: 464665.467000, Week Number: 2370
Acceleration: X=1.755026, Y=8.604597, Z=-4.669097 m/s^2 Time of Week: 464665.468000, Week Number: 2370
Acceleration: X=1.730011, Y=8.642064, Z=-4.754810 m/s^2 Time of Week: 464665.469000, Week Number: 2370
Acceleration: X=1.710677, Y=8.667344, Z=-4.818807 m/s^2 Time of Week: 464665.470000, Week Number: 2370
Acceleration: X=1.696705, Y=8.687139, Z=-4.890079 m/s^2 Time of Week: 464665.471000, Week Number: 2370
Acceleration: X=1.702817, Y=8.685867, Z=-4.972255 m/s^2 Time of Week: 464665.472000, Week Number: 2370
