
#################################################################
Log started at 2025-06-12_16-20-09 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 98dc, Got: 8b44
Checksum failed. Expected: c8b3, Got: f9db
Checksum failed. Expected: 0cb0, Got: 6873
Checksum failed. Expected: eb04, Got: d70b
Checksum failed. Expected: 43f2, Got: 45a2
Checksum failed. Expected: 498f, Got: b43a
Checksum failed. Expected: c683, Got: 22d1
Checksum failed. Expected: 23e2, Got: 9169
Checksum failed. Expected: 44ad, Got: 0000
Checksum failed. Expected: ad66, Got: 6e98
Checksum failed. Expected: db35, Got: dd2f
Checksum failed. Expected: f5d2, Got: 4bc7
Checksum failed. Expected: af34, Got: ba5f
Checksum failed. Expected: c14e, Got: 28f6
Checksum failed. Expected: c907, Got: 978e
Checksum failed. Expected: fdfd, Got: 0625
Checksum failed. Expected: a12a, Got: 74bd
Checksum failed. Expected: 6413, Got: e354
Checksum failed. Expected: 37da, Got: 51ec
Checksum failed. Expected: 549a, Got: c083
Checksum failed. Expected: 923b, Got: 2f1b
Checksum failed. Expected: fa01, Got: 9db3
Checksum failed. Expected: dfb9, Got: 0c4a
Checksum failed. Expected: 662e, Got: 7ae2
Checksum failed. Expected: 8d9b, Got: e979
Checksum failed. Expected: b1c4, Got: 5811
Checksum failed. Expected: cd6e, Got: c6a8
Checksum failed. Expected: 06d1, Got: 3540
Checksum failed. Expected: a497, Got: a3d7
Checksum failed. Expected: e786, Got: 126f
Checksum failed. Expected: ce4a, Got: 8106
Checksum failed. Expected: 51b2, Got: ef9e
Checksum failed. Expected: 50e2, Got: 5e36
Checksum failed. Expected: 2274, Got: cccd
Checksum failed. Expected: 1d7f, Got: 3b65
Checksum failed. Expected: e9bd, Got: a9fc
Checksum failed. Expected: 0bde, Got: 1894
Checksum failed. Expected: 52c0, Got: 872b
Checksum failed. Expected: 5318, Got: f5c3
Checksum failed. Expected: f95e, Got: 645a
Checksum failed. Expected: a3df, Got: d2f2
Checksum failed. Expected: 43d1, Got: 418a
Checksum failed. Expected: 3313, Got: b021
Checksum failed. Expected: b344, Got: 1eb9
Checksum failed. Expected: 3d06, Got: 8d50
Checksum failed. Expected: 0318, Got: fbe8
Checksum failed. Expected: 33f6, Got: 6a7f
Checksum failed. Expected: 2993, Got: d917
Checksum failed. Expected: b457, Got: 47ae
Checksum failed. Expected: ce00, Got: b646
Checksum failed. Expected: b296, Got: 24de
Checksum failed. Expected: 7657, Got: 9375
Checksum failed. Expected: 7ef8, Got: 020d
Checksum failed. Expected: 4b50, Got: 70a4
Checksum failed. Expected: 82a4, Got: df3c
Checksum failed. Expected: c35c, Got: 4dd3
Checksum failed. Expected: ac57, Got: bc6b
Checksum failed. Expected: 1431, Got: 2b02
Checksum failed. Expected: dc4a, Got: 999a
Checksum failed. Expected: a7a2, Got: 0832
Checksum failed. Expected: 4124, Got: 76c9
Checksum failed. Expected: e142, Got: e561
Checksum failed. Expected: 1100, Got: 53f8
Checksum failed. Expected: 6919, Got: c290
Checksum failed. Expected: 2ab9, Got: 3127
Checksum failed. Expected: 2e10, Got: 9fbf
Checksum failed. Expected: 1c46, Got: 0e56
Checksum failed. Expected: 10d3, Got: 7cee
Checksum failed. Expected: 1bac, Got: eb85
Checksum failed. Expected: c319, Got: 5a1d
Checksum failed. Expected: 8b1f, Got: c8b5
Checksum failed. Expected: 8d79, Got: 374c
Checksum failed. Expected: 5d02, Got: a5e4
Checksum failed. Expected: 9334, Got: 147b
Checksum failed. Expected: 222f, Got: 8313
Checksum failed. Expected: a69e, Got: f1aa
Checksum failed. Expected: 4487, Got: 6042
Checksum failed. Expected: 1c79, Got: ced9
Checksum failed. Expected: 274c, Got: 3d71
Checksum failed. Expected: a866, Got: ac09
Checksum failed. Expected: adca, Got: 1aa0
Checksum failed. Expected: 18ed, Got: 8938
Checksum failed. Expected: 14e0, Got: f7cf
Checksum failed. Expected: 35ff, Got: 6667
Checksum failed. Expected: 2427, Got: d4fe
Checksum failed. Expected: 236a, Got: 4396
Checksum failed. Expected: ea62, Got: b22d
Checksum failed. Expected: 82ef, Got: 20c5
Checksum failed. Expected: f77f, Got: 8f5d
Checksum failed. Expected: cc5c, Got: fdf4
Checksum failed. Expected: 63e3, Got: 6c8c
Checksum failed. Expected: 6413, Got: db23
Checksum failed. Expected: 5dcb, Got: 49bb
Checksum failed. Expected: fa75, Got: b852
Checksum failed. Expected: daf2, Got: 26ea
Checksum failed. Expected: 737a, Got: 9581
Checksum failed. Expected: bba7, Got: 0419
Checksum failed. Expected: f1b1, Got: 72b0
Checksum failed. Expected: af73, Got: e148
Checksum failed. Expected: 799d, Got: 4fe0
Checksum failed. Expected: cf87, Got: be77
Checksum failed. Expected: 849e, Got: 2d0f
Checksum failed. Expected: 3028, Got: 9ba6
Checksum failed. Expected: 2c35, Got: 0a3e
Checksum failed. Expected: 711d, Got: 78d5
Checksum failed. Expected: 112f, Got: e76d
Checksum failed. Expected: 66f3, Got: 5604
Checksum failed. Expected: d518, Got: c49c
Checksum failed. Expected: 0f82, Got: 3334
Checksum failed. Expected: 0a52, Got: a1cb
Checksum failed. Expected: 6bf1, Got: 1063
Checksum failed. Expected: 55d3, Got: 7efa
Checksum failed. Expected: 4989, Got: ed92
Checksum failed. Expected: 15cf, Got: 5c29
Checksum failed. Expected: 1504, Got: cac1
Checksum failed. Expected: a0d0, Got: 3958
Checksum failed. Expected: b963, Got: a7f0
Checksum failed. Expected: 28a7, Got: 1688
Checksum failed. Expected: 50f9, Got: 851f
Checksum failed. Expected: 5efb, Got: f3b7
Checksum failed. Expected: 90e9, Got: 624e
Checksum failed. Expected: 099a, Got: d0e6
Checksum failed. Expected: bfcc, Got: 3f7d
Checksum failed. Expected: 927f, Got: ae15
Checksum failed. Expected: 8601, Got: 1cac
Checksum failed. Expected: eeee, Got: 8b44
Checksum failed. Expected: c5e7, Got: f9db
Checksum failed. Expected: 1be0, Got: 6873
Checksum failed. Expected: 1f3a, Got: d70b
Checksum failed. Expected: d43e, Got: 45a2
Checksum failed. Expected: f339, Got: b43a
Checksum failed. Expected: 8cb5, Got: 22d1
Checksum failed. Expected: 1bd0, Got: 9169
Checksum failed. Expected: 3ec1, Got: 0000
Checksum failed. Expected: 4752, Got: 6e98
Checksum failed. Expected: 7959, Got: dd2f
Checksum failed. Expected: a4e4, Got: 4bc7
Checksum failed. Expected: d8f2, Got: ba5f
Checksum failed. Expected: a870, Got: 28f6
Checksum failed. Expected: f1b7, Got: 978e
Checksum failed. Expected: 2d1d, Got: 0625
Checksum failed. Expected: b4b4, Got: 74bd
Checksum failed. Expected: afad, Got: e354
Checksum failed. Expected: 1f0a, Got: 51ec
Checksum failed. Expected: 5b7c, Got: c083
Checksum failed. Expected: 6fd1, Got: 2f1b
Checksum failed. Expected: 4bef, Got: 9db3
Checksum failed. Expected: 3a33, Got: 0c4a
Checksum failed. Expected: c5e0, Got: 7ae2
Checksum failed. Expected: 97a7, Got: e979
Checksum failed. Expected: 7a42, Got: 5811
Checksum failed. Expected: ad2e, Got: c6a8
Checksum failed. Expected: c7df, Got: 3540
Checksum failed. Expected: 997d, Got: a3d7
Checksum failed. Expected: 9dfa, Got: 126f
Checksum failed. Expected: deaa, Got: 8106
Checksum failed. Expected: 38d4, Got: ef9e
Checksum failed. Expected: 2c6a, Got: 5e36
Checksum failed. Expected: 6490, Got: cccd
Checksum failed. Expected: aeed, Got: 3b65
