
#################################################################
Log started at 2025-06-12_13-58-09 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-0.070278, Y=-0.084140, Z=9.805093 m/s^2 Time of Week: 5116804325615506350967126076003684065737057501184.000000, Week Number: 0
Acceleration: X=-0.070088, Y=-0.096493, Z=9.774513 m/s^2 Time of Week: -0.000000, Week Number: 0
Acceleration: X=-0.066015, Y=-0.094425, Z=9.794886 m/s^2 Time of Week: 0.000000, Week Number: 0
Acceleration: X=-0.074986, Y=-0.099327, Z=9.812763 m/s^2 Time of Week: 1376674936879401299209335653406352429689202503464172825435376489644578776311652156092632826191152873072528692037447692685020905170764782702626164837449728.000000, Week Number: 0
Acceleration: X=-0.078007, Y=-0.098869, Z=9.804481 m/s^2 Time of Week: -0.000000, Week Number: 0
Acceleration: X=-0.078753, Y=-0.087887, Z=9.795248 m/s^2 Time of Week: 0.000000, Week Number: 0
Acceleration: X=-0.077428, Y=-0.092067, Z=9.802149 m/s^2 Time of Week: 85895840989891213659493535854877253448341774646771103550517924940428736658690599951450955033149459094082950378578546959487186257106570516150220635103327365074778415869050139103186400825269174372846651412225713085084174931215532643363752730983137280.000000, Week Number: 0
Acceleration: X=-0.073241, Y=-0.091001, Z=9.817246 m/s^2 Time of Week: -168822639924773860337513777317141659086861466227601166097365627678285321207808.000000, Week Number: 0
Acceleration: X=-0.073504, Y=-0.095826, Z=9.801421 m/s^2 Time of Week: 0.000000, Week Number: 0
Acceleration: X=-0.077594, Y=-0.093653, Z=9.788807 m/s^2 Time of Week: -0.000000, Week Number: 0
Acceleration: X=-0.067796, Y=-0.089104, Z=9.805314 m/s^2 Time of Week: -684086968702371223808373597386380104231405046923311481380740383512817112439240400459656541481886090226235624668879589928264286305950620252175823212834197462221211296950638346240.000000, Week Number: 0
Acceleration: X=-0.069892, Y=-0.091921, Z=9.821780 m/s^2 Time of Week: 21.370030, Week Number: 0
Acceleration: X=-0.074413, Y=-0.090884, Z=9.793123 m/s^2 Time of Week: -0.000000, Week Number: 0
Acceleration: X=-0.080086, Y=-0.092509, Z=9.801350 m/s^2 Time of Week: -42029519028678222315314340140835687741609859178607462341010838446767269971057847862918079922216872585394161329761849561540489841253417384976154496347114870791820421129449575375039126793643172452293991741816147076488273153167275848805671074350084872469471169940474841530368.000000, Week Number: 0
Acceleration: X=-0.080711, Y=-0.099718, Z=9.807643 m/s^2 Time of Week: 85945427980727800328294829057025919581894211454597615328632553588369160836344609382777388726881353728.000000, Week Number: 0
Acceleration: X=-0.070580, Y=-0.100710, Z=9.814298 m/s^2 Time of Week: -0.000000, Week Number: 0
Acceleration: X=-0.065690, Y=-0.090868, Z=9.807308 m/s^2 Time of Week: 0.000000, Week Number: 0
Acceleration: X=-0.071470, Y=-0.096837, Z=9.778079 m/s^2 Time of Week: 343068743791571978137362962114514263923041686696907524993999978359175119602457568245607246756030568253440762830638526806826705291388600137413693322454357177864160909614401308046212292215774228063977472.000000, Week Number: 0
Acceleration: X=-0.069176, Y=-0.089957, Z=9.796869 m/s^2 Time of Week: -10088030054772470527819776.000000, Week Number: 0
Acceleration: X=-0.079246, Y=-0.096114, Z=9.806471 m/s^2 Time of Week: 0.000000, Week Number: 0
Acceleration: X=-0.076770, Y=-0.093345, Z=9.818072 m/s^2 Time of Week: 19931883469178401625081792160711176323862909873905545129105224947271140457466601247162249473417046532721649124311270234666437357889265901339474972103039864967240745574782125846968992971919653190129631073188596445356897268487625555151621430287405504598577159005669773392178699870581524466421989376.000000, Week Number: 0
Acceleration: X=-0.076464, Y=-0.094491, Z=9.800960 m/s^2 Time of Week: -2683088533061656285925218481958613116971957208049187829369952958462131792048516527871071957141562609038733925124256816293161730048.000000, Week Number: 0
Acceleration: X=-0.073276, Y=-0.098801, Z=9.795880 m/s^2 Time of Week: 0.000000, Week Number: 0
Acceleration: X=-0.068378, Y=-0.091877, Z=9.815480 m/s^2 Time of Week: -0.000000, Week Number: 0
Acceleration: X=-0.070512, Y=-0.090967, Z=9.811836 m/s^2 Time of Week: -163368269161582693858684135704926125703614201957065706418696544404493468207765900145009819233438847701462926661485666414899582685160112058196695564722119363942067322472286236973530075379107641384354353616477822219895938482176.000000, Week Number: 0
Acceleration: X=-0.069745, Y=-0.085304, Z=9.795702 m/s^2 Time of Week: 5116804314896777946457037591391496907518893883392.000000, Week Number: 0
Acceleration: X=-0.073431, Y=-0.097639, Z=9.797021 m/s^2 Time of Week: -0.000000, Week Number: 0
Acceleration: X=-0.073265, Y=-0.096413, Z=9.793511 m/s^2 Time of Week: 0.000000, Week Number: 0
Acceleration: X=-0.072788, Y=-0.096041, Z=9.819228 m/s^2 Time of Week: 1376674933806477704094666237533271697096628169508059928989759517093994751922120353068311843531529658126103360136025647495002249018295233766979091879165952.000000, Week Number: 0
Acceleration: X=-0.077323, Y=-0.092202, Z=9.800095 m/s^2 Time of Week: -0.000000, Week Number: 0
Acceleration: X=-0.081868, Y=-0.091140, Z=9.792060 m/s^2 Time of Week: 0.000000, Week Number: 0
Acceleration: X=-0.075247, Y=-0.094353, Z=9.812625 m/s^2 Time of Week: 85895840784774808611355737986546622730482953849992661105277164454148778079288722429529195157890482772659973479375651097721815042046940845287596294712492336287206424375994456629036413995029094825700314594822748418745168230489571031308143984285581312.000000, Week Number: 0
Acceleration: X=-0.072359, Y=-0.098192, Z=9.808368 m/s^2 Time of Week: -168822639500161282348120485375304791343032512519836072385814145420356854218752.000000, Week Number: 0
Acceleration: X=-0.076051, Y=-0.100109, Z=9.801426 m/s^2 Time of Week: 0.000000, Week Number: 0
Acceleration: X=-0.072044, Y=-0.095904, Z=9.791217 m/s^2 Time of Week: -0.000000, Week Number: 0
