
#################################################################
Log started at 2025-06-12_16-19-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 874f, Got: a9b1
Checksum failed. Expected: 4114, Got: ab79
Checksum failed. Expected: c29b, Got: abe6
Checksum failed. Expected: 6e2e, Got: 3079
Checksum failed. Expected: 2845, Got: b863
Checksum failed. Expected: b187, Got: 429f
Checksum failed. Expected: 3d0d, Got: 3a75
Checksum failed. Expected: 628c, Got: 3067
Checksum failed. Expected: 0165, Got: a83e
Checksum failed. Expected: 72e4, Got: a8ad
Checksum failed. Expected: bf70, Got: 24f9
Checksum failed. Expected: dc20, Got: 9ef9
Checksum failed. Expected: 4545, Got: 98ca
Checksum failed. Expected: d741, Got: 1954
Checksum failed. Expected: ae58, Got: 138f
Checksum failed. Expected: 51e4, Got: 102e
Checksum failed. Expected: 0b06, Got: 09a4
Checksum failed. Expected: 25ce, Got: 8973
Checksum failed. Expected: 26cb, Got: 06b0
Checksum failed. Expected: 79d8, Got: 0c33
Checksum failed. Expected: 7fca, Got: 1220
Checksum failed. Expected: 0de0, Got: 8b22
Checksum failed. Expected: ac9a, Got: 0a77
Checksum failed. Expected: 4e8d, Got: 0710
Checksum failed. Expected: 727d, Got: 054f
Checksum failed. Expected: 688d, Got: 895e
Checksum failed. Expected: cea2, Got: 0862
Checksum failed. Expected: 44ad, Got: 8d17
Checksum failed. Expected: 429e, Got: 84bb
Checksum failed. Expected: c48d, Got: 432e
Checksum failed. Expected: 4ad4, Got: 472d
Checksum failed. Expected: 3f05, Got: 4f44
Checksum failed. Expected: 4b6a, Got: 55ed
Checksum failed. Expected: 331f, Got: 19f3
Checksum failed. Expected: c2f5, Got: d3c2
Checksum failed. Expected: 7a11, Got: 8e4e
Checksum failed. Expected: 711d, Got: 1051
Checksum failed. Expected: 1e4f, Got: d327
Checksum failed. Expected: 57b5, Got: 95c9
Checksum failed. Expected: 57b3, Got: d83f
Checksum failed. Expected: eb08, Got: 1be4
Checksum failed. Expected: d6fc, Got: 1c91
Checksum failed. Expected: ad83, Got: d9b9
Checksum failed. Expected: e780, Got: 5969
Checksum failed. Expected: 7630, Got: 2fd1
Checksum failed. Expected: ea55, Got: 16cf
Checksum failed. Expected: 6b7b, Got: 1337
Checksum failed. Expected: 788a, Got: d3ab
Checksum failed. Expected: 27ac, Got: 56ff
Checksum failed. Expected: 4ed4, Got: a2f1
Checksum failed. Expected: 5efa, Got: 9137
Checksum failed. Expected: 2c40, Got: 9570
Checksum failed. Expected: f212, Got: 174e
Checksum failed. Expected: 759c, Got: 9f64
Checksum failed. Expected: b336, Got: 189e
Checksum failed. Expected: 67b7, Got: 1638
Checksum failed. Expected: 8057, Got: 96b8
Checksum failed. Expected: 6dcf, Got: 954e
Checksum failed. Expected: 84f9, Got: 08ef
Checksum failed. Expected: 7b23, Got: 0bd2
Checksum failed. Expected: f121, Got: 0387
Checksum failed. Expected: 427b, Got: 89c3
Checksum failed. Expected: cbfc, Got: 0efb
Checksum failed. Expected: 7e20, Got: 87d0
Checksum failed. Expected: 6903, Got: 8820
Checksum failed. Expected: 9771, Got: 0cd8
Checksum failed. Expected: beb7, Got: 9c40
Checksum failed. Expected: 938a, Got: 18e7
Checksum failed. Expected: b2ec, Got: 1cc5
Checksum failed. Expected: 1f86, Got: 1d6e
Checksum failed. Expected: fa28, Got: 9a33
Checksum failed. Expected: d521, Got: 9ecf
Checksum failed. Expected: 812a, Got: a3b6
Checksum failed. Expected: 2418, Got: 2445
Checksum failed. Expected: c21f, Got: a639
Checksum failed. Expected: f2a8, Got: 2b33
Checksum failed. Expected: a4f9, Got: 2786
Checksum failed. Expected: e2bc, Got: 3168
Checksum failed. Expected: 2e18, Got: 3829
Checksum failed. Expected: e953, Got: 3c77
Checksum failed. Expected: a2ca, Got: bf9c
Checksum failed. Expected: f324, Got: be2c
Checksum failed. Expected: c002, Got: bffb
Checksum failed. Expected: 05ff, Got: 4274
Checksum failed. Expected: d02d, Got: 44c4
Checksum failed. Expected: 97d7, Got: 433f
Checksum failed. Expected: 6cec, Got: bbdb
Checksum failed. Expected: f466, Got: b6fc
Checksum failed. Expected: ae5a, Got: 3adc
Checksum failed. Expected: 6eb9, Got: aa9b
Checksum failed. Expected: baa2, Got: a3dd
Checksum failed. Expected: 7347, Got: a775
Checksum failed. Expected: b7dd, Got: aad1
Checksum failed. Expected: 7052, Got: a4ee
Checksum failed. Expected: 587b, Got: 1a20
Checksum failed. Expected: 810e, Got: 8943
Checksum failed. Expected: f705, Got: 85f6
Checksum failed. Expected: 12f1, Got: 1069
Checksum failed. Expected: 28be, Got: 8add
Checksum failed. Expected: 1ed1, Got: 2074
Checksum failed. Expected: 8b5f, Got: 1484
Checksum failed. Expected: 59ca, Got: 857b
Checksum failed. Expected: 4ced, Got: 832b
Checksum failed. Expected: 93bf, Got: 8e98
Checksum failed. Expected: e298, Got: 99a9
Checksum failed. Expected: 9a63, Got: 9af0
Checksum failed. Expected: d363, Got: 956c
Checksum failed. Expected: efd5, Got: 1329
Checksum failed. Expected: 7f07, Got: 1559
Checksum failed. Expected: 4b2a, Got: 8bab
Checksum failed. Expected: 7d5a, Got: 1117
Checksum failed. Expected: f05c, Got: 1466
Checksum failed. Expected: 52ea, Got: 11d3
Checksum failed. Expected: 5143, Got: 5378
Checksum failed. Expected: 8295, Got: 1611
Checksum failed. Expected: faf8, Got: 1735
Checksum failed. Expected: 2940, Got: d4f3
Checksum failed. Expected: b46e, Got: 13c4
Checksum failed. Expected: 8b09, Got: 8fe9
Checksum failed. Expected: f88d, Got: 8dab
Checksum failed. Expected: c320, Got: 50fa
Checksum failed. Expected: abd0, Got: 9312
Checksum failed. Expected: c7a2, Got: 25b5
Checksum failed. Expected: bee6, Got: d324
Checksum failed. Expected: 9e0f, Got: 555b
Checksum failed. Expected: d223, Got: 51a4
Checksum failed. Expected: 0215, Got: 1db0
Checksum failed. Expected: 151c, Got: 8dc4
Checksum failed. Expected: 6620, Got: 102b
Checksum failed. Expected: b97c, Got: 106c
Checksum failed. Expected: 7bc8, Got: 99a0
Checksum failed. Expected: 0604, Got: 8941
Checksum failed. Expected: 7913, Got: 8b71
Checksum failed. Expected: 12e6, Got: 12fa
Checksum failed. Expected: 6634, Got: 8f19
Checksum failed. Expected: 699c, Got: 0fef
Checksum failed. Expected: 8af8, Got: 8368
Checksum failed. Expected: 3556, Got: 7fbd
Checksum failed. Expected: ef3e, Got: 0168
Checksum failed. Expected: 2920, Got: 80e2
Checksum failed. Expected: 8a14, Got: 001a
Checksum failed. Expected: c5a3, Got: 06c2
Checksum failed. Expected: 386a, Got: 034b
Checksum failed. Expected: c34c, Got: 8cf4
Checksum failed. Expected: 14e5, Got: 89cb
Checksum failed. Expected: 926e, Got: 0adb
Checksum failed. Expected: bc40, Got: 0dbc
Checksum failed. Expected: 54f6, Got: 8f38
Checksum failed. Expected: 1752, Got: 9642
Checksum failed. Expected: bf12, Got: 9f13
Checksum failed. Expected: 4a8e, Got: 21ab
Checksum failed. Expected: 471e, Got: 238a
Checksum failed. Expected: ddfd, Got: 2789
Checksum failed. Expected: 6dae, Got: b4c6
Checksum failed. Expected: 6bda, Got: b149
Checksum failed. Expected: 7bf0, Got: 27ca
Checksum failed. Expected: c12b, Got: 35ce
Checksum failed. Expected: 5159, Got: bdfc
Checksum failed. Expected: 10d6, Got: bee2
Checksum failed. Expected: 6e91, Got: 3a92
Checksum failed. Expected: 4600, Got: bc48
Checksum failed. Expected: 4e4b, Got: 39be
Checksum failed. Expected: 687f, Got: 424a
Checksum failed. Expected: 10c0, Got: c57a
Checksum failed. Expected: c8e3, Got: 3863
