
#################################################################
Log started at 2025-06-16_16-04-48.823329 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.304429, Y=0.164899, Z=9.780630 m/s^2 Time of Week: 115488.574773, Week Number: 2371
Acceleration: X=0.297390, Y=0.160671, Z=9.769035 m/s^2 Time of Week: 115488.578773, Week Number: 2371
Acceleration: X=0.295089, Y=0.160837, Z=9.773704 m/s^2 Time of Week: 115488.582773, Week Number: 2371
Acceleration: X=0.293050, Y=0.157588, Z=9.780861 m/s^2 Time of Week: 115488.586773, Week Number: 2371
Acceleration: X=0.297052, Y=0.161501, Z=9.785306 m/s^2 Time of Week: 115488.590773, Week Number: 2371
Acceleration: X=0.298879, Y=0.168121, Z=9.783239 m/s^2 Time of Week: 115488.594773, Week Number: 2371
Acceleration: X=0.307121, Y=0.167066, Z=9.779758 m/s^2 Time of Week: 115488.598773, Week Number: 2371
Acceleration: X=0.315834, Y=0.171883, Z=9.780829 m/s^2 Time of Week: 115488.602773, Week Number: 2371
Acceleration: X=0.315826, Y=0.176349, Z=9.796890 m/s^2 Time of Week: 115488.606773, Week Number: 2371
Acceleration: X=0.324945, Y=0.187867, Z=9.796480 m/s^2 Time of Week: 115488.610773, Week Number: 2371
Acceleration: X=0.322885, Y=0.184762, Z=9.803364 m/s^2 Time of Week: 115488.614773, Week Number: 2371
Acceleration: X=0.330826, Y=0.188127, Z=9.815202 m/s^2 Time of Week: 115488.618773, Week Number: 2371
Acceleration: X=0.338891, Y=0.191747, Z=9.818470 m/s^2 Time of Week: 115488.622773, Week Number: 2371
Acceleration: X=0.339739, Y=0.197501, Z=9.839194 m/s^2 Time of Week: 115488.626773, Week Number: 2371
Acceleration: X=0.342454, Y=0.201626, Z=9.866864 m/s^2 Time of Week: 115488.630773, Week Number: 2371
Acceleration: X=0.346625, Y=0.201552, Z=9.845451 m/s^2 Time of Week: 115488.634773, Week Number: 2371
Acceleration: X=0.348962, Y=0.202440, Z=9.829460 m/s^2 Time of Week: 115488.638773, Week Number: 2371
Acceleration: X=0.348244, Y=0.211834, Z=9.798303 m/s^2 Time of Week: 115488.642773, Week Number: 2371
Acceleration: X=0.341601, Y=0.208248, Z=9.786821 m/s^2 Time of Week: 115488.646773, Week Number: 2371
Acceleration: X=0.335647, Y=0.199013, Z=9.778962 m/s^2 Time of Week: 115488.650773, Week Number: 2371
Acceleration: X=0.324636, Y=0.188189, Z=9.786507 m/s^2 Time of Week: 115488.654773, Week Number: 2371
Acceleration: X=0.313705, Y=0.176923, Z=9.800490 m/s^2 Time of Week: 115488.658773, Week Number: 2371
