
#################################################################
Log started at 2025-06-12_16-20-22 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: a6ce, Got: 7f0c
Checksum failed. Expected: ffe9, Got: 393f
Checksum failed. Expected: a7e0, Got: b228
Checksum failed. Expected: 323c, Got: 28fe
Checksum failed. Expected: 9eb9, Got: e605
Checksum failed. Expected: c320, Got: 23da
Checksum failed. Expected: 7518, Got: 5d5b
Checksum failed. Expected: 61c5, Got: 9634
Checksum failed. Expected: 414c, Got: 156c
Checksum failed. Expected: ae2a, Got: b616
Checksum failed. Expected: c24a, Got: 31c0
Checksum failed. Expected: 48ec, Got: b1c6
Checksum failed. Expected: d9e6, Got: 4322
Checksum failed. Expected: fedf, Got: 3f62
Checksum failed. Expected: 9691, Got: 3c06
Checksum failed. Expected: f3bc, Got: bc56
Checksum failed. Expected: 9c56, Got: 414c
Checksum failed. Expected: 84a0, Got: 67cc
Checksum failed. Expected: d2d1, Got: eb6e
Checksum failed. Expected: 0db9, Got: 6aec
Checksum failed. Expected: 07b0, Got: 6700
Checksum failed. Expected: 9699, Got: 408d
Checksum failed. Expected: 9295, Got: 8b3b
Checksum failed. Expected: bb6f, Got: 57e5
Checksum failed. Expected: 602b, Got: 8f5d
Checksum failed. Expected: c416, Got: 9436
Checksum failed. Expected: 908b, Got: cd2c
Checksum failed. Expected: 6741, Got: 4c7f
Checksum failed. Expected: 0e60, Got: 51d7
Checksum failed. Expected: 5dc3, Got: 96b4
Checksum failed. Expected: 55fb, Got: d4d5
Checksum failed. Expected: 8ab6, Got: 1735
Checksum failed. Expected: 9862, Got: d859
Checksum failed. Expected: d062, Got: 24fe
Checksum failed. Expected: 348a, Got: 1a48
Checksum failed. Expected: 7752, Got: 1cd1
Checksum failed. Expected: a550, Got: 1a67
Checksum failed. Expected: 15d3, Got: 18e6
Checksum failed. Expected: 0ca1, Got: 9315
Checksum failed. Expected: c96d, Got: 9447
Checksum failed. Expected: 6488, Got: 114c
Checksum failed. Expected: 5c3c, Got: 0584
Checksum failed. Expected: abd1, Got: 7d46
Checksum failed. Expected: 3f23, Got: 0309
Checksum failed. Expected: 1cb6, Got: f2d7
