
#################################################################
Log started at 2025-06-12_16-19-38 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 12cf, Got: 2fac
Checksum failed. Expected: 9a30, Got: 2b29
Checksum failed. Expected: 7507, Got: af93
Checksum failed. Expected: 59fb, Got: aeeb
Checksum failed. Expected: 999b, Got: 2e94
Checksum failed. Expected: 42a4, Got: 2c57
Checksum failed. Expected: 94ad, Got: 2944
Checksum failed. Expected: b6f5, Got: 2608
Checksum failed. Expected: 9e26, Got: 2125
Checksum failed. Expected: 27ed, Got: a101
Checksum failed. Expected: 0537, Got: a504
Checksum failed. Expected: 91d2, Got: a312
Checksum failed. Expected: f0cb, Got: 9f1e
Checksum failed. Expected: 18b6, Got: 9d9d
Checksum failed. Expected: 614b, Got: a181
Checksum failed. Expected: d8e6, Got: a158
Checksum failed. Expected: fbc8, Got: 9e1b
Checksum failed. Expected: 6fbd, Got: 2829
Checksum failed. Expected: 57de, Got: 261f
Checksum failed. Expected: 4ec8, Got: a301
Checksum failed. Expected: f339, Got: 20bf
Checksum failed. Expected: f3b6, Got: a8c6
Checksum failed. Expected: 2ef9, Got: a3f6
Checksum failed. Expected: aa6f, Got: a185
Checksum failed. Expected: 10bc, Got: 2328
Checksum failed. Expected: 4691, Got: 253e
Checksum failed. Expected: e949, Got: 28e2
Checksum failed. Expected: 97fa, Got: ad5e
Checksum failed. Expected: 731f, Got: 2990
Checksum failed. Expected: e2e4, Got: 2a80
Checksum failed. Expected: 6643, Got: a99b
Checksum failed. Expected: aaf5, Got: 2ce9
Checksum failed. Expected: 5300, Got: 97e7
Checksum failed. Expected: bc70, Got: 9a1a
Checksum failed. Expected: da80, Got: 1802
Checksum failed. Expected: 4fb5, Got: 1a58
Checksum failed. Expected: f437, Got: ae8a
Checksum failed. Expected: a096, Got: 3f11
Checksum failed. Expected: ad9f, Got: bb10
Checksum failed. Expected: b7ee, Got: bc20
Checksum failed. Expected: cb9b, Got: c45c
Checksum failed. Expected: a2c4, Got: 3895
Checksum failed. Expected: f009, Got: 2cd8
Checksum failed. Expected: 5b6c, Got: 2c85
Checksum failed. Expected: d8f7, Got: ab20
Checksum failed. Expected: 71f4, Got: 2ebd
Checksum failed. Expected: e6cb, Got: b998
Checksum failed. Expected: 43d7, Got: 3bb1
Checksum failed. Expected: 1c5b, Got: bdf4
Checksum failed. Expected: dc2f, Got: 3e74
Checksum failed. Expected: 8080, Got: 348d
Checksum failed. Expected: 7ca4, Got: 2f03
Checksum failed. Expected: e5ae, Got: a45e
Checksum failed. Expected: a95c, Got: 30e5
Checksum failed. Expected: c429, Got: 35e9
Checksum failed. Expected: dd32, Got: bae2
Checksum failed. Expected: 75c8, Got: 2d92
Checksum failed. Expected: 9eb7, Got: 2e78
Checksum failed. Expected: 0ae5, Got: 3806
Checksum failed. Expected: 0c59, Got: 3ebc
Checksum failed. Expected: 5069, Got: c0be
Checksum failed. Expected: f04e, Got: bd7b
Checksum failed. Expected: 387c, Got: 3451
Checksum failed. Expected: 9528, Got: af09
Checksum failed. Expected: 63ea, Got: 3780
Checksum failed. Expected: 8fff, Got: 3e7f
Checksum failed. Expected: d3e8, Got: c1dd
Checksum failed. Expected: 5b33, Got: bf35
Checksum failed. Expected: 4072, Got: b97c
Checksum failed. Expected: f207, Got: 3535
Checksum failed. Expected: a927, Got: ab1c
Checksum failed. Expected: 6050, Got: a1da
Checksum failed. Expected: 5612, Got: b0fb
Checksum failed. Expected: 7a63, Got: ba4c
Checksum failed. Expected: 6bbf, Got: be5d
Checksum failed. Expected: 5036, Got: b8eb
Checksum failed. Expected: a457, Got: b79d
Checksum failed. Expected: 3e8d, Got: 2ea8
Checksum failed. Expected: 80ea, Got: 3443
Checksum failed. Expected: 3f8a, Got: bcba
Checksum failed. Expected: f6dc, Got: 369c
Checksum failed. Expected: 132d, Got: ab75
Checksum failed. Expected: 3293, Got: a6e8
Checksum failed. Expected: bdf9, Got: a9fa
Checksum failed. Expected: 8e20, Got: b149
Checksum failed. Expected: 0e6b, Got: ad64
Checksum failed. Expected: 0c92, Got: 2ce7
Checksum failed. Expected: ef50, Got: a65a
Checksum failed. Expected: 31e9, Got: 2585
Checksum failed. Expected: a7fe, Got: 29fc
Checksum failed. Expected: ffc6, Got: 31aa
Checksum failed. Expected: 0774, Got: 3115
Checksum failed. Expected: 10bc, Got: a970
Checksum failed. Expected: cf3e, Got: a555
Checksum failed. Expected: bd1a, Got: a8b9
Checksum failed. Expected: b1eb, Got: 320d
Checksum failed. Expected: 09a9, Got: b3d2
Checksum failed. Expected: 3989, Got: 2f80
Checksum failed. Expected: 4bf8, Got: 32ea
Checksum failed. Expected: 2b40, Got: af58
Checksum failed. Expected: 1711, Got: a963
Checksum failed. Expected: d2d1, Got: 24b1
Checksum failed. Expected: ffa5, Got: 319b
Checksum failed. Expected: b74a, Got: 3546
Checksum failed. Expected: 72be, Got: 349c
Checksum failed. Expected: 8fc6, Got: 3058
Checksum failed. Expected: c424, Got: 2413
Checksum failed. Expected: fea0, Got: 2b84
Checksum failed. Expected: 66aa, Got: 2e59
Checksum failed. Expected: e4cf, Got: 389f
Checksum failed. Expected: f819, Got: 3498
Checksum failed. Expected: e3c1, Got: 2bc3
Checksum failed. Expected: 6909, Got: b17c
Checksum failed. Expected: f313, Got: b595
Checksum failed. Expected: 0e39, Got: 3ec2
Checksum failed. Expected: 8352, Got: b7ea
Checksum failed. Expected: 98ff, Got: 35ef
Checksum failed. Expected: e7ae, Got: 303e
Checksum failed. Expected: a424, Got: 2de7
Checksum failed. Expected: 60c2, Got: 31a8
Checksum failed. Expected: ee71, Got: b243
Checksum failed. Expected: 0fc4, Got: 32ef
Checksum failed. Expected: 1a9b, Got: 2cc8
Checksum failed. Expected: b076, Got: b152
Checksum failed. Expected: e083, Got: b3ad
Checksum failed. Expected: 856e, Got: ab2f
Checksum failed. Expected: df40, Got: 234a
Checksum failed. Expected: d722, Got: b007
Checksum failed. Expected: e42d, Got: ac46
Checksum failed. Expected: 1358, Got: aca8
Checksum failed. Expected: 1aa9, Got: 30b9
Checksum failed. Expected: f152, Got: ac71
Checksum failed. Expected: 4239, Got: a92c
Checksum failed. Expected: a871, Got: af15
Checksum failed. Expected: 2fc3, Got: 357c
Checksum failed. Expected: c11c, Got: 31b5
Checksum failed. Expected: 9dfc, Got: 2702
Checksum failed. Expected: 69dc, Got: a271
Checksum failed. Expected: 29fa, Got: 9c05
Checksum failed. Expected: bbd9, Got: 1ed6
Checksum failed. Expected: f870, Got: 205a
Checksum failed. Expected: 9f81, Got: 22e3
Checksum failed. Expected: 2016, Got: a727
Checksum failed. Expected: 7da2, Got: 2dea
Checksum failed. Expected: 0588, Got: 3a8c
Checksum failed. Expected: 2a9f, Got: 32fa
Checksum failed. Expected: 6040, Got: 3119
Checksum failed. Expected: 270f, Got: 37b6
Checksum failed. Expected: 6c47, Got: b61a
Checksum failed. Expected: 3759, Got: 3038
Checksum failed. Expected: 0e0b, Got: 313f
Checksum failed. Expected: 19dc, Got: b33c
Checksum failed. Expected: 8902, Got: 394a
Checksum failed. Expected: c9c4, Got: b4e9
Checksum failed. Expected: 0404, Got: b371
Checksum failed. Expected: 878f, Got: 3796
Checksum failed. Expected: 0463, Got: 2be7
Checksum failed. Expected: 6ac7, Got: 2c37
Checksum failed. Expected: f015, Got: ad8f
Checksum failed. Expected: ae8f, Got: abc8
Checksum failed. Expected: ec1c, Got: ae3e
Checksum failed. Expected: 4e3b, Got: b688
Checksum failed. Expected: b8cf, Got: b690
Checksum failed. Expected: 0524, Got: ba7c
Checksum failed. Expected: b72b, Got: b526
Checksum failed. Expected: 28e3, Got: 278e
Checksum failed. Expected: 262a, Got: 2077
Checksum failed. Expected: fef8, Got: 2e66
Checksum failed. Expected: a971, Got: 348a
Checksum failed. Expected: 8855, Got: bbd6
Checksum failed. Expected: 7f08, Got: 3268
Checksum failed. Expected: 32a3, Got: 3135
Checksum failed. Expected: a069, Got: b26d
Checksum failed. Expected: e74a, Got: 38d0
Checksum failed. Expected: df31, Got: c2f3
