
#################################################################
Log started at 2025-06-16_16-27-12.465813 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.377544, Y=0.090683, Z=9.781774 m/s^2 Time of Week: 4.432000, Week Number: 0
Acceleration: X=0.375147, Y=0.083694, Z=9.779463 m/s^2 Time of Week: 4.435000, Week Number: 0
Acceleration: X=0.372099, Y=0.080844, Z=9.787640 m/s^2 Time of Week: 4.438000, Week Number: 0
Acceleration: X=0.374504, Y=0.088538, Z=9.793014 m/s^2 Time of Week: 4.441000, Week Number: 0
Acceleration: X=0.383801, Y=0.090191, Z=9.787207 m/s^2 Time of Week: 4.444000, Week Number: 0
Acceleration: X=0.389354, Y=0.088727, Z=9.791904 m/s^2 Time of Week: 4.447000, Week Number: 0
Acceleration: X=0.401944, Y=0.092443, Z=9.791850 m/s^2 Time of Week: 4.450000, Week Number: 0
Acceleration: X=0.398561, Y=0.085250, Z=9.790906 m/s^2 Time of Week: 4.453000, Week Number: 0
Acceleration: X=0.405898, Y=0.081267, Z=9.796767 m/s^2 Time of Week: 4.456000, Week Number: 0
Acceleration: X=0.410552, Y=0.076743, Z=9.813047 m/s^2 Time of Week: 4.459000, Week Number: 0
Acceleration: X=0.414522, Y=0.083780, Z=9.820957 m/s^2 Time of Week: 4.462000, Week Number: 0
Acceleration: X=0.414477, Y=0.079380, Z=9.821292 m/s^2 Time of Week: 4.465000, Week Number: 0
Acceleration: X=0.420112, Y=0.078805, Z=9.813436 m/s^2 Time of Week: 4.468000, Week Number: 0
Acceleration: X=0.419199, Y=0.076639, Z=9.820922 m/s^2 Time of Week: 4.471000, Week Number: 0
Acceleration: X=0.422541, Y=0.073546, Z=9.829679 m/s^2 Time of Week: 4.474000, Week Number: 0
Acceleration: X=0.423347, Y=0.080959, Z=9.816712 m/s^2 Time of Week: 4.477000, Week Number: 0
Acceleration: X=0.418431, Y=0.080516, Z=9.809872 m/s^2 Time of Week: 4.480000, Week Number: 0
Acceleration: X=0.423339, Y=0.085719, Z=9.806062 m/s^2 Time of Week: 4.483000, Week Number: 0
Acceleration: X=0.412580, Y=0.084841, Z=9.798126 m/s^2 Time of Week: 4.486000, Week Number: 0
Acceleration: X=0.408982, Y=0.083324, Z=9.803980 m/s^2 Time of Week: 4.489000, Week Number: 0
Acceleration: X=0.399880, Y=0.085529, Z=9.808044 m/s^2 Time of Week: 4.492000, Week Number: 0
Acceleration: X=0.400888, Y=0.091744, Z=9.807978 m/s^2 Time of Week: 4.495000, Week Number: 0
Acceleration: X=0.396028, Y=0.094853, Z=9.799387 m/s^2 Time of Week: 4.498000, Week Number: 0
Acceleration: X=0.399575, Y=0.094439, Z=9.800268 m/s^2 Time of Week: 4.501000, Week Number: 0
Acceleration: X=0.392952, Y=0.089569, Z=9.793027 m/s^2 Time of Week: 4.504000, Week Number: 0
Acceleration: X=0.388971, Y=0.093046, Z=9.798548 m/s^2 Time of Week: 4.507000, Week Number: 0
Acceleration: X=0.389787, Y=0.092674, Z=9.793890 m/s^2 Time of Week: 4.510000, Week Number: 0
Acceleration: X=0.384885, Y=0.087122, Z=9.788988 m/s^2 Time of Week: 4.513000, Week Number: 0
Acceleration: X=0.383572, Y=0.086299, Z=9.783941 m/s^2 Time of Week: 4.516000, Week Number: 0
Acceleration: X=0.383547, Y=0.084260, Z=9.789822 m/s^2 Time of Week: 4.519000, Week Number: 0
Acceleration: X=0.383040, Y=0.075307, Z=9.792731 m/s^2 Time of Week: 4.522000, Week Number: 0
Acceleration: X=0.381887, Y=0.075324, Z=9.801309 m/s^2 Time of Week: 4.525000, Week Number: 0
Acceleration: X=0.380494, Y=0.077301, Z=9.803093 m/s^2 Time of Week: 4.528000, Week Number: 0
Acceleration: X=0.381328, Y=0.073168, Z=9.799522 m/s^2 Time of Week: 4.531000, Week Number: 0
Acceleration: X=0.382012, Y=0.070300, Z=9.790587 m/s^2 Time of Week: 4.534000, Week Number: 0
Acceleration: X=0.384273, Y=0.075160, Z=9.788799 m/s^2 Time of Week: 4.537000, Week Number: 0
Acceleration: X=0.393211, Y=0.082026, Z=9.801139 m/s^2 Time of Week: 4.540000, Week Number: 0
Acceleration: X=0.393675, Y=0.086456, Z=9.801703 m/s^2 Time of Week: 4.543000, Week Number: 0
Acceleration: X=0.393080, Y=0.090698, Z=9.800207 m/s^2 Time of Week: 4.546000, Week Number: 0
Acceleration: X=0.399085, Y=0.092770, Z=9.796739 m/s^2 Time of Week: 4.549000, Week Number: 0
Acceleration: X=0.397819, Y=0.090600, Z=9.802871 m/s^2 Time of Week: 4.552000, Week Number: 0
Acceleration: X=0.399175, Y=0.096022, Z=9.804857 m/s^2 Time of Week: 4.555000, Week Number: 0
Acceleration: X=0.408140, Y=0.097466, Z=9.805991 m/s^2 Time of Week: 4.558000, Week Number: 0
Acceleration: X=0.407951, Y=0.093380, Z=9.804842 m/s^2 Time of Week: 4.561000, Week Number: 0
Acceleration: X=0.408951, Y=0.096891, Z=9.806539 m/s^2 Time of Week: 4.564000, Week Number: 0
Acceleration: X=0.407231, Y=0.098325, Z=9.808722 m/s^2 Time of Week: 4.567000, Week Number: 0
Acceleration: X=0.399578, Y=0.091473, Z=9.807023 m/s^2 Time of Week: 4.570000, Week Number: 0
Acceleration: X=0.406356, Y=0.089508, Z=9.813654 m/s^2 Time of Week: 4.573000, Week Number: 0
Acceleration: X=0.403872, Y=0.085797, Z=9.813055 m/s^2 Time of Week: 4.576000, Week Number: 0
Acceleration: X=0.416687, Y=0.090104, Z=9.812431 m/s^2 Time of Week: 4.579000, Week Number: 0
Acceleration: X=0.417742, Y=0.082693, Z=9.810380 m/s^2 Time of Week: 4.582000, Week Number: 0
Acceleration: X=0.410865, Y=0.078355, Z=9.793913 m/s^2 Time of Week: 4.585000, Week Number: 0
Acceleration: X=0.404284, Y=0.082470, Z=9.801212 m/s^2 Time of Week: 4.588000, Week Number: 0
Acceleration: X=0.401847, Y=0.074790, Z=9.804495 m/s^2 Time of Week: 4.591000, Week Number: 0
Acceleration: X=0.390473, Y=0.077429, Z=9.802579 m/s^2 Time of Week: 4.594000, Week Number: 0
Acceleration: X=0.397270, Y=0.074273, Z=9.799138 m/s^2 Time of Week: 4.597000, Week Number: 0
Acceleration: X=0.396776, Y=0.078156, Z=9.787600 m/s^2 Time of Week: 4.600000, Week Number: 0
Acceleration: X=0.391518, Y=0.084100, Z=9.795521 m/s^2 Time of Week: 4.603000, Week Number: 0
Acceleration: X=0.393415, Y=0.083770, Z=9.791057 m/s^2 Time of Week: 4.606000, Week Number: 0
Acceleration: X=0.389642, Y=0.086140, Z=9.795811 m/s^2 Time of Week: 4.609000, Week Number: 0
Acceleration: X=0.387819, Y=0.086323, Z=9.789635 m/s^2 Time of Week: 4.612000, Week Number: 0
Acceleration: X=0.387432, Y=0.087948, Z=9.796991 m/s^2 Time of Week: 4.615000, Week Number: 0
Acceleration: X=0.386841, Y=0.094734, Z=9.795610 m/s^2 Time of Week: 4.618000, Week Number: 0
Acceleration: X=0.390665, Y=0.091926, Z=9.794549 m/s^2 Time of Week: 4.621000, Week Number: 0
Acceleration: X=0.386188, Y=0.096970, Z=9.802060 m/s^2 Time of Week: 4.624000, Week Number: 0
Acceleration: X=0.388518, Y=0.094969, Z=9.797634 m/s^2 Time of Week: 4.627000, Week Number: 0
Acceleration: X=0.395495, Y=0.099685, Z=9.796914 m/s^2 Time of Week: 4.630000, Week Number: 0
Acceleration: X=0.387275, Y=0.097682, Z=9.794347 m/s^2 Time of Week: 4.633000, Week Number: 0
Acceleration: X=0.392769, Y=0.095838, Z=9.796814 m/s^2 Time of Week: 4.636000, Week Number: 0
Acceleration: X=0.389871, Y=0.090120, Z=9.791509 m/s^2 Time of Week: 4.639000, Week Number: 0
Acceleration: X=0.393723, Y=0.081146, Z=9.803476 m/s^2 Time of Week: 4.642000, Week Number: 0
Acceleration: X=0.390028, Y=0.077673, Z=9.807953 m/s^2 Time of Week: 4.645000, Week Number: 0
Acceleration: X=0.396270, Y=0.077312, Z=9.799692 m/s^2 Time of Week: 4.648000, Week Number: 0
Acceleration: X=0.409410, Y=0.079225, Z=9.808976 m/s^2 Time of Week: 4.651000, Week Number: 0
Acceleration: X=0.411455, Y=0.081289, Z=9.807392 m/s^2 Time of Week: 4.654000, Week Number: 0
Acceleration: X=0.414738, Y=0.077546, Z=9.809735 m/s^2 Time of Week: 4.657000, Week Number: 0
Acceleration: X=0.415386, Y=0.076338, Z=9.807796 m/s^2 Time of Week: 4.660000, Week Number: 0
Acceleration: X=0.412887, Y=0.079685, Z=9.809642 m/s^2 Time of Week: 4.663000, Week Number: 0
Acceleration: X=0.418162, Y=0.077345, Z=9.808281 m/s^2 Time of Week: 4.666000, Week Number: 0
Acceleration: X=0.412118, Y=0.077673, Z=9.802298 m/s^2 Time of Week: 4.669000, Week Number: 0
Acceleration: X=0.404151, Y=0.080468, Z=9.806157 m/s^2 Time of Week: 4.672000, Week Number: 0
Acceleration: X=0.403696, Y=0.086285, Z=9.807837 m/s^2 Time of Week: 4.675000, Week Number: 0
Acceleration: X=0.400983, Y=0.083113, Z=9.806905 m/s^2 Time of Week: 4.678000, Week Number: 0
Acceleration: X=0.394212, Y=0.089528, Z=9.802284 m/s^2 Time of Week: 4.681000, Week Number: 0
Acceleration: X=0.391727, Y=0.087825, Z=9.792933 m/s^2 Time of Week: 4.684000, Week Number: 0
Acceleration: X=0.388843, Y=0.087923, Z=9.785023 m/s^2 Time of Week: 4.687000, Week Number: 0
Acceleration: X=0.382295, Y=0.093132, Z=9.794014 m/s^2 Time of Week: 4.690000, Week Number: 0
Acceleration: X=0.380561, Y=0.098336, Z=9.795028 m/s^2 Time of Week: 4.693000, Week Number: 0
Acceleration: X=0.380728, Y=0.096987, Z=9.796839 m/s^2 Time of Week: 4.696000, Week Number: 0
Acceleration: X=0.378872, Y=0.100078, Z=9.788487 m/s^2 Time of Week: 4.699000, Week Number: 0
Acceleration: X=0.378624, Y=0.094040, Z=9.782152 m/s^2 Time of Week: 4.702000, Week Number: 0
Acceleration: X=0.379789, Y=0.086142, Z=9.786755 m/s^2 Time of Week: 4.705000, Week Number: 0
Acceleration: X=0.387429, Y=0.086505, Z=9.786246 m/s^2 Time of Week: 4.708000, Week Number: 0
Acceleration: X=0.392495, Y=0.087219, Z=9.794356 m/s^2 Time of Week: 4.711000, Week Number: 0
Acceleration: X=0.385991, Y=0.085712, Z=9.799735 m/s^2 Time of Week: 4.714000, Week Number: 0
Acceleration: X=0.390454, Y=0.078383, Z=9.796172 m/s^2 Time of Week: 4.717000, Week Number: 0
Acceleration: X=0.396352, Y=0.079684, Z=9.799743 m/s^2 Time of Week: 4.720000, Week Number: 0
Acceleration: X=0.400808, Y=0.085900, Z=9.803743 m/s^2 Time of Week: 4.723000, Week Number: 0
