
#################################################################
Log started at 2025-06-16_09-34-07.205662 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.207744, Y=-0.305473, Z=9.788574 m/s^2 Time of Week: 17.868000, Week Number: 0
Acceleration: X=0.221375, Y=-0.305231, Z=9.825107 m/s^2 Time of Week: 17.872000, Week Number: 0
Acceleration: X=0.235124, Y=-0.311988, Z=9.850899 m/s^2 Time of Week: 17.876000, Week Number: 0
Acceleration: X=0.244554, Y=-0.302971, Z=9.843235 m/s^2 Time of Week: 17.880000, Week Number: 0
Acceleration: X=0.245185, Y=-0.303342, Z=9.820870 m/s^2 Time of Week: 17.884000, Week Number: 0
Acceleration: X=0.242931, Y=-0.311462, Z=9.794097 m/s^2 Time of Week: 17.888000, Week Number: 0
Acceleration: X=0.248290, Y=-0.316222, Z=9.779619 m/s^2 Time of Week: 17.892000, Week Number: 0
Acceleration: X=0.242124, Y=-0.324648, Z=9.757310 m/s^2 Time of Week: 17.896000, Week Number: 0
Acceleration: X=0.230734, Y=-0.322397, Z=9.761601 m/s^2 Time of Week: 17.900000, Week Number: 0
Acceleration: X=0.228322, Y=-0.315307, Z=9.777198 m/s^2 Time of Week: 17.904000, Week Number: 0
Acceleration: X=0.225708, Y=-0.308208, Z=9.808568 m/s^2 Time of Week: 17.908000, Week Number: 0
Acceleration: X=0.223796, Y=-0.297585, Z=9.835089 m/s^2 Time of Week: 17.912000, Week Number: 0
Acceleration: X=0.219963, Y=-0.288821, Z=9.834083 m/s^2 Time of Week: 17.916000, Week Number: 0
Acceleration: X=0.217668, Y=-0.282609, Z=9.832759 m/s^2 Time of Week: 17.920000, Week Number: 0
Acceleration: X=0.227290, Y=-0.292954, Z=9.809057 m/s^2 Time of Week: 17.924000, Week Number: 0
Acceleration: X=0.223970, Y=-0.304893, Z=9.785340 m/s^2 Time of Week: 17.928000, Week Number: 0
Acceleration: X=0.230577, Y=-0.317784, Z=9.769668 m/s^2 Time of Week: 17.932000, Week Number: 0
Acceleration: X=0.229380, Y=-0.315654, Z=9.764812 m/s^2 Time of Week: 17.936000, Week Number: 0
Acceleration: X=0.227188, Y=-0.311025, Z=9.776891 m/s^2 Time of Week: 17.940000, Week Number: 0
Acceleration: X=0.229290, Y=-0.304199, Z=9.797909 m/s^2 Time of Week: 17.944000, Week Number: 0
Acceleration: X=0.239781, Y=-0.305228, Z=9.815393 m/s^2 Time of Week: 17.948000, Week Number: 0
Acceleration: X=0.238099, Y=-0.308262, Z=9.835615 m/s^2 Time of Week: 17.952000, Week Number: 0
Acceleration: X=0.238400, Y=-0.310690, Z=9.830447 m/s^2 Time of Week: 17.956000, Week Number: 0
Acceleration: X=0.231475, Y=-0.313582, Z=9.819294 m/s^2 Time of Week: 17.960000, Week Number: 0
Acceleration: X=0.229067, Y=-0.319930, Z=9.802146 m/s^2 Time of Week: 17.964000, Week Number: 0
Acceleration: X=0.224128, Y=-0.316072, Z=9.780894 m/s^2 Time of Week: 17.968000, Week Number: 0
Acceleration: X=0.218612, Y=-0.313406, Z=9.750700 m/s^2 Time of Week: 17.972000, Week Number: 0
Acceleration: X=0.200233, Y=-0.302614, Z=9.749269 m/s^2 Time of Week: 17.976000, Week Number: 0
Acceleration: X=0.210076, Y=-0.300283, Z=9.768676 m/s^2 Time of Week: 17.980000, Week Number: 0
Acceleration: X=0.214216, Y=-0.297858, Z=9.796324 m/s^2 Time of Week: 17.984000, Week Number: 0
Acceleration: X=0.219857, Y=-0.294760, Z=9.809444 m/s^2 Time of Week: 17.988000, Week Number: 0
Acceleration: X=0.228516, Y=-0.295295, Z=9.833449 m/s^2 Time of Week: 17.992000, Week Number: 0
Acceleration: X=0.240213, Y=-0.301451, Z=9.837477 m/s^2 Time of Week: 17.996000, Week Number: 0
Acceleration: X=0.235862, Y=-0.301557, Z=9.830318 m/s^2 Time of Week: 18.000000, Week Number: 0
Acceleration: X=0.242565, Y=-0.307427, Z=9.813480 m/s^2 Time of Week: 18.004000, Week Number: 0
Acceleration: X=0.247097, Y=-0.304968, Z=9.798175 m/s^2 Time of Week: 18.008000, Week Number: 0
Acceleration: X=0.241006, Y=-0.308092, Z=9.784047 m/s^2 Time of Week: 18.012000, Week Number: 0
Acceleration: X=0.233810, Y=-0.302033, Z=9.777001 m/s^2 Time of Week: 18.016000, Week Number: 0
Acceleration: X=0.239256, Y=-0.305797, Z=9.784917 m/s^2 Time of Week: 18.020000, Week Number: 0
Acceleration: X=0.235708, Y=-0.306671, Z=9.793472 m/s^2 Time of Week: 18.024000, Week Number: 0
Acceleration: X=0.232845, Y=-0.300097, Z=9.803959 m/s^2 Time of Week: 18.028000, Week Number: 0
Acceleration: X=0.233714, Y=-0.294713, Z=9.824895 m/s^2 Time of Week: 18.032000, Week Number: 0
Acceleration: X=0.231950, Y=-0.296980, Z=9.825172 m/s^2 Time of Week: 18.036000, Week Number: 0
Acceleration: X=0.228739, Y=-0.291357, Z=9.816600 m/s^2 Time of Week: 18.040000, Week Number: 0
Acceleration: X=0.222134, Y=-0.301990, Z=9.814635 m/s^2 Time of Week: 18.044000, Week Number: 0
Acceleration: X=0.217937, Y=-0.306402, Z=9.801418 m/s^2 Time of Week: 18.048000, Week Number: 0
Acceleration: X=0.215432, Y=-0.306374, Z=9.779894 m/s^2 Time of Week: 18.052000, Week Number: 0
Acceleration: X=0.212059, Y=-0.314568, Z=9.770214 m/s^2 Time of Week: 18.056000, Week Number: 0
Acceleration: X=0.205277, Y=-0.319596, Z=9.757747 m/s^2 Time of Week: 18.060000, Week Number: 0
Acceleration: X=0.208759, Y=-0.323035, Z=9.772368 m/s^2 Time of Week: 18.064000, Week Number: 0
Acceleration: X=0.218684, Y=-0.312846, Z=9.777182 m/s^2 Time of Week: 18.068000, Week Number: 0
Acceleration: X=0.224691, Y=-0.305555, Z=9.788247 m/s^2 Time of Week: 18.072000, Week Number: 0
Acceleration: X=0.228401, Y=-0.311880, Z=9.814326 m/s^2 Time of Week: 18.076000, Week Number: 0
Acceleration: X=0.226900, Y=-0.310674, Z=9.824369 m/s^2 Time of Week: 18.080000, Week Number: 0
Acceleration: X=0.234954, Y=-0.303938, Z=9.819760 m/s^2 Time of Week: 18.084000, Week Number: 0
Acceleration: X=0.238469, Y=-0.301991, Z=9.813125 m/s^2 Time of Week: 18.088000, Week Number: 0
Acceleration: X=0.229897, Y=-0.305645, Z=9.804878 m/s^2 Time of Week: 18.092000, Week Number: 0
Acceleration: X=0.231246, Y=-0.304123, Z=9.802691 m/s^2 Time of Week: 18.096000, Week Number: 0
Acceleration: X=0.232099, Y=-0.300971, Z=9.792129 m/s^2 Time of Week: 18.100000, Week Number: 0
Acceleration: X=0.232946, Y=-0.294692, Z=9.789919 m/s^2 Time of Week: 18.104000, Week Number: 0
Acceleration: X=0.221929, Y=-0.295860, Z=9.800923 m/s^2 Time of Week: 18.108000, Week Number: 0
Acceleration: X=0.233534, Y=-0.299760, Z=9.802197 m/s^2 Time of Week: 18.112000, Week Number: 0
Acceleration: X=0.227817, Y=-0.300934, Z=9.813830 m/s^2 Time of Week: 18.116000, Week Number: 0
Acceleration: X=0.232420, Y=-0.300937, Z=9.809743 m/s^2 Time of Week: 18.120000, Week Number: 0
Acceleration: X=0.232954, Y=-0.298527, Z=9.799489 m/s^2 Time of Week: 18.124000, Week Number: 0
Acceleration: X=0.232235, Y=-0.305914, Z=9.807038 m/s^2 Time of Week: 18.128000, Week Number: 0
Acceleration: X=0.236909, Y=-0.304025, Z=9.800336 m/s^2 Time of Week: 18.132000, Week Number: 0
Acceleration: X=0.235832, Y=-0.311023, Z=9.787256 m/s^2 Time of Week: 18.136000, Week Number: 0
Acceleration: X=0.222503, Y=-0.310864, Z=9.786133 m/s^2 Time of Week: 18.140000, Week Number: 0
Acceleration: X=0.217274, Y=-0.312787, Z=9.783184 m/s^2 Time of Week: 18.144000, Week Number: 0
Acceleration: X=0.213870, Y=-0.310200, Z=9.790698 m/s^2 Time of Week: 18.148000, Week Number: 0
Acceleration: X=0.214737, Y=-0.303106, Z=9.795072 m/s^2 Time of Week: 18.152000, Week Number: 0
Acceleration: X=0.219250, Y=-0.304543, Z=9.802015 m/s^2 Time of Week: 18.156000, Week Number: 0
Acceleration: X=0.219394, Y=-0.299325, Z=9.807123 m/s^2 Time of Week: 18.160000, Week Number: 0
Acceleration: X=0.218520, Y=-0.303284, Z=9.802273 m/s^2 Time of Week: 18.164000, Week Number: 0
Acceleration: X=0.222171, Y=-0.305480, Z=9.794525 m/s^2 Time of Week: 18.168000, Week Number: 0
Acceleration: X=0.229259, Y=-0.317945, Z=9.788281 m/s^2 Time of Week: 18.172000, Week Number: 0
Acceleration: X=0.230056, Y=-0.317017, Z=9.790006 m/s^2 Time of Week: 18.176000, Week Number: 0
Acceleration: X=0.233511, Y=-0.301967, Z=9.789277 m/s^2 Time of Week: 18.180000, Week Number: 0
Acceleration: X=0.237114, Y=-0.305080, Z=9.795294 m/s^2 Time of Week: 18.184000, Week Number: 0
Acceleration: X=0.232619, Y=-0.303080, Z=9.803843 m/s^2 Time of Week: 18.188000, Week Number: 0
Acceleration: X=0.230492, Y=-0.295609, Z=9.812900 m/s^2 Time of Week: 18.192000, Week Number: 0
Acceleration: X=0.237192, Y=-0.298406, Z=9.810396 m/s^2 Time of Week: 18.196000, Week Number: 0
Acceleration: X=0.233602, Y=-0.296559, Z=9.809508 m/s^2 Time of Week: 18.200000, Week Number: 0
