
#################################################################
Log started at 2025-06-13_16-11-46 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-0.100688, Y=-0.628646, Z=9.774680 m/s^2 Time of Week: 461526.229000, Week Number: 2370, Difference: 461478.07892600005 ms
Acceleration: X=-0.103706, Y=-0.630486, Z=9.775257 m/s^2 Time of Week: 461526.230000, Week Number: 2370, Difference: 461478.07893400005 ms
Acceleration: X=-0.109054, Y=-0.628696, Z=9.767471 m/s^2 Time of Week: 461526.231000, Week Number: 2370, Difference: 461478.07893300004 ms
Acceleration: X=-0.104842, Y=-0.628105, Z=9.766278 m/s^2 Time of Week: 461526.232000, Week Number: 2370, Difference: 461478.078937 ms
Acceleration: X=-0.095872, Y=-0.622085, Z=9.775252 m/s^2 Time of Week: 461526.233000, Week Number: 2370, Difference: 461478.078933 ms
Acceleration: X=-0.098252, Y=-0.622086, Z=9.777039 m/s^2 Time of Week: 461526.234000, Week Number: 2370, Difference: 461478.078954 ms
Acceleration: X=-0.095255, Y=-0.623249, Z=9.781817 m/s^2 Time of Week: 461526.235000, Week Number: 2370, Difference: 461478.078755 ms
Acceleration: X=-0.091077, Y=-0.625661, Z=9.784824 m/s^2 Time of Week: 461526.236000, Week Number: 2370, Difference: 461478.07895100006 ms
Acceleration: X=-0.100662, Y=-0.631650, Z=9.782460 m/s^2 Time of Week: 461526.237000, Week Number: 2370, Difference: 461478.07894900005 ms
Acceleration: X=-0.105448, Y=-0.630445, Z=9.781858 m/s^2 Time of Week: 461526.238000, Week Number: 2370, Difference: 461478.078946 ms
Acceleration: X=-0.110878, Y=-0.638868, Z=9.778860 m/s^2 Time of Week: 461526.239000, Week Number: 2370, Difference: 461478.078949 ms
Acceleration: X=-0.105441, Y=-0.636458, Z=9.778866 m/s^2 Time of Week: 461526.240000, Week Number: 2370, Difference: 461478.07892500004 ms
Acceleration: X=-0.108381, Y=-0.629827, Z=9.787834 m/s^2 Time of Week: 461526.241000, Week Number: 2370, Difference: 461478.078945 ms
Acceleration: X=-0.104214, Y=-0.622668, Z=9.786026 m/s^2 Time of Week: 461526.242000, Week Number: 2370, Difference: 461478.07894800004 ms
Acceleration: X=-0.097069, Y=-0.625666, Z=9.780650 m/s^2 Time of Week: 461526.243000, Week Number: 2370, Difference: 461478.078859 ms
Acceleration: X=-0.098287, Y=-0.628662, Z=9.780635 m/s^2 Time of Week: 461526.244000, Week Number: 2370, Difference: 461478.078953 ms
Acceleration: X=-0.101306, Y=-0.625627, Z=9.784199 m/s^2 Time of Week: 461526.245000, Week Number: 2370, Difference: 461478.07894300006 ms
Acceleration: X=-0.102502, Y=-0.626214, Z=9.785401 m/s^2 Time of Week: 461526.246000, Week Number: 2370, Difference: 461478.07892400003 ms
Acceleration: X=-0.101312, Y=-0.629839, Z=9.784819 m/s^2 Time of Week: 461526.247000, Week Number: 2370, Difference: 461478.07881000004 ms
Acceleration: X=-0.098277, Y=-0.629859, Z=9.783049 m/s^2 Time of Week: 461526.248000, Week Number: 2370, Difference: 461478.078904 ms
Acceleration: X=-0.094069, Y=-0.622096, Z=9.781248 m/s^2 Time of Week: 461526.249000, Week Number: 2370, Difference: 461478.078949 ms
Acceleration: X=-0.094696, Y=-0.622048, Z=9.785998 m/s^2 Time of Week: 461526.250000, Week Number: 2370, Difference: 461478.078956 ms
Acceleration: X=-0.095896, Y=-0.626771, Z=9.786611 m/s^2 Time of Week: 461526.251000, Week Number: 2370, Difference: 461478.07892700005 ms
Acceleration: X=-0.093468, Y=-0.624991, Z=9.787835 m/s^2 Time of Week: 461526.252000, Week Number: 2370, Difference: 461478.07894800004 ms
Acceleration: X=-0.096465, Y=-0.628019, Z=9.789063 m/s^2 Time of Week: 461526.253000, Week Number: 2370, Difference: 461478.07895700005 ms
Acceleration: X=-0.098897, Y=-0.631644, Z=9.787854 m/s^2 Time of Week: 461526.254000, Week Number: 2370, Difference: 461478.078952 ms
Acceleration: X=-0.098915, Y=-0.631696, Z=9.781254 m/s^2 Time of Week: 461526.255000, Week Number: 2370, Difference: 461478.078793 ms
Acceleration: X=-0.103679, Y=-0.628630, Z=9.786658 m/s^2 Time of Week: 461526.256000, Week Number: 2370, Difference: 461478.078931 ms
Acceleration: X=-0.100087, Y=-0.630444, Z=9.792654 m/s^2 Time of Week: 461526.257000, Week Number: 2370, Difference: 461478.07894400007 ms
Acceleration: X=-0.098894, Y=-0.630498, Z=9.783056 m/s^2 Time of Week: 461526.258000, Week Number: 2370, Difference: 461478.07894900005 ms
Acceleration: X=-0.107295, Y=-0.630480, Z=9.772833 m/s^2 Time of Week: 461526.259000, Week Number: 2370, Difference: 461478.07895600004 ms
Acceleration: X=-0.103695, Y=-0.629282, Z=9.775835 m/s^2 Time of Week: 461526.260000, Week Number: 2370, Difference: 461478.07895500003 ms
Acceleration: X=-0.101831, Y=-0.624445, Z=9.786638 m/s^2 Time of Week: 461526.261000, Week Number: 2370, Difference: 461478.0789460001 ms
Acceleration: X=-0.097631, Y=-0.623817, Z=9.787870 m/s^2 Time of Week: 461526.262000, Week Number: 2370, Difference: 461478.07878000004 ms
Acceleration: X=-0.092838, Y=-0.622024, Z=9.786643 m/s^2 Time of Week: 461526.263000, Week Number: 2370, Difference: 461478.07893400005 ms
Acceleration: X=-0.099472, Y=-0.626804, Z=9.779431 m/s^2 Time of Week: 461526.264000, Week Number: 2370, Difference: 461478.078937 ms
Acceleration: X=-0.101858, Y=-0.628660, Z=9.780642 m/s^2 Time of Week: 461526.265000, Week Number: 2370, Difference: 461478.078936 ms
Acceleration: X=-0.098269, Y=-0.623908, Z=9.777642 m/s^2 Time of Week: 461526.266000, Week Number: 2370, Difference: 461478.078944 ms
Acceleration: X=-0.098896, Y=-0.626918, Z=9.782435 m/s^2 Time of Week: 461526.267000, Week Number: 2370, Difference: 461478.0789450001 ms
Acceleration: X=-0.097088, Y=-0.633507, Z=9.784263 m/s^2 Time of Week: 461526.268000, Week Number: 2370, Difference: 461478.07893600006 ms
Acceleration: X=-0.097660, Y=-0.628672, Z=9.781258 m/s^2 Time of Week: 461526.269000, Week Number: 2370, Difference: 461478.078946 ms
Acceleration: X=-0.095838, Y=-0.626266, Z=9.779469 m/s^2 Time of Week: 461526.270000, Week Number: 2370, Difference: 461478.07894900005 ms
Acceleration: X=-0.095821, Y=-0.619066, Z=9.778269 m/s^2 Time of Week: 461526.271000, Week Number: 2370, Difference: 461478.078888 ms
Acceleration: X=-0.092247, Y=-0.614884, Z=9.779411 m/s^2 Time of Week: 461526.272000, Week Number: 2370, Difference: 461478.07894800004 ms
Acceleration: X=-0.097065, Y=-0.624468, Z=9.782429 m/s^2 Time of Week: 461526.273000, Week Number: 2370, Difference: 461478.07895500003 ms
Acceleration: X=-0.099474, Y=-0.632269, Z=9.782467 m/s^2 Time of Week: 461526.274000, Week Number: 2370, Difference: 461478.078936 ms
Acceleration: X=-0.092250, Y=-0.624498, Z=9.778859 m/s^2 Time of Week: 461526.275000, Week Number: 2370, Difference: 461478.07885800005 ms
