
#################################################################
Log started at 2025-06-12_16-20-19 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=0.303065, Y=0.139189, Z=9.792513 m/s^2 Time of Week: 2596.445000, Week Number: 0
Acceleration: X=0.297684, Y=0.148233, Z=9.794871 m/s^2 Time of Week: 2596.446000, Week Number: 0
Acceleration: X=0.295890, Y=0.141669, Z=9.796089 m/s^2 Time of Week: 2596.447000, Week Number: 0
Acceleration: X=0.293471, Y=0.129051, Z=9.791330 m/s^2 Time of Week: 2596.448000, Week Number: 0
Acceleration: X=0.292300, Y=0.127243, Z=9.786561 m/s^2 Time of Week: 2596.449000, Week Number: 0
Acceleration: X=0.297074, Y=0.128408, Z=9.784165 m/s^2 Time of Week: 2596.450000, Week Number: 0
Acceleration: X=0.296431, Y=0.124238, Z=9.784142 m/s^2 Time of Week: 2596.451000, Week Number: 0
Acceleration: X=0.299356, Y=0.120600, Z=9.786544 m/s^2 Time of Week: 2596.452000, Week Number: 0
Acceleration: X=0.302334, Y=0.119364, Z=9.791354 m/s^2 Time of Week: 2596.453000, Week Number: 0
Acceleration: X=0.307723, Y=0.124739, Z=9.794916 m/s^2 Time of Week: 2596.454000, Week Number: 0
Acceleration: X=0.307103, Y=0.127754, Z=9.793706 m/s^2 Time of Week: 2596.455000, Week Number: 0
Acceleration: X=0.301700, Y=0.127179, Z=9.792506 m/s^2 Time of Week: 2596.456000, Week Number: 0
Acceleration: X=0.299302, Y=0.124790, Z=9.791303 m/s^2 Time of Week: 2596.457000, Week Number: 0
Acceleration: X=0.301689, Y=0.122967, Z=9.790717 m/s^2 Time of Week: 2596.458000, Week Number: 0
Acceleration: X=0.298715, Y=0.126587, Z=9.788306 m/s^2 Time of Week: 2596.459000, Week Number: 0
Acceleration: X=0.298151, Y=0.129593, Z=9.791893 m/s^2 Time of Week: 2596.460000, Week Number: 0
Acceleration: X=0.292741, Y=0.132020, Z=9.799642 m/s^2 Time of Week: 2596.461000, Week Number: 0
Acceleration: X=0.293306, Y=0.127798, Z=9.801454 m/s^2 Time of Week: 2596.462000, Week Number: 0
Acceleration: X=0.298071, Y=0.121793, Z=9.808674 m/s^2 Time of Week: 2596.463000, Week Number: 0
Acceleration: X=0.298627, Y=0.118837, Z=9.815268 m/s^2 Time of Week: 2596.464000, Week Number: 0
Acceleration: X=0.296214, Y=0.111014, Z=9.811089 m/s^2 Time of Week: 2596.465000, Week Number: 0
Acceleration: X=0.298612, Y=0.110416, Z=9.812888 m/s^2 Time of Week: 2596.466000, Week Number: 0
Acceleration: X=0.298665, Y=0.114608, Z=9.817079 m/s^2 Time of Week: 2596.467000, Week Number: 0
Acceleration: X=0.297461, Y=0.117027, Z=9.820050 m/s^2 Time of Week: 2596.468000, Week Number: 0
Acceleration: X=0.300418, Y=0.113372, Z=9.817653 m/s^2 Time of Week: 2596.469000, Week Number: 0
Acceleration: X=0.297416, Y=0.109175, Z=9.823063 m/s^2 Time of Week: 2596.470000, Week Number: 0
Acceleration: X=0.293843, Y=0.108652, Z=9.828448 m/s^2 Time of Week: 2596.471000, Week Number: 0
Acceleration: X=0.305214, Y=0.104421, Z=9.827869 m/s^2 Time of Week: 2596.472000, Week Number: 0
Acceleration: X=0.304620, Y=0.108055, Z=9.833862 m/s^2 Time of Week: 2596.473000, Week Number: 0
Acceleration: X=0.301054, Y=0.103249, Z=9.840490 m/s^2 Time of Week: 2596.474000, Week Number: 0
Acceleration: X=0.303411, Y=0.092387, Z=9.836928 m/s^2 Time of Week: 2596.475000, Week Number: 0
Acceleration: X=0.304623, Y=0.091199, Z=9.836938 m/s^2 Time of Week: 2596.476000, Week Number: 0
Acceleration: X=0.305817, Y=0.088784, Z=9.840527 m/s^2 Time of Week: 2596.477000, Week Number: 0
Acceleration: X=0.299284, Y=0.088874, Z=9.844729 m/s^2 Time of Week: 2596.478000, Week Number: 0
Acceleration: X=0.296314, Y=0.091922, Z=9.841137 m/s^2 Time of Week: 2596.479000, Week Number: 0
Acceleration: X=0.292686, Y=0.087133, Z=9.839937 m/s^2 Time of Week: 2596.480000, Week Number: 0
Acceleration: X=0.289661, Y=0.083528, Z=9.841747 m/s^2 Time of Week: 2596.481000, Week Number: 0
Acceleration: X=0.292054, Y=0.089545, Z=9.841104 m/s^2 Time of Week: 2596.482000, Week Number: 0
Acceleration: X=0.302248, Y=0.098488, Z=9.836275 m/s^2 Time of Week: 2596.483000, Week Number: 0
Acceleration: X=0.302232, Y=0.099042, Z=9.838081 m/s^2 Time of Week: 2596.484000, Week Number: 0
Acceleration: X=0.298086, Y=0.103242, Z=9.835684 m/s^2 Time of Week: 2596.485000, Week Number: 0
Acceleration: X=0.296352, Y=0.105079, Z=9.829732 m/s^2 Time of Week: 2596.486000, Week Number: 0
Acceleration: X=0.298104, Y=0.101485, Z=9.826752 m/s^2 Time of Week: 2596.487000, Week Number: 0
Acceleration: X=0.296873, Y=0.093026, Z=9.820182 m/s^2 Time of Week: 2596.488000, Week Number: 0
Acceleration: X=0.299254, Y=0.097221, Z=9.816554 m/s^2 Time of Week: 2596.489000, Week Number: 0
Acceleration: X=0.304014, Y=0.098403, Z=9.813534 m/s^2 Time of Week: 2596.490000, Week Number: 0
Acceleration: X=0.309413, Y=0.106175, Z=9.808141 m/s^2 Time of Week: 2596.491000, Week Number: 0
Acceleration: X=0.311287, Y=0.114602, Z=9.800361 m/s^2 Time of Week: 2596.492000, Week Number: 0
Acceleration: X=0.310093, Y=0.115811, Z=9.797337 m/s^2 Time of Week: 2596.493000, Week Number: 0
Acceleration: X=0.302257, Y=0.109785, Z=9.796137 m/s^2 Time of Week: 2596.494000, Week Number: 0
Acceleration: X=0.301033, Y=0.106776, Z=9.791948 m/s^2 Time of Week: 2596.495000, Week Number: 0
Acceleration: X=0.301050, Y=0.116416, Z=9.792515 m/s^2 Time of Week: 2596.496000, Week Number: 0
Acceleration: X=0.295075, Y=0.123632, Z=9.790691 m/s^2 Time of Week: 2596.497000, Week Number: 0
Acceleration: X=0.295084, Y=0.125435, Z=9.791881 m/s^2 Time of Week: 2596.498000, Week Number: 0
Acceleration: X=0.298094, Y=0.126037, Z=9.788899 m/s^2 Time of Week: 2596.499000, Week Number: 0
Acceleration: X=0.297506, Y=0.126611, Z=9.784737 m/s^2 Time of Week: 2596.500000, Week Number: 0
Acceleration: X=0.296905, Y=0.126555, Z=9.779338 m/s^2 Time of Week: 2596.501000, Week Number: 0
Acceleration: X=0.304711, Y=0.131907, Z=9.775721 m/s^2 Time of Week: 2596.502000, Week Number: 0
Acceleration: X=0.307677, Y=0.133689, Z=9.778697 m/s^2 Time of Week: 2596.503000, Week Number: 0
Acceleration: X=0.308885, Y=0.131887, Z=9.780489 m/s^2 Time of Week: 2596.504000, Week Number: 0
Acceleration: X=0.311305, Y=0.133693, Z=9.783484 m/s^2 Time of Week: 2596.505000, Week Number: 0
Acceleration: X=0.303546, Y=0.134372, Z=9.782886 m/s^2 Time of Week: 2596.506000, Week Number: 0
Acceleration: X=0.301209, Y=0.138043, Z=9.783520 m/s^2 Time of Week: 2596.507000, Week Number: 0
Acceleration: X=0.294647, Y=0.138038, Z=9.779353 m/s^2 Time of Week: 2596.508000, Week Number: 0
Acceleration: X=0.292806, Y=0.137377, Z=9.782946 m/s^2 Time of Week: 2596.509000, Week Number: 0
Acceleration: X=0.300559, Y=0.139750, Z=9.785916 m/s^2 Time of Week: 2596.510000, Week Number: 0
Acceleration: X=0.299406, Y=0.145176, Z=9.785304 m/s^2 Time of Week: 2596.511000, Week Number: 0
Acceleration: X=0.292270, Y=0.146432, Z=9.794267 m/s^2 Time of Week: 2596.512000, Week Number: 0
Acceleration: X=0.290431, Y=0.143435, Z=9.795440 m/s^2 Time of Week: 2596.513000, Week Number: 0
Acceleration: X=0.288641, Y=0.140467, Z=9.794843 m/s^2 Time of Week: 2596.514000, Week Number: 0
Acceleration: X=0.288085, Y=0.138069, Z=9.797882 m/s^2 Time of Week: 2596.515000, Week Number: 0
Acceleration: X=0.284481, Y=0.137452, Z=9.796688 m/s^2 Time of Week: 2596.516000, Week Number: 0
Acceleration: X=0.285718, Y=0.136302, Z=9.796120 m/s^2 Time of Week: 2596.517000, Week Number: 0
Acceleration: X=0.292922, Y=0.139884, Z=9.784742 m/s^2 Time of Week: 2596.518000, Week Number: 0
Acceleration: X=0.295264, Y=0.139862, Z=9.782935 m/s^2 Time of Week: 2596.519000, Week Number: 0
