
#################################################################
Log started at 2025-06-13_14-54-01 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 65dc, Got: 1775
Checksum failed. Expected: 6d1a, Got: 4d75
Checksum failed. Expected: e1be, Got: 7d75
Checksum failed. Expected: 8b95, Got: aa75
Checksum failed. Expected: b919, Got: 0075
Checksum failed. Expected: 3df0, Got: 5375
Checksum failed. Expected: 6ba7, Got: dc75
Checksum failed. Expected: a9ff, Got: f675
Checksum failed. Expected: eb9a, Got: 4f75
Checksum failed. Expected: 3f15, Got: 7675
Checksum failed. Expected: 1da2, Got: 2575
Checksum failed. Expected: f3cb, Got: 7875
Checksum failed. Expected: 077a, Got: 1375
Checksum failed. Expected: 33ce, Got: 3b75
Checksum failed. Expected: 71fd, Got: 2c75
Checksum failed. Expected: 9f8e, Got: 8f75
Checksum failed. Expected: 31ce, Got: 3d75
Checksum failed. Expected: a7cc, Got: c575
Checksum failed. Expected: 87d8, Got: f175
Checksum failed. Expected: 456b, Got: c675
Checksum failed. Expected: cb16, Got: eb75
Checksum failed. Expected: 9335, Got: 4275
Checksum failed. Expected: 4b26, Got: 7b75
Checksum failed. Expected: 53c8, Got: 1575
Checksum failed. Expected: 7d1a, Got: 3d75
Checksum failed. Expected: 7772, Got: 9b75
Checksum failed. Expected: 33a3, Got: 1075
Checksum failed. Expected: 9931, Got: 3875
Checksum failed. Expected: 2b88, Got: fd75
Checksum failed. Expected: 81eb, Got: 0a75
Checksum failed. Expected: 6901, Got: 3875
Checksum failed. Expected: 4b9a, Got: ef75
Checksum failed. Expected: efd6, Got: 8775
Checksum failed. Expected: 3956, Got: bd75
Checksum failed. Expected: 2580, Got: fb75
Checksum failed. Expected: dfee, Got: af75
Checksum failed. Expected: 9b92, Got: 9775
Checksum failed. Expected: 91b2, Got: c175
Checksum failed. Expected: 8b9c, Got: b175
Checksum failed. Expected: db63, Got: 2875
Checksum failed. Expected: 23d2, Got: 4f75
Checksum failed. Expected: 4b1b, Got: 7075
Checksum failed. Expected: c710, Got: e975
Checksum failed. Expected: 59d8, Got: 1f75
Checksum failed. Expected: 33a5, Got: 1275
Checksum failed. Expected: c54f, Got: 2a75
Checksum failed. Expected: 1789, Got: 1275
Checksum failed. Expected: 0ff3, Got: 8475
Checksum failed. Expected: fb9d, Got: 4275
Checksum failed. Expected: ad6f, Got: 6275
Checksum failed. Expected: f337, Got: e475
Checksum failed. Expected: 6ffb, Got: 2c75
Checksum failed. Expected: 55e1, Got: 2c75
Checksum failed. Expected: 1125, Got: b475
Checksum failed. Expected: 231f, Got: 9c75
Checksum failed. Expected: 4397, Got: f475
Checksum failed. Expected: 073b, Got: d475
Checksum failed. Expected: 1d69, Got: ec75
Checksum failed. Expected: 29af, Got: 2675
Checksum failed. Expected: e90d, Got: c475
Checksum failed. Expected: d15b, Got: 2a75
Checksum failed. Expected: 750c, Got: 3775
Checksum failed. Expected: 2b4d, Got: c275
Checksum failed. Expected: 7986, Got: ad75
Checksum failed. Expected: f10f, Got: be75
Checksum failed. Expected: 11a4, Got: 3375
Checksum failed. Expected: 1161, Got: f075
Checksum failed. Expected: 390a, Got: 7175
Checksum failed. Expected: a5c0, Got: bb75
Checksum failed. Expected: 65a5, Got: e075
Checksum failed. Expected: 151e, Got: a975
Checksum failed. Expected: a330, Got: 2d75
Checksum failed. Expected: 4164, Got: c375
Checksum failed. Expected: 6de3, Got: 1675
Checksum failed. Expected: 118f, Got: 1e75
Checksum failed. Expected: ef0d, Got: be75
Checksum failed. Expected: 7398, Got: c575
Checksum failed. Expected: 2d31, Got: a475
Checksum failed. Expected: 1b22, Got: a775
Checksum failed. Expected: 6f20, Got: 5175
Checksum failed. Expected: 9da0, Got: a375
Checksum failed. Expected: 5182, Got: d175
Checksum failed. Expected: fb1e, Got: c375
Checksum failed. Expected: 4145, Got: a475
Checksum failed. Expected: e512, Got: cd75
Checksum failed. Expected: 8509, Got: 2475
Checksum failed. Expected: b170, Got: 5f75
Checksum failed. Expected: 3dfe, Got: 6175
Checksum failed. Expected: 9187, Got: 9675
Checksum failed. Expected: 5348, Got: 9575
Checksum failed. Expected: 8f91, Got: a275
Checksum failed. Expected: 533a, Got: 8775
Checksum failed. Expected: 590a, Got: 5175
Checksum failed. Expected: cd03, Got: d675
Checksum failed. Expected: 499c, Got: f375
Checksum failed. Expected: d97c, Got: 4375
Checksum failed. Expected: d7b1, Got: 7a75
Checksum failed. Expected: a5d6, Got: d175
Checksum failed. Expected: 4b1f, Got: 7475
Checksum failed. Expected: 4d40, Got: 9375
Checksum failed. Expected: 9192, Got: a175
Checksum failed. Expected: 7747, Got: 7075
Checksum failed. Expected: c31d, Got: fa75
Checksum failed. Expected: 4d3b, Got: 8e75
Checksum failed. Expected: e19e, Got: 5d75
Checksum failed. Expected: 371b, Got: 8475
Checksum failed. Expected: 1752, Got: db75
Checksum failed. Expected: 1733, Got: bc75
Checksum failed. Expected: 2338, Got: b575
Checksum failed. Expected: 0b32, Got: c775
Checksum failed. Expected: 9781, Got: 8a75
Checksum failed. Expected: 3d7c, Got: df75
Checksum failed. Expected: 8350, Got: 6d75
Checksum failed. Expected: 7dbf, Got: e275
Checksum failed. Expected: ad19, Got: 0c75
Checksum failed. Expected: d7f0, Got: b975
Checksum failed. Expected: f736, Got: df75
Checksum failed. Expected: ef3d, Got: ee75
Checksum failed. Expected: f778, Got: 2175
Checksum failed. Expected: 2539, Got: b475
Checksum failed. Expected: c3b4, Got: 9175
Checksum failed. Expected: 21c3, Got: 4275
Checksum failed. Expected: d16b, Got: 3a75
Checksum failed. Expected: 433c, Got: 9975
Checksum failed. Expected: 2353, Got: d075
Checksum failed. Expected: 6586, Got: c175
Checksum failed. Expected: 17fe, Got: 8775
Checksum failed. Expected: 0f09, Got: 9a75
Checksum failed. Expected: 9ba1, Got: a675
Checksum failed. Expected: cd1a, Got: ed75
Checksum failed. Expected: 7b5b, Got: 8075
Checksum failed. Expected: bb72, Got: 5775
Checksum failed. Expected: c3a8, Got: 8575
Checksum failed. Expected: 33ab, Got: 1875
Checksum failed. Expected: 7ffd, Got: 1e75
Checksum failed. Expected: 5546, Got: 9175
Checksum failed. Expected: 25b3, Got: 2e75
Checksum failed. Expected: 2530, Got: ab75
Checksum failed. Expected: 339b, Got: 0875
Checksum failed. Expected: 5dab, Got: ee75
Checksum failed. Expected: 6b84, Got: b975
Checksum failed. Expected: d93f, Got: 0675
Checksum failed. Expected: c952, Got: 2975
Checksum failed. Expected: 598b, Got: d275
Checksum failed. Expected: 87da, Got: f375
Checksum failed. Expected: 0125, Got: c475
Checksum failed. Expected: 21e4, Got: 6375
Checksum failed. Expected: 43cc, Got: 2975
Checksum failed. Expected: 27f2, Got: 6b75
Checksum failed. Expected: 8378, Got: 9575
Checksum failed. Expected: 3bf7, Got: 5c75
Checksum failed. Expected: a500, Got: fb75
Checksum failed. Expected: 75ba, Got: e575
Checksum failed. Expected: 331e, Got: 8b75
Checksum failed. Expected: afe5, Got: d675
Checksum failed. Expected: 3388, Got: f575
Checksum failed. Expected: f912, Got: b975
Checksum failed. Expected: 7fa4, Got: c575
Checksum failed. Expected: dd1b, Got: de75
Checksum failed. Expected: 5b02, Got: 4775
Checksum failed. Expected: 010e, Got: ad75
Checksum failed. Expected: 6764, Got: 9d75
Checksum failed. Expected: 6fa6, Got: d775
Checksum failed. Expected: 7573, Got: 9e75
Checksum failed. Expected: 0b97, Got: 2c75
Checksum failed. Expected: 650e, Got: 4975
Checksum failed. Expected: 87c8, Got: e175
Checksum failed. Expected: 4d7c, Got: cf75
Checksum failed. Expected: b1cc, Got: bb75
Checksum failed. Expected: 1f98, Got: 1975
Checksum failed. Expected: 2979, Got: f075
Checksum failed. Expected: 7532, Got: 5d75
Checksum failed. Expected: c701, Got: da75
Checksum failed. Expected: 7173, Got: a275
Checksum failed. Expected: 8f8d, Got: 9e75
Checksum failed. Expected: 0d18, Got: ab75
Checksum failed. Expected: 7de3, Got: 0675
Checksum failed. Expected: 13c6, Got: 5375
Checksum failed. Expected: b131, Got: 2075
Checksum failed. Expected: 117b, Got: 0a75
Checksum failed. Expected: f75d, Got: 0675
Checksum failed. Expected: 9bf2, Got: f775
Checksum failed. Expected: a7cd, Got: c675
Checksum failed. Expected: f7a7, Got: 5075
Checksum failed. Expected: 3b83, Got: e875
Checksum failed. Expected: b907, Got: ee75
Checksum failed. Expected: e100, Got: bf75
Checksum failed. Expected: 193d, Got: c475
Checksum failed. Expected: d774, Got: 3d75
Checksum failed. Expected: c5f5, Got: d075
Checksum failed. Expected: 5547, Got: 9275
Checksum failed. Expected: 072d, Got: c675
Checksum failed. Expected: 4b11, Got: 6675
Checksum failed. Expected: b365, Got: 5275
Checksum failed. Expected: 5543, Got: 8e75
Checksum failed. Expected: 23e3, Got: 6075
Checksum failed. Expected: 5132, Got: 8175
Checksum failed. Expected: dba3, Got: 6875
Checksum failed. Expected: b7e8, Got: d175
Checksum failed. Expected: 0b6b, Got: 0075
Checksum failed. Expected: 7394, Got: c175
Checksum failed. Expected: 67ed, Got: 2675
Checksum failed. Expected: 57cc, Got: 1575
Checksum failed. Expected: 2fe6, Got: 5775
Checksum failed. Expected: 59f3, Got: 3a75
Checksum failed. Expected: 6de7, Got: 1a75
Checksum failed. Expected: 2716, Got: 8f75
Checksum failed. Expected: cb80, Got: 5575
Checksum failed. Expected: e378, Got: 3575
Checksum failed. Expected: ffdf, Got: 8075
Checksum failed. Expected: ffa9, Got: 4a75
Checksum failed. Expected: 9138, Got: 4775
Checksum failed. Expected: ef0d, Got: be75
Checksum failed. Expected: 7ff4, Got: 1575
Checksum failed. Expected: 874e, Got: 6775
Checksum failed. Expected: 6348, Got: 8575
Checksum failed. Expected: 05bc, Got: 5775
Checksum failed. Expected: 51a2, Got: f175
Checksum failed. Expected: a35d, Got: 5a75
Checksum failed. Expected: b36a, Got: 5775
Checksum failed. Expected: 195f, Got: e675
Checksum failed. Expected: f515, Got: c075
Checksum failed. Expected: 07cb, Got: 6475
Checksum failed. Expected: 2766, Got: df75
Checksum failed. Expected: 4fb0, Got: 0175
Checksum failed. Expected: c5b7, Got: 9275
Checksum failed. Expected: d5e7, Got: b275
Checksum failed. Expected: ff78, Got: 1975
Checksum failed. Expected: e9f1, Got: a875
Checksum failed. Expected: f16c, Got: 1b75
Checksum failed. Expected: 6145, Got: 8475
Checksum failed. Expected: 9be3, Got: e875
Checksum failed. Expected: 754b, Got: 7675
Checksum failed. Expected: 9954, Got: 5b75
Checksum failed. Expected: 1d90, Got: 1375
Checksum failed. Expected: 372a, Got: 9375
Checksum failed. Expected: 9bb1, Got: b675
Checksum failed. Expected: e512, Got: cd75
Checksum failed. Expected: 0b64, Got: f975
Checksum failed. Expected: ff48, Got: e975
Checksum failed. Expected: a370, Got: 6d75
Checksum failed. Expected: dd84, Got: 4775
Checksum failed. Expected: dfb7, Got: 7875
Checksum failed. Expected: 8dc8, Got: db75
Checksum failed. Expected: a15e, Got: 5d75
Checksum failed. Expected: 5f62, Got: a375
Checksum failed. Expected: 4103, Got: 6275
Checksum failed. Expected: 4916, Got: 6d75
Checksum failed. Expected: edec, Got: 9f75
Checksum failed. Expected: 7301, Got: 2e75
Checksum failed. Expected: 8580, Got: 9b75
Checksum failed. Expected: c3dc, Got: b975
Checksum failed. Expected: e3d7, Got: 9475
Checksum failed. Expected: f104, Got: b375
Checksum failed. Expected: 4dfb, Got: 4e75
Checksum failed. Expected: ed46, Got: f975
Checksum failed. Expected: df19, Got: da75
Checksum failed. Expected: 4384, Got: e175
Checksum failed. Expected: a1a3, Got: a275
Checksum failed. Expected: 0943, Got: da75
Checksum failed. Expected: 4b38, Got: 8d75
Checksum failed. Expected: 570e, Got: 5775
Checksum failed. Expected: e91f, Got: d675
Checksum failed. Expected: eb06, Got: bb75
Checksum failed. Expected: 350b, Got: 7675
Checksum failed. Expected: cbea, Got: bf75
Checksum failed. Expected: 2165, Got: e475
Checksum failed. Expected: b1b2, Got: a175
Checksum failed. Expected: 5127, Got: 7675
Checksum failed. Expected: 7b28, Got: 4d75
Checksum failed. Expected: 1341, Got: ce75
Checksum failed. Expected: b519, Got: 0475
Checksum failed. Expected: 878f, Got: a875
Checksum failed. Expected: 09b3, Got: 4a75
Checksum failed. Expected: db91, Got: 5675
Checksum failed. Expected: 4fa7, Got: f875
Checksum failed. Expected: 1f72, Got: f375
Checksum failed. Expected: 3339, Got: a675
Checksum failed. Expected: 157c, Got: 0775
Checksum failed. Expected: 9349, Got: 5675
Checksum failed. Expected: 69e3, Got: 1a75
Checksum failed. Expected: b594, Got: 7f75
Checksum failed. Expected: 7566, Got: 9175
Checksum failed. Expected: d16f, Got: 3e75
Checksum failed. Expected: cb3a, Got: 0f75
Checksum failed. Expected: b333, Got: 2075
Checksum failed. Expected: 0171, Got: 1075
Checksum failed. Expected: cf9a, Got: 6b75
Checksum failed. Expected: ffb5, Got: 5675
Checksum failed. Expected: cda6, Got: 7975
Checksum failed. Expected: 9f5d, Got: 5e75
Checksum failed. Expected: 9516, Got: 2175
Checksum failed. Expected: 77d4, Got: fd75
Checksum failed. Expected: ddc2, Got: 8575
Checksum failed. Expected: d1ca, Got: 9975
Checksum failed. Expected: e56a, Got: 2575
Checksum failed. Expected: 4f09, Got: 5a75
Checksum failed. Expected: e9e9, Got: a075
Checksum failed. Expected: 59ac, Got: f375
Checksum failed. Expected: 273a, Got: b375
Checksum failed. Expected: 9dd6, Got: d975
Checksum failed. Expected: 8150, Got: 6f75
Checksum failed. Expected: 8381, Got: 9e75
Checksum failed. Expected: bf06, Got: e775
Checksum failed. Expected: 5d13, Got: 5675
Checksum failed. Expected: 25ed, Got: 6875
Checksum failed. Expected: f594, Got: 3f75
Checksum failed. Expected: 7563, Got: 8e75
Checksum failed. Expected: 0525, Got: c075
Checksum failed. Expected: b179, Got: 6875
Checksum failed. Expected: af33, Got: 2475
Checksum failed. Expected: 555f, Got: aa75
Checksum failed. Expected: 95c2, Got: cd75
Checksum failed. Expected: e5a7, Got: 6275
Checksum failed. Expected: 0d63, Got: f675
Checksum failed. Expected: 3ff0, Got: 5175
Checksum failed. Expected: b3e0, Got: cd75
Checksum failed. Expected: fb18, Got: bd75
Checksum failed. Expected: 7b59, Got: 7e75
Checksum failed. Expected: 0106, Got: a575
Checksum failed. Expected: c54c, Got: 2775
Checksum failed. Expected: 318c, Got: fb75
Checksum failed. Expected: 054c, Got: e775
Checksum failed. Expected: d391, Got: 5e75
Checksum failed. Expected: d73f, Got: 0875
Checksum failed. Expected: a505, Got: 0075
Checksum failed. Expected: 2b2d, Got: a275
Checksum failed. Expected: 6b0a, Got: 3f75
Checksum failed. Expected: ff13, Got: b475
Checksum failed. Expected: fb2c, Got: d175
Checksum failed. Expected: 73c0, Got: ed75
Checksum failed. Expected: 1335, Got: c275
Checksum failed. Expected: 7304, Got: 3175
Checksum failed. Expected: 5509, Got: 5475
Checksum failed. Expected: 3317, Got: 8475
Checksum failed. Expected: 373f, Got: a875
Checksum failed. Expected: 172f, Got: b875
Checksum failed. Expected: b70e, Got: f775
Checksum failed. Expected: 9b68, Got: 6d75
Checksum failed. Expected: f1f2, Got: a175
Checksum failed. Expected: 6760, Got: 9975
Checksum failed. Expected: f32a, Got: d775
Checksum failed. Expected: 0b5c, Got: f175
Checksum failed. Expected: cb7c, Got: 5175
Checksum failed. Expected: a113, Got: 1275
Checksum failed. Expected: 6f3a, Got: 6b75
Checksum failed. Expected: 1d2c, Got: af75
Checksum failed. Expected: 5f6f, Got: b075
Checksum failed. Expected: b7aa, Got: 9375
Checksum failed. Expected: e98e, Got: 4575
Checksum failed. Expected: ef34, Got: e575
Checksum failed. Expected: 5731, Got: 7a75
Checksum failed. Expected: 6374, Got: b175
Checksum failed. Expected: 2593, Got: 0e75
Checksum failed. Expected: 7f19, Got: 3a75
Checksum failed. Expected: a3bf, Got: bc75
Checksum failed. Expected: 8db5, Got: c875
Checksum failed. Expected: 5fd7, Got: 1875
Checksum failed. Expected: c955, Got: 2c75
Checksum failed. Expected: 0710, Got: a975
Checksum failed. Expected: 2f8a, Got: fb75
