
#################################################################
Log started at 2025-06-12_16-19-14 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: 13a7, Got: 9fd4
Checksum failed. Expected: 13cd, Got: a2f8
Checksum failed. Expected: 6104, Got: a328
Checksum failed. Expected: 27de, Got: 1d7c
Checksum failed. Expected: bbc3, Got: 96e6
Checksum failed. Expected: ac39, Got: 1cc2
Checksum failed. Expected: 6ddb, Got: 1c6a
Checksum failed. Expected: 7988, Got: 8c16
Checksum failed. Expected: 7f81, Got: 4e7b
Checksum failed. Expected: 68d3, Got: 2537
Checksum failed. Expected: ba38, Got: 2600
Checksum failed. Expected: 0a09, Got: 2820
Checksum failed. Expected: c134, Got: 25ed
Checksum failed. Expected: 812a, Got: a0db
Checksum failed. Expected: 312f, Got: 0e4a
Checksum failed. Expected: dd34, Got: ced4
Checksum failed. Expected: 5e6b, Got: 4f60
Checksum failed. Expected: 6400, Got: a12f
Checksum failed. Expected: b391, Got: 13d7
Checksum failed. Expected: 711a, Got: 876b
Checksum failed. Expected: ef30, Got: 89ca
Checksum failed. Expected: 62ed, Got: 8fb8
Checksum failed. Expected: fca0, Got: 139c
Checksum failed. Expected: c273, Got: 93fd
Checksum failed. Expected: 47b9, Got: 906d
Checksum failed. Expected: a45a, Got: 8ea2
Checksum failed. Expected: 0e45, Got: 10e9
Checksum failed. Expected: eb9b, Got: 172d
Checksum failed. Expected: 803c, Got: 171a
Checksum failed. Expected: 34b2, Got: c61a
Checksum failed. Expected: 0128, Got: 8283
Checksum failed. Expected: 25a0, Got: 3f12
Checksum failed. Expected: 012c, Got: c4a5
Checksum failed. Expected: 225f, Got: 11eb
Checksum failed. Expected: 6e1c, Got: 87cd
Checksum failed. Expected: 07c4, Got: 4997
Checksum failed. Expected: 326c, Got: 4565
Checksum failed. Expected: ee65, Got: c5c3
Checksum failed. Expected: 1625, Got: 89fe
Checksum failed. Expected: d3ea, Got: 96ae
Checksum failed. Expected: 283e, Got: 8a67
Checksum failed. Expected: 96a0, Got: 081a
Checksum failed. Expected: 712e, Got: 490b
Checksum failed. Expected: 7520, Got: 997a
Checksum failed. Expected: f1aa, Got: 0efb
Checksum failed. Expected: 413d, Got: 5133
Checksum failed. Expected: e11d, Got: 2341
Checksum failed. Expected: 0496, Got: 918e
Checksum failed. Expected: 8703, Got: d411
Checksum failed. Expected: 5125, Got: d698
Checksum failed. Expected: 25a8, Got: 1660
Checksum failed. Expected: 74d6, Got: 158e
Checksum failed. Expected: 0f4f, Got: 2dd8
Checksum failed. Expected: c842, Got: 98c6
Checksum failed. Expected: 329f, Got: d6cf
Checksum failed. Expected: a4f1, Got: 5108
Checksum failed. Expected: 9db4, Got: 92f1
Checksum failed. Expected: 0a74, Got: 19f2
Checksum failed. Expected: bd44, Got: 1880
Checksum failed. Expected: 615b, Got: ac02
Checksum failed. Expected: c327, Got: abde
Checksum failed. Expected: 46b5, Got: a6fa
Checksum failed. Expected: e91a, Got: a130
Checksum failed. Expected: 8483, Got: 9cf1
Checksum failed. Expected: aa52, Got: 26e2
Checksum failed. Expected: 8468, Got: a694
Checksum failed. Expected: 645f, Got: 20fc
Checksum failed. Expected: 287c, Got: a0ea
Checksum failed. Expected: f1dd, Got: 95b6
Checksum failed. Expected: fc90, Got: 92b7
Checksum failed. Expected: 1212, Got: 17fe
Checksum failed. Expected: 963d, Got: 1b02
Checksum failed. Expected: 578d, Got: 18c8
Checksum failed. Expected: 08f6, Got: 154c
Checksum failed. Expected: beda, Got: 919f
Checksum failed. Expected: 8fc1, Got: 90c0
Checksum failed. Expected: b920, Got: 0edc
Checksum failed. Expected: 6b01, Got: 0a5d
Checksum failed. Expected: 8cc4, Got: 8e79
Checksum failed. Expected: 7de4, Got: 8538
Checksum failed. Expected: 146d, Got: 098c
Checksum failed. Expected: c5a4, Got: 88d5
Checksum failed. Expected: d090, Got: 0ad9
Checksum failed. Expected: a750, Got: 1a07
Checksum failed. Expected: fb98, Got: 9464
Checksum failed. Expected: 5f1a, Got: 7d2b
Checksum failed. Expected: d58f, Got: 85e2
Checksum failed. Expected: 87a9, Got: 9609
Checksum failed. Expected: 0453, Got: 181e
Checksum failed. Expected: ee4a, Got: 0c45
Checksum failed. Expected: 7774, Got: cfc0
Checksum failed. Expected: 9e58, Got: 5138
Checksum failed. Expected: df2b, Got: 9270
Checksum failed. Expected: c2f2, Got: 5678
Checksum failed. Expected: c35c, Got: 15af
Checksum failed. Expected: 7fbf, Got: 100d
Checksum failed. Expected: cf6c, Got: 10b3
Checksum failed. Expected: 5483, Got: d1c4
Checksum failed. Expected: 561d, Got: d5dc
Checksum failed. Expected: d985, Got: 5697
Checksum failed. Expected: 4dd2, Got: 1a57
Checksum failed. Expected: 9c5e, Got: 18b7
Checksum failed. Expected: 38d5, Got: 15b2
Checksum failed. Expected: c1e7, Got: 943c
Checksum failed. Expected: efc6, Got: cf83
Checksum failed. Expected: 0111, Got: cf4d
Checksum failed. Expected: 2903, Got: 49c6
Checksum failed. Expected: 24be, Got: 4c8e
Checksum failed. Expected: a593, Got: 9724
Checksum failed. Expected: 1bd0, Got: 0563
Checksum failed. Expected: 2750, Got: bea2
Checksum failed. Expected: 52fb, Got: 825a
Checksum failed. Expected: 3135, Got: 81f7
Checksum failed. Expected: 0721, Got: c68f
