
#################################################################
Log started at 2025-06-12_16-19-10 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: f5aa, Got: 10a8
Checksum failed. Expected: b028, Got: 11de
Checksum failed. Expected: 8f64, Got: 8f7c
Checksum failed. Expected: c05a, Got: 15c0
Checksum failed. Expected: 4439, Got: 19a1
Checksum failed. Expected: a266, Got: 1d22
Checksum failed. Expected: 17ab, Got: 9abd
Checksum failed. Expected: f339, Got: 1637
Checksum failed. Expected: 0ad2, Got: 974b
Checksum failed. Expected: e440, Got: 93aa
Checksum failed. Expected: d5fb, Got: 9667
Checksum failed. Expected: bc94, Got: 1592
Checksum failed. Expected: d324, Got: 9726
Checksum failed. Expected: 4603, Got: 931d
Checksum failed. Expected: 5653, Got: 8b4d
Checksum failed. Expected: 201b, Got: 8961
Checksum failed. Expected: 1cd0, Got: 0838
Checksum failed. Expected: f111, Got: 8367
Checksum failed. Expected: 6a6a, Got: 8cd8
Checksum failed. Expected: de6a, Got: 96de
Checksum failed. Expected: 11aa, Got: c7a7
Checksum failed. Expected: a875, Got: 0b96
Checksum failed. Expected: 2ae1, Got: 1572
Checksum failed. Expected: 1606, Got: 16b2
Checksum failed. Expected: 9add, Got: 4eea
Checksum failed. Expected: 02a8, Got: 0bde
Checksum failed. Expected: b0ab, Got: 17ee
Checksum failed. Expected: ad7d, Got: 0bef
Checksum failed. Expected: 21ea, Got: c6c5
Checksum failed. Expected: c3fd, Got: 8ce4
Checksum failed. Expected: 3d1d, Got: 966c
Checksum failed. Expected: 583e, Got: 0a9c
Checksum failed. Expected: 4cd2, Got: cad4
Checksum failed. Expected: 3790, Got: 08bc
Checksum failed. Expected: 056e, Got: c2e5
Checksum failed. Expected: 40a4, Got: 425f
Checksum failed. Expected: 675d, Got: 02f7
Checksum failed. Expected: 37cd, Got: 88a2
Checksum failed. Expected: 501c, Got: 86ee
Checksum failed. Expected: c8d3, Got: 01fe
Checksum failed. Expected: a7af, Got: faeb
Checksum failed. Expected: 91c3, Got: 7e64
Checksum failed. Expected: 04fe, Got: 3ed0
Checksum failed. Expected: 9e66, Got: 7650
Checksum failed. Expected: 8159, Got: 743e
Checksum failed. Expected: e7ea, Got: 3a46
Checksum failed. Expected: 1d48, Got: 7ecd
Checksum failed. Expected: 9647, Got: 41ef
Checksum failed. Expected: 6964, Got: c586
Checksum failed. Expected: 1133, Got: c709
Checksum failed. Expected: 11af, Got: c8c6
Checksum failed. Expected: 2ba3, Got: ca4c
Checksum failed. Expected: 3a81, Got: ca72
Checksum failed. Expected: 8216, Got: 0a3e
Checksum failed. Expected: 62bb, Got: 4de0
Checksum failed. Expected: 75ad, Got: cec3
Checksum failed. Expected: 92fc, Got: 0faa
Checksum failed. Expected: f029, Got: 8e26
Checksum failed. Expected: d467, Got: 995f
Checksum failed. Expected: d1c1, Got: 9478
Checksum failed. Expected: 3d0f, Got: 962e
Checksum failed. Expected: 8b36, Got: 16c8
Checksum failed. Expected: f124, Got: 9bda
Checksum failed. Expected: 2ee4, Got: 1c85
Checksum failed. Expected: 66f1, Got: 98b1
Checksum failed. Expected: 737e, Got: 8f50
Checksum failed. Expected: 05a1, Got: 8acf
Checksum failed. Expected: 927d, Got: 9161
Checksum failed. Expected: 5839, Got: 99cb
Checksum failed. Expected: 8e5c, Got: 1955
Checksum failed. Expected: 6d37, Got: a557
Checksum failed. Expected: c8cf, Got: a40f
Checksum failed. Expected: 01f4, Got: a336
Checksum failed. Expected: 1fad, Got: a208
Checksum failed. Expected: 40b4, Got: 19aa
Checksum failed. Expected: 2a59, Got: 136c
Checksum failed. Expected: c1f5, Got: 1627
Checksum failed. Expected: 2dd3, Got: 1980
Checksum failed. Expected: 74fe, Got: 9c1d
Checksum failed. Expected: 4115, Got: 126d
Checksum failed. Expected: 4b2c, Got: 1014
Checksum failed. Expected: a647, Got: 9766
Checksum failed. Expected: 90cd, Got: 8e60
Checksum failed. Expected: 8064, Got: 9d94
Checksum failed. Expected: 9d1f, Got: 1c12
Checksum failed. Expected: 5742, Got: 97fc
Checksum failed. Expected: 9556, Got: 944b
Checksum failed. Expected: 1a08, Got: 196c
Checksum failed. Expected: 091a, Got: 151a
Checksum failed. Expected: 0366, Got: 1297
Checksum failed. Expected: 5ad5, Got: a057
Checksum failed. Expected: a3af, Got: 9c38
Checksum failed. Expected: 63d4, Got: 9068
Checksum failed. Expected: 7aa3, Got: 4ea8
Checksum failed. Expected: a1bd, Got: 8e74
Checksum failed. Expected: ec6a, Got: 91f7
Checksum failed. Expected: dbb3, Got: 1a3f
Checksum failed. Expected: 2d08, Got: 9a2b
Checksum failed. Expected: 3ec6, Got: 12f9
Checksum failed. Expected: e6fb, Got: 9a76
Checksum failed. Expected: c2df, Got: 1f12
Checksum failed. Expected: 72e6, Got: a068
Checksum failed. Expected: 0b21, Got: 14c7
Checksum failed. Expected: a401, Got: 2021
Checksum failed. Expected: f205, Got: 1890
Checksum failed. Expected: 504b, Got: 45df
Checksum failed. Expected: 3ac5, Got: c4e2
Checksum failed. Expected: fb00, Got: 88d0
Checksum failed. Expected: 415c, Got: 8e0e
Checksum failed. Expected: 967c, Got: 0ea2
Checksum failed. Expected: 347f, Got: 9232
Checksum failed. Expected: 70ca, Got: 9592
Checksum failed. Expected: bd4e, Got: 4cae
Checksum failed. Expected: 4493, Got: 93f7
Checksum failed. Expected: 1fbd, Got: 87d5
Checksum failed. Expected: 287d, Got: 0f54
Checksum failed. Expected: 6943, Got: 1015
Checksum failed. Expected: dc75, Got: 0cc8
Checksum failed. Expected: fa22, Got: 85b7
Checksum failed. Expected: 9693, Got: c7c2
Checksum failed. Expected: e253, Got: 89cf
Checksum failed. Expected: 8ddd, Got: 8eaf
Checksum failed. Expected: c89c, Got: 102e
Checksum failed. Expected: cea4, Got: 452c
Checksum failed. Expected: b390, Got: 8125
Checksum failed. Expected: 2a24, Got: 84e2
Checksum failed. Expected: a19e, Got: 0d6a
Checksum failed. Expected: 0fb5, Got: 44a8
Checksum failed. Expected: e1e6, Got: 95a6
Checksum failed. Expected: 4194, Got: 997a
Checksum failed. Expected: 222d, Got: 99ae
Checksum failed. Expected: 3ffa, Got: 8692
Checksum failed. Expected: eb0b, Got: 8c84
Checksum failed. Expected: 62cf, Got: 9017
Checksum failed. Expected: a9ad, Got: 0702
Checksum failed. Expected: 21e7, Got: 4636
Checksum failed. Expected: 3fd8, Got: 02c5
Checksum failed. Expected: f95b, Got: 8bd8
Checksum failed. Expected: d74c, Got: 05ff
Checksum failed. Expected: b40b, Got: c1a8
Checksum failed. Expected: 113b, Got: f9ce
Checksum failed. Expected: 4601, Got: 04eb
Checksum failed. Expected: fb96, Got: 06e4
Checksum failed. Expected: efdf, Got: 07e1
Checksum failed. Expected: 7ec0, Got: 8ab7
Checksum failed. Expected: b476, Got: 0b88
Checksum failed. Expected: 9d5c, Got: 8f79
Checksum failed. Expected: 5855, Got: 89c3
Checksum failed. Expected: 39fc, Got: 452a
Checksum failed. Expected: 37da, Got: 4529
Checksum failed. Expected: 8a66, Got: 8863
Checksum failed. Expected: d659, Got: 7ce9
Checksum failed. Expected: 93b1, Got: 0196
Checksum failed. Expected: 7609, Got: 85ec
Checksum failed. Expected: 218f, Got: 8dad
Checksum failed. Expected: 2542, Got: 89e2
Checksum failed. Expected: 0efc, Got: 4958
Checksum failed. Expected: c0dc, Got: 0982
Checksum failed. Expected: 997f, Got: c6b4
Checksum failed. Expected: 5758, Got: 865b
Checksum failed. Expected: f515, Got: 448d
Checksum failed. Expected: 062a, Got: 856e
Checksum failed. Expected: 00c1, Got: 87b5
Checksum failed. Expected: 227e, Got: 9410
Checksum failed. Expected: 71bd, Got: 1c02
Checksum failed. Expected: d7aa, Got: 12f7
Checksum failed. Expected: 3401, Got: 86f1
Checksum failed. Expected: 80da, Got: 8782
Checksum failed. Expected: febe, Got: c446
Checksum failed. Expected: 041f, Got: 0685
Checksum failed. Expected: 7ce0, Got: 4bca
Checksum failed. Expected: 925c, Got: 0d6a
Checksum failed. Expected: 46cc, Got: a010
Checksum failed. Expected: 87c3, Got: 2062
Checksum failed. Expected: edb2, Got: 1aca
Checksum failed. Expected: 50f4, Got: 129e
Checksum failed. Expected: 9e96, Got: 124a
Checksum failed. Expected: 4033, Got: 9612
Checksum failed. Expected: 126a, Got: 2179
Checksum failed. Expected: 9d46, Got: a5c5
Checksum failed. Expected: 40c3, Got: 0df0
Checksum failed. Expected: 0214, Got: 1aff
Checksum failed. Expected: 4333, Got: 96fc
Checksum failed. Expected: bfc5, Got: 97b6
Checksum failed. Expected: 9f84, Got: 1a68
Checksum failed. Expected: a04a, Got: 186e
Checksum failed. Expected: 22a5, Got: 8aa8
Checksum failed. Expected: 7c41, Got: 4499
Checksum failed. Expected: 2eae, Got: 10fb
Checksum failed. Expected: 485e, Got: 1ab7
Checksum failed. Expected: fdd8, Got: a500
Checksum failed. Expected: 3dd1, Got: 1a72
Checksum failed. Expected: 2d1d, Got: 99a0
Checksum failed. Expected: f787, Got: 11d2
Checksum failed. Expected: 4b71, Got: 98c7
Checksum failed. Expected: 78d4, Got: 94bc
Checksum failed. Expected: b234, Got: 86f0
Checksum failed. Expected: c373, Got: 04d6
Checksum failed. Expected: 0d7a, Got: 0b69
Checksum failed. Expected: c5b6, Got: 89d1
Checksum failed. Expected: 59e5, Got: 1109
Checksum failed. Expected: 8065, Got: 1ac4
Checksum failed. Expected: 6aa0, Got: 9ad2
Checksum failed. Expected: f23c, Got: 9792
Checksum failed. Expected: 27c6, Got: 894d
Checksum failed. Expected: b51b, Got: 819a
Checksum failed. Expected: 35be, Got: 0421
Checksum failed. Expected: 515c, Got: 0a6d
Checksum failed. Expected: cc37, Got: 0f8b
Checksum failed. Expected: 785e, Got: 0fbd
Checksum failed. Expected: 7700, Got: d46a
Checksum failed. Expected: 607e, Got: 49ff
Checksum failed. Expected: b85e, Got: 869b
Checksum failed. Expected: 1438, Got: 44d2
Checksum failed. Expected: 3ff7, Got: c49f
Checksum failed. Expected: 7854, Got: 0603
Checksum failed. Expected: 6591, Got: cb35
Checksum failed. Expected: f05d, Got: 8aad
Checksum failed. Expected: 774b, Got: 4b08
Checksum failed. Expected: a768, Got: 06f1
Checksum failed. Expected: 02c5, Got: 4725
Checksum failed. Expected: a2a6, Got: c774
Checksum failed. Expected: acfb, Got: 8892
Checksum failed. Expected: 9e9d, Got: 48a5
Checksum failed. Expected: 1f0d, Got: 8838
Checksum failed. Expected: 665a, Got: 86c7
Checksum failed. Expected: 0d50, Got: 4870
Checksum failed. Expected: 5a42, Got: 0443
Checksum failed. Expected: ea75, Got: 8a04
Checksum failed. Expected: 92c4, Got: 1180
Checksum failed. Expected: d243, Got: 1a6b
Checksum failed. Expected: 8cfc, Got: 8eef
Checksum failed. Expected: de5e, Got: cc10
Checksum failed. Expected: 1aa0, Got: 4833
Checksum failed. Expected: 2cee, Got: 87e3
Checksum failed. Expected: ecd4, Got: 7d67
Checksum failed. Expected: db43, Got: 0266
Checksum failed. Expected: 863e, Got: 835a
Checksum failed. Expected: 1184, Got: 457e
Checksum failed. Expected: 7efa, Got: 05f5
Checksum failed. Expected: ee34, Got: c57c
Checksum failed. Expected: 9daf, Got: 031e
Checksum failed. Expected: 7553, Got: 8ced
Checksum failed. Expected: 8068, Got: 9155
Checksum failed. Expected: a590, Got: 0fb0
Checksum failed. Expected: 69b2, Got: 0c94
Checksum failed. Expected: 6901, Got: 9202
Checksum failed. Expected: 7ca3, Got: 1440
Checksum failed. Expected: 7915, Got: 0c03
Checksum failed. Expected: bbb5, Got: 8cbb
Checksum failed. Expected: b4e2, Got: 0ad2
Checksum failed. Expected: 6802, Got: 8f19
Checksum failed. Expected: 7ec1, Got: 103e
Checksum failed. Expected: 6c52, Got: 944b
Checksum failed. Expected: 3259, Got: 983a
Checksum failed. Expected: c0ec, Got: 9ab7
Checksum failed. Expected: bae4, Got: 121a
Checksum failed. Expected: 1de2, Got: 900c
Checksum failed. Expected: b029, Got: 0931
Checksum failed. Expected: 90e1, Got: 2038
Checksum failed. Expected: 44f4, Got: 9f9c
Checksum failed. Expected: d86c, Got: 14ad
Checksum failed. Expected: 1f60, Got: 180a
Checksum failed. Expected: e964, Got: a282
Checksum failed. Expected: 142c, Got: 2698
Checksum failed. Expected: 8f65, Got: 145a
Checksum failed. Expected: f325, Got: a570
Checksum failed. Expected: 7d12, Got: 22ab
Checksum failed. Expected: 584c, Got: cda6
Checksum failed. Expected: 7545, Got: 8b58
Checksum failed. Expected: 0c14, Got: 8999
Checksum failed. Expected: a051, Got: 9e8a
Checksum failed. Expected: 3f8e, Got: 9de7
Checksum failed. Expected: 73c2, Got: a2b6
Checksum failed. Expected: 40f3, Got: 1756
Checksum failed. Expected: ed21, Got: 14c4
Checksum failed. Expected: 54fc, Got: a458
Checksum failed. Expected: 0b44, Got: a558
Checksum failed. Expected: 50c4, Got: 1f99
Checksum failed. Expected: 42a3, Got: a35d
Checksum failed. Expected: a66f, Got: 219b
Checksum failed. Expected: 8733, Got: 18c4
Checksum failed. Expected: 50c4, Got: c8c5
Checksum failed. Expected: 5d4a, Got: 8d72
Checksum failed. Expected: ff61, Got: 18f8
Checksum failed. Expected: 7e82, Got: 9134
Checksum failed. Expected: 53ed, Got: 90b6
Checksum failed. Expected: 231d, Got: 99df
Checksum failed. Expected: acef, Got: 0a8e
Checksum failed. Expected: 2db0, Got: 983b
Checksum failed. Expected: e810, Got: 172b
Checksum failed. Expected: 497b, Got: 9264
Checksum failed. Expected: 7994, Got: 90a0
Checksum failed. Expected: 0d62, Got: 0e75
Checksum failed. Expected: c8cf, Got: 095d
Checksum failed. Expected: 9c1e, Got: 0957
Checksum failed. Expected: e451, Got: 82f0
Checksum failed. Expected: f25f, Got: 0116
Checksum failed. Expected: 9d31, Got: 7d43
Checksum failed. Expected: 302d, Got: faf0
Checksum failed. Expected: 6afc, Got: 87a8
Checksum failed. Expected: 926c, Got: 14e4
Checksum failed. Expected: ecb8, Got: 1528
Checksum failed. Expected: 2afd, Got: 0f10
Checksum failed. Expected: c521, Got: 85e1
Checksum failed. Expected: 686d, Got: 002a
Checksum failed. Expected: 00f2, Got: fe27
Checksum failed. Expected: 4f29, Got: 8d2c
Checksum failed. Expected: 54b8, Got: c800
Checksum failed. Expected: eeaa, Got: 06e0
Checksum failed. Expected: 4e6f, Got: 40dd
Checksum failed. Expected: 501f, Got: bdcc
Checksum failed. Expected: eb57, Got: 415e
Checksum failed. Expected: 59e0, Got: 0149
Checksum failed. Expected: de4f, Got: 0584
Checksum failed. Expected: 6952, Got: 495c
Checksum failed. Expected: 0d86, Got: c96f
Checksum failed. Expected: 194e, Got: c6a7
Checksum failed. Expected: ea1b, Got: 01bf
Checksum failed. Expected: 6da8, Got: 7ea1
Checksum failed. Expected: 5b97, Got: 453e
Checksum failed. Expected: 444f, Got: c71b
Checksum failed. Expected: 3650, Got: c199
Checksum failed. Expected: c959, Got: be44
Checksum failed. Expected: 1831, Got: c242
Checksum failed. Expected: 1c76, Got: 837a
Checksum failed. Expected: 2dab, Got: c50f
Checksum failed. Expected: fffc, Got: 4428
Checksum failed. Expected: 393d, Got: 0846
Checksum failed. Expected: 2980, Got: 0b64
Checksum failed. Expected: 9035, Got: 0a65
Checksum failed. Expected: 0355, Got: 0ac4
Checksum failed. Expected: 819e, Got: 83be
Checksum failed. Expected: 67a0, Got: 3f80
Checksum failed. Expected: 107f, Got: c31a
Checksum failed. Expected: 2af0, Got: 0823
Checksum failed. Expected: 4075, Got: 03b8
Checksum failed. Expected: 5904, Got: 839f
Checksum failed. Expected: 34c8, Got: 84c8
Checksum failed. Expected: 3e50, Got: 4874
Checksum failed. Expected: 8cf8, Got: 8b74
Checksum failed. Expected: c164, Got: 08c3
Checksum failed. Expected: f849, Got: c268
Checksum failed. Expected: ac7e, Got: 42fa
Checksum failed. Expected: 8135, Got: 0d11
Checksum failed. Expected: 75ab, Got: 9aac
Checksum failed. Expected: dc43, Got: 9188
Checksum failed. Expected: 38cf, Got: 977e
Checksum failed. Expected: ddcc, Got: 97a3
Checksum failed. Expected: 888e, Got: 8ac3
Checksum failed. Expected: a3c8, Got: 1ede
Checksum failed. Expected: 15ff, Got: 4ebe
Checksum failed. Expected: fc5e, Got: 16f5
Checksum failed. Expected: 3d50, Got: 997c
Checksum failed. Expected: 96a3, Got: 1c3c
Checksum failed. Expected: cc8a, Got: 17f3
Checksum failed. Expected: b36d, Got: 9e5a
Checksum failed. Expected: 0cd4, Got: 9507
Checksum failed. Expected: baf4, Got: 10f8
Checksum failed. Expected: 8046, Got: 976e
Checksum failed. Expected: 2984, Got: 1f96
Checksum failed. Expected: 8731, Got: 978d
Checksum failed. Expected: 1bef, Got: 9168
Checksum failed. Expected: 5a31, Got: 100d
Checksum failed. Expected: 2c29, Got: 12b2
Checksum failed. Expected: 0722, Got: 1875
Checksum failed. Expected: 2df9, Got: a32b
Checksum failed. Expected: 4109, Got: 2c24
Checksum failed. Expected: 173b, Got: 35a9
Checksum failed. Expected: 10e9, Got: b5a2
