
#################################################################
Log started at 2025-06-13_15-01-33 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-0.146525, Y=-0.694150, Z=9.756850 m/s^2 Time of Week: 457311.724000, Week Number: 2370
Acceleration: X=-0.146485, Y=-0.696225, Z=9.753520 m/s^2 Time of Week: 457311.725000, Week Number: 2370
Acceleration: X=-0.145131, Y=-0.696748, Z=9.748625 m/s^2 Time of Week: 457311.726000, Week Number: 2370
Acceleration: X=-0.142962, Y=-0.694587, Z=9.748802 m/s^2 Time of Week: 457311.727000, Week Number: 2370
Acceleration: X=-0.148360, Y=-0.691722, Z=9.754709 m/s^2 Time of Week: 457311.728000, Week Number: 2370
Acceleration: X=-0.150589, Y=-0.690137, Z=9.756121 m/s^2 Time of Week: 457311.729000, Week Number: 2370
Acceleration: X=-0.149297, Y=-0.690227, Z=9.751042 m/s^2 Time of Week: 457311.730000, Week Number: 2370
Acceleration: X=-0.149412, Y=-0.691601, Z=9.747106 m/s^2 Time of Week: 457311.731000, Week Number: 2370
Acceleration: X=-0.146293, Y=-0.691478, Z=9.749762 m/s^2 Time of Week: 457311.732000, Week Number: 2370
Acceleration: X=-0.148739, Y=-0.693231, Z=9.753575 m/s^2 Time of Week: 457311.733000, Week Number: 2370
Acceleration: X=-0.151129, Y=-0.693646, Z=9.754512 m/s^2 Time of Week: 457311.734000, Week Number: 2370
Acceleration: X=-0.154426, Y=-0.691924, Z=9.752458 m/s^2 Time of Week: 457311.735000, Week Number: 2370
Acceleration: X=-0.152030, Y=-0.692008, Z=9.753783 m/s^2 Time of Week: 457311.736000, Week Number: 2370
Acceleration: X=-0.150091, Y=-0.690684, Z=9.755905 m/s^2 Time of Week: 457311.737000, Week Number: 2370
Acceleration: X=-0.155058, Y=-0.688500, Z=9.757794 m/s^2 Time of Week: 457311.738000, Week Number: 2370
Acceleration: X=-0.163536, Y=-0.688864, Z=9.759155 m/s^2 Time of Week: 457311.739000, Week Number: 2370
Acceleration: X=-0.162432, Y=-0.688052, Z=9.760363 m/s^2 Time of Week: 457311.740000, Week Number: 2370
Acceleration: X=-0.159914, Y=-0.687831, Z=9.762468 m/s^2 Time of Week: 457311.741000, Week Number: 2370
Acceleration: X=-0.159746, Y=-0.690482, Z=9.767548 m/s^2 Time of Week: 457311.742000, Week Number: 2370
Acceleration: X=-0.163313, Y=-0.690651, Z=9.775128 m/s^2 Time of Week: 457311.743000, Week Number: 2370
Acceleration: X=-0.169598, Y=-0.687921, Z=9.777857 m/s^2 Time of Week: 457311.744000, Week Number: 2370
Acceleration: X=-0.171145, Y=-0.687719, Z=9.774872 m/s^2 Time of Week: 457311.745000, Week Number: 2370
Acceleration: X=-0.166095, Y=-0.690947, Z=9.772789 m/s^2 Time of Week: 457311.746000, Week Number: 2370
Acceleration: X=-0.160292, Y=-0.688112, Z=9.773662 m/s^2 Time of Week: 457311.747000, Week Number: 2370
Acceleration: X=-0.163417, Y=-0.691033, Z=9.778891 m/s^2 Time of Week: 457311.748000, Week Number: 2370
Acceleration: X=-0.168723, Y=-0.695357, Z=9.779270 m/s^2 Time of Week: 457311.749000, Week Number: 2370
Acceleration: X=-0.167755, Y=-0.692755, Z=9.782067 m/s^2 Time of Week: 457311.750000, Week Number: 2370
Acceleration: X=-0.155700, Y=-0.688042, Z=9.787736 m/s^2 Time of Week: 457311.751000, Week Number: 2370
Acceleration: X=-0.161842, Y=-0.686877, Z=9.789544 m/s^2 Time of Week: 457311.752000, Week Number: 2370
Acceleration: X=-0.166962, Y=-0.688373, Z=9.790906 m/s^2 Time of Week: 457311.753000, Week Number: 2370
Acceleration: X=-0.164579, Y=-0.688334, Z=9.788523 m/s^2 Time of Week: 457311.754000, Week Number: 2370
Acceleration: X=-0.166697, Y=-0.681030, Z=9.791547 m/s^2 Time of Week: 457311.755000, Week Number: 2370
Acceleration: X=-0.171273, Y=-0.674670, Z=9.796801 m/s^2 Time of Week: 457311.756000, Week Number: 2370
Acceleration: X=-0.173282, Y=-0.671762, Z=9.797606 m/s^2 Time of Week: 457311.757000, Week Number: 2370
Acceleration: X=-0.172444, Y=-0.675168, Z=9.792339 m/s^2 Time of Week: 457311.758000, Week Number: 2370
Acceleration: X=-0.167725, Y=-0.680109, Z=9.794270 m/s^2 Time of Week: 457311.759000, Week Number: 2370
Acceleration: X=-0.165209, Y=-0.683114, Z=9.796120 m/s^2 Time of Week: 457311.760000, Week Number: 2370
Acceleration: X=-0.168207, Y=-0.683364, Z=9.791116 m/s^2 Time of Week: 457311.761000, Week Number: 2370
Acceleration: X=-0.163032, Y=-0.678906, Z=9.787625 m/s^2 Time of Week: 457311.762000, Week Number: 2370
Acceleration: X=-0.159509, Y=-0.674216, Z=9.786775 m/s^2 Time of Week: 457311.763000, Week Number: 2370
Acceleration: X=-0.161368, Y=-0.670843, Z=9.786120 m/s^2 Time of Week: 457311.764000, Week Number: 2370
Acceleration: X=-0.162273, Y=-0.670040, Z=9.783687 m/s^2 Time of Week: 457311.765000, Week Number: 2370
Acceleration: X=-0.165238, Y=-0.671651, Z=9.781277 m/s^2 Time of Week: 457311.766000, Week Number: 2370
Acceleration: X=-0.171413, Y=-0.673354, Z=9.782047 m/s^2 Time of Week: 457311.767000, Week Number: 2370
Acceleration: X=-0.167462, Y=-0.676045, Z=9.782221 m/s^2 Time of Week: 457311.768000, Week Number: 2370
Acceleration: X=-0.164678, Y=-0.676228, Z=9.780001 m/s^2 Time of Week: 457311.769000, Week Number: 2370
Acceleration: X=-0.161300, Y=-0.675358, Z=9.783100 m/s^2 Time of Week: 457311.770000, Week Number: 2370
Acceleration: X=-0.165462, Y=-0.672429, Z=9.785204 m/s^2 Time of Week: 457311.771000, Week Number: 2370
Acceleration: X=-0.169154, Y=-0.671249, Z=9.781635 m/s^2 Time of Week: 457311.772000, Week Number: 2370
Acceleration: X=-0.171850, Y=-0.667794, Z=9.785292 m/s^2 Time of Week: 457311.773000, Week Number: 2370
Acceleration: X=-0.172071, Y=-0.666488, Z=9.791612 m/s^2 Time of Week: 457311.774000, Week Number: 2370
