
#################################################################
Log started at 2025-06-12_15-12-53 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: cbba, Got: 0000
Checksum failed. Expected: e170, Got: 0000
Checksum failed. Expected: 40c4, Got: 0000
Checksum failed. Expected: 4345, Got: 0000
Checksum failed. Expected: 99d3, Got: 0000
Checksum failed. Expected: 7a3a, Got: 0000
Checksum failed. Expected: 2a87, Got: 0000
Checksum failed. Expected: 2f12, Got: 0000
Checksum failed. Expected: 6f6f, Got: 0000
Checksum failed. Expected: 7a73, Got: 0000
Checksum failed. Expected: 8126, Got: 0000
Checksum failed. Expected: 08ae, Got: 0000
Checksum failed. Expected: 55c5, Got: 0000
Checksum failed. Expected: 50d5, Got: 0000
Checksum failed. Expected: d589, Got: 0000
Checksum failed. Expected: 4c29, Got: 0000
Checksum failed. Expected: 91bd, Got: 0000
Checksum failed. Expected: 4ec9, Got: 0000
Checksum failed. Expected: e693, Got: 0000
Checksum failed. Expected: 33d3, Got: 0000
Checksum failed. Expected: 70e8, Got: 0000
Checksum failed. Expected: 7acf, Got: 0000
Checksum failed. Expected: 8e4b, Got: 0000
Checksum failed. Expected: 4a52, Got: 0000
Checksum failed. Expected: cac3, Got: 0000
Checksum failed. Expected: 2a08, Got: 0000
Checksum failed. Expected: 22de, Got: 0000
Checksum failed. Expected: 89b2, Got: 0000
Checksum failed. Expected: fe53, Got: 0000
Checksum failed. Expected: 25f1, Got: 0000
Checksum failed. Expected: edc8, Got: 0000
Checksum failed. Expected: 7485, Got: 0000
Checksum failed. Expected: 13b0, Got: 0000
Checksum failed. Expected: 374d, Got: 0000
Checksum failed. Expected: a8b1, Got: 0000
Checksum failed. Expected: 57ee, Got: 0000
Checksum failed. Expected: ce8e, Got: 0000
Checksum failed. Expected: 5435, Got: 0000
Checksum failed. Expected: e8d5, Got: 0000
Checksum failed. Expected: 34f9, Got: 0000
Checksum failed. Expected: d0e9, Got: 0000
Checksum failed. Expected: 168d, Got: 0000
Checksum failed. Expected: f399, Got: 0000
Checksum failed. Expected: e943, Got: 0000
Checksum failed. Expected: 3133, Got: 0000
Checksum failed. Expected: a6c8, Got: 0000
Checksum failed. Expected: 6d7f, Got: 0000
Checksum failed. Expected: 853b, Got: 0000
Checksum failed. Expected: 7f22, Got: 0000
Checksum failed. Expected: e3d3, Got: 0000
Checksum failed. Expected: 0648, Got: 0000
Checksum failed. Expected: eade, Got: 0000
Checksum failed. Expected: db52, Got: 0000
Checksum failed. Expected: 5323, Got: 0000
Checksum failed. Expected: 78a1, Got: 0000
Checksum failed. Expected: 1f68, Got: 0000
Checksum failed. Expected: 50c5, Got: 0000
Checksum failed. Expected: a330, Got: 0000
Checksum failed. Expected: 727d, Got: 0000
Checksum failed. Expected: fb61, Got: 0000
Checksum failed. Expected: 6a9e, Got: 0000
Checksum failed. Expected: 6f1e, Got: 0000
Checksum failed. Expected: 5185, Got: 0000
Checksum failed. Expected: ba75, Got: 0000
Checksum failed. Expected: 1699, Got: 0000
Checksum failed. Expected: 86c9, Got: 0000
Checksum failed. Expected: 11bd, Got: 0000
Checksum failed. Expected: 3b99, Got: 0000
Checksum failed. Expected: 1253, Got: 0000
Checksum failed. Expected: fa43, Got: 0000
Checksum failed. Expected: 5db8, Got: 0000
Checksum failed. Expected: 2e0f, Got: 0000
Checksum failed. Expected: 06cb, Got: 0000
Checksum failed. Expected: bd82, Got: 0000
Checksum failed. Expected: 9793, Got: 0000
Checksum failed. Expected: 0288, Got: 0000
Checksum failed. Expected: b2de, Got: 0000
Checksum failed. Expected: 98a2, Got: 0000
Checksum failed. Expected: e4b3, Got: 0000
Checksum failed. Expected: 5c61, Got: 0000
Checksum failed. Expected: f108, Got: 0000
Checksum failed. Expected: bae5, Got: 0000
Checksum failed. Expected: fb30, Got: 0000
Checksum failed. Expected: afcd, Got: 0000
Checksum failed. Expected: 5ad1, Got: 0000
Checksum failed. Expected: f07e, Got: 0000
Checksum failed. Expected: da4e, Got: 0000
Checksum failed. Expected: 00f5, Got: 0000
Checksum failed. Expected: 7165, Got: 0000
Checksum failed. Expected: f729, Got: 0000
Checksum failed. Expected: eca9, Got: 0000
Checksum failed. Expected: 3e0d, Got: 0000
Checksum failed. Expected: 0f59, Got: 0000
Checksum failed. Expected: 4b63, Got: 0000
Checksum failed. Expected: f793, Got: 0000
Checksum failed. Expected: 59f8, Got: 0000
Checksum failed. Expected: 84ef, Got: 0000
Checksum failed. Expected: b75b, Got: 0000
Checksum failed. Expected: 5d02, Got: 0000
Checksum failed. Expected: a0a3, Got: 0000
Checksum failed. Expected: e978, Got: 0000
Checksum failed. Expected: c8be, Got: 0000
Checksum failed. Expected: 8b52, Got: 0000
Checksum failed. Expected: 0323, Got: 0000
Checksum failed. Expected: 3351, Got: 0000
Checksum failed. Expected: bf68, Got: 0000
Checksum failed. Expected: 0735, Got: 0000
Checksum failed. Expected: f550, Got: 0000
Checksum failed. Expected: 6c1d, Got: 0000
Checksum failed. Expected: 0a51, Got: 0000
Checksum failed. Expected: 2ba4, Got: 0000
Checksum failed. Expected: 033c, Got: 0000
Checksum failed. Expected: 8f43, Got: 0000
Checksum failed. Expected: 6c73, Got: 0000
Checksum failed. Expected: d677, Got: 0000
Checksum failed. Expected: 9047, Got: 0000
Checksum failed. Expected: 408b, Got: 0000
Checksum failed. Expected: 3a67, Got: 0000
Checksum failed. Expected: 3011, Got: 0000
Checksum failed. Expected: 6c41, Got: 0000
Checksum failed. Expected: 6626, Got: 0000
Checksum failed. Expected: f99d, Got: 0000
Checksum failed. Expected: c7b9, Got: 0000
Checksum failed. Expected: 54d0, Got: 0000
Checksum failed. Expected: cff1, Got: 0000
Checksum failed. Expected: 8ae6, Got: 0000
Checksum failed. Expected: 31ac, Got: 0000
Checksum failed. Expected: 3550, Got: 0000
Checksum failed. Expected: 4af1, Got: 0000
Checksum failed. Expected: 1c3f, Got: 0000
Checksum failed. Expected: 3c96, Got: 0000
Checksum failed. Expected: a463, Got: 0000
Checksum failed. Expected: b16e, Got: 0000
Checksum failed. Expected: 4e9b, Got: 0000
Checksum failed. Expected: 355f, Got: 0000
Checksum failed. Expected: b5ac, Got: 0000
Checksum failed. Expected: c4cc, Got: 0000
Checksum failed. Expected: 6c93, Got: 0000
Checksum failed. Expected: 9583, Got: 0000
Checksum failed. Expected: 35e7, Got: 0000
Checksum failed. Expected: 23f7, Got: 0000
Checksum failed. Expected: cffb, Got: 0000
Checksum failed. Expected: c267, Got: 0000
Checksum failed. Expected: ee71, Got: 0000
Checksum failed. Expected: 9331, Got: 0000
Checksum failed. Expected: ec06, Got: 0000
Checksum failed. Expected: 7d5d, Got: 0000
Checksum failed. Expected: 80c9, Got: 0000
Checksum failed. Expected: f230, Got: 0000
Checksum failed. Expected: fa21, Got: 0000
Checksum failed. Expected: 6516, Got: 0000
Checksum failed. Expected: 2efc, Got: 0000
Checksum failed. Expected: 97f0, Got: 0000
Checksum failed. Expected: 2da1, Got: 0000
Checksum failed. Expected: 076f, Got: 0000
Checksum failed. Expected: 2496, Got: 0000
Checksum failed. Expected: a3d3, Got: 0000
Checksum failed. Expected: e63e, Got: 0000
Checksum failed. Expected: 936b, Got: 0000
Checksum failed. Expected: 26ef, Got: 0000
Checksum failed. Expected: 796c, Got: 0000
Checksum failed. Expected: 2bbc, Got: 0000
Checksum failed. Expected: 1b03, Got: 0000
Checksum failed. Expected: fc73, Got: 0000
Checksum failed. Expected: b677, Got: 0000
Checksum failed. Expected: 5bf7, Got: 0000
Checksum failed. Expected: ce6b, Got: 0000
Checksum failed. Expected: f1d7, Got: 0000
Checksum failed. Expected: a451, Got: 0000
Checksum failed. Expected: 1d51, Got: 0000
Checksum failed. Expected: aa66, Got: 0000
Checksum failed. Expected: b44d, Got: 0000
Checksum failed. Expected: 47b9, Got: 0000
Checksum failed. Expected: d700, Got: 0000
Checksum failed. Expected: 1221, Got: 0000
Checksum failed. Expected: b156, Got: 0000
Checksum failed. Expected: 56fc, Got: 0000
Checksum failed. Expected: 0440, Got: 0000
Checksum failed. Expected: c8d1, Got: 0000
Checksum failed. Expected: 829f, Got: 0000
Checksum failed. Expected: 21e6, Got: 0000
Checksum failed. Expected: 6793, Got: 0000
Checksum failed. Expected: 4f4e, Got: 0000
Checksum failed. Expected: d72b, Got: 0000
Checksum failed. Expected: cccf, Got: 0000
