
#################################################################
Log started at 2025-06-13_14-56-41 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: fd10, Got: 8f39
Checksum failed. Expected: 8ce0, Got: 8f29
Checksum failed. Expected: 041c, Got: 9000
Checksum failed. Expected: 24aa, Got: 90e0
Checksum failed. Expected: 06c2, Got: 915f
Checksum failed. Expected: 050a, Got: 90ed
Checksum failed. Expected: 780d, Got: 9103
Checksum failed. Expected: fd0a, Got: 9106
Checksum failed. Expected: 6905, Got: 9107
Checksum failed. Expected: cc19, Got: 90bf
Checksum failed. Expected: 3e1f, Got: 90af
Checksum failed. Expected: 9261, Got: 91fe
Checksum failed. Expected: 452d, Got: 927f
Checksum failed. Expected: d17a, Got: 923e
Checksum failed. Expected: ae72, Got: 913b
Checksum failed. Expected: 3bc0, Got: 90cb
Checksum failed. Expected: 5342, Got: 9036
Checksum failed. Expected: a1cf, Got: 9108
Checksum failed. Expected: 43c9, Got: 922e
Checksum failed. Expected: 16bf, Got: 91fd
Checksum failed. Expected: 0fa1, Got: 91c1
Checksum failed. Expected: 5598, Got: 9120
Checksum failed. Expected: eb4b, Got: 9171
Checksum failed. Expected: d7c6, Got: 919c
Checksum failed. Expected: 2c93, Got: 91db
Checksum failed. Expected: 17ad, Got: 90ad
Checksum failed. Expected: 46d4, Got: 916e
Checksum failed. Expected: b327, Got: 91fe
Checksum failed. Expected: 77de, Got: 9238
Checksum failed. Expected: fa1a, Got: 922d
Checksum failed. Expected: 1483, Got: 9305
Checksum failed. Expected: 86c1, Got: 936b
Checksum failed. Expected: 4289, Got: 92aa
Checksum failed. Expected: 10f6, Got: 933d
Checksum failed. Expected: 0288, Got: 9318
Checksum failed. Expected: f04e, Got: 9387
Checksum failed. Expected: 7329, Got: 9343
Checksum failed. Expected: 967a, Got: 92a2
Checksum failed. Expected: 9187, Got: 9260
Checksum failed. Expected: 0992, Got: 9220
Checksum failed. Expected: eb05, Got: 92a1
Checksum failed. Expected: 6c10, Got: 922c
Checksum failed. Expected: 9fae, Got: 9305
Checksum failed. Expected: e8bb, Got: 93fd
Checksum failed. Expected: a366, Got: 9407
Checksum failed. Expected: b556, Got: 946a
Checksum failed. Expected: 9378, Got: 9437
Checksum failed. Expected: 535f, Got: 94bc
Checksum failed. Expected: a1e3, Got: 94f6
Checksum failed. Expected: bb19, Got: 9411
Checksum failed. Expected: 8d51, Got: 938f
Checksum failed. Expected: 5063, Got: 92f6
Checksum failed. Expected: ac5a, Got: 9271
Checksum failed. Expected: a2eb, Got: 9269
Checksum failed. Expected: 5d05, Got: 9250
Checksum failed. Expected: ecc0, Got: 927c
Checksum failed. Expected: c653, Got: 923e
Checksum failed. Expected: 4aa0, Got: 91ce
Checksum failed. Expected: 2302, Got: 90ef
Checksum failed. Expected: 0fbc, Got: 906f
Checksum failed. Expected: 22d1, Got: 907f
Checksum failed. Expected: 6c1e, Got: 9209
Checksum failed. Expected: 89d5, Got: 921f
Checksum failed. Expected: b3e0, Got: 906d
Checksum failed. Expected: c600, Got: 9036
Checksum failed. Expected: 07d6, Got: 8fae
Checksum failed. Expected: 39ce, Got: 8f90
Checksum failed. Expected: ae62, Got: 8fa1
Checksum failed. Expected: 1658, Got: 8eca
Checksum failed. Expected: db61, Got: 8e4b
Checksum failed. Expected: dfeb, Got: 8dcb
Checksum failed. Expected: 6fc9, Got: 8e10
Checksum failed. Expected: aad1, Got: 8dee
Checksum failed. Expected: cdc1, Got: 8dfe
Checksum failed. Expected: 3555, Got: 8dea
