
#################################################################
Log started at 2025-06-12_16-20-06 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 0929, Got: 5604
Checksum failed. Expected: 24b6, Got: c49c
Checksum failed. Expected: 6ac8, Got: 3334
Checksum failed. Expected: 9970, Got: a1cb
Checksum failed. Expected: a131, Got: 1063
Checksum failed. Expected: f099, Got: 7efa
Checksum failed. Expected: 2b31, Got: ed92
Checksum failed. Expected: 6ef9, Got: 5c29
Checksum failed. Expected: 9dc0, Got: cac1
Checksum failed. Expected: 8c04, Got: 3958
Checksum failed. Expected: e625, Got: a7f0
Checksum failed. Expected: b8d3, Got: 1688
Checksum failed. Expected: f875, Got: 851f
Checksum failed. Expected: 67c5, Got: f3b7
Checksum failed. Expected: abaf, Got: 624e
Checksum failed. Expected: c1f6, Got: d0e6
Checksum failed. Expected: 18f6, Got: 3f7d
Checksum failed. Expected: 3f41, Got: ae15
Checksum failed. Expected: 45bf, Got: 1cac
Checksum failed. Expected: cd6c, Got: 8b44
Checksum failed. Expected: bed1, Got: f9db
Checksum failed. Expected: 2afe, Got: 6873
Checksum failed. Expected: b39e, Got: d70b
Checksum failed. Expected: c6c6, Got: 45a2
Checksum failed. Expected: cc63, Got: b43a
Checksum failed. Expected: a019, Got: 22d1
Checksum failed. Expected: c9a0, Got: 9169
Checksum failed. Expected: ddbf, Got: 0000
Checksum failed. Expected: 7a68, Got: 6e98
Checksum failed. Expected: f67b, Got: dd2f
Checksum failed. Expected: be9c, Got: 4bc7
Checksum failed. Expected: 8e32, Got: ba5f
Checksum failed. Expected: ccb4, Got: 28f6
Checksum failed. Expected: e993, Got: 978e
Checksum failed. Expected: 9b6d, Got: 0625
Checksum failed. Expected: ec10, Got: 74bd
Checksum failed. Expected: 969b, Got: e354
Checksum failed. Expected: 25aa, Got: 51ec
Checksum failed. Expected: 80ce, Got: c083
Checksum failed. Expected: 6e0f, Got: 2f1b
Checksum failed. Expected: 44d9, Got: 9db3
Checksum failed. Expected: d823, Got: 0c4a
Checksum failed. Expected: 73b0, Got: 7ae2
Checksum failed. Expected: 4577, Got: e979
Checksum failed. Expected: 13ec, Got: 5811
Checksum failed. Expected: 1ea8, Got: c6a8
Checksum failed. Expected: 058f, Got: 3540
Checksum failed. Expected: ba97, Got: a3d7
Checksum failed. Expected: 5664, Got: 126f
Checksum failed. Expected: 8b6c, Got: 8106
Checksum failed. Expected: 9752, Got: ef9e
Checksum failed. Expected: b642, Got: 5e36
Checksum failed. Expected: 936e, Got: cccd
Checksum failed. Expected: 7629, Got: 3b65
Checksum failed. Expected: d02b, Got: a9fc
Checksum failed. Expected: 0a9c, Got: 1894
Checksum failed. Expected: 8772, Got: 872b
Checksum failed. Expected: 09d8, Got: f5c3
Checksum failed. Expected: f2c8, Got: 645a
Checksum failed. Expected: f95f, Got: d2f2
Checksum failed. Expected: 0971, Got: 418a
Checksum failed. Expected: 3f87, Got: b021
Checksum failed. Expected: aa92, Got: 1eb9
Checksum failed. Expected: bfee, Got: 8d50
Checksum failed. Expected: c8aa, Got: fbe8
Checksum failed. Expected: ef0a, Got: 6a7f
Checksum failed. Expected: 9655, Got: d917
Checksum failed. Expected: 2227, Got: 47ae
Checksum failed. Expected: 9d1e, Got: b646
Checksum failed. Expected: 9e4a, Got: 24de
Checksum failed. Expected: 4ef3, Got: 9375
Checksum failed. Expected: 797e, Got: 020d
Checksum failed. Expected: 7ff4, Got: 70a4
Checksum failed. Expected: c736, Got: df3c
Checksum failed. Expected: 7700, Got: 4dd3
Checksum failed. Expected: 7a67, Got: bc6b
Checksum failed. Expected: 732f, Got: 2b02
Checksum failed. Expected: b81e, Got: 999a
Checksum failed. Expected: f4a4, Got: 0832
Checksum failed. Expected: 9042, Got: 76c9
Checksum failed. Expected: 6b9a, Got: e561
Checksum failed. Expected: e12c, Got: 53f8
Checksum failed. Expected: 7cef, Got: c290
Checksum failed. Expected: a107, Got: 3127
Checksum failed. Expected: 6f6a, Got: 9fbf
Checksum failed. Expected: fe6e, Got: 0e56
Checksum failed. Expected: e97d, Got: 7cee
Checksum failed. Expected: 7348, Got: eb85
Checksum failed. Expected: d09b, Got: 5a1d
Checksum failed. Expected: b0f1, Got: c8b5
Checksum failed. Expected: 7f81, Got: 374c
Checksum failed. Expected: 3490, Got: a5e4
Checksum failed. Expected: 6cde, Got: 147b
Checksum failed. Expected: 4d55, Got: 8313
Checksum failed. Expected: e5dc, Got: f1aa
Checksum failed. Expected: f60f, Got: 6042
Checksum failed. Expected: 25c3, Got: ced9
Checksum failed. Expected: 22d2, Got: 3d71
Checksum failed. Expected: cf54, Got: ac09
Checksum failed. Expected: 59fe, Got: 1aa0
Checksum failed. Expected: 9cf1, Got: 8938
Checksum failed. Expected: 6c7c, Got: f7cf
Checksum failed. Expected: 5ced, Got: 6667
Checksum failed. Expected: 0541, Got: d4fe
Checksum failed. Expected: beb0, Got: 4396
Checksum failed. Expected: 430c, Got: b22d
Checksum failed. Expected: bce7, Got: 20c5
Checksum failed. Expected: e65d, Got: 8f5d
Checksum failed. Expected: ca0c, Got: fdf4
Checksum failed. Expected: d6f9, Got: 6c8c
Checksum failed. Expected: 6c4f, Got: db23
Checksum failed. Expected: 3ff3, Got: 49bb
Checksum failed. Expected: 248d, Got: b852
Checksum failed. Expected: 2f64, Got: 26ea
Checksum failed. Expected: dbf6, Got: 9581
Checksum failed. Expected: 351f, Got: 0419
Checksum failed. Expected: a447, Got: 72b0
Checksum failed. Expected: c357, Got: e148
Checksum failed. Expected: 469f, Got: 4fe0
Checksum failed. Expected: 0001, Got: be77
Checksum failed. Expected: 0686, Got: 2d0f
Checksum failed. Expected: ff46, Got: 9ba6
Checksum failed. Expected: fc61, Got: 0a3e
Checksum failed. Expected: 15e1, Got: 78d5
Checksum failed. Expected: 5d23, Got: e76d
Checksum failed. Expected: 1227, Got: 5604
Checksum failed. Expected: 3632, Got: c49c
Checksum failed. Expected: a582, Got: 3334
Checksum failed. Expected: 542a, Got: a1cb
Checksum failed. Expected: 030d, Got: 1063
Checksum failed. Expected: d383, Got: 7efa
Checksum failed. Expected: 059d, Got: ed92
Checksum failed. Expected: 0a01, Got: 5c29
Checksum failed. Expected: 06fe, Got: cac1
Checksum failed. Expected: 5366, Got: 3958
Checksum failed. Expected: 528d, Got: a7f0
Checksum failed. Expected: 3745, Got: 1688
Checksum failed. Expected: c38d, Got: ae15
Checksum failed. Expected: 89f7, Got: 1cac
Checksum failed. Expected: dbb0, Got: 8b44
Checksum failed. Expected: ba19, Got: f9db
Checksum failed. Expected: b1e0, Got: 6873
Checksum failed. Expected: f9f2, Got: d70b
Checksum failed. Expected: d1e0, Got: 45a2
Checksum failed. Expected: 5129, Got: b43a
Checksum failed. Expected: b295, Got: 22d1
Checksum failed. Expected: 8892, Got: 9169
Checksum failed. Expected: 20e9, Got: 0000
Checksum failed. Expected: 2434, Got: 6e98
Checksum failed. Expected: 3ff9, Got: dd2f
Checksum failed. Expected: 7956, Got: 4bc7
Checksum failed. Expected: 92ea, Got: ba5f
Checksum failed. Expected: 7572, Got: 28f6
Checksum failed. Expected: 74ad, Got: 978e
Checksum failed. Expected: c647, Got: 0625
Checksum failed. Expected: aaf4, Got: 74bd
Checksum failed. Expected: 5371, Got: e354
Checksum failed. Expected: bc6c, Got: 51ec
Checksum failed. Expected: b1fc, Got: c083
Checksum failed. Expected: e2e7, Got: 2f1b
Checksum failed. Expected: f93f, Got: 9db3
Checksum failed. Expected: 2b2d, Got: 0c4a
Checksum failed. Expected: 8964, Got: 7ae2
Checksum failed. Expected: 54c9, Got: e979
Checksum failed. Expected: 9696, Got: 5811
Checksum failed. Expected: 83ae, Got: c6a8
Checksum failed. Expected: 8c71, Got: 3540
Checksum failed. Expected: 1b65, Got: a3d7
Checksum failed. Expected: 998e, Got: 126f
Checksum failed. Expected: 0cfa, Got: 8106
Checksum failed. Expected: 7b4a, Got: ef9e
Checksum failed. Expected: 1a3a, Got: 5e36
Checksum failed. Expected: a814, Got: cccd
Checksum failed. Expected: adab, Got: 3b65
Checksum failed. Expected: 7287, Got: a9fc
Checksum failed. Expected: 1afc, Got: 1894
Checksum failed. Expected: b792, Got: 872b
Checksum failed. Expected: 4c02, Got: f5c3
Checksum failed. Expected: e592, Got: 645a
Checksum failed. Expected: 1459, Got: d2f2
Checksum failed. Expected: c971, Got: 418a
Checksum failed. Expected: 455b, Got: b021
Checksum failed. Expected: d788, Got: 1eb9
Checksum failed. Expected: 2d72, Got: 8d50
Checksum failed. Expected: bc82, Got: fbe8
Checksum failed. Expected: bdce, Got: 6a7f
Checksum failed. Expected: 6527, Got: d917
Checksum failed. Expected: 4375, Got: 47ae
Checksum failed. Expected: cd3e, Got: b646
Checksum failed. Expected: 5e4a, Got: 24de
Checksum failed. Expected: 998d, Got: 9375
Checksum failed. Expected: 223c, Got: 020d
Checksum failed. Expected: a47a, Got: 70a4
Checksum failed. Expected: 90b4, Got: df3c
Checksum failed. Expected: 2720, Got: 4dd3
Checksum failed. Expected: f6af, Got: bc6b
Checksum failed. Expected: 51d3, Got: 2b02
Checksum failed. Expected: bcd6, Got: 999a
Checksum failed. Expected: 7eb0, Got: 0832
Checksum failed. Expected: ce26, Got: 76c9
Checksum failed. Expected: 0bda, Got: e561
Checksum failed. Expected: c308, Got: 53f8
Checksum failed. Expected: 01b5, Got: c290
Checksum failed. Expected: f957, Got: 3127
Checksum failed. Expected: a4d0, Got: 9fbf
Checksum failed. Expected: 370c, Got: 0e56
Checksum failed. Expected: f9dd, Got: 7cee
Checksum failed. Expected: d2fa, Got: eb85
Checksum failed. Expected: 860f, Got: 5a1d
Checksum failed. Expected: f537, Got: c8b5
Checksum failed. Expected: 1427, Got: 374c
Checksum failed. Expected: 7274, Got: a5e4
Checksum failed. Expected: e0b6, Got: 147b
Checksum failed. Expected: 5ec3, Got: 8313
Checksum failed. Expected: 6dcc, Got: f1aa
Checksum failed. Expected: df4d, Got: 6042
Checksum failed. Expected: d6f1, Got: ced9
Checksum failed. Expected: 442e, Got: 3d71
Checksum failed. Expected: a150, Got: ac09
Checksum failed. Expected: 27c2, Got: 1aa0
Checksum failed. Expected: 5be3, Got: 8938
Checksum failed. Expected: 43be, Got: f7cf
Checksum failed. Expected: f7e7, Got: 6667
Checksum failed. Expected: 007b, Got: d4fe
Checksum failed. Expected: ac34, Got: 4396
Checksum failed. Expected: f002, Got: b22d
Checksum failed. Expected: 22fb, Got: 20c5
Checksum failed. Expected: 43f3, Got: 8f5d
Checksum failed. Expected: 3566, Got: fdf4
Checksum failed. Expected: 1b3f, Got: 6c8c
Checksum failed. Expected: a6fb, Got: db23
Checksum failed. Expected: b0a1, Got: 49bb
Checksum failed. Expected: 7797, Got: b852
Checksum failed. Expected: c1e0, Got: 26ea
Checksum failed. Expected: 63e6, Got: 9581
Checksum failed. Expected: f73b, Got: 0419
Checksum failed. Expected: 1711, Got: 72b0
Checksum failed. Expected: de51, Got: e148
Checksum failed. Expected: c72d, Got: 4fe0
Checksum failed. Expected: 7c49, Got: be77
Checksum failed. Expected: 7950, Got: 2d0f
Checksum failed. Expected: e230, Got: 9ba6
Checksum failed. Expected: e275, Got: 0a3e
Checksum failed. Expected: f5a1, Got: 78d5
Checksum failed. Expected: 7a39, Got: e76d
Checksum failed. Expected: 01b9, Got: 5604
Checksum failed. Expected: e436, Got: c49c
Checksum failed. Expected: a2d8, Got: 3334
Checksum failed. Expected: 2fa4, Got: a1cb
Checksum failed. Expected: df95, Got: 1063
Checksum failed. Expected: 40f9, Got: 7efa
Checksum failed. Expected: a1a5, Got: ed92
Checksum failed. Expected: 0c9d, Got: 5c29
Checksum failed. Expected: 0eee, Got: cac1
Checksum failed. Expected: afee, Got: 3958
Checksum failed. Expected: 97d3, Got: a7f0
Checksum failed. Expected: 3063, Got: 1688
Checksum failed. Expected: 57a7, Got: 851f
Checksum failed. Expected: d901, Got: f3b7
Checksum failed. Expected: bdab, Got: 624e
Checksum failed. Expected: 1264, Got: d0e6
Checksum failed. Expected: 7836, Got: 3f7d
Checksum failed. Expected: 6dc5, Got: ae15
Checksum failed. Expected: 755f, Got: 1cac
Checksum failed. Expected: 1124, Got: 8b44
Checksum failed. Expected: 3dc3, Got: f9db
Checksum failed. Expected: cef6, Got: 6873
Checksum failed. Expected: 6ed8, Got: d70b
Checksum failed. Expected: 8100, Got: 45a2
Checksum failed. Expected: 068f, Got: b43a
Checksum failed. Expected: 9ce1, Got: 22d1
Checksum failed. Expected: ac0a, Got: 9169
Checksum failed. Expected: 205f, Got: 0000
Checksum failed. Expected: b03a, Got: 6e98
Checksum failed. Expected: 59c3, Got: dd2f
Checksum failed. Expected: d9f4, Got: 4bc7
Checksum failed. Expected: 8376, Got: ba5f
Checksum failed. Expected: 169e, Got: 28f6
Checksum failed. Expected: eda9, Got: 978e
Checksum failed. Expected: a7f3, Got: 0625
Checksum failed. Expected: 0eca, Got: 74bd
Checksum failed. Expected: 3201, Got: e354
Checksum failed. Expected: 4fd4, Got: 51ec
Checksum failed. Expected: a06c, Got: c083
Checksum failed. Expected: 7987, Got: 2f1b
Checksum failed. Expected: a1cd, Got: 9db3
Checksum failed. Expected: c821, Got: 0c4a
Checksum failed. Expected: df76, Got: 7ae2
Checksum failed. Expected: d0ef, Got: e979
Checksum failed. Expected: 24b8, Got: 5811
Checksum failed. Expected: 0d98, Got: c6a8
Checksum failed. Expected: bf99, Got: 3540
Checksum failed. Expected: 87ab, Got: a3d7
Checksum failed. Expected: 6514, Got: 126f
Checksum failed. Expected: 5556, Got: 8106
Checksum failed. Expected: 69ac, Got: ef9e
Checksum failed. Expected: 6af8, Got: 5e36
Checksum failed. Expected: dc4a, Got: cccd
Checksum failed. Expected: 6b6d, Got: 3b65
Checksum failed. Expected: 03d3, Got: a9fc
Checksum failed. Expected: e02e, Got: 1894
Checksum failed. Expected: 1c76, Got: 872b
Checksum failed. Expected: b62c, Got: f5c3
Checksum failed. Expected: 8d20, Got: 645a
Checksum failed. Expected: dfd1, Got: d2f2
Checksum failed. Expected: c051, Got: 418a
Checksum failed. Expected: 9e97, Got: b021
Checksum failed. Expected: 20e4, Got: 1eb9
Checksum failed. Expected: 484a, Got: 8d50
Checksum failed. Expected: 6d8e, Got: fbe8
Checksum failed. Expected: bb10, Got: 6a7f
Checksum failed. Expected: 391d, Got: d917
Checksum failed. Expected: aa75, Got: 47ae
Checksum failed. Expected: 9dfc, Got: b646
Checksum failed. Expected: f4dc, Got: 24de
Checksum failed. Expected: 8a19, Got: 9375
Checksum failed. Expected: 83e8, Got: 020d
Checksum failed. Expected: 9a4c, Got: 70a4
Checksum failed. Expected: 8686, Got: df3c
Checksum failed. Expected: 2cc4, Got: 4dd3
Checksum failed. Expected: 4889, Got: bc6b
Checksum failed. Expected: 48b3, Got: 2b02
Checksum failed. Expected: 9e90, Got: 999a
Checksum failed. Expected: 9cb2, Got: 0832
Checksum failed. Expected: 9aac, Got: 76c9
Checksum failed. Expected: eb78, Got: e561
Checksum failed. Expected: 9f6e, Got: 53f8
Checksum failed. Expected: 3b3f, Got: c290
Checksum failed. Expected: 360b, Got: 3127
Checksum failed. Expected: 3b70, Got: 9fbf
Checksum failed. Expected: ee6c, Got: 0e56
Checksum failed. Expected: 3bd7, Got: 7cee
Checksum failed. Expected: 78de, Got: 147b
Checksum failed. Expected: 48ed, Got: 8313
Checksum failed. Expected: de58, Got: f1aa
Checksum failed. Expected: 4107, Got: 6042
Checksum failed. Expected: 6fad, Got: ced9
Checksum failed. Expected: e992, Got: 3d71
Checksum failed. Expected: be44, Got: ac09
Checksum failed. Expected: 1308, Got: 1aa0
Checksum failed. Expected: 4e8b, Got: 8938
Checksum failed. Expected: 224e, Got: f7cf
Checksum failed. Expected: d023, Got: 6667
Checksum failed. Expected: 0b73, Got: d4fe
Checksum failed. Expected: 09a8, Got: 4396
Checksum failed. Expected: ca4c, Got: b22d
Checksum failed. Expected: 63e7, Got: 20c5
Checksum failed. Expected: 3be1, Got: 8f5d
Checksum failed. Expected: d25a, Got: fdf4
Checksum failed. Expected: bd79, Got: 6c8c
Checksum failed. Expected: 847d, Got: db23
Checksum failed. Expected: f4b7, Got: 49bb
Checksum failed. Expected: 839d, Got: b852
Checksum failed. Expected: 2e34, Got: 26ea
Checksum failed. Expected: f216, Got: 9581
Checksum failed. Expected: 41a5, Got: 0419
Checksum failed. Expected: b1db, Got: 72b0
Checksum failed. Expected: 86df, Got: e148
Checksum failed. Expected: 1b23, Got: 4fe0
Checksum failed. Expected: b9fd, Got: be77
Checksum failed. Expected: a0d0, Got: 2d0f
Checksum failed. Expected: 2a7e, Got: 9ba6
Checksum failed. Expected: 6719, Got: 0a3e
Checksum failed. Expected: 5a85, Got: 78d5
Checksum failed. Expected: 10cb, Got: e76d
Checksum failed. Expected: ad7f, Got: 5604
Checksum failed. Expected: 2a68, Got: c49c
Checksum failed. Expected: f3a4, Got: 3334
Checksum failed. Expected: 76e4, Got: a1cb
Checksum failed. Expected: 5891, Got: 1063
Checksum failed. Expected: 051d, Got: 7efa
Checksum failed. Expected: 340d, Got: ed92
Checksum failed. Expected: 75b9, Got: 5c29
Checksum failed. Expected: b67c, Got: cac1
Checksum failed. Expected: d77c, Got: 3958
Checksum failed. Expected: 7ba9, Got: a7f0
Checksum failed. Expected: a95f, Got: 1688
Checksum failed. Expected: 5e67, Got: 851f
Checksum failed. Expected: 3ee5, Got: f3b7
Checksum failed. Expected: af45, Got: 624e
Checksum failed. Expected: 6984, Got: d0e6
Checksum failed. Expected: 1a70, Got: 3f7d
Checksum failed. Expected: 8fff, Got: ae15
Checksum failed. Expected: d5fd, Got: 1cac
Checksum failed. Expected: 1e38, Got: 8b44
Checksum failed. Expected: 3287, Got: f9db
Checksum failed. Expected: 22ec, Got: 6873
Checksum failed. Expected: cf84, Got: d70b
Checksum failed. Expected: a664, Got: 45a2
Checksum failed. Expected: 3039, Got: b43a
Checksum failed. Expected: 664b, Got: 22d1
Checksum failed. Expected: eacc, Got: 9169
Checksum failed. Expected: 6371, Got: 0000
Checksum failed. Expected: f79c, Got: 6e98
Checksum failed. Expected: 1261, Got: dd2f
Checksum failed. Expected: ed8c, Got: 4bc7
Checksum failed. Expected: b4a4, Got: ba5f
Checksum failed. Expected: b6de, Got: 28f6
Checksum failed. Expected: 56e7, Got: 978e
Checksum failed. Expected: 6f63, Got: 0625
Checksum failed. Expected: ae0a, Got: 74bd
Checksum failed. Expected: 2d3b, Got: e354
Checksum failed. Expected: f676, Got: 51ec
Checksum failed. Expected: b94a, Got: c083
Checksum failed. Expected: f8f9, Got: 2f1b
Checksum failed. Expected: 1aeb, Got: 9db3
