
#################################################################
Log started at 2025-06-12_16-32-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 5526, Got: be77
Checksum failed. Expected: a223, Got: e354
Checksum failed. Expected: 0db7, Got: 0832
Checksum failed. Expected: 434a, Got: 2d0f
Checksum failed. Expected: 9be1, Got: 51ec
Checksum failed. Expected: 5d58, Got: 76c9
Checksum failed. Expected: feed, Got: 9ba6
Checksum failed. Expected: 633a, Got: c083
Checksum failed. Expected: 6c7f, Got: e561
Checksum failed. Expected: f7c0, Got: 0a3e
Checksum failed. Expected: 613e, Got: 2f1b
Checksum failed. Expected: e759, Got: 53f8
Checksum failed. Expected: 95b8, Got: 78d5
Checksum failed. Expected: 473b, Got: 9db3
Checksum failed. Expected: 8a99, Got: c290
Checksum failed. Expected: 339e, Got: e76d
Checksum failed. Expected: 5b7c, Got: 0c4a
Checksum failed. Expected: 0348, Got: 3127
Checksum failed. Expected: bd3b, Got: 5604
Checksum failed. Expected: 190a, Got: 7ae2
Checksum failed. Expected: 5a60, Got: 9fbf
Checksum failed. Expected: c2d7, Got: c49c
Checksum failed. Expected: 33cc, Got: e979
Checksum failed. Expected: c474, Got: 0e56
Checksum failed. Expected: 2f00, Got: 3334
Checksum failed. Expected: ef34, Got: 5811
Checksum failed. Expected: 8ead, Got: 7cee
Checksum failed. Expected: c7a6, Got: a1cb
Checksum failed. Expected: ff7d, Got: c6a8
Checksum failed. Expected: 4d88, Got: eb86
Checksum failed. Expected: 9d8f, Got: 1063
Checksum failed. Expected: 4463, Got: 3540
Checksum failed. Expected: 322e, Got: 5a1d
Checksum failed. Expected: 177b, Got: 7efa
Checksum failed. Expected: 2d8a, Got: a3d7
Checksum failed. Expected: 601b, Got: c8b5
Checksum failed. Expected: 1afb, Got: ed92
Checksum failed. Expected: 472b, Got: 126f
Checksum failed. Expected: 6365, Got: 374c
Checksum failed. Expected: f636, Got: 5c29
Checksum failed. Expected: dead, Got: 8107
Checksum failed. Expected: db37, Got: a5e4
Checksum failed. Expected: b3e2, Got: cac1
Checksum failed. Expected: 0309, Got: ef9e
Checksum failed. Expected: 7c61, Got: 147b
Checksum failed. Expected: 3da1, Got: 3958
Checksum failed. Expected: e48a, Got: 5e36
Checksum failed. Expected: a7e8, Got: 8313
Checksum failed. Expected: 8e51, Got: a7f0
Checksum failed. Expected: d1d6, Got: cccd
Checksum failed. Expected: fd05, Got: f1aa
Checksum failed. Expected: c177, Got: 1688
Checksum failed. Expected: 6400, Got: 3b65
Checksum failed. Expected: fd25, Got: 6042
Checksum failed. Expected: fbd0, Got: 851f
Checksum failed. Expected: 58ad, Got: a9fc
Checksum failed. Expected: 5aa4, Got: ced9
Checksum failed. Expected: 03a9, Got: f3b7
Checksum failed. Expected: a520, Got: 1894
Checksum failed. Expected: 15dc, Got: 3d71
Checksum failed. Expected: bcc5, Got: 624e
Checksum failed. Expected: 9240, Got: 872b
Checksum failed. Expected: 6375, Got: ac09
Checksum failed. Expected: 7741, Got: d0e6
Checksum failed. Expected: ad10, Got: f5c3
Checksum failed. Expected: d1c2, Got: 1aa0
Checksum failed. Expected: 43b0, Got: 3f7d
Checksum failed. Expected: a19b, Got: 645b
Checksum failed. Expected: 19df, Got: 8938
Checksum failed. Expected: d0a8, Got: ae15
Checksum failed. Expected: 0fe1, Got: d2f2
Checksum failed. Expected: 9510, Got: f7cf
Checksum failed. Expected: da90, Got: 1cac
Checksum failed. Expected: d1c4, Got: 418a
Checksum failed. Expected: 7246, Got: 6667
Checksum failed. Expected: c9cf, Got: 8b44
Checksum failed. Expected: 7b52, Got: b021
Checksum failed. Expected: da4b, Got: d4fe
Checksum failed. Expected: 8256, Got: f9dc
Checksum failed. Expected: 6dd7, Got: 1eb9
Checksum failed. Expected: ec7b, Got: 4396
Checksum failed. Expected: 18aa, Got: 6873
Checksum failed. Expected: 932b, Got: 8d50
Checksum failed. Expected: 2f7a, Got: b22d
Checksum failed. Expected: 587f, Got: d70b
Checksum failed. Expected: 8063, Got: fbe8
Checksum failed. Expected: 54c9, Got: 20c5
Checksum failed. Expected: 5043, Got: 45a2
Checksum failed. Expected: 14c2, Got: 6a7f
Checksum failed. Expected: 5625, Got: 8f5d
Checksum failed. Expected: f153, Got: b43a
Checksum failed. Expected: 47ce, Got: d917
Checksum failed. Expected: 2c1b, Got: fdf4
Checksum failed. Expected: bff3, Got: 22d1
Checksum failed. Expected: 4e77, Got: 47ae
Checksum failed. Expected: 2d70, Got: 6c8c
Checksum failed. Expected: 5446, Got: 9169
Checksum failed. Expected: 6c5d, Got: b646
Checksum failed. Expected: 199a, Got: db23
Checksum failed. Expected: c27b, Got: 0000
Checksum failed. Expected: 3874, Got: 24de
Checksum failed. Expected: 0356, Got: 49bb
Checksum failed. Expected: 1519, Got: 6e98
Checksum failed. Expected: 1b34, Got: 9375
Checksum failed. Expected: c547, Got: b852
Checksum failed. Expected: d926, Got: dd30
Checksum failed. Expected: ef01, Got: 020d
Checksum failed. Expected: fd77, Got: 26ea
Checksum failed. Expected: a366, Got: 4bc7
Checksum failed. Expected: eb1d, Got: 70a4
Checksum failed. Expected: 4015, Got: 28f6
Checksum failed. Expected: a8fc, Got: 4dd3
Checksum failed. Expected: 5c9b, Got: 72b1
Checksum failed. Expected: 9eeb, Got: 978e
Checksum failed. Expected: 7574, Got: bc6b
Checksum failed. Expected: 92d1, Got: e148
Checksum failed. Expected: 99ed, Got: 0625
Checksum failed. Expected: 618f, Got: 2b02
Checksum failed. Expected: 7898, Got: 4fe0
Checksum failed. Expected: 1d66, Got: 74bd
Checksum failed. Expected: fd6d, Got: 999a
Checksum failed. Expected: 7f50, Got: be77
Checksum failed. Expected: 0bbf, Got: e354
Checksum failed. Expected: 5e03, Got: 0832
Checksum failed. Expected: b456, Got: 2d0f
Checksum failed. Expected: 836f, Got: 51ec
Checksum failed. Expected: 21ee, Got: 76c9
Checksum failed. Expected: b2a3, Got: 9ba6
Checksum failed. Expected: 17f0, Got: c083
Checksum failed. Expected: 87d7, Got: e561
Checksum failed. Expected: 1fce, Got: 0a3e
Checksum failed. Expected: 0730, Got: 2f1b
Checksum failed. Expected: e40d, Got: 53f8
Checksum failed. Expected: f6e4, Got: 78d5
Checksum failed. Expected: f7b9, Got: 9db3
Checksum failed. Expected: fecf, Got: c290
Checksum failed. Expected: fc7a, Got: e76d
Checksum failed. Expected: 3870, Got: 0c4a
Checksum failed. Expected: de20, Got: 3127
Checksum failed. Expected: 2b1d, Got: 5604
Checksum failed. Expected: 5530, Got: 7ae2
Checksum failed. Expected: 89d0, Got: 9fbf
Checksum failed. Expected: f9b7, Got: c49c
Checksum failed. Expected: 0ea4, Got: e979
Checksum failed. Expected: efac, Got: 0e56
Checksum failed. Expected: 287c, Got: 3334
Checksum failed. Expected: 8000, Got: 5811
Checksum failed. Expected: 92c3, Got: 7cee
Checksum failed. Expected: 0e66, Got: a1cb
Checksum failed. Expected: 7b23, Got: c6a8
Checksum failed. Expected: cc58, Got: eb86
Checksum failed. Expected: 8739, Got: 1063
Checksum failed. Expected: dd9f, Got: 3540
Checksum failed. Expected: b31a, Got: 5a1d
Checksum failed. Expected: 251d, Got: 7efa
Checksum failed. Expected: 6bcc, Got: a3d7
Checksum failed. Expected: 6ebd, Got: c8b5
Checksum failed. Expected: 96a1, Got: ed92
Checksum failed. Expected: e7c9, Got: 126f
Checksum failed. Expected: e127, Got: 374c
Checksum failed. Expected: f1ce, Got: 5c29
Checksum failed. Expected: 354d, Got: 8107
Checksum failed. Expected: 284b, Got: a5e4
Checksum failed. Expected: c292, Got: cac1
Checksum failed. Expected: 0f8f, Got: ef9e
Checksum failed. Expected: 4975, Got: 147b
Checksum failed. Expected: a0e9, Got: 3958
Checksum failed. Expected: e9ae, Got: 5e36
