
#################################################################
Log started at 2025-06-13_16-01-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: c1a7, Got: 0942
Checksum failed. Expected: 7d35, Got: 0942
Checksum failed. Expected: 0f23, Got: 0942
Checksum failed. Expected: 3432, Got: 0942
Checksum failed. Expected: faa0, Got: 0942
Checksum failed. Expected: c9ef, Got: 0942
Checksum failed. Expected: adfd, Got: 0942
Checksum failed. Expected: e889, Got: 0942
Checksum failed. Expected: 30de, Got: 0942
Checksum failed. Expected: 9c48, Got: 0942
Checksum failed. Expected: 2e23, Got: 0942
Checksum failed. Expected: 6891, Got: 0942
Checksum failed. Expected: a74f, Got: 0942
Checksum failed. Expected: 693d, Got: 0942
Checksum failed. Expected: bb12, Got: 0942
Checksum failed. Expected: 0ee4, Got: 0942
Checksum failed. Expected: bb83, Got: 0942
Checksum failed. Expected: 8d71, Got: 0942
Checksum failed. Expected: ee4f, Got: 0942
Checksum failed. Expected: f7ad, Got: 0942
Checksum failed. Expected: eedc, Got: 0942
Checksum failed. Expected: a2ca, Got: 0942
Checksum failed. Expected: 0291, Got: 0942
Checksum failed. Expected: cc13, Got: 0942
Checksum failed. Expected: 0f11, Got: 0942
Checksum failed. Expected: c530, Got: 0942
Checksum failed. Expected: d70b, Got: 0942
Checksum failed. Expected: 7f59, Got: 0942
Checksum failed. Expected: 8dfa, Got: 0942
Checksum failed. Expected: 4321, Got: 0942
Checksum failed. Expected: 0743, Got: 0942
Checksum failed. Expected: 2702, Got: 0942
Checksum failed. Expected: 7e2d, Got: 0942
Checksum failed. Expected: 101b, Got: 0942
Checksum failed. Expected: 8539, Got: 0942
Checksum failed. Expected: 23da, Got: 0942
Checksum failed. Expected: c494, Got: 0942
Checksum failed. Expected: e23d, Got: 0942
Checksum failed. Expected: 00ff, Got: 0942
Checksum failed. Expected: e40d, Got: 0942
Checksum failed. Expected: 509b, Got: 0942
Checksum failed. Expected: 75b9, Got: 0942
Checksum failed. Expected: 589b, Got: 0942
Checksum failed. Expected: 7ea1, Got: 0942
Checksum failed. Expected: 2f8d, Got: 0942
Checksum failed. Expected: 83af, Got: 0942
Checksum failed. Expected: 259d, Got: 0942
Checksum failed. Expected: daac, Got: 0942
Checksum failed. Expected: 82e7, Got: 0942
Checksum failed. Expected: 22a8, Got: 0942
Checksum failed. Expected: 4f31, Got: 0942
Checksum failed. Expected: ff0d, Got: 0942
Checksum failed. Expected: 6cbf, Got: 0942
Checksum failed. Expected: 83ee, Got: 0942
Checksum failed. Expected: f189, Got: 0942
Checksum failed. Expected: cf37, Got: 0942
Checksum failed. Expected: 787c, Got: 0942
Checksum failed. Expected: 76ff, Got: 0942
Checksum failed. Expected: c16e, Got: 0942
Checksum failed. Expected: e9b7, Got: 0942
Checksum failed. Expected: 5669, Got: 0942
Checksum failed. Expected: ca77, Got: 0942
Checksum failed. Expected: e4e5, Got: 0942
Checksum failed. Expected: f8d7, Got: 0942
Checksum failed. Expected: a87d, Got: 0942
Checksum failed. Expected: b51b, Got: 0942
Checksum failed. Expected: 1a47, Got: 0942
Checksum failed. Expected: 27f9, Got: 0942
Checksum failed. Expected: b8d7, Got: 0942
Checksum failed. Expected: 7cd6, Got: 0942
Checksum failed. Expected: e2e4, Got: 0942
Checksum failed. Expected: 718d, Got: 0942
Checksum failed. Expected: 204b, Got: 0942
Checksum failed. Expected: 69b7, Got: 0942
Checksum failed. Expected: a21a, Got: 0942
Checksum failed. Expected: 8835, Got: 0942
Checksum failed. Expected: 55d3, Got: 0942
Checksum failed. Expected: 3bf4, Got: 0942
Checksum failed. Expected: 232d, Got: 0942
Checksum failed. Expected: c84b, Got: 0942
Checksum failed. Expected: 05da, Got: 0942
Checksum failed. Expected: ad23, Got: 0942
Checksum failed. Expected: ee15, Got: 0942
Checksum failed. Expected: 2003, Got: 0942
Checksum failed. Expected: 4404, Got: 0942
Checksum failed. Expected: af5e, Got: 0942
Checksum failed. Expected: a8a9, Got: 0942
Checksum failed. Expected: 10f7, Got: 0942
Checksum failed. Expected: 8eb3, Got: 0942
Checksum failed. Expected: 6505, Got: 0942
Checksum failed. Expected: 27f3, Got: 0942
Checksum failed. Expected: 37a5, Got: 0942
Checksum failed. Expected: ffcb, Got: 0942
Checksum failed. Expected: b609, Got: 0942
Checksum failed. Expected: fb27, Got: 0942
Checksum failed. Expected: ef43, Got: 0942
Checksum failed. Expected: 7026, Got: 0942
Checksum failed. Expected: 60e1, Got: 0942
Checksum failed. Expected: 1096, Got: 0942
Checksum failed. Expected: df29, Got: 0942
Checksum failed. Expected: 0cc7, Got: 0942
Checksum failed. Expected: d736, Got: 0942
Checksum failed. Expected: ea21, Got: 0942
Checksum failed. Expected: 38dd, Got: 0942
Checksum failed. Expected: cf2f, Got: 0942
Checksum failed. Expected: b880, Got: 0942
