
#################################################################
Log started at 2025-06-12_14-14-12 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: c6f8, Got: 801c
Checksum failed. Expected: 8e18, Got: 801c
Checksum failed. Expected: 71a4, Got: 801c
Checksum failed. Expected: d124, Got: 801c
Checksum failed. Expected: 2b8c, Got: 801c
Checksum failed. Expected: b7bc, Got: 801c
Checksum failed. Expected: b6b8, Got: 801c
Checksum failed. Expected: 0c10, Got: 801c
Checksum failed. Expected: 3cd0, Got: 801c
Checksum failed. Expected: 7ac8, Got: 801c
Checksum failed. Expected: 8f1c, Got: 801c
Checksum failed. Expected: 9a48, Got: 801c
Checksum failed. Expected: 35b4, Got: 801c
Checksum failed. Expected: 0d14, Got: 801c
Checksum failed. Expected: a574, Got: 801c
Checksum failed. Expected: fcd0, Got: 801c
Checksum failed. Expected: 6164, Got: 801c
Checksum failed. Expected: fed8, Got: 801c
Checksum failed. Expected: bed8, Got: 801c
Checksum failed. Expected: 9840, Got: 801c
Checksum failed. Expected: c4f0, Got: 801c
Checksum failed. Expected: 0b0c, Got: 801c
Checksum failed. Expected: e36c, Got: 801c
Checksum failed. Expected: fed8, Got: 801c
Checksum failed. Expected: af9c, Got: 801c
Checksum failed. Expected: 0f1c, Got: 801c
Checksum failed. Expected: bbcc, Got: 801c
Checksum failed. Expected: 9228, Got: 801c
Checksum failed. Expected: 132c, Got: 801c
Checksum failed. Expected: 47fc, Got: 801c
Checksum failed. Expected: e880, Got: 801c
Checksum failed. Expected: 41e4, Got: 801c
Checksum failed. Expected: 8c10, Got: 801c
Checksum failed. Expected: fac8, Got: 801c
Checksum failed. Expected: f8c0, Got: 801c
Checksum failed. Expected: e164, Got: 801c
Checksum failed. Expected: b1a4, Got: 801c
Checksum failed. Expected: 0b0c, Got: 801c
Checksum failed. Expected: cc10, Got: 801c
Checksum failed. Expected: f3ac, Got: 801c
Checksum failed. Expected: c2e8, Got: 801c
Checksum failed. Expected: 9430, Got: 801c
Checksum failed. Expected: 3dd4, Got: 801c
Checksum failed. Expected: 1b4c, Got: 801c
Checksum failed. Expected: fed8, Got: 801c
Checksum failed. Expected: a36c, Got: 801c
Checksum failed. Expected: 74b0, Got: 801c
Checksum failed. Expected: aa88, Got: 801c
Checksum failed. Expected: 01e4, Got: 801c
Checksum failed. Expected: 0800, Got: 801c
Checksum failed. Expected: 9944, Got: 801c
Checksum failed. Expected: 173c, Got: 801c
Checksum failed. Expected: e36c, Got: 801c
Checksum failed. Expected: 9430, Got: 801c
Checksum failed. Expected: d73c, Got: 801c
Checksum failed. Expected: 87fc, Got: 801c
Checksum failed. Expected: 8d14, Got: 801c
Checksum failed. Expected: fcd0, Got: 801c
Checksum failed. Expected: a77c, Got: 801c
Checksum failed. Expected: e574, Got: 801c
Checksum failed. Expected: cf1c, Got: 801c
Checksum failed. Expected: b3ac, Got: 801c
Checksum failed. Expected: af9c, Got: 801c
Checksum failed. Expected: a268, Got: 801c
Checksum failed. Expected: a164, Got: 801c
Checksum failed. Expected: ce18, Got: 801c
Checksum failed. Expected: 01e4, Got: 801c
Checksum failed. Expected: 84f0, Got: 801c
Checksum failed. Expected: f9c4, Got: 801c
Checksum failed. Expected: fbcc, Got: 801c
Checksum failed. Expected: d430, Got: 801c
Checksum failed. Expected: 1840, Got: 801c
Checksum failed. Expected: 5e58, Got: 801c
Checksum failed. Expected: b0a0, Got: 801c
Checksum failed. Expected: 5a48, Got: 801c
Checksum failed. Expected: 79c4, Got: 801c
Checksum failed. Expected: 70a0, Got: 801c
Checksum failed. Expected: 47fc, Got: 801c
Checksum failed. Expected: af9c, Got: 801c
Checksum failed. Expected: e880, Got: 801c
Checksum failed. Expected: 74b0, Got: 801c
Checksum failed. Expected: c4f0, Got: 801c
Checksum failed. Expected: 42e8, Got: 801c
Checksum failed. Expected: 677c, Got: 801c
Checksum failed. Expected: 36b8, Got: 801c
Checksum failed. Expected: 8800, Got: 801c
Checksum failed. Expected: c7fc, Got: 801c
Checksum failed. Expected: 7cd0, Got: 801c
Checksum failed. Expected: 236c, Got: 801c
Checksum failed. Expected: 932c, Got: 801c
Checksum failed. Expected: 7ac8, Got: 801c
Checksum failed. Expected: a880, Got: 801c
Checksum failed. Expected: c3ec, Got: 801c
Checksum failed. Expected: a678, Got: 801c
Checksum failed. Expected: c1e4, Got: 801c
Checksum failed. Expected: 8904, Got: 801c
Checksum failed. Expected: b9c4, Got: 801c
Checksum failed. Expected: e880, Got: 801c
Checksum failed. Expected: 4e18, Got: 801c
Checksum failed. Expected: 9b4c, Got: 801c
Checksum failed. Expected: a470, Got: 801c
Checksum failed. Expected: fdd4, Got: 801c
Checksum failed. Expected: f0a0, Got: 801c
Checksum failed. Expected: 07fc, Got: 801c
Checksum failed. Expected: 7dd4, Got: 801c
Checksum failed. Expected: a574, Got: 801c
Checksum failed. Expected: a880, Got: 801c
Checksum failed. Expected: af9c, Got: 801c
Checksum failed. Expected: 9944, Got: 801c
Checksum failed. Expected: 87fc, Got: 801c
Checksum failed. Expected: 9b4c, Got: 801c
Checksum failed. Expected: b4b0, Got: 801c
Checksum failed. Expected: 6574, Got: 801c
Checksum failed. Expected: 0800, Got: 801c
Checksum failed. Expected: c1e4, Got: 801c
Checksum failed. Expected: d228, Got: 801c
Checksum failed. Expected: ed94, Got: 801c
Checksum failed. Expected: 636c, Got: 801c
Checksum failed. Expected: ef9c, Got: 801c
Checksum failed. Expected: f0a0, Got: 801c
Checksum failed. Expected: 8a08, Got: 801c
Checksum failed. Expected: d124, Got: 801c
Checksum failed. Expected: 4f1c, Got: 801c
Checksum failed. Expected: f2a8, Got: 801c
Checksum failed. Expected: 9020, Got: 801c
Checksum failed. Expected: ef9c, Got: 801c
Checksum failed. Expected: 4b0c, Got: 801c
Checksum failed. Expected: 35b4, Got: 801c
Checksum failed. Expected: ea88, Got: 801c
Checksum failed. Expected: 74b0, Got: 801c
Checksum failed. Expected: d840, Got: 801c
Checksum failed. Expected: c1e4, Got: 801c
Checksum failed. Expected: 9e58, Got: 801c
Checksum failed. Expected: 73ac, Got: 801c
Checksum failed. Expected: aa88, Got: 801c
Checksum failed. Expected: e164, Got: 801c
Checksum failed. Expected: 1840, Got: 801c
Checksum failed. Expected: 77bc, Got: 801c
Checksum failed. Expected: 6060, Got: 801c
Checksum failed. Expected: 73ac, Got: 801c
Checksum failed. Expected: c800, Got: 801c
Checksum failed. Expected: d840, Got: 801c
Checksum failed. Expected: c0e0, Got: 801c
Checksum failed. Expected: a36c, Got: 801c
Checksum failed. Expected: 3bcc, Got: 801c
Checksum failed. Expected: e880, Got: 801c
Checksum failed. Expected: f0a0, Got: 801c
Checksum failed. Expected: ed94, Got: 801c
Checksum failed. Expected: 3ed8, Got: 801c
Checksum failed. Expected: 2c90, Got: 801c
Checksum failed. Expected: 573c, Got: 801c
Checksum failed. Expected: 5124, Got: 801c
Checksum failed. Expected: 5020, Got: 801c
Checksum failed. Expected: d73c, Got: 801c
Checksum failed. Expected: 7ed8, Got: 801c
Checksum failed. Expected: 5b4c, Got: 801c
Checksum failed. Expected: 76b8, Got: 801c
Checksum failed. Expected: 9c50, Got: 801c
Checksum failed. Expected: d32c, Got: 801c
Checksum failed. Expected: bbcc, Got: 801c
Checksum failed. Expected: 05f4, Got: 801c
Checksum failed. Expected: 35b4, Got: 801c
Checksum failed. Expected: a164, Got: 801c
Checksum failed. Expected: 5020, Got: 801c
Checksum failed. Expected: d020, Got: 801c
Checksum failed. Expected: 1840, Got: 801c
Checksum failed. Expected: 0c10, Got: 801c
Checksum failed. Expected: df5c, Got: 801c
Checksum failed. Expected: d73c, Got: 801c
Checksum failed. Expected: 03ec, Got: 801c
Checksum failed. Expected: 71a4, Got: 801c
Checksum failed. Expected: e880, Got: 801c
Checksum failed. Expected: 9430, Got: 801c
Checksum failed. Expected: f1a4, Got: 801c
Checksum failed. Expected: dc50, Got: 801c
Checksum failed. Expected: a164, Got: 801c
Checksum failed. Expected: 173c, Got: 801c
Checksum failed. Expected: 84f0, Got: 801c
Checksum failed. Expected: e164, Got: 801c
Checksum failed. Expected: 8f1c, Got: 801c
Checksum failed. Expected: 6b8c, Got: 801c
Checksum failed. Expected: cd14, Got: 801c
Checksum failed. Expected: af9c, Got: 801c
Checksum failed. Expected: 6470, Got: 801c
Checksum failed. Expected: 78c0, Got: 801c
Checksum failed. Expected: 5c50, Got: 801c
Checksum failed. Expected: 8c10, Got: 801c
Checksum failed. Expected: bbcc, Got: 801c
Checksum failed. Expected: 42e8, Got: 801c
Checksum failed. Expected: 8e18, Got: 801c
Checksum failed. Expected: ce18, Got: 801c
Checksum failed. Expected: a268, Got: 801c
Checksum failed. Expected: bfdc, Got: 801c
Checksum failed. Expected: bcd0, Got: 801c
Checksum failed. Expected: 573c, Got: 801c
Checksum failed. Expected: c0e0, Got: 801c
Checksum failed. Expected: 1430, Got: 801c
Checksum failed. Expected: 5a48, Got: 801c
Checksum failed. Expected: 78c0, Got: 801c
Checksum failed. Expected: c3ec, Got: 801c
Checksum failed. Expected: 5c50, Got: 801c
Checksum failed. Expected: 0c10, Got: 801c
Checksum failed. Expected: da48, Got: 801c
Checksum failed. Expected: 9840, Got: 801c
Checksum failed. Expected: 1430, Got: 801c
Checksum failed. Expected: 31a4, Got: 801c
Checksum failed. Expected: 6d94, Got: 801c
Checksum failed. Expected: 04f0, Got: 801c
Checksum failed. Expected: ca08, Got: 801c
Checksum failed. Expected: 38c0, Got: 801c
Checksum failed. Expected: 37bc, Got: 801c
Checksum failed. Expected: dd54, Got: 801c
Checksum failed. Expected: e574, Got: 801c
Checksum failed. Expected: 9944, Got: 801c
Checksum failed. Expected: 277c, Got: 801c
Checksum failed. Expected: c7fc, Got: 801c
Checksum failed. Expected: 4b0c, Got: 801c
Checksum failed. Expected: 03ec, Got: 801c
Checksum failed. Expected: 5d54, Got: 801c
Checksum failed. Expected: 5a48, Got: 801c
