
#################################################################
Log started at 2025-06-13_14-54-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: ff92, Got: 3375
Checksum failed. Expected: a3aa, Got: a775
Checksum failed. Expected: 5556, Got: a175
Checksum failed. Expected: 7103, Got: 3275
Checksum failed. Expected: b962, Got: 4975
Checksum failed. Expected: 478b, Got: e475
Checksum failed. Expected: 8b8f, Got: a475
Checksum failed. Expected: 9122, Got: 3175
Checksum failed. Expected: 6b4f, Got: 8475
Checksum failed. Expected: 515e, Got: ad75
Checksum failed. Expected: 0bae, Got: 4375
Checksum failed. Expected: 0997, Got: 2e75
Checksum failed. Expected: 71de, Got: 0d75
Checksum failed. Expected: 2bcc, Got: 4175
Checksum failed. Expected: cd4c, Got: 1f75
Checksum failed. Expected: bb46, Got: 2b75
Checksum failed. Expected: 0bc3, Got: 5875
Checksum failed. Expected: a19c, Got: 9b75
Checksum failed. Expected: 4f31, Got: 8275
Checksum failed. Expected: 5b27, Got: 6c75
Checksum failed. Expected: 13b5, Got: 4275
Checksum failed. Expected: afde, Got: cf75
Checksum failed. Expected: 75d6, Got: 0175
Checksum failed. Expected: 0b93, Got: 2875
Checksum failed. Expected: c1a8, Got: 8775
Checksum failed. Expected: 5d25, Got: 6875
Checksum failed. Expected: 9fe0, Got: e175
Checksum failed. Expected: 33f8, Got: 6575
Checksum failed. Expected: 6dac, Got: df75
Checksum failed. Expected: 291b, Got: 9275
Checksum failed. Expected: b5f1, Got: dc75
Checksum failed. Expected: 7728, Got: 5175
Checksum failed. Expected: f36a, Got: 1775
Checksum failed. Expected: fb75, Got: 1a75
Checksum failed. Expected: e71f, Got: d875
Checksum failed. Expected: 3db0, Got: 1375
Checksum failed. Expected: 91b2, Got: c175
Checksum failed. Expected: 3981, Got: e875
Checksum failed. Expected: ab0c, Got: 0175
Checksum failed. Expected: 2193, Got: 1275
Checksum failed. Expected: 87cb, Got: e475
Checksum failed. Expected: 71ad, Got: dc75
Checksum failed. Expected: e16d, Got: 2c75
Checksum failed. Expected: af27, Got: 1875
Checksum failed. Expected: 81dd, Got: fc75
Checksum failed. Expected: cbc5, Got: 9a75
Checksum failed. Expected: 21f3, Got: 7275
Checksum failed. Expected: 15bd, Got: 4875
Checksum failed. Expected: 6d73, Got: a675
Checksum failed. Expected: b9fe, Got: e575
Checksum failed. Expected: f7e9, Got: 9275
Checksum failed. Expected: f32c, Got: d975
Checksum failed. Expected: 3ff9, Got: 5a75
Checksum failed. Expected: 5900, Got: 4775
Checksum failed. Expected: db94, Got: 5975
Checksum failed. Expected: 4102, Got: 6175
Checksum failed. Expected: b1d5, Got: c475
Checksum failed. Expected: dd4d, Got: 1075
Checksum failed. Expected: fb13, Got: b875
Checksum failed. Expected: 3771, Got: da75
Checksum failed. Expected: ed9b, Got: 4e75
Checksum failed. Expected: db45, Got: 0a75
Checksum failed. Expected: 6560, Got: 9b75
Checksum failed. Expected: b5d1, Got: bc75
Checksum failed. Expected: a12e, Got: 2d75
Checksum failed. Expected: 6b24, Got: 5975
Checksum failed. Expected: 09d0, Got: 6775
Checksum failed. Expected: 013f, Got: de75
Checksum failed. Expected: c7c3, Got: 9c75
Checksum failed. Expected: bb3b, Got: 2075
Checksum failed. Expected: 7769, Got: 9275
Checksum failed. Expected: 4d15, Got: 6875
Checksum failed. Expected: adf4, Got: e775
Checksum failed. Expected: 493e, Got: 9575
Checksum failed. Expected: d33f, Got: 0c75
Checksum failed. Expected: 5998, Got: df75
Checksum failed. Expected: 9fcf, Got: d075
Checksum failed. Expected: a7f4, Got: ed75
Checksum failed. Expected: adab, Got: 9e75
Checksum failed. Expected: b924, Got: 0b75
Checksum failed. Expected: 0f8f, Got: 2075
Checksum failed. Expected: c36a, Got: 4775
Checksum failed. Expected: 0beb, Got: 8075
Checksum failed. Expected: c550, Got: 2b75
Checksum failed. Expected: 6976, Got: ad75
Checksum failed. Expected: fd1e, Got: c175
Checksum failed. Expected: b977, Got: 5e75
Checksum failed. Expected: 974b, Got: 5475
Checksum failed. Expected: f937, Got: de75
Checksum failed. Expected: a39e, Got: 9b75
Checksum failed. Expected: 2bf3, Got: 6875
Checksum failed. Expected: 1936, Got: bd75
Checksum failed. Expected: a523, Got: 1e75
Checksum failed. Expected: 8bae, Got: c375
Checksum failed. Expected: 413f, Got: 9e75
Checksum failed. Expected: 9105, Got: 1475
Checksum failed. Expected: e7d6, Got: 8f75
Checksum failed. Expected: 4765, Got: be75
Checksum failed. Expected: 0142, Got: e175
Checksum failed. Expected: 8fd6, Got: e775
Checksum failed. Expected: 4b85, Got: da75
Checksum failed. Expected: b788, Got: 7175
Checksum failed. Expected: c547, Got: 2275
Checksum failed. Expected: bd99, Got: 7c75
Checksum failed. Expected: e394, Got: 5175
Checksum failed. Expected: 6335, Got: 7275
Checksum failed. Expected: 050a, Got: a575
Checksum failed. Expected: c766, Got: 3f75
Checksum failed. Expected: 2591, Got: 0c75
Checksum failed. Expected: 3dec, Got: 4f75
Checksum failed. Expected: 93c6, Got: d375
Checksum failed. Expected: 3bdc, Got: 4175
Checksum failed. Expected: 5f35, Got: 7675
Checksum failed. Expected: c350, Got: 2d75
Checksum failed. Expected: 57d2, Got: 1b75
Checksum failed. Expected: d312, Got: df75
Checksum failed. Expected: 5d9a, Got: dd75
Checksum failed. Expected: 834f, Got: 6c75
Checksum failed. Expected: 0f65, Got: f675
Checksum failed. Expected: 1d3e, Got: c175
Checksum failed. Expected: e9d5, Got: 8c75
Checksum failed. Expected: a957, Got: 4e75
Checksum failed. Expected: 8569, Got: 8475
Checksum failed. Expected: 4f45, Got: 9675
Checksum failed. Expected: 7345, Got: 7275
Checksum failed. Expected: 7fc4, Got: e575
Checksum failed. Expected: d551, Got: 1c75
Checksum failed. Expected: 799b, Got: c275
Checksum failed. Expected: 2fca, Got: 3b75
Checksum failed. Expected: 9382, Got: 8f75
Checksum failed. Expected: c3da, Got: b775
Checksum failed. Expected: 0174, Got: 1375
Checksum failed. Expected: 4370, Got: cd75
Checksum failed. Expected: 1dc4, Got: 4775
Checksum failed. Expected: fff1, Got: 9275
Checksum failed. Expected: d1cd, Got: 9c75
Checksum failed. Expected: d3d9, Got: a675
Checksum failed. Expected: 5780, Got: c975
Checksum failed. Expected: 61cf, Got: 0e75
Checksum failed. Expected: 9569, Got: 7475
Checksum failed. Expected: 3116, Got: 8575
Checksum failed. Expected: 9f59, Got: 5a75
Checksum failed. Expected: 613e, Got: 7d75
Checksum failed. Expected: fb64, Got: 0975
Checksum failed. Expected: 996b, Got: 7275
Checksum failed. Expected: 098e, Got: 2575
Checksum failed. Expected: 8bfc, Got: 1175
Checksum failed. Expected: 1d91, Got: 1475
Checksum failed. Expected: 6f32, Got: 6375
Checksum failed. Expected: 89c3, Got: da75
Checksum failed. Expected: 338b, Got: f875
Checksum failed. Expected: ad21, Got: 1475
Checksum failed. Expected: 0dba, Got: 4d75
Checksum failed. Expected: d30d, Got: da75
Checksum failed. Expected: 6be2, Got: 1775
Checksum failed. Expected: 7bb2, Got: d775
Checksum failed. Expected: f3f7, Got: a475
Checksum failed. Expected: 4923, Got: 7a75
Checksum failed. Expected: 97ed, Got: f675
Checksum failed. Expected: dd6c, Got: 2f75
Checksum failed. Expected: 61ec, Got: 2b75
Checksum failed. Expected: 8fae, Got: bf75
Checksum failed. Expected: e9e8, Got: 9f75
Checksum failed. Expected: 194a, Got: d175
Checksum failed. Expected: f3e7, Got: 9475
Checksum failed. Expected: 3fb5, Got: 1675
Checksum failed. Expected: 7317, Got: 4475
Checksum failed. Expected: 9555, Got: 6075
Checksum failed. Expected: b58d, Got: 7875
Checksum failed. Expected: 5fc3, Got: 0475
Checksum failed. Expected: 5b70, Got: b575
Checksum failed. Expected: f9bd, Got: 6475
Checksum failed. Expected: 8ff3, Got: 0475
Checksum failed. Expected: 5d43, Got: 8675
Checksum failed. Expected: 5ffd, Got: 3e75
Checksum failed. Expected: c709, Got: e275
Checksum failed. Expected: 1972, Got: f975
Checksum failed. Expected: 39dc, Got: 4375
Checksum failed. Expected: e9d5, Got: 8c75
Checksum failed. Expected: 39ab, Got: 1275
Checksum failed. Expected: df0f, Got: d075
Checksum failed. Expected: 1fde, Got: 5f75
Checksum failed. Expected: 49bd, Got: 1475
Checksum failed. Expected: 396e, Got: d575
Checksum failed. Expected: f73d, Got: e675
Checksum failed. Expected: 1985, Got: 0c75
Checksum failed. Expected: 4193, Got: f275
Checksum failed. Expected: cb59, Got: 2e75
Checksum failed. Expected: 5302, Got: 4f75
Checksum failed. Expected: 3b32, Got: 9775
Checksum failed. Expected: e7ba, Got: 7375
Checksum failed. Expected: 1fa9, Got: 2a75
Checksum failed. Expected: c965, Got: 3c75
Checksum failed. Expected: 577b, Got: c475
Checksum failed. Expected: d1de, Got: ad75
Checksum failed. Expected: f70b, Got: b475
Checksum failed. Expected: 01a1, Got: 4075
Checksum failed. Expected: 7947, Got: 6e75
Checksum failed. Expected: 9daa, Got: ad75
Checksum failed. Expected: cfe5, Got: b675
Checksum failed. Expected: 9dbd, Got: c075
Checksum failed. Expected: 771b, Got: 4475
Checksum failed. Expected: 73ff, Got: 2c75
Checksum failed. Expected: 896b, Got: 8275
Checksum failed. Expected: 95b6, Got: c175
Checksum failed. Expected: 4346, Got: a375
Checksum failed. Expected: 23ad, Got: 2a75
Checksum failed. Expected: 7f2e, Got: 4f75
Checksum failed. Expected: 771f, Got: 4875
Checksum failed. Expected: d1e3, Got: b275
Checksum failed. Expected: c129, Got: 0875
Checksum failed. Expected: 170c, Got: 9575
Checksum failed. Expected: a387, Got: 8475
Checksum failed. Expected: 23c5, Got: 4275
Checksum failed. Expected: 2962, Got: d975
Checksum failed. Expected: 51e8, Got: 3775
Checksum failed. Expected: 5fc4, Got: 0575
Checksum failed. Expected: 732f, Got: 5c75
Checksum failed. Expected: 6777, Got: b075
Checksum failed. Expected: 9dc1, Got: c475
Checksum failed. Expected: 67c0, Got: f975
Checksum failed. Expected: 8f92, Got: a375
Checksum failed. Expected: d904, Got: cb75
Checksum failed. Expected: eb75, Got: 2a75
Checksum failed. Expected: c904, Got: db75
Checksum failed. Expected: 7f1c, Got: 3d75
Checksum failed. Expected: 6997, Got: ce75
Checksum failed. Expected: b788, Got: 7175
Checksum failed. Expected: f92d, Got: d475
Checksum failed. Expected: 69a9, Got: e075
Checksum failed. Expected: 41d9, Got: 3875
Checksum failed. Expected: 138e, Got: 1b75
Checksum failed. Expected: 0fe0, Got: 7175
Checksum failed. Expected: 1bec, Got: 7175
Checksum failed. Expected: d15d, Got: 2c75
Checksum failed. Expected: 7904, Got: 2b75
Checksum failed. Expected: 7760, Got: 8975
Checksum failed. Expected: 2325, Got: a275
Checksum failed. Expected: 61fa, Got: 3975
Checksum failed. Expected: eb14, Got: c975
Checksum failed. Expected: a70d, Got: 0675
Checksum failed. Expected: 95af, Got: ba75
Checksum failed. Expected: 9953, Got: 5a75
Checksum failed. Expected: 2b07, Got: 7c75
Checksum failed. Expected: 9b3e, Got: 4375
Checksum failed. Expected: b741, Got: 2a75
Checksum failed. Expected: 130b, Got: 9875
Checksum failed. Expected: d5ec, Got: b775
Checksum failed. Expected: b3bc, Got: a975
Checksum failed. Expected: c553, Got: 2e75
Checksum failed. Expected: 93b7, Got: c475
Checksum failed. Expected: f34c, Got: f975
Checksum failed. Expected: 2563, Got: de75
Checksum failed. Expected: f1e5, Got: 9475
Checksum failed. Expected: e32c, Got: e975
Checksum failed. Expected: 1bba, Got: 3f75
Checksum failed. Expected: 8199, Got: b875
Checksum failed. Expected: 9dc5, Got: c875
Checksum failed. Expected: 3d20, Got: 8375
Checksum failed. Expected: c172, Got: 5175
Checksum failed. Expected: 6dc1, Got: f475
Checksum failed. Expected: 5bf9, Got: 3e75
Checksum failed. Expected: d75b, Got: 2475
Checksum failed. Expected: e9f8, Got: af75
Checksum failed. Expected: 7f92, Got: b375
Checksum failed. Expected: 593a, Got: 8175
Checksum failed. Expected: a5ed, Got: e875
Checksum failed. Expected: b13e, Got: 2d75
Checksum failed. Expected: 230f, Got: 8c75
Checksum failed. Expected: 476e, Got: c775
Checksum failed. Expected: 13dd, Got: 6a75
Checksum failed. Expected: 1d26, Got: a975
Checksum failed. Expected: 9b77, Got: 7c75
Checksum failed. Expected: e320, Got: dd75
Checksum failed. Expected: 61ba, Got: f975
Checksum failed. Expected: af29, Got: 1a75
Checksum failed. Expected: fd47, Got: ea75
Checksum failed. Expected: e705, Got: be75
Checksum failed. Expected: 93fd, Got: 0a75
Checksum failed. Expected: 5f3c, Got: 7d75
Checksum failed. Expected: bd1b, Got: fe75
Checksum failed. Expected: d913, Got: da75
Checksum failed. Expected: 1793, Got: 1c75
Checksum failed. Expected: f178, Got: 2775
Checksum failed. Expected: ab5b, Got: 5075
Checksum failed. Expected: 45a2, Got: fd75
Checksum failed. Expected: ffbf, Got: 6075
Checksum failed. Expected: eb56, Got: 0b75
Checksum failed. Expected: ade2, Got: d575
Checksum failed. Expected: 5fb0, Got: f175
Checksum failed. Expected: 5d08, Got: 4b75
Checksum failed. Expected: abda, Got: cf75
Checksum failed. Expected: 092b, Got: c275
Checksum failed. Expected: f30b, Got: b875
Checksum failed. Expected: 916e, Got: 7d75
Checksum failed. Expected: bb93, Got: 7875
Checksum failed. Expected: 8301, Got: 1e75
Checksum failed. Expected: 55bd, Got: 0875
Checksum failed. Expected: a5a2, Got: 9d75
Checksum failed. Expected: 7f51, Got: 7275
Checksum failed. Expected: e9b1, Got: 6875
Checksum failed. Expected: c125, Got: 0475
Checksum failed. Expected: 8d49, Got: 5c75
Checksum failed. Expected: 8f5f, Got: 7075
Checksum failed. Expected: 675e, Got: 9775
Checksum failed. Expected: 47fc, Got: 5575
Checksum failed. Expected: 0db5, Got: 4875
Checksum failed. Expected: 21bb, Got: 3a75
Checksum failed. Expected: 35ca, Got: 3575
Checksum failed. Expected: dfae, Got: 6f75
Checksum failed. Expected: d969, Got: 3075
Checksum failed. Expected: 7bc2, Got: e775
Checksum failed. Expected: cf4f, Got: 2075
Checksum failed. Expected: dd9b, Got: 5e75
Checksum failed. Expected: 21c4, Got: 4375
Checksum failed. Expected: ad83, Got: 7675
Checksum failed. Expected: b33c, Got: 2975
Checksum failed. Expected: ada0, Got: 9375
Checksum failed. Expected: 19ec, Got: 7375
Checksum failed. Expected: 3bb1, Got: 1675
Checksum failed. Expected: 4d63, Got: b675
Checksum failed. Expected: d91c, Got: e375
Checksum failed. Expected: a720, Got: 1975
Checksum failed. Expected: bbd8, Got: bd75
Checksum failed. Expected: a970, Got: 6775
Checksum failed. Expected: 6bda, Got: 0f75
Checksum failed. Expected: 2f2b, Got: 9c75
Checksum failed. Expected: 6d6f, Got: a275
Checksum failed. Expected: 37bf, Got: 2875
Checksum failed. Expected: f9d0, Got: 7775
Checksum failed. Expected: 136c, Got: f975
Checksum failed. Expected: 35b2, Got: 1d75
Checksum failed. Expected: fb78, Got: 1d75
Checksum failed. Expected: afac, Got: 9d75
Checksum failed. Expected: 63a2, Got: df75
Checksum failed. Expected: 9b2b, Got: 3075
Checksum failed. Expected: a98b, Got: 8275
Checksum failed. Expected: ef47, Got: f875
Checksum failed. Expected: 2935, Got: ac75
Checksum failed. Expected: 47fb, Got: 5475
Checksum failed. Expected: e9c0, Got: 7775
Checksum failed. Expected: 810d, Got: 2c75
Checksum failed. Expected: d133, Got: 0275
Checksum failed. Expected: c3ff, Got: dc75
Checksum failed. Expected: b174, Got: 6375
