
#################################################################
Log started at 2025-06-13_14-56-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 41f4, Got: 5375
Checksum failed. Expected: 1757, Got: e075
Checksum failed. Expected: c78e, Got: 6775
Checksum failed. Expected: abc2, Got: b775
Checksum failed. Expected: f75b, Got: 0475
Checksum failed. Expected: 3f83, Got: e475
Checksum failed. Expected: c585, Got: 6075
Checksum failed. Expected: 270b, Got: 8475
Checksum failed. Expected: 99b1, Got: b875
Checksum failed. Expected: 995b, Got: 6275
Checksum failed. Expected: b574, Got: 5f75
Checksum failed. Expected: 99b3, Got: ba75
Checksum failed. Expected: eda0, Got: 5375
Checksum failed. Expected: 9133, Got: 4275
Checksum failed. Expected: c7dc, Got: b575
Checksum failed. Expected: 5d74, Got: b775
Checksum failed. Expected: 73eb, Got: 1875
Checksum failed. Expected: 1fcb, Got: 4c75
Checksum failed. Expected: 814f, Got: 6e75
Checksum failed. Expected: 390b, Got: 7275
Checksum failed. Expected: 2945, Got: bc75
Checksum failed. Expected: 1164, Got: f375
Checksum failed. Expected: 8b98, Got: ad75
Checksum failed. Expected: 7b50, Got: 7575
Checksum failed. Expected: 25ab, Got: 2675
Checksum failed. Expected: 1978, Got: ff75
Checksum failed. Expected: 6d29, Got: 5c75
Checksum failed. Expected: c5ab, Got: 8675
Checksum failed. Expected: b52d, Got: 1875
Checksum failed. Expected: 1dc4, Got: 4775
Checksum failed. Expected: 7fcc, Got: ed75
Checksum failed. Expected: 1dc3, Got: 4675
Checksum failed. Expected: dfbd, Got: 7e75
Checksum failed. Expected: 55f3, Got: 3e75
Checksum failed. Expected: bbe9, Got: ce75
Checksum failed. Expected: f33c, Got: e975
Checksum failed. Expected: 69d3, Got: 0a75
Checksum failed. Expected: c5fe, Got: d975
Checksum failed. Expected: 8bff, Got: 1475
Checksum failed. Expected: f537, Got: e275
Checksum failed. Expected: b304, Got: f175
Checksum failed. Expected: 17cf, Got: 5875
Checksum failed. Expected: 8dbf, Got: d275
Checksum failed. Expected: afb3, Got: a475
Checksum failed. Expected: 85f7, Got: 1275
Checksum failed. Expected: 4f9d, Got: ee75
Checksum failed. Expected: b34c, Got: 3975
Checksum failed. Expected: c147, Got: 2675
Checksum failed. Expected: 5bfa, Got: 3f75
Checksum failed. Expected: dd64, Got: 2775
Checksum failed. Expected: abf1, Got: e675
Checksum failed. Expected: f198, Got: 4775
Checksum failed. Expected: b535, Got: 2075
Checksum failed. Expected: c7ae, Got: 8775
Checksum failed. Expected: e533, Got: ee75
Checksum failed. Expected: e716, Got: cf75
Checksum failed. Expected: 0bbb, Got: 5075
Checksum failed. Expected: 719e, Got: cd75
Checksum failed. Expected: 85c6, Got: e175
Checksum failed. Expected: ff9c, Got: 3d75
Checksum failed. Expected: ab39, Got: 2e75
Checksum failed. Expected: c947, Got: 1e75
Checksum failed. Expected: d3a1, Got: 6e75
Checksum failed. Expected: cdc3, Got: 9675
Checksum failed. Expected: 47d5, Got: 2e75
Checksum failed. Expected: 13fb, Got: 8875
Checksum failed. Expected: f524, Got: cf75
Checksum failed. Expected: 0b48, Got: dd75
Checksum failed. Expected: 0f79, Got: 0a75
Checksum failed. Expected: d395, Got: 6275
Checksum failed. Expected: 99f2, Got: f975
Checksum failed. Expected: 9f37, Got: 3875
Checksum failed. Expected: e3eb, Got: a875
Checksum failed. Expected: 1707, Got: 9075
Checksum failed. Expected: 51b0, Got: ff75
Checksum failed. Expected: 6115, Got: 5475
Checksum failed. Expected: 9b34, Got: 3975
Checksum failed. Expected: fb7c, Got: 2175
Checksum failed. Expected: 01be, Got: 5d75
Checksum failed. Expected: 074d, Got: e675
Checksum failed. Expected: afed, Got: de75
Checksum failed. Expected: c9a6, Got: 7d75
Checksum failed. Expected: 11cb, Got: 5a75
Checksum failed. Expected: f352, Got: ff75
Checksum failed. Expected: 8d52, Got: 6575
Checksum failed. Expected: 1998, Got: 1f75
Checksum failed. Expected: 7311, Got: 3e75
Checksum failed. Expected: 5d23, Got: 6675
Checksum failed. Expected: b392, Got: 7f75
Checksum failed. Expected: f92e, Got: d575
Checksum failed. Expected: b566, Got: 5175
Checksum failed. Expected: 1bc1, Got: 4675
Checksum failed. Expected: 8778, Got: 9175
Checksum failed. Expected: 3f43, Got: a475
Checksum failed. Expected: 65b3, Got: ee75
Checksum failed. Expected: 1bcf, Got: 5475
Checksum failed. Expected: 3f3c, Got: 9d75
Checksum failed. Expected: 0b1c, Got: b175
Checksum failed. Expected: ad51, Got: 4475
Checksum failed. Expected: a9bb, Got: b275
Checksum failed. Expected: 2996, Got: 0d75
Checksum failed. Expected: 0183, Got: 2275
Checksum failed. Expected: 391c, Got: 8375
Checksum failed. Expected: 4134, Got: 9375
Checksum failed. Expected: 63d0, Got: 0d75
Checksum failed. Expected: b5ca, Got: b575
Checksum failed. Expected: 1bed, Got: 7275
Checksum failed. Expected: 735a, Got: 8775
Checksum failed. Expected: c3fb, Got: d875
