
#################################################################
Log started at 2025-06-12_16-32-43 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 0801, Got: b7e8
Checksum failed. Expected: b860, Got: b6c3
Checksum failed. Expected: ba91, Got: b983
Checksum failed. Expected: 82b3, Got: 3ed0
Checksum failed. Expected: 1da2, Got: 3bd0
Checksum failed. Expected: 8b94, Got: b726
Checksum failed. Expected: 7916, Got: c1d5
Checksum failed. Expected: 2590, Got: 4006
Checksum failed. Expected: bdaa, Got: 42dd
Checksum failed. Expected: de4a, Got: 420a
Checksum failed. Expected: aa14, Got: 44ec
Checksum failed. Expected: 4672, Got: 4145
Checksum failed. Expected: 6987, Got: 3950
Checksum failed. Expected: aa28, Got: c41d
Checksum failed. Expected: b115, Got: 4746
Checksum failed. Expected: 5797, Got: 4432
Checksum failed. Expected: 3126, Got: 460b
Checksum failed. Expected: 8529, Got: 4e2e
Checksum failed. Expected: 7bfe, Got: 4922
Checksum failed. Expected: 1b48, Got: 4ae1
Checksum failed. Expected: 02fe, Got: d162
Checksum failed. Expected: cdfa, Got: d452
Checksum failed. Expected: 3809, Got: 4bab
Checksum failed. Expected: 10de, Got: 4729
Checksum failed. Expected: 73c7, Got: 52d4
Checksum failed. Expected: ef1b, Got: cfda
Checksum failed. Expected: dede, Got: c299
Checksum failed. Expected: 38e2, Got: 46b4
Checksum failed. Expected: fc1f, Got: 492c
Checksum failed. Expected: 63b2, Got: 4c47
Checksum failed. Expected: b3ca, Got: 4f54
Checksum failed. Expected: 2765, Got: 4b48
Checksum failed. Expected: 5e00, Got: ce3d
Checksum failed. Expected: ad61, Got: 4d2a
Checksum failed. Expected: e1a7, Got: c762
Checksum failed. Expected: 9ac9, Got: d2a0
Checksum failed. Expected: 7c07, Got: 5686
Checksum failed. Expected: 31e3, Got: d43f
Checksum failed. Expected: ee28, Got: c5c0
Checksum failed. Expected: 4f1b, Got: 3956
Checksum failed. Expected: 7e1a, Got: bb85
Checksum failed. Expected: bfa8, Got: c9c0
Checksum failed. Expected: d72f, Got: 5753
Checksum failed. Expected: 6312, Got: 5686
Checksum failed. Expected: aeae, Got: 5152
Checksum failed. Expected: 6a9f, Got: cc9e
Checksum failed. Expected: 29d9, Got: 447e
Checksum failed. Expected: a1f7, Got: c76d
Checksum failed. Expected: 8ac3, Got: 477e
Checksum failed. Expected: 5074, Got: c43f
Checksum failed. Expected: 9def, Got: 43de
Checksum failed. Expected: 23b4, Got: 4572
Checksum failed. Expected: 2aa9, Got: 4b9e
Checksum failed. Expected: 4ba2, Got: cf4e
Checksum failed. Expected: 69fa, Got: c811
Checksum failed. Expected: b19c, Got: 47dc
Checksum failed. Expected: 8601, Got: 466f
Checksum failed. Expected: 3eb9, Got: c46f
Checksum failed. Expected: 22ef, Got: bac2
Checksum failed. Expected: de3d, Got: 45ad
Checksum failed. Expected: 8dfa, Got: 41f1
Checksum failed. Expected: b0a6, Got: c753
Checksum failed. Expected: d9b6, Got: 500c
Checksum failed. Expected: 7569, Got: 40ab
Checksum failed. Expected: 01a3, Got: 4282
Checksum failed. Expected: 3840, Got: c5c4
Checksum failed. Expected: 7518, Got: c29f
Checksum failed. Expected: bc5d, Got: bd62
Checksum failed. Expected: e738, Got: c610
Checksum failed. Expected: 8776, Got: bde0
Checksum failed. Expected: 4f04, Got: 3e3b
Checksum failed. Expected: 7628, Got: 36d8
Checksum failed. Expected: 11d3, Got: be99
Checksum failed. Expected: 868b, Got: bb9a
Checksum failed. Expected: ac1f, Got: 37ce
Checksum failed. Expected: f31e, Got: ba2b
Checksum failed. Expected: db4c, Got: b6ae
Checksum failed. Expected: 1639, Got: 38c2
Checksum failed. Expected: 2813, Got: 3ff8
Checksum failed. Expected: 2d71, Got: c34a
Checksum failed. Expected: 98e8, Got: b8a0
Checksum failed. Expected: 76bd, Got: b9ef
Checksum failed. Expected: a3aa, Got: c16e
Checksum failed. Expected: 4d02, Got: 3aaa
Checksum failed. Expected: fb1a, Got: 4097
Checksum failed. Expected: b21c, Got: be08
Checksum failed. Expected: 63bb, Got: bbed
Checksum failed. Expected: ba47, Got: c1a6
Checksum failed. Expected: 70b5, Got: c568
Checksum failed. Expected: f8ed, Got: 4514
Checksum failed. Expected: deca, Got: 3fe4
Checksum failed. Expected: b5f4, Got: ba21
Checksum failed. Expected: d1df, Got: bb90
Checksum failed. Expected: d26f, Got: b6b4
Checksum failed. Expected: 40c4, Got: 3cb7
Checksum failed. Expected: 7ecc, Got: 3a24
Checksum failed. Expected: 71fa, Got: 437e
Checksum failed. Expected: 4d3b, Got: b1a8
Checksum failed. Expected: 4dab, Got: b24e
Checksum failed. Expected: e541, Got: 32b8
Checksum failed. Expected: ddc1, Got: 37df
Checksum failed. Expected: cc4f, Got: c36e
Checksum failed. Expected: c7b0, Got: bfe2
Checksum failed. Expected: a4eb, Got: 4024
Checksum failed. Expected: 26b9, Got: bfe1
Checksum failed. Expected: ebe3, Got: c1b4
Checksum failed. Expected: 9a88, Got: 5557
Checksum failed. Expected: 77f9, Got: 557e
Checksum failed. Expected: ecaa, Got: cc39
Checksum failed. Expected: a31b, Got: c162
Checksum failed. Expected: e5d3, Got: 4566
