
#################################################################
Log started at 2025-06-12_16-33-55 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: d6bb, Got: 51ec
Checksum failed. Expected: 8960, Got: 76c9
Checksum failed. Expected: 0927, Got: 9ba6
Checksum failed. Expected: 9d06, Got: c083
Checksum failed. Expected: 0f09, Got: e561
Checksum failed. Expected: 10fc, Got: c290
Checksum failed. Expected: d2f0, Got: e76d
Checksum failed. Expected: 529e, Got: 0c4a
Checksum failed. Expected: 26d2, Got: 3127
Checksum failed. Expected: 6a51, Got: 5604
Checksum failed. Expected: 9de2, Got: 7ae2
Checksum failed. Expected: cf66, Got: 9fbf
Checksum failed. Expected: 5eff, Got: c49c
Checksum failed. Expected: 8704, Got: e979
Checksum failed. Expected: 88cc, Got: 0e56
Checksum failed. Expected: c3b8, Got: 3334
Checksum failed. Expected: c7a4, Got: 5811
Checksum failed. Expected: b67d, Got: 7cee
Checksum failed. Expected: 8af0, Got: a1cb
Checksum failed. Expected: db25, Got: c6a8
Checksum failed. Expected: 0100, Got: eb86
Checksum failed. Expected: 7b53, Got: 1063
Checksum failed. Expected: c72d, Got: 3540
Checksum failed. Expected: 7ef6, Got: 5a1d
Checksum failed. Expected: 579b, Got: 7efa
Checksum failed. Expected: 2b0e, Got: a3d7
Checksum failed. Expected: 388b, Got: c8b5
Checksum failed. Expected: 53b9, Got: ed92
Checksum failed. Expected: 26fd, Got: 126f
Checksum failed. Expected: 2493, Got: 374c
Checksum failed. Expected: a892, Got: 5c29
Checksum failed. Expected: e177, Got: 8107
Checksum failed. Expected: 7543, Got: a5e4
Checksum failed. Expected: 5342, Got: cac1
Checksum failed. Expected: 18cf, Got: ef9e
Checksum failed. Expected: a869, Got: 147b
Checksum failed. Expected: 38fb, Got: 3958
Checksum failed. Expected: ccda, Got: 5e36
Checksum failed. Expected: 7e4a, Got: 8313
Checksum failed. Expected: 100d, Got: a7f0
Checksum failed. Expected: 2e8c, Got: cccd
Checksum failed. Expected: fb89, Got: f1aa
Checksum failed. Expected: a58f, Got: 1688
Checksum failed. Expected: ca34, Got: 3b65
Checksum failed. Expected: a711, Got: 6042
Checksum failed. Expected: c252, Got: 851f
Checksum failed. Expected: 2367, Got: a9fc
Checksum failed. Expected: 4302, Got: ced9
Checksum failed. Expected: 0565, Got: f3b7
Checksum failed. Expected: 7412, Got: 1894
Checksum failed. Expected: 3b90, Got: 3d71
Checksum failed. Expected: 55c3, Got: 624e
Checksum failed. Expected: bf56, Got: 872b
Checksum failed. Expected: 402b, Got: ac09
Checksum failed. Expected: c2fb, Got: d0e6
Checksum failed. Expected: 1236, Got: f5c3
Checksum failed. Expected: c39e, Got: 1aa0
Checksum failed. Expected: ac0e, Got: 3f7d
Checksum failed. Expected: 5d83, Got: 645b
Checksum failed. Expected: 9b9b, Got: 8938
Checksum failed. Expected: fecc, Got: ae15
Checksum failed. Expected: 0603, Got: d2f2
Checksum failed. Expected: 8e4e, Got: f7cf
Checksum failed. Expected: 63ae, Got: 1cac
Checksum failed. Expected: 548e, Got: 418a
Checksum failed. Expected: 489a, Got: 6667
Checksum failed. Expected: 115f, Got: 8b44
Checksum failed. Expected: 5098, Got: b021
Checksum failed. Expected: bb39, Got: d4fe
Checksum failed. Expected: f0fa, Got: f9dc
Checksum failed. Expected: 8a0d, Got: 1eb9
Checksum failed. Expected: 45f9, Got: 4396
Checksum failed. Expected: c296, Got: 6873
Checksum failed. Expected: 38d1, Got: 8d50
Checksum failed. Expected: fb42, Got: b22d
Checksum failed. Expected: a00f, Got: d70b
Checksum failed. Expected: 91f1, Got: fbe8
Checksum failed. Expected: 611f, Got: 20c5
Checksum failed. Expected: c43b, Got: 45a2
Checksum failed. Expected: df7c, Got: 6a7f
Checksum failed. Expected: 713f, Got: 8f5d
Checksum failed. Expected: a5cb, Got: b43a
Checksum failed. Expected: 5532, Got: d917
Checksum failed. Expected: c3fd, Got: fdf4
Checksum failed. Expected: 53ab, Got: 22d1
Checksum failed. Expected: 4adf, Got: 47ae
Checksum failed. Expected: 907a, Got: 6c8c
Checksum failed. Expected: 50ae, Got: 9169
Checksum failed. Expected: 4d4b, Got: b646
Checksum failed. Expected: 2f6e, Got: db23
Checksum failed. Expected: 301f, Got: 0000
Checksum failed. Expected: 69c2, Got: 24de
Checksum failed. Expected: 2b26, Got: 49bb
Checksum failed. Expected: ced7, Got: 6e98
Checksum failed. Expected: e2b6, Got: 9375
Checksum failed. Expected: 4703, Got: b852
Checksum failed. Expected: fba2, Got: dd30
Checksum failed. Expected: a9cd, Got: 020d
Checksum failed. Expected: ed37, Got: 26ea
Checksum failed. Expected: 4d52, Got: 4bc7
Checksum failed. Expected: 35c9, Got: 70a4
Checksum failed. Expected: eeae, Got: 9581
Checksum failed. Expected: 75d7, Got: ba5f
Checksum failed. Expected: 8679, Got: df3c
Checksum failed. Expected: dacb, Got: 0419
Checksum failed. Expected: 4011, Got: 28f6
Checksum failed. Expected: 7d42, Got: 4dd3
Checksum failed. Expected: 9bad, Got: 72b1
Checksum failed. Expected: eddd, Got: 978e
Checksum failed. Expected: f83e, Got: bc6b
Checksum failed. Expected: e5fb, Got: e148
Checksum failed. Expected: 20ef, Got: 0625
Checksum failed. Expected: 93eb, Got: 2b02
Checksum failed. Expected: 9e4c, Got: 4fe0
Checksum failed. Expected: fb2a, Got: 74bd
Checksum failed. Expected: 5e5b, Got: 999a
Checksum failed. Expected: ae82, Got: be77
Checksum failed. Expected: c36f, Got: e354
Checksum failed. Expected: cb99, Got: 0832
Checksum failed. Expected: ad94, Got: 2d0f
Checksum failed. Expected: 7659, Got: 51ec
Checksum failed. Expected: d23c, Got: 76c9
Checksum failed. Expected: f925, Got: 9ba6
Checksum failed. Expected: ff40, Got: c083
Checksum failed. Expected: 7ef9, Got: e561
Checksum failed. Expected: e434, Got: 0a3e
Checksum failed. Expected: 790c, Got: 2f1b
Checksum failed. Expected: d5db, Got: 53f8
Checksum failed. Expected: d17e, Got: 78d5
Checksum failed. Expected: 4165, Got: 9db3
Checksum failed. Expected: 07ed, Got: c290
Checksum failed. Expected: d4ea, Got: e76d
Checksum failed. Expected: 1a6c, Got: 0c4a
Checksum failed. Expected: 7c64, Got: 3127
Checksum failed. Expected: 049b, Got: 5604
Checksum failed. Expected: 2530, Got: 7ae2
Checksum failed. Expected: fcba, Got: 9fbf
Checksum failed. Expected: eebd, Got: c49c
Checksum failed. Expected: ed76, Got: e979
Checksum failed. Expected: ce7e, Got: 0e56
Checksum failed. Expected: dbe6, Got: 3334
Checksum failed. Expected: efb2, Got: 5811
Checksum failed. Expected: f8f7, Got: 7cee
Checksum failed. Expected: 5c4a, Got: a1cb
Checksum failed. Expected: 076b, Got: c6a8
Checksum failed. Expected: f96e, Got: eb86
Checksum failed. Expected: 18c7, Got: 1063
Checksum failed. Expected: e9e7, Got: 3540
Checksum failed. Expected: ab4a, Got: 5a1d
Checksum failed. Expected: 8e7b, Got: 7efa
Checksum failed. Expected: 01a0, Got: a3d7
Checksum failed. Expected: 2dcf, Got: c8b5
Checksum failed. Expected: 3e71, Got: ed92
Checksum failed. Expected: 6ecb, Got: 126f
Checksum failed. Expected: 0295, Got: 374c
Checksum failed. Expected: 52bc, Got: 5c29
Checksum failed. Expected: 4e4b, Got: 8107
Checksum failed. Expected: 762f, Got: a5e4
Checksum failed. Expected: ae1a, Got: cac1
Checksum failed. Expected: 805d, Got: ef9e
Checksum failed. Expected: fcdf, Got: 147b
Checksum failed. Expected: a089, Got: 3958
Checksum failed. Expected: 83ba, Got: 5e36
Checksum failed. Expected: 5b3e, Got: 8313
Checksum failed. Expected: 7571, Got: a7f0
Checksum failed. Expected: caf2, Got: cccd
Checksum failed. Expected: 38bd, Got: f1aa
Checksum failed. Expected: 1263, Got: 1688
Checksum failed. Expected: b924, Got: 3b65
Checksum failed. Expected: 774f, Got: 6042
Checksum failed. Expected: fc5c, Got: 851f
Checksum failed. Expected: 67fd, Got: a9fc
Checksum failed. Expected: b2f2, Got: ced9
Checksum failed. Expected: 69bb, Got: f3b7
Checksum failed. Expected: 95be, Got: 1894
Checksum failed. Expected: bb6e, Got: 3d71
Checksum failed. Expected: 44b3, Got: 624e
Checksum failed. Expected: 4cea, Got: 872b
Checksum failed. Expected: 98d9, Got: ac09
Checksum failed. Expected: d5e3, Got: d0e6
Checksum failed. Expected: 1868, Got: f5c3
Checksum failed. Expected: 2910, Got: 1aa0
Checksum failed. Expected: db7e, Got: 3f7d
Checksum failed. Expected: acb3, Got: 645b
Checksum failed. Expected: 48ef, Got: 8938
Checksum failed. Expected: 763a, Got: ae15
Checksum failed. Expected: 86e1, Got: d2f2
Checksum failed. Expected: 3440, Got: f7cf
Checksum failed. Expected: 5a0e, Got: 1cac
Checksum failed. Expected: d796, Got: 418a
Checksum failed. Expected: 9af4, Got: 6667
Checksum failed. Expected: bfc1, Got: 8b44
Checksum failed. Expected: 251c, Got: b021
Checksum failed. Expected: 1c65, Got: d4fe
Checksum failed. Expected: e430, Got: f9dc
Checksum failed. Expected: ea2b, Got: 1eb9
