
#################################################################
Log started at 2025-06-12_13-54-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-2.197070, Y=0.728565, Z=-9.511713 m/s^2 Time of Week: 207.747000, Week Number: 0
Acceleration: X=-2.200373, Y=0.721266, Z=-9.514449 m/s^2 Time of Week: 207.757000, Week Number: 0
Acceleration: X=-2.197227, Y=0.711138, Z=-9.515823 m/s^2 Time of Week: 207.767000, Week Number: 0
Acceleration: X=-2.189589, Y=0.711743, Z=-9.507672 m/s^2 Time of Week: 207.777000, Week Number: 0
Acceleration: X=-2.191860, Y=0.723699, Z=-9.492315 m/s^2 Time of Week: 207.787000, Week Number: 0
Acceleration: X=-2.201990, Y=0.725086, Z=-9.494452 m/s^2 Time of Week: 207.797000, Week Number: 0
Acceleration: X=-2.202982, Y=0.727116, Z=-9.506221 m/s^2 Time of Week: 207.807000, Week Number: 0
Acceleration: X=-2.193096, Y=0.714943, Z=-9.514060 m/s^2 Time of Week: 207.817000, Week Number: 0
Acceleration: X=-2.188964, Y=0.716527, Z=-9.505637 m/s^2 Time of Week: 207.827000, Week Number: 0
Acceleration: X=-2.188657, Y=0.724158, Z=-9.510041 m/s^2 Time of Week: 207.837000, Week Number: 0
Acceleration: X=-2.192650, Y=0.723344, Z=-9.510296 m/s^2 Time of Week: 207.847000, Week Number: 0
Acceleration: X=-2.196331, Y=0.734774, Z=-9.504732 m/s^2 Time of Week: 207.857000, Week Number: 0
Acceleration: X=-2.204698, Y=0.724570, Z=-9.507745 m/s^2 Time of Week: 207.867000, Week Number: 0
Acceleration: X=-2.202044, Y=0.713680, Z=-9.516276 m/s^2 Time of Week: 207.877000, Week Number: 0
Acceleration: X=-2.195539, Y=0.712559, Z=-9.505712 m/s^2 Time of Week: 207.887000, Week Number: 0
Acceleration: X=-2.187968, Y=0.713369, Z=-9.494259 m/s^2 Time of Week: 207.897000, Week Number: 0
Acceleration: X=-2.193205, Y=0.719800, Z=-9.505826 m/s^2 Time of Week: 207.907000, Week Number: 0
Acceleration: X=-2.203017, Y=0.722478, Z=-9.515316 m/s^2 Time of Week: 207.917000, Week Number: 0
Acceleration: X=-2.205166, Y=0.735618, Z=-9.513264 m/s^2 Time of Week: 207.927000, Week Number: 0
Acceleration: X=-2.194301, Y=0.735639, Z=-9.501520 m/s^2 Time of Week: 207.937000, Week Number: 0
Acceleration: X=-2.190907, Y=0.722804, Z=-9.499258 m/s^2 Time of Week: 207.947000, Week Number: 0
Acceleration: X=-2.198221, Y=0.717940, Z=-9.511599 m/s^2 Time of Week: 207.957000, Week Number: 0
Acceleration: X=-2.197159, Y=0.709138, Z=-9.507265 m/s^2 Time of Week: 207.967000, Week Number: 0
Acceleration: X=-2.194057, Y=0.710222, Z=-9.494168 m/s^2 Time of Week: 207.977000, Week Number: 0
Acceleration: X=-2.203146, Y=0.715233, Z=-9.502312 m/s^2 Time of Week: 207.987000, Week Number: 0
Acceleration: X=-2.196835, Y=0.719817, Z=-9.518698 m/s^2 Time of Week: 207.997000, Week Number: 0
Acceleration: X=-2.197835, Y=0.735029, Z=-9.511398 m/s^2 Time of Week: 208.007000, Week Number: 0
Acceleration: X=-2.193127, Y=0.734671, Z=-9.509262 m/s^2 Time of Week: 208.017000, Week Number: 0
Acceleration: X=-2.196264, Y=0.725686, Z=-9.515719 m/s^2 Time of Week: 208.027000, Week Number: 0
Acceleration: X=-2.199658, Y=0.715376, Z=-9.505472 m/s^2 Time of Week: 208.037000, Week Number: 0
Acceleration: X=-2.193316, Y=0.710115, Z=-9.486857 m/s^2 Time of Week: 208.047000, Week Number: 0
Acceleration: X=-2.198956, Y=0.709123, Z=-9.482792 m/s^2 Time of Week: 208.057000, Week Number: 0
Acceleration: X=-2.205467, Y=0.705090, Z=-9.508653 m/s^2 Time of Week: 208.067000, Week Number: 0
Acceleration: X=-2.200270, Y=0.712848, Z=-9.526982 m/s^2 Time of Week: 208.077000, Week Number: 0
Acceleration: X=-2.192980, Y=0.730744, Z=-9.497735 m/s^2 Time of Week: 208.087000, Week Number: 0
Acceleration: X=-2.194670, Y=0.738545, Z=-9.514608 m/s^2 Time of Week: 208.097000, Week Number: 0
Acceleration: X=-2.185420, Y=0.737169, Z=-9.527898 m/s^2 Time of Week: 208.107000, Week Number: 0
Acceleration: X=-2.188508, Y=0.736547, Z=-9.504042 m/s^2 Time of Week: 208.117000, Week Number: 0
Acceleration: X=-2.189684, Y=0.725320, Z=-9.503938 m/s^2 Time of Week: 208.127000, Week Number: 0
Acceleration: X=-2.194223, Y=0.713401, Z=-9.507554 m/s^2 Time of Week: 208.137000, Week Number: 0
Acceleration: X=-2.204580, Y=0.708455, Z=-9.500360 m/s^2 Time of Week: 208.147000, Week Number: 0
Acceleration: X=-2.206835, Y=0.706050, Z=-9.493868 m/s^2 Time of Week: 208.157000, Week Number: 0
Acceleration: X=-2.197623, Y=0.718113, Z=-9.494307 m/s^2 Time of Week: 208.167000, Week Number: 0
Acceleration: X=-2.188957, Y=0.725002, Z=-9.496475 m/s^2 Time of Week: 208.177000, Week Number: 0
Acceleration: X=-2.191483, Y=0.724718, Z=-9.522640 m/s^2 Time of Week: 208.187000, Week Number: 0
Acceleration: X=-2.192580, Y=0.733686, Z=-9.528367 m/s^2 Time of Week: 208.197000, Week Number: 0
Acceleration: X=-2.193875, Y=0.738706, Z=-9.504741 m/s^2 Time of Week: 208.207000, Week Number: 0
Acceleration: X=-2.203842, Y=0.734572, Z=-9.508234 m/s^2 Time of Week: 208.217000, Week Number: 0
Acceleration: X=-2.198515, Y=0.720149, Z=-9.497921 m/s^2 Time of Week: 208.227000, Week Number: 0
Acceleration: X=-2.195091, Y=0.713071, Z=-9.491032 m/s^2 Time of Week: 208.237000, Week Number: 0
Acceleration: X=-2.198080, Y=0.702338, Z=-9.520750 m/s^2 Time of Week: 208.247000, Week Number: 0
Acceleration: X=-2.189786, Y=0.713654, Z=-9.486973 m/s^2 Time of Week: 208.257000, Week Number: 0
Acceleration: X=-2.201155, Y=0.724581, Z=-9.517012 m/s^2 Time of Week: 208.267000, Week Number: 0
Acceleration: X=-2.200008, Y=0.729409, Z=-9.545328 m/s^2 Time of Week: 208.277000, Week Number: 0
Acceleration: X=-2.199085, Y=0.753116, Z=-9.493811 m/s^2 Time of Week: 208.287000, Week Number: 0
Acceleration: X=-2.195756, Y=0.741077, Z=-9.496570 m/s^2 Time of Week: 208.297000, Week Number: 0
Acceleration: X=-2.189664, Y=0.720127, Z=-9.526062 m/s^2 Time of Week: 208.307000, Week Number: 0
Acceleration: X=-2.194717, Y=0.705909, Z=-9.515226 m/s^2 Time of Week: 208.317000, Week Number: 0
Acceleration: X=-2.194562, Y=0.706303, Z=-9.495808 m/s^2 Time of Week: 208.327000, Week Number: 0
Acceleration: X=-2.199873, Y=0.710881, Z=-9.478474 m/s^2 Time of Week: 208.337000, Week Number: 0
Acceleration: X=-2.202393, Y=0.717815, Z=-9.508744 m/s^2 Time of Week: 208.347000, Week Number: 0
Acceleration: X=-2.200602, Y=0.722954, Z=-9.520112 m/s^2 Time of Week: 208.357000, Week Number: 0
Acceleration: X=-2.186072, Y=0.734589, Z=-9.511264 m/s^2 Time of Week: 208.367000, Week Number: 0
Acceleration: X=-2.185289, Y=0.734983, Z=-9.512197 m/s^2 Time of Week: 208.377000, Week Number: 0
Acceleration: X=-2.197344, Y=0.718916, Z=-9.521469 m/s^2 Time of Week: 208.387000, Week Number: 0
Acceleration: X=-2.197054, Y=0.720720, Z=-9.494523 m/s^2 Time of Week: 208.397000, Week Number: 0
Acceleration: X=-2.198542, Y=0.720264, Z=-9.489444 m/s^2 Time of Week: 208.407000, Week Number: 0
Acceleration: X=-2.203932, Y=0.708938, Z=-9.514635 m/s^2 Time of Week: 208.417000, Week Number: 0
Acceleration: X=-2.195159, Y=0.713528, Z=-9.510324 m/s^2 Time of Week: 208.427000, Week Number: 0
Acceleration: X=-2.182887, Y=0.721461, Z=-9.495007 m/s^2 Time of Week: 208.437000, Week Number: 0
Acceleration: X=-2.193397, Y=0.724180, Z=-9.512306 m/s^2 Time of Week: 208.447000, Week Number: 0
Acceleration: X=-2.192079, Y=0.722457, Z=-9.511485 m/s^2 Time of Week: 208.457000, Week Number: 0
Acceleration: X=-2.187449, Y=0.727096, Z=-9.503844 m/s^2 Time of Week: 208.467000, Week Number: 0
Acceleration: X=-2.199594, Y=0.727873, Z=-9.508178 m/s^2 Time of Week: 208.477000, Week Number: 0
Acceleration: X=-2.197963, Y=0.717637, Z=-9.513896 m/s^2 Time of Week: 208.487000, Week Number: 0
Acceleration: X=-2.195569, Y=0.718310, Z=-9.511744 m/s^2 Time of Week: 208.497000, Week Number: 0
Acceleration: X=-2.194110, Y=0.715796, Z=-9.500766 m/s^2 Time of Week: 208.507000, Week Number: 0
Acceleration: X=-2.191465, Y=0.719066, Z=-9.511251 m/s^2 Time of Week: 208.517000, Week Number: 0
Acceleration: X=-2.196490, Y=0.727766, Z=-9.515199 m/s^2 Time of Week: 208.527000, Week Number: 0
Acceleration: X=-2.191675, Y=0.728195, Z=-9.516862 m/s^2 Time of Week: 208.537000, Week Number: 0
Acceleration: X=-2.191513, Y=0.729989, Z=-9.492557 m/s^2 Time of Week: 208.547000, Week Number: 0
Acceleration: X=-2.195283, Y=0.722606, Z=-9.491657 m/s^2 Time of Week: 208.557000, Week Number: 0
Acceleration: X=-2.198483, Y=0.708063, Z=-9.517607 m/s^2 Time of Week: 208.567000, Week Number: 0
Acceleration: X=-2.197425, Y=0.709659, Z=-9.504626 m/s^2 Time of Week: 208.577000, Week Number: 0
Acceleration: X=-2.197165, Y=0.717066, Z=-9.495391 m/s^2 Time of Week: 208.587000, Week Number: 0
Acceleration: X=-2.193860, Y=0.722179, Z=-9.517488 m/s^2 Time of Week: 208.597000, Week Number: 0
Acceleration: X=-2.189872, Y=0.730151, Z=-9.525690 m/s^2 Time of Week: 208.607000, Week Number: 0
Acceleration: X=-2.190578, Y=0.739031, Z=-9.514770 m/s^2 Time of Week: 208.617000, Week Number: 0
Acceleration: X=-2.197033, Y=0.729595, Z=-9.518975 m/s^2 Time of Week: 208.627000, Week Number: 0
Acceleration: X=-2.194721, Y=0.715702, Z=-9.487644 m/s^2 Time of Week: 208.637000, Week Number: 0
Acceleration: X=-2.198876, Y=0.719060, Z=-9.482845 m/s^2 Time of Week: 208.647000, Week Number: 0
Acceleration: X=-2.204506, Y=0.705096, Z=-9.510333 m/s^2 Time of Week: 208.657000, Week Number: 0
Acceleration: X=-2.194583, Y=0.708732, Z=-9.515788 m/s^2 Time of Week: 208.667000, Week Number: 0
Acceleration: X=-2.189245, Y=0.724223, Z=-9.504179 m/s^2 Time of Week: 208.677000, Week Number: 0
Acceleration: X=-2.191546, Y=0.731855, Z=-9.511829 m/s^2 Time of Week: 208.687000, Week Number: 0
Acceleration: X=-2.191028, Y=0.727133, Z=-9.506144 m/s^2 Time of Week: 208.697000, Week Number: 0
Acceleration: X=-2.185787, Y=0.735197, Z=-9.485645 m/s^2 Time of Week: 208.707000, Week Number: 0
Acceleration: X=-2.205363, Y=0.731881, Z=-9.518926 m/s^2 Time of Week: 208.717000, Week Number: 0
Acceleration: X=-2.209276, Y=0.719800, Z=-9.554811 m/s^2 Time of Week: 208.727000, Week Number: 0
