
#################################################################
Log started at 2025-06-13_14-49-41 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-0.157622, Y=-0.695204, Z=9.776300 m/s^2 Time of Week: 456600.637000, Week Number: 2370
Acceleration: X=-0.161864, Y=-0.698688, Z=9.775165 m/s^2 Time of Week: 456600.638000, Week Number: 2370
Acceleration: X=-0.154280, Y=-0.701401, Z=9.769010 m/s^2 Time of Week: 456600.639000, Week Number: 2370
Acceleration: X=-0.146549, Y=-0.700265, Z=9.767969 m/s^2 Time of Week: 456600.640000, Week Number: 2370
Acceleration: X=-0.146475, Y=-0.698604, Z=9.767701 m/s^2 Time of Week: 456600.641000, Week Number: 2370
Acceleration: X=-0.149607, Y=-0.695471, Z=9.769004 m/s^2 Time of Week: 456600.642000, Week Number: 2370
Acceleration: X=-0.149429, Y=-0.691088, Z=9.770673 m/s^2 Time of Week: 456600.643000, Week Number: 2370
Acceleration: X=-0.142616, Y=-0.695552, Z=9.767466 m/s^2 Time of Week: 456600.644000, Week Number: 2370
Acceleration: X=-0.140982, Y=-0.695675, Z=9.764863 m/s^2 Time of Week: 456600.645000, Week Number: 2370
Acceleration: X=-0.141008, Y=-0.695696, Z=9.756987 m/s^2 Time of Week: 456600.646000, Week Number: 2370
Acceleration: X=-0.138722, Y=-0.690725, Z=9.760065 m/s^2 Time of Week: 456600.647000, Week Number: 2370
Acceleration: X=-0.141857, Y=-0.690847, Z=9.768958 m/s^2 Time of Week: 456600.648000, Week Number: 2370
Acceleration: X=-0.144475, Y=-0.695882, Z=9.767481 m/s^2 Time of Week: 456600.649000, Week Number: 2370
Acceleration: X=-0.146921, Y=-0.699846, Z=9.766233 m/s^2 Time of Week: 456600.650000, Week Number: 2370
Acceleration: X=-0.152912, Y=-0.698496, Z=9.770472 m/s^2 Time of Week: 456600.651000, Week Number: 2370
Acceleration: X=-0.156145, Y=-0.694949, Z=9.773763 m/s^2 Time of Week: 456600.652000, Week Number: 2370
Acceleration: X=-0.157818, Y=-0.691335, Z=9.776394 m/s^2 Time of Week: 456600.653000, Week Number: 2370
Acceleration: X=-0.156382, Y=-0.687306, Z=9.772942 m/s^2 Time of Week: 456600.654000, Week Number: 2370
Acceleration: X=-0.158303, Y=-0.686822, Z=9.763921 m/s^2 Time of Week: 456600.655000, Week Number: 2370
Acceleration: X=-0.160662, Y=-0.694913, Z=9.757634 m/s^2 Time of Week: 456600.656000, Week Number: 2370
Acceleration: X=-0.161237, Y=-0.696856, Z=9.759305 m/s^2 Time of Week: 456600.657000, Week Number: 2370
Acceleration: X=-0.159549, Y=-0.697747, Z=9.766061 m/s^2 Time of Week: 456600.658000, Week Number: 2370
Acceleration: X=-0.149165, Y=-0.697562, Z=9.770425 m/s^2 Time of Week: 456600.659000, Week Number: 2370
Acceleration: X=-0.145284, Y=-0.694328, Z=9.771468 m/s^2 Time of Week: 456600.660000, Week Number: 2370
Acceleration: X=-0.144338, Y=-0.695857, Z=9.771274 m/s^2 Time of Week: 456600.661000, Week Number: 2370
Acceleration: X=-0.149144, Y=-0.701230, Z=9.771686 m/s^2 Time of Week: 456600.662000, Week Number: 2370
Acceleration: X=-0.153511, Y=-0.704331, Z=9.773589 m/s^2 Time of Week: 456600.663000, Week Number: 2370
Acceleration: X=-0.153623, Y=-0.703224, Z=9.776786 m/s^2 Time of Week: 456600.664000, Week Number: 2370
Acceleration: X=-0.154966, Y=-0.700189, Z=9.775757 m/s^2 Time of Week: 456600.665000, Week Number: 2370
Acceleration: X=-0.156660, Y=-0.696738, Z=9.771407 m/s^2 Time of Week: 456600.666000, Week Number: 2370
Acceleration: X=-0.156152, Y=-0.691820, Z=9.774891 m/s^2 Time of Week: 456600.667000, Week Number: 2370
Acceleration: X=-0.160603, Y=-0.697445, Z=9.781189 m/s^2 Time of Week: 456600.668000, Week Number: 2370
Acceleration: X=-0.157125, Y=-0.697441, Z=9.778613 m/s^2 Time of Week: 456600.669000, Week Number: 2370
Acceleration: X=-0.153120, Y=-0.695639, Z=9.777990 m/s^2 Time of Week: 456600.670000, Week Number: 2370
Acceleration: X=-0.153971, Y=-0.697004, Z=9.786013 m/s^2 Time of Week: 456600.671000, Week Number: 2370
Acceleration: X=-0.158686, Y=-0.696364, Z=9.790674 m/s^2 Time of Week: 456600.672000, Week Number: 2370
Acceleration: X=-0.163007, Y=-0.693033, Z=9.788148 m/s^2 Time of Week: 456600.673000, Week Number: 2370
Acceleration: X=-0.160903, Y=-0.692698, Z=9.780285 m/s^2 Time of Week: 456600.674000, Week Number: 2370
