
#################################################################
Log started at 2025-06-16_16-13-41.134051 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.376606, Y=0.154290, Z=9.807321 m/s^2 Time of Week: 116021.727410, Week Number: 2371
Acceleration: X=0.372415, Y=0.156508, Z=9.800187 m/s^2 Time of Week: 116021.730410, Week Number: 2371
Acceleration: X=0.369532, Y=0.152217, Z=9.803314 m/s^2 Time of Week: 116021.733410, Week Number: 2371
Acceleration: X=0.368335, Y=0.150809, Z=9.807764 m/s^2 Time of Week: 116021.736410, Week Number: 2371
Acceleration: X=0.370138, Y=0.150455, Z=9.810679 m/s^2 Time of Week: 116021.739410, Week Number: 2371
Acceleration: X=0.363912, Y=0.158331, Z=9.806619 m/s^2 Time of Week: 116021.742410, Week Number: 2371
Acceleration: X=0.365675, Y=0.158174, Z=9.797222 m/s^2 Time of Week: 116021.745410, Week Number: 2371
Acceleration: X=0.360103, Y=0.154089, Z=9.798332 m/s^2 Time of Week: 116021.748410, Week Number: 2371
Acceleration: X=0.358054, Y=0.160012, Z=9.790627 m/s^2 Time of Week: 116021.751410, Week Number: 2371
Acceleration: X=0.361464, Y=0.161106, Z=9.806482 m/s^2 Time of Week: 116021.754410, Week Number: 2371
Acceleration: X=0.356574, Y=0.159094, Z=9.807187 m/s^2 Time of Week: 116021.757410, Week Number: 2371
Acceleration: X=0.349134, Y=0.152488, Z=9.801300 m/s^2 Time of Week: 116021.760410, Week Number: 2371
Acceleration: X=0.350793, Y=0.154360, Z=9.799818 m/s^2 Time of Week: 116021.763410, Week Number: 2371
Acceleration: X=0.361236, Y=0.155910, Z=9.802751 m/s^2 Time of Week: 116021.766410, Week Number: 2371
Acceleration: X=0.364905, Y=0.154940, Z=9.803650 m/s^2 Time of Week: 116021.769410, Week Number: 2371
Acceleration: X=0.351725, Y=0.154312, Z=9.796989 m/s^2 Time of Week: 116021.772410, Week Number: 2371
Acceleration: X=0.354830, Y=0.156167, Z=9.798052 m/s^2 Time of Week: 116021.775410, Week Number: 2371
Acceleration: X=0.362309, Y=0.154029, Z=9.804811 m/s^2 Time of Week: 116021.778410, Week Number: 2371
Acceleration: X=0.368259, Y=0.147058, Z=9.798634 m/s^2 Time of Week: 116021.781410, Week Number: 2371
Acceleration: X=0.370689, Y=0.152778, Z=9.797271 m/s^2 Time of Week: 116021.784410, Week Number: 2371
Acceleration: X=0.368744, Y=0.153028, Z=9.800101 m/s^2 Time of Week: 116021.787410, Week Number: 2371
Acceleration: X=0.373169, Y=0.152219, Z=9.796571 m/s^2 Time of Week: 116021.790410, Week Number: 2371
Acceleration: X=0.374372, Y=0.156669, Z=9.801552 m/s^2 Time of Week: 116021.793410, Week Number: 2371
Acceleration: X=0.366759, Y=0.154151, Z=9.805511 m/s^2 Time of Week: 116021.796410, Week Number: 2371
Acceleration: X=0.363735, Y=0.157395, Z=9.800583 m/s^2 Time of Week: 116021.799410, Week Number: 2371
Acceleration: X=0.361979, Y=0.156821, Z=9.808924 m/s^2 Time of Week: 116021.802410, Week Number: 2371
Acceleration: X=0.366728, Y=0.155615, Z=9.802986 m/s^2 Time of Week: 116021.805410, Week Number: 2371
Acceleration: X=0.365545, Y=0.158389, Z=9.806489 m/s^2 Time of Week: 116021.808410, Week Number: 2371
Acceleration: X=0.360346, Y=0.154684, Z=9.797716 m/s^2 Time of Week: 116021.811410, Week Number: 2371
Acceleration: X=0.360487, Y=0.163446, Z=9.797789 m/s^2 Time of Week: 116021.814410, Week Number: 2371
Acceleration: X=0.361137, Y=0.155485, Z=9.788771 m/s^2 Time of Week: 116021.817410, Week Number: 2371
Acceleration: X=0.360157, Y=0.149272, Z=9.792962 m/s^2 Time of Week: 116021.820410, Week Number: 2371
Acceleration: X=0.355500, Y=0.152873, Z=9.797726 m/s^2 Time of Week: 116021.823410, Week Number: 2371
Acceleration: X=0.357561, Y=0.153573, Z=9.792105 m/s^2 Time of Week: 116021.826410, Week Number: 2371
Acceleration: X=0.361403, Y=0.152015, Z=9.793195 m/s^2 Time of Week: 116021.829410, Week Number: 2371
Acceleration: X=0.362959, Y=0.144756, Z=9.788569 m/s^2 Time of Week: 116021.832410, Week Number: 2371
Acceleration: X=0.354884, Y=0.143162, Z=9.791741 m/s^2 Time of Week: 116021.835410, Week Number: 2371
Acceleration: X=0.358879, Y=0.152504, Z=9.800581 m/s^2 Time of Week: 116021.838410, Week Number: 2371
Acceleration: X=0.360813, Y=0.148943, Z=9.799597 m/s^2 Time of Week: 116021.841410, Week Number: 2371
Acceleration: X=0.360215, Y=0.150880, Z=9.810154 m/s^2 Time of Week: 116021.844410, Week Number: 2371
Acceleration: X=0.363098, Y=0.150931, Z=9.807636 m/s^2 Time of Week: 116021.847410, Week Number: 2371
Acceleration: X=0.355587, Y=0.145677, Z=9.805069 m/s^2 Time of Week: 116021.850410, Week Number: 2371
Acceleration: X=0.359516, Y=0.151119, Z=9.803580 m/s^2 Time of Week: 116021.853410, Week Number: 2371
Acceleration: X=0.361062, Y=0.158711, Z=9.806428 m/s^2 Time of Week: 116021.856410, Week Number: 2371
Acceleration: X=0.361498, Y=0.159950, Z=9.803288 m/s^2 Time of Week: 116021.859410, Week Number: 2371
Acceleration: X=0.367626, Y=0.156244, Z=9.807934 m/s^2 Time of Week: 116021.862410, Week Number: 2371
Acceleration: X=0.359046, Y=0.156065, Z=9.798354 m/s^2 Time of Week: 116021.865410, Week Number: 2371
Acceleration: X=0.372984, Y=0.157489, Z=9.801534 m/s^2 Time of Week: 116021.868410, Week Number: 2371
Acceleration: X=0.366491, Y=0.161559, Z=9.805775 m/s^2 Time of Week: 116021.871410, Week Number: 2371
Acceleration: X=0.366799, Y=0.157406, Z=9.807735 m/s^2 Time of Week: 116021.874410, Week Number: 2371
Acceleration: X=0.372733, Y=0.155712, Z=9.810023 m/s^2 Time of Week: 116021.877410, Week Number: 2371
Acceleration: X=0.368280, Y=0.159159, Z=9.814768 m/s^2 Time of Week: 116021.880410, Week Number: 2371
Acceleration: X=0.362698, Y=0.161473, Z=9.805983 m/s^2 Time of Week: 116021.883410, Week Number: 2371
Acceleration: X=0.371225, Y=0.157172, Z=9.803492 m/s^2 Time of Week: 116021.886410, Week Number: 2371
Acceleration: X=0.368359, Y=0.153395, Z=9.809535 m/s^2 Time of Week: 116021.889410, Week Number: 2371
Acceleration: X=0.377337, Y=0.159558, Z=9.809837 m/s^2 Time of Week: 116021.892410, Week Number: 2371
Acceleration: X=0.373985, Y=0.161675, Z=9.810164 m/s^2 Time of Week: 116021.895410, Week Number: 2371
Acceleration: X=0.375703, Y=0.159811, Z=9.812676 m/s^2 Time of Week: 116021.898410, Week Number: 2371
Acceleration: X=0.374671, Y=0.156874, Z=9.800041 m/s^2 Time of Week: 116021.901410, Week Number: 2371
Acceleration: X=0.371916, Y=0.160010, Z=9.803421 m/s^2 Time of Week: 116021.904410, Week Number: 2371
Acceleration: X=0.370325, Y=0.160383, Z=9.803288 m/s^2 Time of Week: 116021.907410, Week Number: 2371
Acceleration: X=0.375693, Y=0.155810, Z=9.801851 m/s^2 Time of Week: 116021.910410, Week Number: 2371
Acceleration: X=0.371193, Y=0.154702, Z=9.805057 m/s^2 Time of Week: 116021.913410, Week Number: 2371
Acceleration: X=0.364821, Y=0.160032, Z=9.803064 m/s^2 Time of Week: 116021.916410, Week Number: 2371
Acceleration: X=0.358452, Y=0.158363, Z=9.798727 m/s^2 Time of Week: 116021.919410, Week Number: 2371
Acceleration: X=0.364840, Y=0.151526, Z=9.792883 m/s^2 Time of Week: 116021.922410, Week Number: 2371
Acceleration: X=0.358306, Y=0.155389, Z=9.792125 m/s^2 Time of Week: 116021.925410, Week Number: 2371
Acceleration: X=0.353221, Y=0.153799, Z=9.795528 m/s^2 Time of Week: 116021.928410, Week Number: 2371
Acceleration: X=0.351201, Y=0.152142, Z=9.800497 m/s^2 Time of Week: 116021.931410, Week Number: 2371
Acceleration: X=0.349851, Y=0.153068, Z=9.794239 m/s^2 Time of Week: 116021.934410, Week Number: 2371
Acceleration: X=0.345150, Y=0.141424, Z=9.791561 m/s^2 Time of Week: 116021.937410, Week Number: 2371
Acceleration: X=0.349707, Y=0.148831, Z=9.792695 m/s^2 Time of Week: 116021.940410, Week Number: 2371
Acceleration: X=0.350612, Y=0.146832, Z=9.797755 m/s^2 Time of Week: 116021.943410, Week Number: 2371
Acceleration: X=0.356445, Y=0.155743, Z=9.802641 m/s^2 Time of Week: 116021.946410, Week Number: 2371
Acceleration: X=0.358504, Y=0.151670, Z=9.788903 m/s^2 Time of Week: 116021.949410, Week Number: 2371
Acceleration: X=0.360169, Y=0.155991, Z=9.790918 m/s^2 Time of Week: 116021.952410, Week Number: 2371
Acceleration: X=0.350940, Y=0.153711, Z=9.796826 m/s^2 Time of Week: 116021.955410, Week Number: 2371
Acceleration: X=0.356496, Y=0.154089, Z=9.787278 m/s^2 Time of Week: 116021.958410, Week Number: 2371
Acceleration: X=0.359234, Y=0.151833, Z=9.796807 m/s^2 Time of Week: 116021.961410, Week Number: 2371
Acceleration: X=0.363976, Y=0.155687, Z=9.793168 m/s^2 Time of Week: 116021.964410, Week Number: 2371
Acceleration: X=0.362279, Y=0.153791, Z=9.801082 m/s^2 Time of Week: 116021.967410, Week Number: 2371
Acceleration: X=0.367647, Y=0.149865, Z=9.801600 m/s^2 Time of Week: 116021.970410, Week Number: 2371
Acceleration: X=0.364931, Y=0.158191, Z=9.804743 m/s^2 Time of Week: 116021.973410, Week Number: 2371
Acceleration: X=0.370261, Y=0.163211, Z=9.806732 m/s^2 Time of Week: 116021.976410, Week Number: 2371
Acceleration: X=0.373799, Y=0.157604, Z=9.807087 m/s^2 Time of Week: 116021.979410, Week Number: 2371
