
#################################################################
Log started at 2025-06-13_14-54-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d97b, Got: ce08
Checksum failed. Expected: 56f2, Got: adef
Checksum failed. Expected: c524, Got: af63
Checksum failed. Expected: fcec, Got: 9d9c
Checksum failed. Expected: 5436, Got: 9fa0
Checksum failed. Expected: eff2, Got: 7895
Checksum failed. Expected: eb28, Got: 449c
Checksum failed. Expected: 2df2, Got: 5392
Checksum failed. Expected: 613b, Got: 8dee
Checksum failed. Expected: 77f5, Got: 95f7
Checksum failed. Expected: 8d84, Got: 7fa2
Checksum failed. Expected: eae0, Got: 6afc
Checksum failed. Expected: 40e1, Got: 65fb
Checksum failed. Expected: 24a1, Got: 5264
Checksum failed. Expected: 2d1b, Got: 4d80
Checksum failed. Expected: 776e, Got: 5b9a
Checksum failed. Expected: 570f, Got: 653f
Checksum failed. Expected: 1e76, Got: 73bc
Checksum failed. Expected: d23c, Got: 7a55
Checksum failed. Expected: 64f5, Got: 81fb
Checksum failed. Expected: 0f63, Got: 9bf3
Checksum failed. Expected: df11, Got: 9c1b
Checksum failed. Expected: 584f, Got: ae5f
Checksum failed. Expected: 2ff5, Got: c7e2
Checksum failed. Expected: 17f7, Got: ef63
Checksum failed. Expected: b7e2, Got: 0b13
Checksum failed. Expected: c7c1, Got: 1aec
Checksum failed. Expected: a9df, Got: 0c6f
Checksum failed. Expected: a90c, Got: 2759
Checksum failed. Expected: 5fc8, Got: 3ffc
Checksum failed. Expected: 314a, Got: 30a0
Checksum failed. Expected: cf02, Got: 483f
Checksum failed. Expected: 0463, Got: 7eac
Checksum failed. Expected: 9d11, Got: 9e12
Checksum failed. Expected: d34d, Got: 8a48
Checksum failed. Expected: 1d8e, Got: 9d88
Checksum failed. Expected: a40e, Got: 8685
Checksum failed. Expected: 04a1, Got: d5bd
Checksum failed. Expected: 89c4, Got: 1fcc
Checksum failed. Expected: 44e0, Got: 34d1
Checksum failed. Expected: fd00, Got: 2aac
Checksum failed. Expected: e1f8, Got: 2e15
Checksum failed. Expected: ace4, Got: 3e14
Checksum failed. Expected: c863, Got: 5a1f
Checksum failed. Expected: 078f, Got: 69df
Checksum failed. Expected: 698a, Got: 6a99
Checksum failed. Expected: 5c20, Got: 79e9
Checksum failed. Expected: 46a1, Got: ab21
Checksum failed. Expected: 32e0, Got: d532
Checksum failed. Expected: 3923, Got: df37
Checksum failed. Expected: 0a2c, Got: eda4
Checksum failed. Expected: 8283, Got: 0663
Checksum failed. Expected: 1cc5, Got: 1046
Checksum failed. Expected: 7152, Got: 110e
Checksum failed. Expected: 3895, Got: 0fb0
Checksum failed. Expected: 4c11, Got: 13d8
Checksum failed. Expected: 23d6, Got: 1f7e
Checksum failed. Expected: d423, Got: 2251
Checksum failed. Expected: 4bef, Got: 1ff3
Checksum failed. Expected: ab0a, Got: 23e8
Checksum failed. Expected: 2ad5, Got: 27e0
Checksum failed. Expected: 230c, Got: 3e05
Checksum failed. Expected: d713, Got: 61ca
Checksum failed. Expected: 1050, Got: 68fb
Checksum failed. Expected: a089, Got: 5271
Checksum failed. Expected: 9170, Got: 4b7d
Checksum failed. Expected: 171c, Got: 5471
Checksum failed. Expected: e778, Got: 5fa0
Checksum failed. Expected: 82f1, Got: 6b60
Checksum failed. Expected: 8f9f, Got: 7bda
Checksum failed. Expected: 0740, Got: 817e
Checksum failed. Expected: 22f1, Got: 5b6b
Checksum failed. Expected: 5dca, Got: 36c7
Checksum failed. Expected: 462d, Got: 3894
Checksum failed. Expected: 897a, Got: 348d
Checksum failed. Expected: 5ea9, Got: 1b50
Checksum failed. Expected: bf07, Got: 0a86
Checksum failed. Expected: 9cab, Got: e896
Checksum failed. Expected: de86, Got: cbb6
Checksum failed. Expected: f77b, Got: b8bb
Checksum failed. Expected: bae4, Got: ae10
