
#################################################################
Log started at 2025-06-12_15-58-59 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: fbcf, Got: 285a
Checksum failed. Expected: dbb1, Got: 2433
Checksum failed. Expected: 4c32, Got: 24e0
Checksum failed. Expected: bb72, Got: 9c50
Checksum failed. Expected: b5c1, Got: 2750
Checksum failed. Expected: fe89, Got: aed9
Checksum failed. Expected: 9e0e, Got: a761
Checksum failed. Expected: e6b8, Got: 1c78
Checksum failed. Expected: 23a0, Got: 2592
Checksum failed. Expected: 8df0, Got: 1f43
Checksum failed. Expected: aeb4, Got: a7e7
Checksum failed. Expected: fac3, Got: acc1
Checksum failed. Expected: 5ef7, Got: adc1
Checksum failed. Expected: 5b09, Got: adf6
Checksum failed. Expected: 989d, Got: 26cd
Checksum failed. Expected: 50f4, Got: b015
Checksum failed. Expected: e72d, Got: ad6c
Checksum failed. Expected: ee3e, Got: 2a16
Checksum failed. Expected: a6fe, Got: 1fc7
Checksum failed. Expected: 3e8a, Got: 9f2e
Checksum failed. Expected: ed1c, Got: ac38
Checksum failed. Expected: 33df, Got: 2ab4
Checksum failed. Expected: 923b, Got: 274f
Checksum failed. Expected: b558, Got: 2146
Checksum failed. Expected: ad4b, Got: 9ece
Checksum failed. Expected: a5e0, Got: a06b
Checksum failed. Expected: 899e, Got: 2a5d
Checksum failed. Expected: 0436, Got: 28d6
Checksum failed. Expected: 7781, Got: a15f
Checksum failed. Expected: a5b6, Got: a621
Checksum failed. Expected: 8c0f, Got: afeb
Checksum failed. Expected: 9952, Got: b7a7
Checksum failed. Expected: 533c, Got: a611
Checksum failed. Expected: c6b2, Got: 2188
Checksum failed. Expected: 1d78, Got: 2afa
Checksum failed. Expected: d856, Got: 230b
Checksum failed. Expected: bf7d, Got: 20f5
Checksum failed. Expected: ab6b, Got: 1690
Checksum failed. Expected: 6f16, Got: 19b1
Checksum failed. Expected: fddd, Got: 26ee
Checksum failed. Expected: 55d6, Got: ae30
Checksum failed. Expected: 7402, Got: 2521
Checksum failed. Expected: 417d, Got: 28ee
Checksum failed. Expected: 37aa, Got: ab4f
Checksum failed. Expected: 18c0, Got: a848
Checksum failed. Expected: e4da, Got: 19bb
Checksum failed. Expected: 027e, Got: 99b4
Checksum failed. Expected: 29fc, Got: 23da
Checksum failed. Expected: 379b, Got: 271b
Checksum failed. Expected: cef6, Got: 9def
Checksum failed. Expected: 229f, Got: 97a8
Checksum failed. Expected: 1666, Got: 2262
Checksum failed. Expected: cd11, Got: a505
Checksum failed. Expected: 8ddb, Got: acac
Checksum failed. Expected: 0a2e, Got: 3462
Checksum failed. Expected: e3b0, Got: 323b
Checksum failed. Expected: 98b5, Got: 294e
Checksum failed. Expected: 79c4, Got: 27d7
Checksum failed. Expected: 0c3f, Got: b3ec
Checksum failed. Expected: cb4b, Got: 310c
Checksum failed. Expected: fca3, Got: 2b38
Checksum failed. Expected: 0a5d, Got: 24d7
Checksum failed. Expected: 8b70, Got: 25a0
Checksum failed. Expected: 2870, Got: b892
Checksum failed. Expected: b524, Got: bba7
Checksum failed. Expected: 8c53, Got: b904
Checksum failed. Expected: 6634, Got: 37d8
Checksum failed. Expected: 7166, Got: 34d4
Checksum failed. Expected: 8eb4, Got: 2792
Checksum failed. Expected: 27fd, Got: 2193
Checksum failed. Expected: 2e3e, Got: 2050
Checksum failed. Expected: 43fd, Got: a4d8
Checksum failed. Expected: fd3c, Got: 2894
Checksum failed. Expected: 875e, Got: ab84
Checksum failed. Expected: 3a0d, Got: 283c
Checksum failed. Expected: a70e, Got: 25f7
Checksum failed. Expected: c0fe, Got: 31e6
Checksum failed. Expected: df7b, Got: aa96
Checksum failed. Expected: 679b, Got: a2da
Checksum failed. Expected: f810, Got: 259b
Checksum failed. Expected: 555a, Got: a6bc
Checksum failed. Expected: 4d49, Got: aadc
Checksum failed. Expected: d0a0, Got: a9d0
Checksum failed. Expected: ad30, Got: b1aa
Checksum failed. Expected: 344c, Got: 24ac
Checksum failed. Expected: 07ec, Got: a93c
Checksum failed. Expected: a556, Got: 26d7
Checksum failed. Expected: 417f, Got: a73e
Checksum failed. Expected: 0322, Got: 2919
Checksum failed. Expected: b29d, Got: 277e
Checksum failed. Expected: 85ea, Got: ab0a
Checksum failed. Expected: b2b2, Got: 2899
Checksum failed. Expected: 8d7c, Got: a450
Checksum failed. Expected: 6e6c, Got: a583
Checksum failed. Expected: b796, Got: 216c
Checksum failed. Expected: 5d46, Got: a8b6
Checksum failed. Expected: a580, Got: a8f6
Checksum failed. Expected: ac58, Got: 2b1e
Checksum failed. Expected: cc49, Got: 91c2
Checksum failed. Expected: 8ae0, Got: 9d24
Checksum failed. Expected: ef91, Got: 99d6
Checksum failed. Expected: b80b, Got: 9a5e
Checksum failed. Expected: cfee, Got: 1dec
Checksum failed. Expected: be66, Got: 9d61
Checksum failed. Expected: bc95, Got: 9d42
Checksum failed. Expected: f6c9, Got: 1aa2
Checksum failed. Expected: 749a, Got: 1c0e
Checksum failed. Expected: ae01, Got: 217b
Checksum failed. Expected: 235a, Got: a200
Checksum failed. Expected: 34a7, Got: aa47
