
#################################################################
Log started at 2025-06-12_16-19-26 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 6c1c, Got: 45a2
Checksum failed. Expected: 16b1, Got: b43a
Checksum failed. Expected: debf, Got: 22d1
Checksum failed. Expected: 5ad0, Got: 9169
Checksum failed. Expected: 6247, Got: 0000
Checksum failed. Expected: 282e, Got: 6e98
Checksum failed. Expected: dd5f, Got: dd2f
Checksum failed. Expected: 9ae6, Got: 4bc7
Checksum failed. Expected: 6da6, Got: ba5f
Checksum failed. Expected: 8a5a, Got: 28f6
Checksum failed. Expected: 90f7, Got: 978e
Checksum failed. Expected: 6291, Got: 0625
Checksum failed. Expected: 9374, Got: 74bd
Checksum failed. Expected: 663d, Got: e354
Checksum failed. Expected: feca, Got: 51ec
Checksum failed. Expected: d17e, Got: c083
Checksum failed. Expected: 581d, Got: 2f1b
Checksum failed. Expected: 8e27, Got: 9db3
Checksum failed. Expected: 02b1, Got: 0c4a
Checksum failed. Expected: 0d5e, Got: 7ae2
Checksum failed. Expected: bd49, Got: e979
Checksum failed. Expected: 350a, Got: 5811
Checksum failed. Expected: ee4a, Got: c6a8
Checksum failed. Expected: b89b, Got: 3540
Checksum failed. Expected: e425, Got: a3d7
Checksum failed. Expected: c8e2, Got: 126f
Checksum failed. Expected: 659a, Got: 8106
Checksum failed. Expected: e092, Got: ef9e
Checksum failed. Expected: 4556, Got: 5e36
Checksum failed. Expected: 85ec, Got: cccd
Checksum failed. Expected: cb11, Got: 3b65
Checksum failed. Expected: 381d, Got: a9fc
Checksum failed. Expected: 6d48, Got: 1894
Checksum failed. Expected: 4518, Got: 872b
Checksum failed. Expected: cbb6, Got: f5c3
Checksum failed. Expected: 2f60, Got: 645a
Checksum failed. Expected: 45c9, Got: d2f2
Checksum failed. Expected: 8ef9, Got: 418a
Checksum failed. Expected: 2341, Got: b021
Checksum failed. Expected: 0769, Got: 47ae
Checksum failed. Expected: cf1c, Got: b646
Checksum failed. Expected: 5048, Got: 24de
Checksum failed. Expected: d15f, Got: 9375
Checksum failed. Expected: ebfc, Got: 020d
Checksum failed. Expected: 9786, Got: 70a4
Checksum failed. Expected: acfe, Got: df3c
Checksum failed. Expected: f30a, Got: 4dd3
Checksum failed. Expected: 0219, Got: bc6b
Checksum failed. Expected: 30c7, Got: 2b02
Checksum failed. Expected: b0f0, Got: 999a
Checksum failed. Expected: 5426, Got: 0832
Checksum failed. Expected: 4024, Got: 76c9
Checksum failed. Expected: 3920, Got: e561
Checksum failed. Expected: 6e24, Got: 53f8
Checksum failed. Expected: c1f7, Got: c290
Checksum failed. Expected: 2581, Got: 3127
Checksum failed. Expected: 586a, Got: 9fbf
Checksum failed. Expected: e660, Got: 0e56
Checksum failed. Expected: 6e05, Got: 7cee
Checksum failed. Expected: 8e04, Got: eb85
Checksum failed. Expected: a475, Got: 5a1d
Checksum failed. Expected: 6843, Got: c8b5
Checksum failed. Expected: 8a5d, Got: 374c
Checksum failed. Expected: 962e, Got: a5e4
Checksum failed. Expected: a64c, Got: 147b
Checksum failed. Expected: ba8d, Got: 8313
Checksum failed. Expected: 94b0, Got: f1aa
Checksum failed. Expected: b6d1, Got: 6042
Checksum failed. Expected: d27b, Got: ced9
Checksum failed. Expected: 5098, Got: 3d71
Checksum failed. Expected: e192, Got: ac09
Checksum failed. Expected: 729e, Got: 1aa0
Checksum failed. Expected: 3be5, Got: 8938
Checksum failed. Expected: 4f28, Got: f7cf
Checksum failed. Expected: 67c9, Got: 6667
Checksum failed. Expected: 7f2f, Got: d4fe
Checksum failed. Expected: 71bc, Got: 4396
Checksum failed. Expected: 8814, Got: b22d
Checksum failed. Expected: 7ca9, Got: 20c5
Checksum failed. Expected: f463, Got: 8f5d
Checksum failed. Expected: f38c, Got: fdf4
Checksum failed. Expected: bbc1, Got: 6c8c
Checksum failed. Expected: 3dff, Got: db23
Checksum failed. Expected: 1d59, Got: 49bb
Checksum failed. Expected: b3a1, Got: b852
Checksum failed. Expected: 6ae0, Got: 26ea
Checksum failed. Expected: b84e, Got: 9581
Checksum failed. Expected: fb35, Got: 0419
Checksum failed. Expected: 6a5d, Got: 72b0
Checksum failed. Expected: d379, Got: e148
Checksum failed. Expected: 7cd5, Got: 4fe0
Checksum failed. Expected: 6d39, Got: be77
Checksum failed. Expected: b776, Got: 2d0f
Checksum failed. Expected: 7718, Got: 9ba6
Checksum failed. Expected: af6d, Got: 0a3e
Checksum failed. Expected: 12f9, Got: 78d5
Checksum failed. Expected: 4fa1, Got: e76d
Checksum failed. Expected: 7a19, Got: 5604
Checksum failed. Expected: a694, Got: c49c
Checksum failed. Expected: 26d2, Got: 3334
Checksum failed. Expected: 6884, Got: a1cb
Checksum failed. Expected: e6b9, Got: 1063
Checksum failed. Expected: 264f, Got: 7efa
Checksum failed. Expected: 7d6f, Got: ed92
Checksum failed. Expected: fe9b, Got: 5c29
Checksum failed. Expected: 9d82, Got: cac1
Checksum failed. Expected: f25a, Got: 3958
Checksum failed. Expected: 8f25, Got: a7f0
Checksum failed. Expected: 51f3, Got: 1688
Checksum failed. Expected: 5331, Got: 851f
Checksum failed. Expected: d153, Got: f3b7
Checksum failed. Expected: 5185, Got: 624e
Checksum failed. Expected: 68da, Got: d0e6
Checksum failed. Expected: ba94, Got: 3f7d
Checksum failed. Expected: 98e1, Got: ae15
Checksum failed. Expected: 9e5f, Got: 1cac
Checksum failed. Expected: 59d6, Got: 8b44
Checksum failed. Expected: b3f9, Got: f9db
Checksum failed. Expected: 8182, Got: 6873
Checksum failed. Expected: a6aa, Got: d70b
Checksum failed. Expected: cdea, Got: 45a2
Checksum failed. Expected: 44b5, Got: b43a
Checksum failed. Expected: cd51, Got: 22d1
Checksum failed. Expected: 0064, Got: 9169
Checksum failed. Expected: 50cb, Got: 0000
Checksum failed. Expected: 6c66, Got: 6e98
Checksum failed. Expected: 5353, Got: dd2f
Checksum failed. Expected: 9e9e, Got: 4bc7
Checksum failed. Expected: 5800, Got: ba5f
Checksum failed. Expected: da3a, Got: 28f6
Checksum failed. Expected: b9b5, Got: 978e
Checksum failed. Expected: 0d6b, Got: 0625
Checksum failed. Expected: 6ffc, Got: 74bd
Checksum failed. Expected: c927, Got: e354
Checksum failed. Expected: 8066, Got: 51ec
Checksum failed. Expected: eb6a, Got: c083
Checksum failed. Expected: 4be7, Got: 2f1b
Checksum failed. Expected: a0a3, Got: 9db3
Checksum failed. Expected: d183, Got: 0c4a
Checksum failed. Expected: 6b02, Got: 7ae2
Checksum failed. Expected: 3cbb, Got: e979
Checksum failed. Expected: a280, Got: 5811
Checksum failed. Expected: c8b6, Got: c6a8
Checksum failed. Expected: 8227, Got: 3540
Checksum failed. Expected: a0ed, Got: a3d7
Checksum failed. Expected: 72ae, Got: 126f
Checksum failed. Expected: 9b0e, Got: 8106
Checksum failed. Expected: 1f84, Got: ef9e
Checksum failed. Expected: d070, Got: 5e36
