
#################################################################
Log started at 2025-06-12_16-18-36 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: ba81, Got: 0000
Checksum failed. Expected: 7196, Got: 6e98
Checksum failed. Expected: 7735, Got: dd2f
Checksum failed. Expected: cf36, Got: 4bc7
Checksum failed. Expected: b60e, Got: ba5f
Checksum failed. Expected: 373a, Got: 28f6
Checksum failed. Expected: 19df, Got: 978e
Checksum failed. Expected: 9b19, Got: 0625
Checksum failed. Expected: 38e4, Got: 74bd
Checksum failed. Expected: 34eb, Got: e354
Checksum failed. Expected: 2cb8, Got: 51ec
Checksum failed. Expected: 8c22, Got: c083
Checksum failed. Expected: 48a7, Got: 2f1b
Checksum failed. Expected: ad43, Got: 9db3
Checksum failed. Expected: 6585, Got: 0c4a
Checksum failed. Expected: ff04, Got: 7ae2
Checksum failed. Expected: a563, Got: e979
Checksum failed. Expected: 8c36, Got: 5811
Checksum failed. Expected: d22c, Got: c6a8
Checksum failed. Expected: 6f07, Got: 3540
Checksum failed. Expected: f145, Got: a3d7
Checksum failed. Expected: 66f0, Got: 126f
Checksum failed. Expected: 1d14, Got: 8106
Checksum failed. Expected: 316a, Got: ef9e
Checksum failed. Expected: 6f0c, Got: 5e36
Checksum failed. Expected: 7f02, Got: cccd
Checksum failed. Expected: 0c09, Got: 3b65
Checksum failed. Expected: e2d3, Got: a9fc
Checksum failed. Expected: c79e, Got: 1894
Checksum failed. Expected: 3e20, Got: 872b
Checksum failed. Expected: 47e8, Got: f5c3
Checksum failed. Expected: 8362, Got: 645a
Checksum failed. Expected: 8e31, Got: d2f2
Checksum failed. Expected: ec87, Got: 418a
Checksum failed. Expected: c25d, Got: b021
Checksum failed. Expected: 2606, Got: 1eb9
Checksum failed. Expected: 7e0c, Got: 8d50
Checksum failed. Expected: e816, Got: fbe8
Checksum failed. Expected: 6fb6, Got: 6a7f
Checksum failed. Expected: d357, Got: d917
Checksum failed. Expected: 0321, Got: 47ae
Checksum failed. Expected: c716, Got: b646
Checksum failed. Expected: 728e, Got: 24de
Checksum failed. Expected: 9bd5, Got: 9375
Checksum failed. Expected: 05d2, Got: 020d
Checksum failed. Expected: ccd6, Got: 70a4
Checksum failed. Expected: 429c, Got: df3c
Checksum failed. Expected: ab84, Got: 4dd3
Checksum failed. Expected: 7b21, Got: bc6b
Checksum failed. Expected: 75f7, Got: 2b02
Checksum failed. Expected: 0500, Got: 999a
Checksum failed. Expected: 9e9c, Got: 0831
Checksum failed. Expected: 736b, Got: 76c9
Checksum failed. Expected: fa18, Got: e561
Checksum failed. Expected: aad6, Got: 53f8
Checksum failed. Expected: 80d3, Got: c290
Checksum failed. Expected: eddb, Got: 3127
Checksum failed. Expected: ef16, Got: 9fbf
Checksum failed. Expected: 77b8, Got: 0e56
Checksum failed. Expected: 7e4f, Got: 7cee
Checksum failed. Expected: b69e, Got: eb85
Checksum failed. Expected: 1729, Got: 5a1d
Checksum failed. Expected: 6475, Got: c8b5
Checksum failed. Expected: 54d3, Got: 374c
Checksum failed. Expected: f5ca, Got: a5e4
Checksum failed. Expected: b36c, Got: 147b
Checksum failed. Expected: 93d5, Got: 8313
Checksum failed. Expected: c8f2, Got: f1aa
Checksum failed. Expected: 6e4b, Got: 6042
Checksum failed. Expected: eb43, Got: ced9
