
#################################################################
Log started at 2025-06-12_15-50-16 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 991d, Got: 04f7
Checksum failed. Expected: 7f6f, Got: 8653
Checksum failed. Expected: dc6c, Got: 0700
Checksum failed. Expected: c63d, Got: fc6c
Checksum failed. Expected: 87b2, Got: fd75
Checksum failed. Expected: c734, Got: f0a1
Checksum failed. Expected: 38de, Got: 7bfd
Checksum failed. Expected: 31b1, Got: fb57
Checksum failed. Expected: 2670, Got: f7ee
Checksum failed. Expected: 6a1b, Got: 7fc6
Checksum failed. Expected: da96, Got: 8493
Checksum failed. Expected: 8a2e, Got: 04f8
Checksum failed. Expected: ed9b, Got: 0057
Checksum failed. Expected: 0781, Got: 81a4
Checksum failed. Expected: dc1d, Got: 08e1
Checksum failed. Expected: 4fbd, Got: 8b32
Checksum failed. Expected: 0265, Got: 0624
Checksum failed. Expected: 4e2c, Got: fe8e
Checksum failed. Expected: 5237, Got: 7bad
Checksum failed. Expected: a375, Got: 840a
Checksum failed. Expected: ac52, Got: ffbd
Checksum failed. Expected: 3c66, Got: 7939
Checksum failed. Expected: 5f3d, Got: f239
Checksum failed. Expected: a06e, Got: 7c02
Checksum failed. Expected: 821e, Got: 070f
Checksum failed. Expected: 96ef, Got: 8158
Checksum failed. Expected: 4512, Got: 06e9
Checksum failed. Expected: 9707, Got: 8432
Checksum failed. Expected: 5542, Got: 88f6
Checksum failed. Expected: 5579, Got: 045b
Checksum failed. Expected: 811f, Got: 072d
Checksum failed. Expected: a4a8, Got: 0d34
Checksum failed. Expected: 5a76, Got: 86af
Checksum failed. Expected: 6373, Got: 03b9
Checksum failed. Expected: b6d1, Got: 8bc7
Checksum failed. Expected: 6675, Got: 0e7c
Checksum failed. Expected: a339, Got: 130f
Checksum failed. Expected: 83fc, Got: 0e65
Checksum failed. Expected: 501a, Got: 07ee
Checksum failed. Expected: fcad, Got: 0f89
Checksum failed. Expected: 8861, Got: 92c6
Checksum failed. Expected: 6aa7, Got: 0428
Checksum failed. Expected: 2ddb, Got: fd26
Checksum failed. Expected: 0882, Got: 81e4
Checksum failed. Expected: c802, Got: 0c29
Checksum failed. Expected: 0767, Got: 9499
Checksum failed. Expected: 6319, Got: 962f
Checksum failed. Expected: 5bbe, Got: 96a1
Checksum failed. Expected: f961, Got: 8b2c
Checksum failed. Expected: 209b, Got: 054c
Checksum failed. Expected: afef, Got: 06ca
Checksum failed. Expected: d157, Got: 08b4
Checksum failed. Expected: a47e, Got: 808c
Checksum failed. Expected: 1969, Got: 052f
Checksum failed. Expected: f917, Got: 91da
Checksum failed. Expected: ab97, Got: 0d97
Checksum failed. Expected: bf12, Got: 0cc4
Checksum failed. Expected: e650, Got: 8dcd
Checksum failed. Expected: 9940, Got: 89fa
Checksum failed. Expected: e6b6, Got: 07dc
Checksum failed. Expected: 6cbd, Got: 06d0
Checksum failed. Expected: 7f0b, Got: 851d
Checksum failed. Expected: dacb, Got: 8833
Checksum failed. Expected: 2d23, Got: 05f2
Checksum failed. Expected: e8cc, Got: 0d71
Checksum failed. Expected: c94e, Got: 8e9b
Checksum failed. Expected: b786, Got: 0e3e
Checksum failed. Expected: d7b3, Got: 04d0
Checksum failed. Expected: d17a, Got: 864b
Checksum failed. Expected: fd75, Got: 8600
Checksum failed. Expected: 686e, Got: fe12
Checksum failed. Expected: 5824, Got: 0759
Checksum failed. Expected: b715, Got: 0d68
Checksum failed. Expected: e887, Got: 7c62
Checksum failed. Expected: c085, Got: 74ba
Checksum failed. Expected: 4e44, Got: fe02
Checksum failed. Expected: 49e3, Got: 8ad6
Checksum failed. Expected: e2a3, Got: 113f
Checksum failed. Expected: be26, Got: 8ce2
Checksum failed. Expected: 7013, Got: 14f7
Checksum failed. Expected: bd64, Got: 9b54
Checksum failed. Expected: 12bd, Got: 0b5e
Checksum failed. Expected: 32b2, Got: 8a02
Checksum failed. Expected: c253, Got: 87d0
Checksum failed. Expected: 99e9, Got: 0634
Checksum failed. Expected: cc40, Got: 8008
Checksum failed. Expected: 1f2b, Got: f8c0
Checksum failed. Expected: c356, Got: 03bb
Checksum failed. Expected: 98a8, Got: 857c
Checksum failed. Expected: 61b5, Got: 0845
Checksum failed. Expected: 54d2, Got: 8668
Checksum failed. Expected: ae99, Got: 8b93
Checksum failed. Expected: 4a73, Got: 06b6
Checksum failed. Expected: 0a91, Got: 8600
Checksum failed. Expected: 93bd, Got: 8c35
Checksum failed. Expected: e88d, Got: 0396
Checksum failed. Expected: 64c9, Got: 0264
Checksum failed. Expected: eb12, Got: 7b2a
Checksum failed. Expected: e56c, Got: 8128
Checksum failed. Expected: f19b, Got: fd4c
Checksum failed. Expected: db4a, Got: 787a
Checksum failed. Expected: 5562, Got: 8109
Checksum failed. Expected: 311d, Got: 8b8c
Checksum failed. Expected: adbb, Got: 0873
Checksum failed. Expected: 8dc3, Got: 8337
Checksum failed. Expected: 5e34, Got: 83a3
Checksum failed. Expected: c689, Got: f9cb
Checksum failed. Expected: 97b8, Got: ff6b
Checksum failed. Expected: 8ebb, Got: 02f9
Checksum failed. Expected: d1d8, Got: 76a2
Checksum failed. Expected: c9aa, Got: 0654
Checksum failed. Expected: e08f, Got: 89b7
Checksum failed. Expected: bcb8, Got: 02d7
Checksum failed. Expected: d728, Got: 8f7f
Checksum failed. Expected: f5b8, Got: 01e8
Checksum failed. Expected: 1b41, Got: 7795
Checksum failed. Expected: 648c, Got: f8f9
Checksum failed. Expected: 32fe, Got: 08ee
Checksum failed. Expected: 1463, Got: 902e
Checksum failed. Expected: 2be3, Got: 9243
Checksum failed. Expected: 5819, Got: 0fe2
Checksum failed. Expected: bc22, Got: 1010
Checksum failed. Expected: 0305, Got: 9a57
Checksum failed. Expected: b8d5, Got: 15f2
Checksum failed. Expected: 34b5, Got: 0c88
Checksum failed. Expected: fa8c, Got: 04f4
Checksum failed. Expected: 1f56, Got: 8277
Checksum failed. Expected: ca27, Got: 8258
Checksum failed. Expected: 941d, Got: 8edb
Checksum failed. Expected: f3c7, Got: 08e8
Checksum failed. Expected: cd63, Got: 08c9
Checksum failed. Expected: 6b64, Got: 8ee5
Checksum failed. Expected: cb6c, Got: 0e2b
Checksum failed. Expected: 460c, Got: 07ff
Checksum failed. Expected: 4f84, Got: 08fe
Checksum failed. Expected: 1780, Got: 83a7
Checksum failed. Expected: 0376, Got: 88a6
Checksum failed. Expected: cb60, Got: 0f57
Checksum failed. Expected: 7fe1, Got: 1373
Checksum failed. Expected: 89b3, Got: 8792
Checksum failed. Expected: 2491, Got: 01ec
Checksum failed. Expected: ef49, Got: 0989
Checksum failed. Expected: a5f2, Got: 0835
Checksum failed. Expected: ab30, Got: 0afb
Checksum failed. Expected: a895, Got: 8e05
Checksum failed. Expected: 0f8c, Got: 8d93
Checksum failed. Expected: a5d3, Got: 0b87
Checksum failed. Expected: 7b60, Got: 1145
Checksum failed. Expected: c3e6, Got: 11ec
Checksum failed. Expected: 7722, Got: 12e3
Checksum failed. Expected: fa10, Got: 17f1
Checksum failed. Expected: 9838, Got: 13aa
Checksum failed. Expected: b5ec, Got: 0f03
Checksum failed. Expected: 6207, Got: a496
Checksum failed. Expected: f08d, Got: 282b
Checksum failed. Expected: 96fa, Got: a626
Checksum failed. Expected: bf03, Got: 1f9a
Checksum failed. Expected: 52ae, Got: 1d27
Checksum failed. Expected: 127c, Got: 1d7d
Checksum failed. Expected: e63d, Got: 16f3
Checksum failed. Expected: f0c7, Got: 9763
Checksum failed. Expected: 3687, Got: 908f
Checksum failed. Expected: 770a, Got: 1002
Checksum failed. Expected: a258, Got: 0968
Checksum failed. Expected: d9c8, Got: 8c54
Checksum failed. Expected: 1556, Got: 0fb1
Checksum failed. Expected: b25c, Got: 0e38
Checksum failed. Expected: 1679, Got: 9707
Checksum failed. Expected: fc26, Got: 14da
Checksum failed. Expected: 6d9b, Got: 12dd
Checksum failed. Expected: 08d1, Got: 08c7
Checksum failed. Expected: edb4, Got: 090c
Checksum failed. Expected: b6d8, Got: 8a82
Checksum failed. Expected: 9670, Got: 168b
Checksum failed. Expected: 1468, Got: 1888
Checksum failed. Expected: 5ce7, Got: 177b
Checksum failed. Expected: 3c52, Got: 1631
Checksum failed. Expected: 402f, Got: 985e
Checksum failed. Expected: 3141, Got: 12cb
Checksum failed. Expected: 4a98, Got: 8bdc
Checksum failed. Expected: fe3c, Got: 8923
Checksum failed. Expected: 79cd, Got: 91b6
Checksum failed. Expected: 808c, Got: 0e29
Checksum failed. Expected: cb1d, Got: 8de2
Checksum failed. Expected: e615, Got: 1163
Checksum failed. Expected: 91a8, Got: 98b9
Checksum failed. Expected: ec22, Got: 159e
Checksum failed. Expected: 19f5, Got: 8ec2
Checksum failed. Expected: 0912, Got: 0d73
Checksum failed. Expected: 175d, Got: 86f1
Checksum failed. Expected: c460, Got: 8852
Checksum failed. Expected: 1729, Got: 8c49
Checksum failed. Expected: 91af, Got: 912f
Checksum failed. Expected: 01e3, Got: 1665
Checksum failed. Expected: df88, Got: 1b3f
Checksum failed. Expected: 7af3, Got: 1ac3
Checksum failed. Expected: 523e, Got: 197d
Checksum failed. Expected: 8c12, Got: 951d
Checksum failed. Expected: 8ebc, Got: 0e3a
Checksum failed. Expected: 5a83, Got: 0611
Checksum failed. Expected: 47cd, Got: 8612
Checksum failed. Expected: f1af, Got: 0db6
Checksum failed. Expected: bc92, Got: 8d09
Checksum failed. Expected: c8bb, Got: 8e76
Checksum failed. Expected: cb5d, Got: 145d
Checksum failed. Expected: 2348, Got: 0e95
Checksum failed. Expected: 2050, Got: 0df8
Checksum failed. Expected: 8991, Got: 8b0a
Checksum failed. Expected: 22b4, Got: 8b8f
Checksum failed. Expected: 3f7f, Got: 8b26
Checksum failed. Expected: bf52, Got: 04cb
Checksum failed. Expected: 79a0, Got: 0809
Checksum failed. Expected: bb0d, Got: 87d8
Checksum failed. Expected: d433, Got: 85cc
Checksum failed. Expected: b375, Got: 0845
Checksum failed. Expected: 5637, Got: 0f4d
Checksum failed. Expected: 0878, Got: 0824
Checksum failed. Expected: 793a, Got: 07c3
Checksum failed. Expected: 4851, Got: 8c9e
Checksum failed. Expected: ef39, Got: 9d1a
Checksum failed. Expected: 0d95, Got: a32a
Checksum failed. Expected: 3274, Got: 9c39
Checksum failed. Expected: 30c8, Got: 986f
Checksum failed. Expected: 5403, Got: 1145
Checksum failed. Expected: 9162, Got: 8e56
Checksum failed. Expected: 5a3f, Got: 9bec
Checksum failed. Expected: 21ae, Got: 9cee
Checksum failed. Expected: 8c34, Got: 9c68
Checksum failed. Expected: 84bf, Got: 1520
Checksum failed. Expected: c170, Got: 0d0b
Checksum failed. Expected: d8ba, Got: 921f
Checksum failed. Expected: a4a2, Got: 8d72
Checksum failed. Expected: 9462, Got: 917b
Checksum failed. Expected: 0794, Got: 93dc
Checksum failed. Expected: be3b, Got: 9798
Checksum failed. Expected: 893f, Got: 9882
Checksum failed. Expected: 5af8, Got: 9704
Checksum failed. Expected: 3bb7, Got: 8936
Checksum failed. Expected: 220b, Got: 8986
Checksum failed. Expected: d38c, Got: 0b6b
Checksum failed. Expected: 9a1d, Got: 187c
Checksum failed. Expected: 03e3, Got: 1aa2
Checksum failed. Expected: 5cc1, Got: 152a
Checksum failed. Expected: 02e8, Got: 0fb2
Checksum failed. Expected: 4be4, Got: 0df6
Checksum failed. Expected: d20d, Got: 1334
Checksum failed. Expected: 4e4a, Got: 0982
Checksum failed. Expected: 5a8d, Got: 873c
Checksum failed. Expected: b80f, Got: 8c3e
Checksum failed. Expected: 79fc, Got: 98ca
Checksum failed. Expected: 9226, Got: a64f
Checksum failed. Expected: 1374, Got: 9426
Checksum failed. Expected: 009e, Got: 097f
Checksum failed. Expected: b648, Got: 0d78
Checksum failed. Expected: 5659, Got: 8ddc
Checksum failed. Expected: 923f, Got: 999e
Checksum failed. Expected: 57b4, Got: 1deb
Checksum failed. Expected: c4b3, Got: 9666
Checksum failed. Expected: 71fc, Got: 11d1
Checksum failed. Expected: 3419, Got: 8f38
Checksum failed. Expected: c636, Got: 8ef1
Checksum failed. Expected: 11e2, Got: 8ff8
Checksum failed. Expected: e5cb, Got: 1a3c
Checksum failed. Expected: b267, Got: 1613
Checksum failed. Expected: 68c9, Got: 8def
Checksum failed. Expected: 8154, Got: 0cad
Checksum failed. Expected: 2e2e, Got: 0ee5
Checksum failed. Expected: 2b6a, Got: 98da
Checksum failed. Expected: d2ed, Got: 17be
Checksum failed. Expected: a583, Got: 956b
Checksum failed. Expected: 464f, Got: 1761
Checksum failed. Expected: 5743, Got: 0eb5
Checksum failed. Expected: e628, Got: 8792
Checksum failed. Expected: cafb, Got: 92c8
Checksum failed. Expected: 20d8, Got: 1cbb
Checksum failed. Expected: 829d, Got: 13f2
Checksum failed. Expected: b57c, Got: 97b6
Checksum failed. Expected: 06bf, Got: 1b21
Checksum failed. Expected: 11b8, Got: 90f9
Checksum failed. Expected: decf, Got: 896e
Checksum failed. Expected: 054d, Got: 96a6
Checksum failed. Expected: 9bed, Got: 9d37
Checksum failed. Expected: 73ab, Got: 9479
Checksum failed. Expected: 9a66, Got: 1125
Checksum failed. Expected: 3ab9, Got: 93c2
Checksum failed. Expected: 9cc9, Got: 1696
Checksum failed. Expected: b70c, Got: 9c9d
Checksum failed. Expected: 6af2, Got: 142e
Checksum failed. Expected: 5a43, Got: 0aa6
Checksum failed. Expected: 4e3e, Got: 097b
Checksum failed. Expected: 631d, Got: 0cb4
Checksum failed. Expected: 437d, Got: 1b26
Checksum failed. Expected: 8266, Got: 1ae7
Checksum failed. Expected: a224, Got: 1002
Checksum failed. Expected: 218e, Got: 1048
Checksum failed. Expected: 77d6, Got: a5ff
Checksum failed. Expected: ec1b, Got: 23ea
Checksum failed. Expected: 9922, Got: 90e0
Checksum failed. Expected: daea, Got: 804d
Checksum failed. Expected: 1c37, Got: 075e
Checksum failed. Expected: 296d, Got: 17c6
Checksum failed. Expected: 36ba, Got: 1687
Checksum failed. Expected: b27e, Got: 8b68
Checksum failed. Expected: e20e, Got: 8f81
Checksum failed. Expected: 4fb0, Got: 8f34
Checksum failed. Expected: 3856, Got: 0f8c
Checksum failed. Expected: 638b, Got: 10b8
Checksum failed. Expected: bcd5, Got: 15ff
Checksum failed. Expected: 74ce, Got: 8d25
Checksum failed. Expected: 7eab, Got: 1761
Checksum failed. Expected: 0b37, Got: 9bb3
Checksum failed. Expected: 832f, Got: 91f7
Checksum failed. Expected: 4d43, Got: 928a
Checksum failed. Expected: c9cc, Got: 9758
Checksum failed. Expected: be0d, Got: 11bb
Checksum failed. Expected: c0fe, Got: 909b
Checksum failed. Expected: c7ee, Got: 1348
Checksum failed. Expected: 8f34, Got: 143d
Checksum failed. Expected: 6307, Got: 9606
Checksum failed. Expected: 492f, Got: 97a7
Checksum failed. Expected: 99bd, Got: 131f
Checksum failed. Expected: 6cff, Got: 95d8
Checksum failed. Expected: 8b99, Got: 17c3
Checksum failed. Expected: 550d, Got: 94cc
Checksum failed. Expected: 06b6, Got: 99f4
Checksum failed. Expected: ebc3, Got: 2507
Checksum failed. Expected: 353b, Got: 9ffe
Checksum failed. Expected: d600, Got: 98bd
Checksum failed. Expected: 4da9, Got: 1bba
Checksum failed. Expected: 5900, Got: 1995
Checksum failed. Expected: 195b, Got: 9819
Checksum failed. Expected: bdf4, Got: 0f4d
Checksum failed. Expected: 265e, Got: 0ea6
Checksum failed. Expected: 9be1, Got: 07e2
Checksum failed. Expected: fc19, Got: 0977
Checksum failed. Expected: 5c52, Got: 0ad8
Checksum failed. Expected: d647, Got: 0f65
Checksum failed. Expected: d63e, Got: a3fd
Checksum failed. Expected: c157, Got: a357
Checksum failed. Expected: a458, Got: 17a8
Checksum failed. Expected: 0343, Got: 1901
Checksum failed. Expected: 224b, Got: 1464
Checksum failed. Expected: f103, Got: 8f80
Checksum failed. Expected: 893b, Got: 8b60
Checksum failed. Expected: 6de6, Got: 032a
Checksum failed. Expected: 7ff7, Got: 048a
Checksum failed. Expected: bc1e, Got: 0a48
Checksum failed. Expected: 0374, Got: 96ae
Checksum failed. Expected: 59df, Got: 01d9
Checksum failed. Expected: c604, Got: 0fca
Checksum failed. Expected: c64a, Got: 19ed
Checksum failed. Expected: dd31, Got: 9916
Checksum failed. Expected: 64e4, Got: a10d
Checksum failed. Expected: 581d, Got: 0947
Checksum failed. Expected: a7b1, Got: 7bf3
Checksum failed. Expected: 942f, Got: 743a
Checksum failed. Expected: d1df, Got: 817f
Checksum failed. Expected: 9767, Got: 2496
Checksum failed. Expected: 5f76, Got: 0f70
Checksum failed. Expected: 0703, Got: 8842
Checksum failed. Expected: 55a6, Got: 6d79
Checksum failed. Expected: 765b, Got: 005b
Checksum failed. Expected: 3efa, Got: 37ee
Checksum failed. Expected: 0e00, Got: 2d6f
Checksum failed. Expected: 3212, Got: 6e05
Checksum failed. Expected: 1185, Got: 8d1a
Checksum failed. Expected: 0c04, Got: b9b0
Checksum failed. Expected: 09a2, Got: 31e8
Checksum failed. Expected: f453, Got: a2d0
Checksum failed. Expected: 2122, Got: 760b
Checksum failed. Expected: 71a7, Got: efaa
Checksum failed. Expected: a2d4, Got: 0e52
Checksum failed. Expected: 98d2, Got: beab
Checksum failed. Expected: c1f6, Got: 84c8
Checksum failed. Expected: ab43, Got: 71a7
Checksum failed. Expected: f296, Got: 8a66
Checksum failed. Expected: 8a54, Got: 9711
Checksum failed. Expected: 3c48, Got: 957e
Checksum failed. Expected: 8892, Got: 1b0a
Checksum failed. Expected: c30e, Got: 11cb
Checksum failed. Expected: 1809, Got: fbfe
Checksum failed. Expected: 46fa, Got: 84f9
Checksum failed. Expected: fdcc, Got: 8be8
Checksum failed. Expected: f7c3, Got: 0fb3
Checksum failed. Expected: 8a7a, Got: 0aee
Checksum failed. Expected: 950b, Got: 80d7
Checksum failed. Expected: 4603, Got: 04e9
Checksum failed. Expected: 4b96, Got: 1807
Checksum failed. Expected: ea42, Got: 1a48
Checksum failed. Expected: b39c, Got: 7cf7
Checksum failed. Expected: 4786, Got: 7f03
Checksum failed. Expected: 25ec, Got: 097d
Checksum failed. Expected: 936c, Got: 9590
Checksum failed. Expected: e130, Got: 10db
Checksum failed. Expected: 2233, Got: 146f
Checksum failed. Expected: b3ee, Got: 0729
Checksum failed. Expected: 62ea, Got: 13b5
Checksum failed. Expected: 25db, Got: 94cb
