
#################################################################
Log started at 2025-06-12_13-38-57 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 34b1, Got: 04c1
Checksum failed. Expected: 1057, Got: 034b
Checksum failed. Expected: 516f, Got: 0556
Checksum failed. Expected: cdd9, Got: 0355
Checksum failed. Expected: 3981, Got: 0416
Checksum failed. Expected: 50c0, Got: 04f3
Checksum failed. Expected: 1237, Got: 05b4
Checksum failed. Expected: c593, Got: 063f
Checksum failed. Expected: 5d7d, Got: 0277
Checksum failed. Expected: 7bfb, Got: 03da
Checksum failed. Expected: 63c0, Got: 04b1
Checksum failed. Expected: e6b1, Got: 04aa
Checksum failed. Expected: cc6a, Got: 051e
Checksum failed. Expected: 1872, Got: 06cf
Checksum failed. Expected: d63e, Got: 0548
Checksum failed. Expected: 327e, Got: 03da
Checksum failed. Expected: 32cb, Got: 0064
Checksum failed. Expected: f4d2, Got: 0491
Checksum failed. Expected: a46f, Got: 03e6
Checksum failed. Expected: 77c2, Got: 03d5
Checksum failed. Expected: 7fe5, Got: 05c3
Checksum failed. Expected: eaef, Got: 0581
Checksum failed. Expected: 82e1, Got: 0690
Checksum failed. Expected: 4a0b, Got: 0647
Checksum failed. Expected: 2561, Got: 0337
Checksum failed. Expected: 6d4d, Got: 040e
Checksum failed. Expected: 2ba0, Got: 049d
Checksum failed. Expected: 358a, Got: 0453
Checksum failed. Expected: 53ea, Got: 03b0
Checksum failed. Expected: 741e, Got: 0507
Checksum failed. Expected: 40b9, Got: 04da
Checksum failed. Expected: 51b8, Got: 04da
Checksum failed. Expected: 05c0, Got: 04c7
Checksum failed. Expected: 7d01, Got: 0556
Checksum failed. Expected: e243, Got: 05ab
Checksum failed. Expected: db26, Got: 0135
Checksum failed. Expected: 9886, Got: 03d2
Checksum failed. Expected: 3e01, Got: 0539
Checksum failed. Expected: feec, Got: 059a
Checksum failed. Expected: aa45, Got: 05f2
Checksum failed. Expected: efb3, Got: 06f8
Checksum failed. Expected: 2876, Got: 04e9
Checksum failed. Expected: ec9a, Got: 0465
Checksum failed. Expected: 52a7, Got: 0443
Checksum failed. Expected: 1baf, Got: 04ff
Checksum failed. Expected: 101b, Got: 0470
Checksum failed. Expected: ac84, Got: 04a8
Checksum failed. Expected: 1579, Got: 0687

Exiting...
