
#################################################################
Log started at 2025-06-13_16-13-54 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-0.101960, Y=-0.630925, Z=9.791136 m/s^2 Time of Week: 461654.317000, Week Number: 2370
Acceleration: X=-0.101372, Y=-0.630353, Z=9.784543 m/s^2 Time of Week: 461654.318000, Week Number: 2370
Acceleration: X=-0.103177, Y=-0.625558, Z=9.776131 m/s^2 Time of Week: 461654.319000, Week Number: 2370
Acceleration: X=-0.098438, Y=-0.627421, Z=9.774921 m/s^2 Time of Week: 461654.320000, Week Number: 2370
Acceleration: X=-0.091202, Y=-0.626230, Z=9.775538 m/s^2 Time of Week: 461654.321000, Week Number: 2370
Acceleration: X=-0.093612, Y=-0.626816, Z=9.776725 m/s^2 Time of Week: 461654.322000, Week Number: 2370
Acceleration: X=-0.098375, Y=-0.628586, Z=9.782730 m/s^2 Time of Week: 461654.323000, Week Number: 2370
Acceleration: X=-0.095329, Y=-0.626810, Z=9.780360 m/s^2 Time of Week: 461654.324000, Week Number: 2370
Acceleration: X=-0.095968, Y=-0.632837, Z=9.777998 m/s^2 Time of Week: 461654.325000, Week Number: 2370
Acceleration: X=-0.103781, Y=-0.635162, Z=9.782768 m/s^2 Time of Week: 461654.326000, Week Number: 2370
Acceleration: X=-0.103210, Y=-0.633952, Z=9.780348 m/s^2 Time of Week: 461654.327000, Week Number: 2370
Acceleration: X=-0.105018, Y=-0.629777, Z=9.770731 m/s^2 Time of Week: 461654.328000, Week Number: 2370
Acceleration: X=-0.105023, Y=-0.629767, Z=9.769524 m/s^2 Time of Week: 461654.329000, Week Number: 2370
Acceleration: X=-0.102610, Y=-0.634515, Z=9.768957 m/s^2 Time of Week: 461654.330000, Week Number: 2370
Acceleration: X=-0.103125, Y=-0.631470, Z=9.773173 m/s^2 Time of Week: 461654.331000, Week Number: 2370
Acceleration: X=-0.104259, Y=-0.628461, Z=9.778581 m/s^2 Time of Week: 461654.332000, Week Number: 2370
Acceleration: X=-0.107883, Y=-0.629736, Z=9.769597 m/s^2 Time of Week: 461654.333000, Week Number: 2370
Acceleration: X=-0.107336, Y=-0.634538, Z=9.767192 m/s^2 Time of Week: 461654.334000, Week Number: 2370
Acceleration: X=-0.105465, Y=-0.624885, Z=9.769578 m/s^2 Time of Week: 461654.335000, Week Number: 2370
Acceleration: X=-0.109690, Y=-0.623123, Z=9.765344 m/s^2 Time of Week: 461654.336000, Week Number: 2370
Acceleration: X=-0.107946, Y=-0.629134, Z=9.767753 m/s^2 Time of Week: 461654.337000, Week Number: 2370
Acceleration: X=-0.104373, Y=-0.629756, Z=9.764172 m/s^2 Time of Week: 461654.338000, Week Number: 2370
Acceleration: X=-0.098950, Y=-0.630995, Z=9.764774 m/s^2 Time of Week: 461654.339000, Week Number: 2370
Acceleration: X=-0.095953, Y=-0.627991, Z=9.762973 m/s^2 Time of Week: 461654.340000, Week Number: 2370
