
#################################################################
Log started at 2025-06-12_16-19-52 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: e587, Got: 31a9
Checksum failed. Expected: 9846, Got: 541d
Checksum failed. Expected: 9dfa, Got: 51be
Checksum failed. Expected: fe53, Got: 27c3
Checksum failed. Expected: 20e9, Got: 217d
Checksum failed. Expected: 368e, Got: a37f
Checksum failed. Expected: 92c4, Got: 4f7d
Checksum failed. Expected: 2720, Got: 0f85
Checksum failed. Expected: d980, Got: 1da9
Checksum failed. Expected: f00a, Got: 8ca8
Checksum failed. Expected: 63df, Got: 1caf
Checksum failed. Expected: 5876, Got: 9ab9
Checksum failed. Expected: 0ca1, Got: 97b9
Checksum failed. Expected: 62a9, Got: 82bc
Checksum failed. Expected: d99f, Got: 7c34
Checksum failed. Expected: fd2a, Got: 8044
Checksum failed. Expected: 589f, Got: 0672
Checksum failed. Expected: a2ef, Got: 03ea
Checksum failed. Expected: e400, Got: 8128
Checksum failed. Expected: 2d28, Got: 0b76
Checksum failed. Expected: 7723, Got: 0317
Checksum failed. Expected: c75d, Got: 385a
Checksum failed. Expected: 0f75, Got: f1db
Checksum failed. Expected: c27d, Got: c3ef
Checksum failed. Expected: a7fa, Got: 0880
Checksum failed. Expected: 927e, Got: 062c
Checksum failed. Expected: 7c41, Got: 080d
Checksum failed. Expected: c24c, Got: 8cf0
Checksum failed. Expected: 813f, Got: 8c56
Checksum failed. Expected: 3073, Got: 8a16
Checksum failed. Expected: e159, Got: 0dc6
Checksum failed. Expected: 6952, Got: 0e3c
Checksum failed. Expected: e63e, Got: 0f58
Checksum failed. Expected: edad, Got: 88f6
Checksum failed. Expected: 8ae4, Got: 9278
Checksum failed. Expected: e1c1, Got: 9596
Checksum failed. Expected: c101, Got: 96bd
Checksum failed. Expected: ab7a, Got: 8dc9
Checksum failed. Expected: 836d, Got: 9007
Checksum failed. Expected: f4e6, Got: 9c41
Checksum failed. Expected: e796, Got: 98ec
Checksum failed. Expected: b50a, Got: 1c5e
Checksum failed. Expected: 7bf7, Got: 9810
Checksum failed. Expected: 0c37, Got: 9106
Checksum failed. Expected: f29e, Got: 0ec5
Checksum failed. Expected: 4e70, Got: 8f80
Checksum failed. Expected: bfb6, Got: 9c08
Checksum failed. Expected: 76cb, Got: 1472
Checksum failed. Expected: a0ad, Got: 10de
Checksum failed. Expected: 25c0, Got: 0466
Checksum failed. Expected: 821d, Got: 0012
Checksum failed. Expected: 3cc9, Got: 0a63
Checksum failed. Expected: 75f5, Got: 1749
Checksum failed. Expected: 99ab, Got: 15e7
Checksum failed. Expected: e47e, Got: 0fdc
Checksum failed. Expected: a1d4, Got: 8477
Checksum failed. Expected: c206, Got: 02d4
Checksum failed. Expected: 9ba0, Got: 863f
Checksum failed. Expected: d7ac, Got: 810c
Checksum failed. Expected: 0415, Got: 0168
Checksum failed. Expected: 0158, Got: 0fb5
Checksum failed. Expected: 473c, Got: 101e
Checksum failed. Expected: ccf1, Got: 15d4
Checksum failed. Expected: a6be, Got: 96dc
Checksum failed. Expected: b5a4, Got: 9773
Checksum failed. Expected: b5d1, Got: 0ca4
Checksum failed. Expected: b205, Got: 978f
Checksum failed. Expected: 989d, Got: 1323
Checksum failed. Expected: 2dc4, Got: 95aa
Checksum failed. Expected: 0f3a, Got: 9721
Checksum failed. Expected: 6885, Got: 9e0f
Checksum failed. Expected: e5d1, Got: 243b
Checksum failed. Expected: 431c, Got: a267
Checksum failed. Expected: 3e83, Got: 1b33
Checksum failed. Expected: 9097, Got: a092
Checksum failed. Expected: b55f, Got: 1b9a
Checksum failed. Expected: 696f, Got: 1f56
Checksum failed. Expected: 0372, Got: 1f56
Checksum failed. Expected: 1313, Got: 9e5a
Checksum failed. Expected: 3539, Got: a674
Checksum failed. Expected: 0bb9, Got: 2779
Checksum failed. Expected: 3f2c, Got: a61a
Checksum failed. Expected: 0e91, Got: a38e
Checksum failed. Expected: 91ab, Got: 1f82
Checksum failed. Expected: 6eef, Got: 9e02
Checksum failed. Expected: 3b3d, Got: 2366
Checksum failed. Expected: 3afb, Got: 9ed3
Checksum failed. Expected: 08b7, Got: 13e6
Checksum failed. Expected: 8b51, Got: 9b98
Checksum failed. Expected: f1e3, Got: a22c
Checksum failed. Expected: 5457, Got: a05d
Checksum failed. Expected: f37f, Got: 1d9b
Checksum failed. Expected: 582b, Got: a5c5
Checksum failed. Expected: dbee, Got: 1e67
Checksum failed. Expected: 4db9, Got: 9a85
Checksum failed. Expected: 166d, Got: 156a
Checksum failed. Expected: 8864, Got: 938e
Checksum failed. Expected: 2780, Got: 98b1
Checksum failed. Expected: cf15, Got: 8bec
Checksum failed. Expected: 22f6, Got: 8a56
Checksum failed. Expected: a3d9, Got: 0b20
Checksum failed. Expected: 39ed, Got: 1337
Checksum failed. Expected: f3fb, Got: 9413
Checksum failed. Expected: 2a27, Got: 8dc4
Checksum failed. Expected: ed9d, Got: 0c68
Checksum failed. Expected: 29ad, Got: 0b3c
Checksum failed. Expected: 7807, Got: 885d
Checksum failed. Expected: 7f7b, Got: 038a
Checksum failed. Expected: e5a9, Got: 85ae
Checksum failed. Expected: db90, Got: 8ac6
Checksum failed. Expected: d71e, Got: 8c14
Checksum failed. Expected: 9751, Got: 0607
Checksum failed. Expected: 67d2, Got: fc8c
Checksum failed. Expected: fe15, Got: fcbb
Checksum failed. Expected: 5ca5, Got: 0789
Checksum failed. Expected: 1e96, Got: 8941
Checksum failed. Expected: 6bb6, Got: 0d9b
Checksum failed. Expected: 02a5, Got: 0d60
Checksum failed. Expected: 3e0a, Got: 8cd2
Checksum failed. Expected: 919f, Got: 15ef
Checksum failed. Expected: 59d3, Got: 45c1
Checksum failed. Expected: 9e30, Got: c32a
Checksum failed. Expected: e536, Got: 3f99
Checksum failed. Expected: 24ae, Got: 7fe4
Checksum failed. Expected: 282f, Got: 4192
Checksum failed. Expected: 13e9, Got: 876a
Checksum failed. Expected: 4cb7, Got: 0c7c
Checksum failed. Expected: 265c, Got: 82f1
Checksum failed. Expected: 5ca3, Got: 42cc
Checksum failed. Expected: 1ee9, Got: 878d
Checksum failed. Expected: d0b1, Got: 0e52
Checksum failed. Expected: 3e9c, Got: 0f30
Checksum failed. Expected: e8c5, Got: 9335
Checksum failed. Expected: 67ce, Got: 87cf
Checksum failed. Expected: a3cd, Got: 8b3b
Checksum failed. Expected: 89c8, Got: 8df5
Checksum failed. Expected: dabb, Got: 09e1
Checksum failed. Expected: eeb4, Got: 8a64
Checksum failed. Expected: c58b, Got: 0a72
Checksum failed. Expected: 72f4, Got: 0bc9
Checksum failed. Expected: 41f8, Got: 0728
Checksum failed. Expected: 44b8, Got: 9aaa
Checksum failed. Expected: 4042, Got: a4ab
Checksum failed. Expected: 0cfa, Got: 1900
Checksum failed. Expected: d4e6, Got: 13e9
Checksum failed. Expected: 23bf, Got: 9498
Checksum failed. Expected: 17b1, Got: 995d
Checksum failed. Expected: cb25, Got: 1fb6
Checksum failed. Expected: 947b, Got: a4b6
Checksum failed. Expected: c7d5, Got: 9d5b
Checksum failed. Expected: 7726, Got: 1438
Checksum failed. Expected: efc4, Got: 1be8
Checksum failed. Expected: 7c2f, Got: 1cf4
Checksum failed. Expected: 0de3, Got: 19c2
Checksum failed. Expected: 2340, Got: 9810
Checksum failed. Expected: b15a, Got: 1d6c
Checksum failed. Expected: b8f5, Got: 935a
Checksum failed. Expected: e222, Got: 9100
Checksum failed. Expected: 461c, Got: 9415
Checksum failed. Expected: 5535, Got: 2090
Checksum failed. Expected: b3d7, Got: a587
Checksum failed. Expected: d7ac, Got: 9e6d
Checksum failed. Expected: 3713, Got: 16f3
Checksum failed. Expected: bec8, Got: 92e3
Checksum failed. Expected: 3624, Got: 1899
Checksum failed. Expected: 36db, Got: 99b5
Checksum failed. Expected: bba6, Got: 1d3c
Checksum failed. Expected: 382b, Got: 9ef6
Checksum failed. Expected: f003, Got: 1d89
Checksum failed. Expected: 0758, Got: 1a49
Checksum failed. Expected: 170c, Got: 9cfc
Checksum failed. Expected: 61d3, Got: 94e3
Checksum failed. Expected: cfc4, Got: 1a2b
Checksum failed. Expected: e66c, Got: 22fb
Checksum failed. Expected: f445, Got: 11da
Checksum failed. Expected: 5c40, Got: 1278
Checksum failed. Expected: 05c0, Got: 150e
Checksum failed. Expected: b6e3, Got: 174f
Checksum failed. Expected: 03e6, Got: 1a1c
Checksum failed. Expected: c62a, Got: 13fc
Checksum failed. Expected: 5b93, Got: 9345
Checksum failed. Expected: f00d, Got: 937d
Checksum failed. Expected: e7d6, Got: 0d1c
Checksum failed. Expected: 9ef3, Got: 0f37
Checksum failed. Expected: 322c, Got: 92fc
Checksum failed. Expected: da63, Got: 1110
Checksum failed. Expected: 0a7f, Got: 1093
Checksum failed. Expected: a6b5, Got: 1775
Checksum failed. Expected: d471, Got: 8e4b
Checksum failed. Expected: e8eb, Got: 4794
Checksum failed. Expected: e0ca, Got: cbde
Checksum failed. Expected: db8d, Got: 1a52
Checksum failed. Expected: 3e09, Got: 17f8
Checksum failed. Expected: 1d98, Got: 89cf
Checksum failed. Expected: e38d, Got: 063b
Checksum failed. Expected: 94da, Got: 8d61
Checksum failed. Expected: 986e, Got: 1370
Checksum failed. Expected: 9f1b, Got: 05c7
Checksum failed. Expected: 907b, Got: 0be0
Checksum failed. Expected: af58, Got: 8640
Checksum failed. Expected: e87a, Got: 8916
Checksum failed. Expected: 997d, Got: 8d77
Checksum failed. Expected: 34b3, Got: 0fe4
Checksum failed. Expected: bd96, Got: 09e2
Checksum failed. Expected: 9564, Got: 0438
Checksum failed. Expected: 9161, Got: 0464
Checksum failed. Expected: e17c, Got: 0a59
Checksum failed. Expected: 40e8, Got: 0c02
Checksum failed. Expected: 9830, Got: 823b
Checksum failed. Expected: 0dc2, Got: 038a
Checksum failed. Expected: 3724, Got: 0ece
Checksum failed. Expected: c8b6, Got: 9afb
Checksum failed. Expected: dd03, Got: 90a8
Checksum failed. Expected: 99f1, Got: 16c2
Checksum failed. Expected: 6769, Got: 17ec
Checksum failed. Expected: 8473, Got: 9529
Checksum failed. Expected: 51c2, Got: 1241
Checksum failed. Expected: 91fb, Got: 0f29
Checksum failed. Expected: f724, Got: 85ea
Checksum failed. Expected: 8102, Got: 0c69
Checksum failed. Expected: d456, Got: 9620
Checksum failed. Expected: a84a, Got: 9444
Checksum failed. Expected: 568e, Got: 8c40
Checksum failed. Expected: 09fe, Got: 8a1e
Checksum failed. Expected: c4d8, Got: 8d91
Checksum failed. Expected: 9e99, Got: 95ec
Checksum failed. Expected: 5dfa, Got: 1589
Checksum failed. Expected: e673, Got: 8b75
Checksum failed. Expected: 3234, Got: 8c74
Checksum failed. Expected: bec4, Got: 9288
Checksum failed. Expected: fad6, Got: 92f5
Checksum failed. Expected: 9f6d, Got: 1354
Checksum failed. Expected: 89f8, Got: 1559
Checksum failed. Expected: 3bc2, Got: 1723
Checksum failed. Expected: 276c, Got: 9708
Checksum failed. Expected: 55c7, Got: 89bf
Checksum failed. Expected: e7a5, Got: 8af6
Checksum failed. Expected: 9386, Got: 0ab9
Checksum failed. Expected: 96dc, Got: 107c
Checksum failed. Expected: b23d, Got: a241
Checksum failed. Expected: 8be7, Got: aa07
Checksum failed. Expected: eabc, Got: a281
Checksum failed. Expected: 0e4b, Got: 9a87
Checksum failed. Expected: 7e78, Got: 1a90
Checksum failed. Expected: fef7, Got: 12cc
Checksum failed. Expected: 9777, Got: 11c6
Checksum failed. Expected: 6891, Got: 9468
Checksum failed. Expected: cf95, Got: 125f
Checksum failed. Expected: 3a64, Got: 1596
Checksum failed. Expected: 8455, Got: 18d0
Checksum failed. Expected: 7cbe, Got: 0de5
Checksum failed. Expected: 7ed7, Got: 0840
Checksum failed. Expected: 5aa1, Got: 09ff
Checksum failed. Expected: e46e, Got: 94bf
Checksum failed. Expected: 2f58, Got: 1897
Checksum failed. Expected: 3adb, Got: 8cd2
Checksum failed. Expected: 844d, Got: 0a0e
Checksum failed. Expected: a48c, Got: 8bfa
Checksum failed. Expected: baa9, Got: 8b70
Checksum failed. Expected: d7c6, Got: 4467
Checksum failed. Expected: d93a, Got: 8ada
Checksum failed. Expected: 748b, Got: 9fe3
Checksum failed. Expected: d040, Got: 1eb0
Checksum failed. Expected: 829f, Got: 9800
Checksum failed. Expected: 9317, Got: 9b42
Checksum failed. Expected: 8cd2, Got: 987e
Checksum failed. Expected: 4bea, Got: 1658
Checksum failed. Expected: 7cf2, Got: 07d5
Checksum failed. Expected: f95b, Got: 0902
Checksum failed. Expected: 56ec, Got: 9199
Checksum failed. Expected: cda9, Got: 199c
Checksum failed. Expected: 0557, Got: 963d
Checksum failed. Expected: 7a25, Got: 49d9
Checksum failed. Expected: 79e3, Got: 8ea6
Checksum failed. Expected: 767a, Got: 1089
Checksum failed. Expected: e08a, Got: 178b
Checksum failed. Expected: cf93, Got: 21ff
Checksum failed. Expected: cd61, Got: 0953
Checksum failed. Expected: d980, Got: 8b14
Checksum failed. Expected: 7b6b, Got: 903e
Checksum failed. Expected: b864, Got: 898f
Checksum failed. Expected: 06f7, Got: 038c
Checksum failed. Expected: e596, Got: 8ea6
Checksum failed. Expected: 6f76, Got: 9946
Checksum failed. Expected: 3637, Got: 9390
Checksum failed. Expected: c34c, Got: 154c
Checksum failed. Expected: 7801, Got: 9146
Checksum failed. Expected: 9e5f, Got: 8edd
Checksum failed. Expected: 5785, Got: 1112
Checksum failed. Expected: ba43, Got: 9447
Checksum failed. Expected: 0881, Got: 1560
Checksum failed. Expected: 7566, Got: 918f
Checksum failed. Expected: 1b69, Got: 9b62
Checksum failed. Expected: e89a, Got: 1402
Checksum failed. Expected: 035d, Got: 8328
Checksum failed. Expected: 9b99, Got: 4588
Checksum failed. Expected: 6bf0, Got: 8d3e
Checksum failed. Expected: 3085, Got: 9132
Checksum failed. Expected: 71db, Got: 10bd
Checksum failed. Expected: f10d, Got: 87bf
Checksum failed. Expected: 78dc, Got: 4618
Checksum failed. Expected: 787a, Got: 0a12
Checksum failed. Expected: ff2d, Got: 9387
Checksum failed. Expected: 0082, Got: 9591
Checksum failed. Expected: bbe5, Got: 9394
Checksum failed. Expected: 8d20, Got: 47cd
Checksum failed. Expected: b925, Got: ca1d
Checksum failed. Expected: a49b, Got: 9482
Checksum failed. Expected: a2a0, Got: 14a0
Checksum failed. Expected: b6b5, Got: 1237
Checksum failed. Expected: 7894, Got: 8a96
Checksum failed. Expected: cfae, Got: 91da
Checksum failed. Expected: af93, Got: 901b
Checksum failed. Expected: 3411, Got: 1479
Checksum failed. Expected: 1a99, Got: 0a83
Checksum failed. Expected: cfc8, Got: 471d
Checksum failed. Expected: 195c, Got: 8868
Checksum failed. Expected: 9690, Got: 13d9
Checksum failed. Expected: 1508, Got: 172b
Checksum failed. Expected: 57af, Got: 9216
Checksum failed. Expected: fbc0, Got: 892c
Checksum failed. Expected: 772f, Got: 13a4
Checksum failed. Expected: 05c4, Got: 983d
Checksum failed. Expected: c493, Got: 93d3
Checksum failed. Expected: 12f7, Got: 975f
Checksum failed. Expected: be1e, Got: 9c81
Checksum failed. Expected: 5004, Got: 9df0
Checksum failed. Expected: 1cb0, Got: 1895
Checksum failed. Expected: 2635, Got: 17c4
Checksum failed. Expected: ff0f, Got: 9600
Checksum failed. Expected: 838a, Got: 140e
Checksum failed. Expected: 74c9, Got: 1034
Checksum failed. Expected: 0a45, Got: 8c25
Checksum failed. Expected: bb7f, Got: 1274
Checksum failed. Expected: 4cca, Got: 9366
Checksum failed. Expected: e0a4, Got: 938e
Checksum failed. Expected: e21e, Got: 9337
Checksum failed. Expected: 6b30, Got: 9e9e
Checksum failed. Expected: 3565, Got: a1ac
Checksum failed. Expected: 5608, Got: 94d3
Checksum failed. Expected: ce6c, Got: 93c4
Checksum failed. Expected: 074f, Got: 1462
Checksum failed. Expected: ff56, Got: 9e2f
Checksum failed. Expected: 1cec, Got: 2396
Checksum failed. Expected: 57ba, Got: 2147
Checksum failed. Expected: b381, Got: 1772
Checksum failed. Expected: c6c8, Got: 17b9
Checksum failed. Expected: 40db, Got: 9486
