
#################################################################
Log started at 2025-06-13_16-01-36 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 83fc, Got: bd7d
Checksum failed. Expected: 0bb4, Got: bd7e
Checksum failed. Expected: cffd, Got: bd7c
Checksum failed. Expected: d36f, Got: bd7a
Checksum failed. Expected: e0d9, Got: bd79
Checksum failed. Expected: e3e4, Got: bd7c
Checksum failed. Expected: 4eec, Got: bd7d
Checksum failed. Expected: 11d2, Got: bd7d
Checksum failed. Expected: 6805, Got: bd7c
Checksum failed. Expected: 624a, Got: bd80
Checksum failed. Expected: c4df, Got: bd80
Checksum failed. Expected: ff5b, Got: bd7f
Checksum failed. Expected: 0261, Got: bd7e
Checksum failed. Expected: 6930, Got: bd7d
Checksum failed. Expected: 3d3e, Got: bd7c
Checksum failed. Expected: ba72, Got: bd7c
Checksum failed. Expected: b585, Got: bd7b
Checksum failed. Expected: 27f4, Got: bd7f
Checksum failed. Expected: 9916, Got: bd7f
Checksum failed. Expected: 0455, Got: bd7f
Checksum failed. Expected: 4c20, Got: bd7f
Checksum failed. Expected: 512c, Got: bd80
Checksum failed. Expected: e778, Got: bd80
Checksum failed. Expected: e6db, Got: bd80
Checksum failed. Expected: 47e9, Got: bd82
Checksum failed. Expected: 2c23, Got: bd81
Checksum failed. Expected: ca31, Got: bd81
Checksum failed. Expected: fd55, Got: bd81
Checksum failed. Expected: d1c9, Got: bd80
Checksum failed. Expected: f419, Got: bd81
Checksum failed. Expected: 450c, Got: bd81
Checksum failed. Expected: 77ca, Got: bd81
Checksum failed. Expected: b3ad, Got: bd81
Checksum failed. Expected: d9a3, Got: bd81
Checksum failed. Expected: d661, Got: bd82
Checksum failed. Expected: e7b9, Got: bd82
Checksum failed. Expected: a7f3, Got: bd81
Checksum failed. Expected: 1cd1, Got: bd81
Checksum failed. Expected: 39e6, Got: bd83
Checksum failed. Expected: cf1a, Got: bd82
Checksum failed. Expected: f379, Got: bd82
Checksum failed. Expected: 4626, Got: bd82
Checksum failed. Expected: ca4f, Got: bd81
Checksum failed. Expected: 97fb, Got: bd81
Checksum failed. Expected: c24c, Got: bd81
Checksum failed. Expected: 8e3f, Got: bd80
Checksum failed. Expected: 6c51, Got: bd80
Checksum failed. Expected: 007c, Got: bd7f
Checksum failed. Expected: e942, Got: bd80
Checksum failed. Expected: d946, Got: bd80
Checksum failed. Expected: fb16, Got: bd80
Checksum failed. Expected: 6adc, Got: bd80
Checksum failed. Expected: a155, Got: bd7f
Checksum failed. Expected: deea, Got: bd7f
Checksum failed. Expected: 007a, Got: bd7f
Checksum failed. Expected: a488, Got: bd80
Checksum failed. Expected: 7696, Got: bd80
Checksum failed. Expected: b25a, Got: bd7f
Checksum failed. Expected: 07a7, Got: bd80
Checksum failed. Expected: d614, Got: bd80
Checksum failed. Expected: 5b35, Got: bd7f
