
#################################################################
Log started at 2025-06-12_14-08-37 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 2c2b, Got: 048f
Checksum failed. Expected: f28b, Got: b875
Checksum failed. Expected: 37e8, Got: f11f
Checksum failed. Expected: 4253, Got: 04bc
Checksum failed. Expected: 4d38, Got: 04bb
Checksum failed. Expected: bfab, Got: 04bb
Checksum failed. Expected: 3594, Got: 04bb
Checksum failed. Expected: 7fdf, Got: 04bb
Checksum failed. Expected: 7750, Got: 04bc
Checksum failed. Expected: e330, Got: 04bc
Checksum failed. Expected: 4f6f, Got: 04bc
Checksum failed. Expected: f887, Got: 04bc
Checksum failed. Expected: f7ab, Got: 04bc
Checksum failed. Expected: 6813, Got: 04bc
Checksum failed. Expected: 4de7, Got: 04bc
Checksum failed. Expected: be6a, Got: 04bb
Checksum failed. Expected: 678b, Got: 04bb
Checksum failed. Expected: 66b2, Got: 04bb
Checksum failed. Expected: 1aa2, Got: 04bc
Checksum failed. Expected: f387, Got: 04bc
Checksum failed. Expected: 8053, Got: 04bc
Checksum failed. Expected: 262d, Got: 04bc
Checksum failed. Expected: e4fb, Got: 04bc
Checksum failed. Expected: fb17, Got: 04bb
Checksum failed. Expected: 3ed0, Got: 04bb
Checksum failed. Expected: 32fa, Got: 04bb
Checksum failed. Expected: 39c5, Got: 04bc
Checksum failed. Expected: 5541, Got: 04bb
Checksum failed. Expected: 6821, Got: 04bc
Checksum failed. Expected: 95fe, Got: 04bc
Checksum failed. Expected: 2fad, Got: 04bc
Checksum failed. Expected: 034c, Got: 04bc
Checksum failed. Expected: 72a0, Got: 04bc
Checksum failed. Expected: effa, Got: 04bc
Checksum failed. Expected: bbc6, Got: 04bb
Checksum failed. Expected: 0ab0, Got: 04bb
Checksum failed. Expected: cbc0, Got: 04bb
Checksum failed. Expected: b1d7, Got: 04bb
Checksum failed. Expected: 8bdc, Got: 04bc
Checksum failed. Expected: fb0b, Got: 04bc
Checksum failed. Expected: 57d5, Got: 04bc
Checksum failed. Expected: bd6b, Got: 04bc
Checksum failed. Expected: 989e, Got: 04bc
Checksum failed. Expected: db49, Got: 04bc
Checksum failed. Expected: f365, Got: 04bb
Checksum failed. Expected: 8e63, Got: 04bc
Checksum failed. Expected: 1a0f, Got: 04bc
Checksum failed. Expected: ea57, Got: 04bc
Checksum failed. Expected: c248, Got: 04bc
Checksum failed. Expected: be22, Got: 04bc
Checksum failed. Expected: d2ec, Got: 04bc
Checksum failed. Expected: 746e, Got: 04bb
Checksum failed. Expected: c446, Got: 04bb
Checksum failed. Expected: b550, Got: 04bc
Checksum failed. Expected: c063, Got: 04bc
Checksum failed. Expected: 8599, Got: 04bc
Checksum failed. Expected: 77ae, Got: 04bc
Checksum failed. Expected: 0c20, Got: 04bc
Checksum failed. Expected: d7e0, Got: 04bc
Checksum failed. Expected: b0bd, Got: 04bc
Checksum failed. Expected: 096d, Got: 04bc
Checksum failed. Expected: 271e, Got: 04bb
Checksum failed. Expected: a165, Got: 04bb
Checksum failed. Expected: ecaf, Got: 04bc
Checksum failed. Expected: 1a74, Got: 04bc
Checksum failed. Expected: a96d, Got: 04bc
Checksum failed. Expected: 33f7, Got: 04bc
Checksum failed. Expected: 60e4, Got: 04bc
Checksum failed. Expected: bfdb, Got: 04bc
Checksum failed. Expected: 554d, Got: 04bc
Checksum failed. Expected: 73fe, Got: 04bb
Checksum failed. Expected: ea09, Got: 04bb
Checksum failed. Expected: d249, Got: 04bb
Checksum failed. Expected: 07db, Got: 04bb
Checksum failed. Expected: 71bb, Got: 04bc
Checksum failed. Expected: 430f, Got: 04bc
Checksum failed. Expected: ae0e, Got: 04bc
Checksum failed. Expected: 0682, Got: 04bb

Exiting...
