
#################################################################
Log started at 2025-06-12_15-58-51 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: ce41, Got: 2e5f
Checksum failed. Expected: 5407, Got: b4cf
Checksum failed. Expected: 0cce, Got: 39f8
Checksum failed. Expected: 5e81, Got: ba01
Checksum failed. Expected: be1b, Got: 38d7
Checksum failed. Expected: 0c08, Got: ab96
Checksum failed. Expected: f900, Got: 29a6
Checksum failed. Expected: 713e, Got: ac7b
Checksum failed. Expected: 43c2, Got: ad72
Checksum failed. Expected: 452e, Got: 28af
Checksum failed. Expected: 7f19, Got: 1fec
Checksum failed. Expected: bb01, Got: a01d
Checksum failed. Expected: 7e74, Got: 265c
Checksum failed. Expected: a031, Got: 23dc
Checksum failed. Expected: ea36, Got: a950
Checksum failed. Expected: 4f8b, Got: 435b
Checksum failed. Expected: 1859, Got: 3ef8
Checksum failed. Expected: 3bb5, Got: 3096
Checksum failed. Expected: e993, Got: 20fa
Checksum failed. Expected: e9fa, Got: 9c6f
Checksum failed. Expected: 2a36, Got: 24fe
Checksum failed. Expected: 1ab1, Got: a343
Checksum failed. Expected: c494, Got: 26b0
Checksum failed. Expected: 4bb7, Got: a95d
Checksum failed. Expected: d2ae, Got: ab2e
Checksum failed. Expected: 7ba9, Got: 2e48
Checksum failed. Expected: 33d9, Got: 2f73
Checksum failed. Expected: b7b5, Got: abea
Checksum failed. Expected: 027b, Got: aa8c
Checksum failed. Expected: fdbe, Got: 2be3
Checksum failed. Expected: d9af, Got: 310a
Checksum failed. Expected: 7165, Got: 347c
Checksum failed. Expected: 4a95, Got: 30d1
Checksum failed. Expected: 1bf1, Got: b147
Checksum failed. Expected: 4567, Got: ab5c
Checksum failed. Expected: b980, Got: aeca
Checksum failed. Expected: 3078, Got: 286d
Checksum failed. Expected: 6ee9, Got: a7a7
Checksum failed. Expected: 85c5, Got: 3148
Checksum failed. Expected: 07a7, Got: bb73
Checksum failed. Expected: c9f0, Got: 3691
Checksum failed. Expected: 4487, Got: 311b
Checksum failed. Expected: eed1, Got: 3772
Checksum failed. Expected: c2a2, Got: bff1
Checksum failed. Expected: ea6d, Got: be1f
