
#################################################################
Log started at 2025-06-13_14-58-24 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-0.183678, Y=-0.607243, Z=9.892410 m/s^2 Time of Week: 457123.001000, Week Number: 2370
Acceleration: X=-0.184385, Y=-0.617575, Z=9.908674 m/s^2 Time of Week: 457123.002000, Week Number: 2370
Acceleration: X=-0.183618, Y=-0.615522, Z=9.927136 m/s^2 Time of Week: 457123.003000, Week Number: 2370
Acceleration: X=-0.186174, Y=-0.614552, Z=9.925227 m/s^2 Time of Week: 457123.004000, Week Number: 2370
Acceleration: X=-0.194923, Y=-0.614752, Z=9.891624 m/s^2 Time of Week: 457123.005000, Week Number: 2370
Acceleration: X=-0.193385, Y=-0.621673, Z=9.867640 m/s^2 Time of Week: 457123.006000, Week Number: 2370
Acceleration: X=-0.188969, Y=-0.628350, Z=9.870935 m/s^2 Time of Week: 457123.007000, Week Number: 2370
Acceleration: X=-0.192433, Y=-0.630389, Z=9.872181 m/s^2 Time of Week: 457123.008000, Week Number: 2370
Acceleration: X=-0.197340, Y=-0.632676, Z=9.871572 m/s^2 Time of Week: 457123.009000, Week Number: 2370
Acceleration: X=-0.194035, Y=-0.641895, Z=9.868290 m/s^2 Time of Week: 457123.010000, Week Number: 2370
Acceleration: X=-0.189183, Y=-0.649648, Z=9.867520 m/s^2 Time of Week: 457123.011000, Week Number: 2370
Acceleration: X=-0.189847, Y=-0.658389, Z=9.868727 m/s^2 Time of Week: 457123.012000, Week Number: 2370
Acceleration: X=-0.193228, Y=-0.671853, Z=9.856316 m/s^2 Time of Week: 457123.013000, Week Number: 2370
Acceleration: X=-0.193625, Y=-0.680111, Z=9.835131 m/s^2 Time of Week: 457123.014000, Week Number: 2370
Acceleration: X=-0.199623, Y=-0.679404, Z=9.815005 m/s^2 Time of Week: 457123.015000, Week Number: 2370
Acceleration: X=-0.196532, Y=-0.685635, Z=9.798383 m/s^2 Time of Week: 457123.016000, Week Number: 2370
Acceleration: X=-0.188989, Y=-0.691756, Z=9.781661 m/s^2 Time of Week: 457123.017000, Week Number: 2370
Acceleration: X=-0.188973, Y=-0.695942, Z=9.773091 m/s^2 Time of Week: 457123.018000, Week Number: 2370
Acceleration: X=-0.190829, Y=-0.703320, Z=9.767395 m/s^2 Time of Week: 457123.019000, Week Number: 2370
Acceleration: X=-0.188578, Y=-0.711489, Z=9.764225 m/s^2 Time of Week: 457123.020000, Week Number: 2370
