
#################################################################
Log started at 2025-06-12_14-02-41 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 06fd, Got: 0e04
Checksum failed. Expected: 7a69, Got: 0e04
Checksum failed. Expected: 0037, Got: 0e04
Checksum failed. Expected: cb90, Got: 0e04
Checksum failed. Expected: 6e9c, Got: 0e04
Checksum failed. Expected: 0a20, Got: 0e04
Checksum failed. Expected: b5e4, Got: 0e04
Checksum failed. Expected: 0c30, Got: 0e04
Checksum failed. Expected: d420, Got: 0e04
Checksum failed. Expected: 7848, Got: 0e04
Checksum failed. Expected: fcf1, Got: 0e04
Checksum failed. Expected: 35c1, Got: 0e04
Checksum failed. Expected: bca3, Got: 0e04
Checksum failed. Expected: 3f5c, Got: 0e04
Checksum failed. Expected: 31ad, Got: 0e04
Checksum failed. Expected: 84b4, Got: 0e04
Checksum failed. Expected: b08c, Got: 0e04
Checksum failed. Expected: 5809, Got: 0e04
Checksum failed. Expected: 8091, Got: 0e04
Checksum failed. Expected: c0e2, Got: 0e04
Checksum failed. Expected: 5d7a, Got: 0e04
Checksum failed. Expected: 1545, Got: 0e04
Checksum failed. Expected: cf33, Got: 0e04
Checksum failed. Expected: 367b, Got: 0e04
Checksum failed. Expected: 638c, Got: 0e04
Checksum failed. Expected: 62e9, Got: 0e04
Checksum failed. Expected: 0615, Got: 0e04
Checksum failed. Expected: d033, Got: 0e04
Checksum failed. Expected: 7480, Got: 0e04
Checksum failed. Expected: 8cb0, Got: 0e04
Checksum failed. Expected: 927c, Got: 0e04
Checksum failed. Expected: c4cc, Got: 0e04
Checksum failed. Expected: 0f28, Got: 0e04
Checksum failed. Expected: c160, Got: 0e04
Checksum failed. Expected: ed28, Got: 0e04
Checksum failed. Expected: 5379, Got: 0e04
Checksum failed. Expected: 52c1, Got: 0e04
Checksum failed. Expected: 5cdf, Got: 0e04
Checksum failed. Expected: 4b08, Got: 0e04
Checksum failed. Expected: d875, Got: 0e04
Checksum failed. Expected: b880, Got: 0e04
Checksum failed. Expected: 9304, Got: 0e04
Checksum failed. Expected: 465d, Got: 0e04
Checksum failed. Expected: 60cd, Got: 0e04
Checksum failed. Expected: 90de, Got: 0e04
Checksum failed. Expected: 066a, Got: 0e04
Checksum failed. Expected: 5b79, Got: 0e04
Checksum failed. Expected: 8413, Got: 0e04
Checksum failed. Expected: 9c2f, Got: 0e04
Checksum failed. Expected: 7d50, Got: 0e04
Checksum failed. Expected: ae95, Got: 0e04
Checksum failed. Expected: 0281, Got: 0e04
Checksum failed. Expected: dbcb, Got: 0e04
Checksum failed. Expected: d06c, Got: 0e04
Checksum failed. Expected: 4b58, Got: 0e04
Checksum failed. Expected: 8a98, Got: 0e04
Checksum failed. Expected: 3e10, Got: 0e04
Checksum failed. Expected: f5dc, Got: 0e04
Checksum failed. Expected: c344, Got: 0e04
Checksum failed. Expected: 7c10, Got: 0e04
Checksum failed. Expected: 90f9, Got: 0e04
Checksum failed. Expected: 08b5, Got: 0e04
Checksum failed. Expected: adef, Got: 0e04
Checksum failed. Expected: 558c, Got: 0e04
Checksum failed. Expected: 171d, Got: 0e04
Checksum failed. Expected: 6910, Got: 0e04
Checksum failed. Expected: 9084, Got: 0e04
Checksum failed. Expected: fd65, Got: 0e04
Checksum failed. Expected: a19d, Got: 0e04
Checksum failed. Expected: 15fe, Got: 0e04
Checksum failed. Expected: 202e, Got: 0e04
Checksum failed. Expected: 7651, Got: 0e04
Checksum failed. Expected: d74b, Got: 0e04
Checksum failed. Expected: 259f, Got: 0e04
Checksum failed. Expected: 14d8, Got: 0e04
Checksum failed. Expected: b4c9, Got: 0e04
Checksum failed. Expected: f311, Got: 0e04
Checksum failed. Expected: 7253, Got: 0e04
Checksum failed. Expected: 97b4, Got: 0e04
Checksum failed. Expected: 755c, Got: 0e04
Checksum failed. Expected: 1530, Got: 0e04
Checksum failed. Expected: 9afc, Got: 0e04
Checksum failed. Expected: 29a8, Got: 0e04
Checksum failed. Expected: 9004, Got: 0e04
Checksum failed. Expected: d5c0, Got: 0e04
Checksum failed. Expected: 93f1, Got: 0e04
Checksum failed. Expected: d9c5, Got: 0e04
Checksum failed. Expected: b887, Got: 0e04
Checksum failed. Expected: 5998, Got: 0e04
Checksum failed. Expected: f1e1, Got: 0e04
Checksum failed. Expected: 0838, Got: 0e04
Checksum failed. Expected: e3bc, Got: 0e04
Checksum failed. Expected: 2541, Got: 0e04
Checksum failed. Expected: 6159, Got: 0e04
Checksum failed. Expected: 5a1e, Got: 0e04
Checksum failed. Expected: 3b06, Got: 0e04
Checksum failed. Expected: fa5d, Got: 0e04
Checksum failed. Expected: 8377, Got: 0e04
Checksum failed. Expected: 2dfb, Got: 0e04
Checksum failed. Expected: 18e4, Got: 0e04
Checksum failed. Expected: 37c1, Got: 0e04
Checksum failed. Expected: 27dd, Got: 0e04
Checksum failed. Expected: 14b7, Got: 0e04
Checksum failed. Expected: 9de8, Got: 0e04
Checksum failed. Expected: 1598, Got: 0e04
Checksum failed. Expected: 5828, Got: 0e04
Checksum failed. Expected: 5e08, Got: 0e04
Checksum failed. Expected: d7fc, Got: 0e04
