
#################################################################
Log started at 2025-06-16_16-24-33.689473 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.388930, Y=0.071718, Z=9.796475 m/s^2 Time of Week: 52.056000, Week Number: 0
Acceleration: X=0.396739, Y=0.070631, Z=9.799944 m/s^2 Time of Week: 52.059000, Week Number: 0
Acceleration: X=0.390195, Y=0.072175, Z=9.793959 m/s^2 Time of Week: 52.062000, Week Number: 0
Acceleration: X=0.390431, Y=0.074381, Z=9.794679 m/s^2 Time of Week: 52.065000, Week Number: 0
Acceleration: X=0.399607, Y=0.069411, Z=9.799426 m/s^2 Time of Week: 52.068000, Week Number: 0
Acceleration: X=0.398449, Y=0.069257, Z=9.802666 m/s^2 Time of Week: 52.071000, Week Number: 0
Acceleration: X=0.394392, Y=0.071933, Z=9.790085 m/s^2 Time of Week: 52.074000, Week Number: 0
Acceleration: X=0.397761, Y=0.065272, Z=9.791242 m/s^2 Time of Week: 52.077000, Week Number: 0
Acceleration: X=0.395445, Y=0.064220, Z=9.801454 m/s^2 Time of Week: 52.080000, Week Number: 0
Acceleration: X=0.403733, Y=0.065516, Z=9.798209 m/s^2 Time of Week: 52.083000, Week Number: 0
Acceleration: X=0.404196, Y=0.061783, Z=9.802430 m/s^2 Time of Week: 52.086000, Week Number: 0
Acceleration: X=0.403525, Y=0.063217, Z=9.805331 m/s^2 Time of Week: 52.089000, Week Number: 0
Acceleration: X=0.401780, Y=0.067152, Z=9.801425 m/s^2 Time of Week: 52.092000, Week Number: 0
Acceleration: X=0.399264, Y=0.063114, Z=9.801545 m/s^2 Time of Week: 52.095000, Week Number: 0
Acceleration: X=0.409094, Y=0.057311, Z=9.807607 m/s^2 Time of Week: 52.098000, Week Number: 0
Acceleration: X=0.412249, Y=0.065591, Z=9.805838 m/s^2 Time of Week: 52.101000, Week Number: 0
Acceleration: X=0.411057, Y=0.066029, Z=9.800381 m/s^2 Time of Week: 52.104000, Week Number: 0
Acceleration: X=0.408330, Y=0.068758, Z=9.794789 m/s^2 Time of Week: 52.107000, Week Number: 0
Acceleration: X=0.407623, Y=0.070169, Z=9.799619 m/s^2 Time of Week: 52.110000, Week Number: 0
Acceleration: X=0.409743, Y=0.072827, Z=9.796482 m/s^2 Time of Week: 52.113000, Week Number: 0
Acceleration: X=0.412475, Y=0.072789, Z=9.796288 m/s^2 Time of Week: 52.116000, Week Number: 0
Acceleration: X=0.406055, Y=0.071275, Z=9.794523 m/s^2 Time of Week: 52.119000, Week Number: 0
Acceleration: X=0.402994, Y=0.078515, Z=9.794486 m/s^2 Time of Week: 52.122000, Week Number: 0
Acceleration: X=0.395831, Y=0.074936, Z=9.801049 m/s^2 Time of Week: 52.125000, Week Number: 0
Acceleration: X=0.399358, Y=0.076112, Z=9.795449 m/s^2 Time of Week: 52.128000, Week Number: 0
Acceleration: X=0.403805, Y=0.069565, Z=9.804469 m/s^2 Time of Week: 52.131000, Week Number: 0
Acceleration: X=0.401422, Y=0.071401, Z=9.799714 m/s^2 Time of Week: 52.134000, Week Number: 0
Acceleration: X=0.397092, Y=0.070241, Z=9.798966 m/s^2 Time of Week: 52.137000, Week Number: 0
Acceleration: X=0.400846, Y=0.063323, Z=9.798026 m/s^2 Time of Week: 52.140000, Week Number: 0
Acceleration: X=0.402321, Y=0.066163, Z=9.801343 m/s^2 Time of Week: 52.143000, Week Number: 0
Acceleration: X=0.395186, Y=0.073280, Z=9.792419 m/s^2 Time of Week: 52.146000, Week Number: 0
Acceleration: X=0.406423, Y=0.070092, Z=9.796873 m/s^2 Time of Week: 52.149000, Week Number: 0
Acceleration: X=0.407866, Y=0.064851, Z=9.794559 m/s^2 Time of Week: 52.152000, Week Number: 0
Acceleration: X=0.404692, Y=0.066086, Z=9.791948 m/s^2 Time of Week: 52.155000, Week Number: 0
Acceleration: X=0.408862, Y=0.065523, Z=9.790766 m/s^2 Time of Week: 52.158000, Week Number: 0
Acceleration: X=0.404673, Y=0.066558, Z=9.791407 m/s^2 Time of Week: 52.161000, Week Number: 0
Acceleration: X=0.406552, Y=0.067436, Z=9.796834 m/s^2 Time of Week: 52.164000, Week Number: 0
Acceleration: X=0.400358, Y=0.066240, Z=9.793446 m/s^2 Time of Week: 52.167000, Week Number: 0
Acceleration: X=0.402229, Y=0.077232, Z=9.801400 m/s^2 Time of Week: 52.170000, Week Number: 0
Acceleration: X=0.403015, Y=0.068002, Z=9.804435 m/s^2 Time of Week: 52.173000, Week Number: 0
Acceleration: X=0.399247, Y=0.066962, Z=9.800508 m/s^2 Time of Week: 52.176000, Week Number: 0
Acceleration: X=0.400145, Y=0.064221, Z=9.794099 m/s^2 Time of Week: 52.179000, Week Number: 0
Acceleration: X=0.400829, Y=0.069981, Z=9.799472 m/s^2 Time of Week: 52.182000, Week Number: 0
Acceleration: X=0.401448, Y=0.065475, Z=9.800632 m/s^2 Time of Week: 52.185000, Week Number: 0
Acceleration: X=0.402449, Y=0.066998, Z=9.799163 m/s^2 Time of Week: 52.188000, Week Number: 0
Acceleration: X=0.403433, Y=0.065612, Z=9.803246 m/s^2 Time of Week: 52.191000, Week Number: 0
Acceleration: X=0.405673, Y=0.059674, Z=9.792758 m/s^2 Time of Week: 52.194000, Week Number: 0
Acceleration: X=0.405278, Y=0.062111, Z=9.785380 m/s^2 Time of Week: 52.197000, Week Number: 0
Acceleration: X=0.404544, Y=0.067746, Z=9.792226 m/s^2 Time of Week: 52.200000, Week Number: 0
Acceleration: X=0.405307, Y=0.062852, Z=9.799614 m/s^2 Time of Week: 52.203000, Week Number: 0
Acceleration: X=0.406439, Y=0.067428, Z=9.798167 m/s^2 Time of Week: 52.206000, Week Number: 0
Acceleration: X=0.402218, Y=0.068141, Z=9.800520 m/s^2 Time of Week: 52.209000, Week Number: 0
Acceleration: X=0.403840, Y=0.070183, Z=9.797497 m/s^2 Time of Week: 52.212000, Week Number: 0
Acceleration: X=0.400992, Y=0.070769, Z=9.792771 m/s^2 Time of Week: 52.215000, Week Number: 0
Acceleration: X=0.394733, Y=0.072567, Z=9.801775 m/s^2 Time of Week: 52.218000, Week Number: 0
Acceleration: X=0.396545, Y=0.067623, Z=9.807605 m/s^2 Time of Week: 52.221000, Week Number: 0
Acceleration: X=0.400478, Y=0.067978, Z=9.803442 m/s^2 Time of Week: 52.224000, Week Number: 0
Acceleration: X=0.399765, Y=0.078163, Z=9.796572 m/s^2 Time of Week: 52.227000, Week Number: 0
Acceleration: X=0.394786, Y=0.077328, Z=9.795569 m/s^2 Time of Week: 52.230000, Week Number: 0
Acceleration: X=0.399799, Y=0.072861, Z=9.793059 m/s^2 Time of Week: 52.233000, Week Number: 0
Acceleration: X=0.397880, Y=0.072589, Z=9.796915 m/s^2 Time of Week: 52.236000, Week Number: 0
Acceleration: X=0.397453, Y=0.065935, Z=9.792399 m/s^2 Time of Week: 52.239000, Week Number: 0
Acceleration: X=0.400556, Y=0.068527, Z=9.797742 m/s^2 Time of Week: 52.242000, Week Number: 0
Acceleration: X=0.396731, Y=0.059764, Z=9.794289 m/s^2 Time of Week: 52.245000, Week Number: 0
Acceleration: X=0.393901, Y=0.063118, Z=9.797704 m/s^2 Time of Week: 52.248000, Week Number: 0
Acceleration: X=0.398606, Y=0.068133, Z=9.799825 m/s^2 Time of Week: 52.251000, Week Number: 0
Acceleration: X=0.395244, Y=0.062239, Z=9.802834 m/s^2 Time of Week: 52.254000, Week Number: 0
Acceleration: X=0.396442, Y=0.064369, Z=9.805348 m/s^2 Time of Week: 52.257000, Week Number: 0
Acceleration: X=0.398881, Y=0.062182, Z=9.805947 m/s^2 Time of Week: 52.260000, Week Number: 0
Acceleration: X=0.395697, Y=0.057238, Z=9.796928 m/s^2 Time of Week: 52.263000, Week Number: 0
Acceleration: X=0.398775, Y=0.061154, Z=9.799199 m/s^2 Time of Week: 52.266000, Week Number: 0
Acceleration: X=0.404510, Y=0.070054, Z=9.801484 m/s^2 Time of Week: 52.269000, Week Number: 0
Acceleration: X=0.402700, Y=0.064814, Z=9.798094 m/s^2 Time of Week: 52.272000, Week Number: 0
Acceleration: X=0.402197, Y=0.066033, Z=9.802146 m/s^2 Time of Week: 52.275000, Week Number: 0
Acceleration: X=0.397874, Y=0.068139, Z=9.800168 m/s^2 Time of Week: 52.278000, Week Number: 0
Acceleration: X=0.404709, Y=0.067013, Z=9.794277 m/s^2 Time of Week: 52.281000, Week Number: 0
Acceleration: X=0.407430, Y=0.069220, Z=9.795012 m/s^2 Time of Week: 52.284000, Week Number: 0
